JOBID=28580
Size, Timepoint, Index, Time
1024, End, 1, 1.147e-06
1024, End, 2, 1.164e-06
1024, End, 3, 1.15e-06
1024, End, 4, 1.201e-06
1024, End, 5, 1.175e-06
1024, End, 6, 1.122e-06
1024, End, 7, 1.148e-06
1024, End, 8, 1.193e-06
1024, End, 9, 1.389e-06
1024, End, 10, 1.254e-06
1024, End, 11, 1.146e-06
1024, End, 12, 1.602e-06
1024, End, 13, 1.188e-06
1024, End, 14, 1.156e-06
1024, End, 15, 1.158e-06
1024, End, 16, 1.142e-06
1024, End, 17, 1.131e-06
1024, End, 18, 1.138e-06
1024, End, 19, 1.121e-06
1024, End, 20, 1.124e-06
1024, End, 21, 1.229e-06
1024, End, 22, 1.116e-06
1024, End, 23, 1.116e-06
1024, End, 24, 1.146e-06
1024, End, 25, 1.162e-06
1024, End, 26, 1.186e-06
1024, End, 27, 1.103e-06
1024, End, 28, 1.151e-06
1024, End, 29, 1.231e-06
1024, End, 30, 1.167e-06
1024, End, 31, 1.113e-06
1024, End, 32, 1.208e-06
1024, End, 33, 1.559e-06
1024, End, 34, 1.132e-06
1024, End, 35, 1.232e-06
1024, End, 36, 1.145e-06
1024, End, 37, 1.141e-06
1024, End, 38, 1.223e-06
1024, End, 39, 1.212e-06
1024, End, 40, 1.226e-06
1024, End, 41, 1.206e-06
1024, End, 42, 1.221e-06
1024, End, 43, 1.214e-06
1024, End, 44, 1.19e-06
1024, End, 45, 1.19e-06
1024, End, 46, 1.191e-06
1024, End, 47, 1.132e-06
1024, End, 48, 1.158e-06
1024, End, 49, 1.122e-06
1024, End, 50, 1.118e-06
1024, End, 51, 1.138e-06
1024, End, 52, 1.15e-06
1024, End, 53, 1.189e-06
1024, End, 54, 1.12e-06
1024, End, 55, 1.228e-06
1024, End, 56, 1.193e-06
1024, End, 57, 1.127e-06
1024, End, 58, 1.164e-06
1024, End, 59, 1.127e-06
1024, End, 60, 1.133e-06
1024, End, 61, 1.134e-06
1024, End, 62, 1.136e-06
1024, End, 63, 1.134e-06
1024, End, 64, 1.144e-06
1024, End, 65, 1.115e-06
1024, End, 66, 1.119e-06
1024, End, 67, 1.2e-06
1024, End, 68, 1.117e-06
1024, End, 69, 1.129e-06
1024, End, 70, 1.282e-06
1024, End, 71, 1.138e-06
1024, End, 72, 1.157e-06
1024, End, 73, 1.192e-06
1024, End, 74, 1.331e-06
1024, End, 75, 1.196e-06
1024, End, 76, 1.336e-06
1024, End, 77, 1.147e-06
1024, End, 78, 1.112e-06
1024, End, 79, 1.129e-06
1024, End, 80, 1.116e-06
1024, End, 81, 1.093e-06
1024, End, 82, 1.1e-06
1024, End, 83, 1.154e-06
1024, End, 84, 1.116e-06
1024, End, 85, 1.097e-06
1024, End, 86, 1.131e-06
1024, End, 87, 1.125e-06
1024, End, 88, 1.124e-06
1024, End, 89, 1.128e-06
1024, End, 90, 1.13e-06
1024, End, 91, 1.13e-06
1024, End, 92, 1.134e-06
1024, End, 93, 1.091e-06
1024, End, 94, 1.117e-06
1024, End, 95, 1.154e-06
1024, End, 96, 1.179e-06
1024, End, 97, 1.213e-06
1024, End, 98, 1.322e-06
1024, End, 99, 1.123e-06
1024, End, 100, 1.114e-06
2048, End, 1, 2.085e-06
2048, End, 2, 2e-06
2048, End, 3, 2.065e-06
2048, End, 4, 2.049e-06
2048, End, 5, 2.029e-06
2048, End, 6, 2.027e-06
2048, End, 7, 2.008e-06
2048, End, 8, 2.182e-06
2048, End, 9, 2.015e-06
2048, End, 10, 2.039e-06
2048, End, 11, 2.018e-06
2048, End, 12, 2.047e-06
2048, End, 13, 1.996e-06
2048, End, 14, 2.029e-06
2048, End, 15, 2.045e-06
2048, End, 16, 2.039e-06
2048, End, 17, 2.031e-06
2048, End, 18, 2.042e-06
2048, End, 19, 2.069e-06
2048, End, 20, 2.074e-06
2048, End, 21, 2.049e-06
2048, End, 22, 2.044e-06
2048, End, 23, 2.058e-06
2048, End, 24, 2.077e-06
2048, End, 25, 2.067e-06
2048, End, 26, 2.19e-06
2048, End, 27, 2.155e-06
2048, End, 28, 2.003e-06
2048, End, 29, 2.018e-06
2048, End, 30, 2.05e-06
2048, End, 31, 1.992e-06
2048, End, 32, 2.028e-06
2048, End, 33, 2.014e-06
2048, End, 34, 2.004e-06
2048, End, 35, 2.032e-06
2048, End, 36, 2.014e-06
2048, End, 37, 1.994e-06
2048, End, 38, 1.999e-06
2048, End, 39, 2.037e-06
2048, End, 40, 1.999e-06
2048, End, 41, 2.017e-06
2048, End, 42, 2.019e-06
2048, End, 43, 2.044e-06
2048, End, 44, 1.983e-06
2048, End, 45, 1.968e-06
2048, End, 46, 2.01e-06
2048, End, 47, 2.032e-06
2048, End, 48, 2.043e-06
2048, End, 49, 2.026e-06
2048, End, 50, 2.074e-06
2048, End, 51, 2.048e-06
2048, End, 52, 2.051e-06
2048, End, 53, 2.051e-06
2048, End, 54, 2.07e-06
2048, End, 55, 2.068e-06
2048, End, 56, 1.983e-06
2048, End, 57, 1.994e-06
2048, End, 58, 1.993e-06
2048, End, 59, 2.005e-06
2048, End, 60, 2.008e-06
2048, End, 61, 1.984e-06
2048, End, 62, 2.002e-06
2048, End, 63, 2.01e-06
2048, End, 64, 2e-06
2048, End, 65, 1.972e-06
2048, End, 66, 1.969e-06
2048, End, 67, 2.042e-06
2048, End, 68, 2.001e-06
2048, End, 69, 2.031e-06
2048, End, 70, 2.01e-06
2048, End, 71, 1.976e-06
2048, End, 72, 2.018e-06
2048, End, 73, 1.989e-06
2048, End, 74, 2.024e-06
2048, End, 75, 1.961e-06
2048, End, 76, 1.98e-06
2048, End, 77, 1.956e-06
2048, End, 78, 1.985e-06
2048, End, 79, 1.997e-06
2048, End, 80, 1.976e-06
2048, End, 81, 1.998e-06
2048, End, 82, 1.994e-06
2048, End, 83, 1.983e-06
2048, End, 84, 1.962e-06
2048, End, 85, 1.966e-06
2048, End, 86, 1.994e-06
2048, End, 87, 1.963e-06
2048, End, 88, 1.982e-06
2048, End, 89, 1.986e-06
2048, End, 90, 1.972e-06
2048, End, 91, 1.955e-06
2048, End, 92, 2.062e-06
2048, End, 93, 1.982e-06
2048, End, 94, 1.982e-06
2048, End, 95, 1.97e-06
2048, End, 96, 1.983e-06
2048, End, 97, 1.955e-06
2048, End, 98, 2.065e-06
2048, End, 99, 1.955e-06
2048, End, 100, 1.981e-06
4096, End, 1, 2.842e-06
4096, End, 2, 2.857e-06
4096, End, 3, 3.014e-06
4096, End, 4, 2.996e-06
4096, End, 5, 3.119e-06
4096, End, 6, 2.917e-06
4096, End, 7, 2.901e-06
4096, End, 8, 2.925e-06
4096, End, 9, 2.868e-06
4096, End, 10, 3.028e-06
4096, End, 11, 3.047e-06
4096, End, 12, 2.936e-06
4096, End, 13, 3.078e-06
4096, End, 14, 2.963e-06
4096, End, 15, 2.944e-06
4096, End, 16, 2.864e-06
4096, End, 17, 3.031e-06
4096, End, 18, 2.987e-06
4096, End, 19, 3.005e-06
4096, End, 20, 2.86e-06
4096, End, 21, 2.946e-06
4096, End, 22, 2.884e-06
4096, End, 23, 2.906e-06
4096, End, 24, 2.868e-06
4096, End, 25, 2.908e-06
4096, End, 26, 2.858e-06
4096, End, 27, 3.033e-06
4096, End, 28, 2.918e-06
4096, End, 29, 2.921e-06
4096, End, 30, 2.958e-06
4096, End, 31, 2.892e-06
4096, End, 32, 2.966e-06
4096, End, 33, 2.864e-06
4096, End, 34, 2.932e-06
4096, End, 35, 2.918e-06
4096, End, 36, 2.957e-06
4096, End, 37, 2.98e-06
4096, End, 38, 2.878e-06
4096, End, 39, 2.899e-06
4096, End, 40, 3.035e-06
4096, End, 41, 3.001e-06
4096, End, 42, 2.989e-06
4096, End, 43, 3.034e-06
4096, End, 44, 2.96e-06
4096, End, 45, 2.914e-06
4096, End, 46, 2.902e-06
4096, End, 47, 3.013e-06
4096, End, 48, 2.864e-06
4096, End, 49, 3.17e-06
4096, End, 50, 3.048e-06
4096, End, 51, 2.97e-06
4096, End, 52, 2.938e-06
4096, End, 53, 2.965e-06
4096, End, 54, 2.939e-06
4096, End, 55, 3.351e-06
4096, End, 56, 3.191e-06
4096, End, 57, 3.003e-06
4096, End, 58, 2.912e-06
4096, End, 59, 3.104e-06
4096, End, 60, 3.048e-06
4096, End, 61, 3.016e-06
4096, End, 62, 2.957e-06
4096, End, 63, 2.957e-06
4096, End, 64, 3.036e-06
4096, End, 65, 2.85e-06
4096, End, 66, 2.965e-06
4096, End, 67, 2.884e-06
4096, End, 68, 2.907e-06
4096, End, 69, 3.068e-06
4096, End, 70, 2.982e-06
4096, End, 71, 2.862e-06
4096, End, 72, 2.952e-06
4096, End, 73, 2.81e-06
4096, End, 74, 2.858e-06
4096, End, 75, 3.082e-06
4096, End, 76, 3.092e-06
4096, End, 77, 2.868e-06
4096, End, 78, 2.99e-06
4096, End, 79, 2.766e-06
4096, End, 80, 2.888e-06
4096, End, 81, 2.875e-06
4096, End, 82, 2.983e-06
4096, End, 83, 2.933e-06
4096, End, 84, 3.099e-06
4096, End, 85, 2.883e-06
4096, End, 86, 2.876e-06
4096, End, 87, 2.921e-06
4096, End, 88, 2.942e-06
4096, End, 89, 3.043e-06
4096, End, 90, 3.146e-06
4096, End, 91, 2.985e-06
4096, End, 92, 2.956e-06
4096, End, 93, 3.019e-06
4096, End, 94, 3.115e-06
4096, End, 95, 2.84e-06
4096, End, 96, 2.902e-06
4096, End, 97, 2.885e-06
4096, End, 98, 2.94e-06
4096, End, 99, 2.877e-06
4096, End, 100, 2.875e-06
8192, End, 1, 6.93e-06
