JOBID=28636
Size, Timepoint, Index, Time
1024, End, 1, 1.829e-06
1024, End, 2, 1.791e-06
1024, End, 3, 1.8e-06
1024, End, 4, 1.686e-06
1024, End, 5, 1.812e-06
1024, End, 6, 1.824e-06
1024, End, 7, 1.836e-06
1024, End, 8, 1.756e-06
1024, End, 9, 1.8e-06
1024, End, 10, 1.701e-06
1024, End, 11, 1.92e-06
1024, End, 12, 1.734e-06
1024, End, 13, 1.691e-06
1024, End, 14, 1.823e-06
1024, End, 15, 1.874e-06
1024, End, 16, 1.797e-06
1024, End, 17, 1.74e-06
1024, End, 18, 1.923e-06
1024, End, 19, 1.891e-06
1024, End, 20, 1.788e-06
1024, End, 21, 1.73e-06
1024, End, 22, 1.742e-06
1024, End, 23, 1.829e-06
1024, End, 24, 1.823e-06
1024, End, 25, 1.738e-06
1024, End, 26, 1.73e-06
1024, End, 27, 2.242e-06
1024, End, 28, 1.927e-06
1024, End, 29, 1.844e-06
1024, End, 30, 1.912e-06
1024, End, 31, 1.967e-06
1024, End, 32, 1.892e-06
1024, End, 33, 1.928e-06
1024, End, 34, 1.76e-06
1024, End, 35, 1.693e-06
1024, End, 36, 1.779e-06
1024, End, 37, 1.774e-06
1024, End, 38, 1.814e-06
1024, End, 39, 1.739e-06
1024, End, 40, 1.837e-06
1024, End, 41, 1.846e-06
1024, End, 42, 1.786e-06
1024, End, 43, 1.86e-06
1024, End, 44, 1.724e-06
1024, End, 45, 1.86e-06
1024, End, 46, 1.684e-06
1024, End, 47, 1.78e-06
1024, End, 48, 1.781e-06
1024, End, 49, 1.911e-06
1024, End, 50, 1.925e-06
1024, End, 51, 1.877e-06
1024, End, 52, 1.769e-06
1024, End, 53, 1.843e-06
1024, End, 54, 1.896e-06
1024, End, 55, 1.896e-06
1024, End, 56, 1.89e-06
1024, End, 57, 1.601e-06
1024, End, 58, 1.823e-06
1024, End, 59, 1.787e-06
1024, End, 60, 1.836e-06
1024, End, 61, 1.791e-06
1024, End, 62, 1.818e-06
1024, End, 63, 1.817e-06
1024, End, 64, 1.812e-06
1024, End, 65, 1.756e-06
1024, End, 66, 1.799e-06
1024, End, 67, 1.701e-06
1024, End, 68, 1.786e-06
1024, End, 69, 1.699e-06
1024, End, 70, 2.411e-06
1024, End, 71, 1.98e-06
1024, End, 72, 2.021e-06
1024, End, 73, 1.621e-06
1024, End, 74, 1.785e-06
1024, End, 75, 1.932e-06
1024, End, 76, 1.936e-06
1024, End, 77, 1.896e-06
1024, End, 78, 1.926e-06
1024, End, 79, 1.753e-06
1024, End, 80, 1.818e-06
1024, End, 81, 1.715e-06
1024, End, 82, 1.996e-06
1024, End, 83, 1.8e-06
1024, End, 84, 1.657e-06
1024, End, 85, 1.926e-06
1024, End, 86, 1.84e-06
1024, End, 87, 2.065e-06
1024, End, 88, 1.831e-06
1024, End, 89, 2.034e-06
1024, End, 90, 1.809e-06
1024, End, 91, 1.85e-06
1024, End, 92, 2.134e-06
1024, End, 93, 1.837e-06
1024, End, 94, 1.955e-06
1024, End, 95, 1.767e-06
1024, End, 96, 1.709e-06
1024, End, 97, 1.83e-06
1024, End, 98, 1.988e-06
1024, End, 99, 1.966e-06
1024, End, 100, 1.881e-06
2048, End, 1, 3.114e-06
2048, End, 2, 2.982e-06
2048, End, 3, 3.181e-06
2048, End, 4, 3.27e-06
2048, End, 5, 3.082e-06
2048, End, 6, 3.28e-06
2048, End, 7, 3.364e-06
2048, End, 8, 3.006e-06
2048, End, 9, 3.238e-06
2048, End, 10, 3.156e-06
2048, End, 11, 3.053e-06
2048, End, 12, 3.005e-06
2048, End, 13, 3.026e-06
2048, End, 14, 3.484e-06
2048, End, 15, 3.454e-06
2048, End, 16, 3.111e-06
2048, End, 17, 3.142e-06
2048, End, 18, 3.323e-06
2048, End, 19, 2.912e-06
2048, End, 20, 2.917e-06
2048, End, 21, 3.284e-06
2048, End, 22, 3.112e-06
2048, End, 23, 3.038e-06
2048, End, 24, 3.224e-06
2048, End, 25, 3.032e-06
2048, End, 26, 3.208e-06
2048, End, 27, 3.135e-06
2048, End, 28, 2.942e-06
2048, End, 29, 3.232e-06
2048, End, 30, 3.122e-06
2048, End, 31, 3.287e-06
2048, End, 32, 3.072e-06
2048, End, 33, 3.027e-06
2048, End, 34, 3.028e-06
2048, End, 35, 3.353e-06
2048, End, 36, 3.177e-06
2048, End, 37, 2.888e-06
2048, End, 38, 3.268e-06
2048, End, 39, 2.814e-06
2048, End, 40, 3.097e-06
2048, End, 41, 2.972e-06
2048, End, 42, 3.627e-06
2048, End, 43, 3.254e-06
2048, End, 44, 3.428e-06
2048, End, 45, 3.048e-06
2048, End, 46, 3.267e-06
2048, End, 47, 3.136e-06
2048, End, 48, 2.866e-06
2048, End, 49, 3.36e-06
2048, End, 50, 3.141e-06
2048, End, 51, 2.938e-06
2048, End, 52, 3.054e-06
2048, End, 53, 3.247e-06
2048, End, 54, 3.112e-06
2048, End, 55, 3.058e-06
2048, End, 56, 3.41e-06
2048, End, 57, 3.314e-06
2048, End, 58, 3.56e-06
2048, End, 59, 2.84e-06
2048, End, 60, 2.934e-06
2048, End, 61, 3.203e-06
2048, End, 62, 3.165e-06
2048, End, 63, 3.39e-06
2048, End, 64, 3.163e-06
2048, End, 65, 2.948e-06
2048, End, 66, 3.018e-06
2048, End, 67, 3.053e-06
2048, End, 68, 3.374e-06
2048, End, 69, 3.285e-06
2048, End, 70, 3.099e-06
2048, End, 71, 3.054e-06
2048, End, 72, 3.216e-06
2048, End, 73, 3.34e-06
2048, End, 74, 3.027e-06
2048, End, 75, 3.188e-06
2048, End, 76, 3.594e-06
2048, End, 77, 3.4e-06
2048, End, 78, 3.431e-06
2048, End, 79, 3.16e-06
2048, End, 80, 3.348e-06
2048, End, 81, 3.115e-06
2048, End, 82, 3.175e-06
2048, End, 83, 3.538e-06
2048, End, 84, 3.026e-06
2048, End, 85, 3.407e-06
2048, End, 86, 3.23e-06
2048, End, 87, 3.22e-06
2048, End, 88, 2.797e-06
2048, End, 89, 3.074e-06
2048, End, 90, 3.01e-06
2048, End, 91, 3.095e-06
2048, End, 92, 2.99e-06
2048, End, 93, 3.107e-06
2048, End, 94, 3.002e-06
2048, End, 95, 3.201e-06
2048, End, 96, 2.847e-06
2048, End, 97, 2.946e-06
2048, End, 98, 3.07e-06
2048, End, 99, 3.088e-06
2048, End, 100, 2.928e-06
4096, End, 1, 6.055e-06
4096, End, 2, 6.033e-06
4096, End, 3, 6.218e-06
4096, End, 4, 5.878e-06
4096, End, 5, 5.966e-06
4096, End, 6, 6.862e-06
4096, End, 7, 5.784e-06
4096, End, 8, 6.942e-06
4096, End, 9, 5.924e-06
4096, End, 10, 6.422e-06
4096, End, 11, 6.004e-06
4096, End, 12, 5.93e-06
4096, End, 13, 6.353e-06
4096, End, 14, 6.104e-06
4096, End, 15, 6.293e-06
4096, End, 16, 5.856e-06
4096, End, 17, 6.591e-06
4096, End, 18, 5.967e-06
4096, End, 19, 6.417e-06
4096, End, 20, 6.907e-06
4096, End, 21, 6.178e-06
4096, End, 22, 6.282e-06
4096, End, 23, 6.234e-06
4096, End, 24, 6.281e-06
4096, End, 25, 6.453e-06
4096, End, 26, 6.072e-06
4096, End, 27, 6.39e-06
4096, End, 28, 6.351e-06
4096, End, 29, 6.254e-06
4096, End, 30, 6.006e-06
4096, End, 31, 6.201e-06
4096, End, 32, 5.745e-06
4096, End, 33, 6.686e-06
4096, End, 34, 6.276e-06
4096, End, 35, 6.854e-06
4096, End, 36, 6.824e-06
4096, End, 37, 6.89e-06
4096, End, 38, 6.237e-06
4096, End, 39, 5.698e-06
4096, End, 40, 6.274e-06
4096, End, 41, 6.062e-06
4096, End, 42, 6.695e-06
4096, End, 43, 6.043e-06
4096, End, 44, 5.72e-06
4096, End, 45, 6.62e-06
4096, End, 46, 5.577e-06
4096, End, 47, 6.064e-06
4096, End, 48, 5.81e-06
4096, End, 49, 6.138e-06
4096, End, 50, 5.84e-06
4096, End, 51, 5.945e-06
4096, End, 52, 6.127e-06
4096, End, 53, 6.109e-06
4096, End, 54, 5.76e-06
4096, End, 55, 5.881e-06
4096, End, 56, 6.096e-06
4096, End, 57, 6.245e-06
4096, End, 58, 6.027e-06
4096, End, 59, 5.641e-06
4096, End, 60, 5.872e-06
4096, End, 61, 5.759e-06
4096, End, 62, 6.854e-06
4096, End, 63, 6.473e-06
4096, End, 64, 6.364e-06
4096, End, 65, 5.766e-06
4096, End, 66, 5.831e-06
4096, End, 67, 5.694e-06
4096, End, 68, 5.39e-06
4096, End, 69, 5.889e-06
4096, End, 70, 5.462e-06
4096, End, 71, 5.885e-06
4096, End, 72, 5.763e-06
4096, End, 73, 5.969e-06
4096, End, 74, 5.514e-06
4096, End, 75, 5.603e-06
4096, End, 76, 5.449e-06
4096, End, 77, 5.567e-06
4096, End, 78, 5.911e-06
4096, End, 79, 5.834e-06
4096, End, 80, 6.016e-06
4096, End, 81, 5.521e-06
4096, End, 82, 6.124e-06
4096, End, 83, 5.636e-06
4096, End, 84, 5.593e-06
4096, End, 85, 6.262e-06
4096, End, 86, 5.393e-06
4096, End, 87, 5.942e-06
4096, End, 88, 5.906e-06
4096, End, 89, 5.636e-06
4096, End, 90, 5.761e-06
4096, End, 91, 5.654e-06
4096, End, 92, 6.165e-06
4096, End, 93, 5.668e-06
4096, End, 94, 5.752e-06
4096, End, 95, 5.861e-06
4096, End, 96, 5.448e-06
4096, End, 97, 5.827e-06
4096, End, 98, 6.062e-06
4096, End, 99, 5.518e-06
4096, End, 100, 6.189e-06
8192, End, 1, 1.4009e-05
8192, End, 2, 1.4474e-05
8192, End, 3, 1.4629e-05
8192, End, 4, 1.4109e-05
8192, End, 5, 1.4044e-05
8192, End, 6, 1.4723e-05
