JOBID=28641
Size, Timepoint, Index, Time
1024, End, 1, 4.27e-06
1024, End, 2, 5.343e-06
1024, End, 3, 6.043e-06
1024, End, 4, 6.172e-06
1024, End, 5, 1.5904e-05
1024, End, 6, 3.782e-06
1024, End, 7, 7.425e-06
1024, End, 8, 3.884e-06
1024, End, 9, 2.69e-06
1024, End, 10, 2.663e-06
1024, End, 11, 4.271e-06
1024, End, 12, 1.0925e-05
1024, End, 13, 2.77e-06
1024, End, 14, 2.881e-06
1024, End, 15, 3.039e-06
1024, End, 16, 2.688e-06
1024, End, 17, 2.661e-06
1024, End, 18, 3.201e-06
1024, End, 19, 3.126e-06
1024, End, 20, 3.148e-06
1024, End, 21, 3.944e-06
1024, End, 22, 2.872e-06
1024, End, 23, 3.452e-06
1024, End, 24, 3.43e-06
1024, End, 25, 2.636e-06
1024, End, 26, 3.137e-06
1024, End, 27, 3.852e-06
1024, End, 28, 2.877e-06
1024, End, 29, 2.824e-06
1024, End, 30, 4.019e-06
1024, End, 31, 2.904e-06
1024, End, 32, 4.065e-06
1024, End, 33, 8.714e-06
1024, End, 34, 4.263e-06
1024, End, 35, 3.148e-06
1024, End, 36, 3.868e-06
1024, End, 37, 3.418e-06
1024, End, 38, 4.246e-06
1024, End, 39, 3.419e-06
1024, End, 40, 2.61e-06
1024, End, 41, 3.73e-06
1024, End, 42, 2.856e-06
1024, End, 43, 2.827e-06
1024, End, 44, 3.071e-06
1024, End, 45, 2.61e-06
1024, End, 46, 2.608e-06
1024, End, 47, 4.048e-06
1024, End, 48, 2.703e-06
1024, End, 49, 3.539e-06
1024, End, 50, 3.763e-06
1024, End, 51, 2.12e-06
1024, End, 52, 3.285e-06
1024, End, 53, 4.856e-06
1024, End, 54, 2.929e-06
1024, End, 55, 3.431e-06
1024, End, 56, 4.67e-06
1024, End, 57, 4.791e-06
1024, End, 58, 3.99e-06
1024, End, 59, 4.272e-06
1024, End, 60, 3.729e-06
1024, End, 61, 2.793e-06
1024, End, 62, 3.961e-06
1024, End, 63, 3.49e-06
1024, End, 64, 2.911e-06
1024, End, 65, 3.644e-06
1024, End, 66, 3.031e-06
1024, End, 67, 4.368e-06
1024, End, 68, 3.663e-06
1024, End, 69, 4.671e-06
1024, End, 70, 2.787e-06
1024, End, 71, 3.079e-06
1024, End, 72, 2.663e-06
1024, End, 73, 3.43e-06
1024, End, 74, 3.974e-06
1024, End, 75, 2.889e-06
1024, End, 76, 2.719e-06
1024, End, 77, 4.407e-06
1024, End, 78, 3.088e-06
1024, End, 79, 2.608e-06
1024, End, 80, 3.984e-06
1024, End, 81, 3.954e-06
1024, End, 82, 3.206e-06
1024, End, 83, 2.938e-06
1024, End, 84, 3.933e-06
1024, End, 85, 3.037e-06
1024, End, 86, 2.876e-06
1024, End, 87, 3.8e-06
1024, End, 88, 2.982e-06
1024, End, 89, 2.601e-06
1024, End, 90, 3.106e-06
1024, End, 91, 2.777e-06
1024, End, 92, 3.695e-06
1024, End, 93, 2.585e-06
1024, End, 94, 4.77e-06
1024, End, 95, 3.763e-06
1024, End, 96, 3.025e-06
1024, End, 97, 2.972e-06
1024, End, 98, 3.331e-06
1024, End, 99, 4.268e-06
1024, End, 100, 3.388e-06
2048, End, 1, 3.09e-06
2048, End, 2, 7.015e-06
2048, End, 3, 6.872e-06
2048, End, 4, 5.749e-06
2048, End, 5, 4.467e-06
2048, End, 6, 5.347e-06
2048, End, 7, 5.918e-06
2048, End, 8, 2.629e-06
2048, End, 9, 4.574e-06
2048, End, 10, 4.369e-06
2048, End, 11, 5.694e-06
2048, End, 12, 4.625e-06
2048, End, 13, 3.008e-06
2048, End, 14, 4.34e-06
2048, End, 15, 4.261e-06
2048, End, 16, 3.694e-06
2048, End, 17, 3.848e-06
2048, End, 18, 4.772e-06
