JOBID=28643
Size, Timepoint, Index, Time
1024, End, 1, 1.985e-06
1024, End, 2, 1.861e-06
1024, End, 3, 1.987e-06
1024, End, 4, 1.978e-06
1024, End, 5, 1.858e-06
1024, End, 6, 1.925e-06
1024, End, 7, 2.059e-06
1024, End, 8, 1.888e-06
1024, End, 9, 1.987e-06
1024, End, 10, 1.851e-06
1024, End, 11, 1.991e-06
1024, End, 12, 1.991e-06
1024, End, 13, 1.825e-06
1024, End, 14, 1.99e-06
1024, End, 15, 2.011e-06
1024, End, 16, 1.85e-06
1024, End, 17, 1.887e-06
1024, End, 18, 2.11e-06
1024, End, 19, 1.992e-06
1024, End, 20, 1.958e-06
1024, End, 21, 1.888e-06
1024, End, 22, 1.902e-06
1024, End, 23, 1.949e-06
1024, End, 24, 2.411e-06
1024, End, 25, 1.963e-06
1024, End, 26, 1.913e-06
1024, End, 27, 2.063e-06
1024, End, 28, 1.966e-06
1024, End, 29, 1.914e-06
1024, End, 30, 1.987e-06
1024, End, 31, 1.993e-06
1024, End, 32, 1.837e-06
1024, End, 33, 2.004e-06
1024, End, 34, 1.898e-06
1024, End, 35, 1.892e-06
1024, End, 36, 1.877e-06
1024, End, 37, 1.938e-06
1024, End, 38, 2.071e-06
1024, End, 39, 1.917e-06
1024, End, 40, 2.002e-06
1024, End, 41, 1.936e-06
1024, End, 42, 1.918e-06
1024, End, 43, 2.016e-06
1024, End, 44, 1.972e-06
1024, End, 45, 1.916e-06
1024, End, 46, 1.849e-06
1024, End, 47, 1.965e-06
1024, End, 48, 1.903e-06
1024, End, 49, 1.972e-06
1024, End, 50, 2.003e-06
1024, End, 51, 1.944e-06
1024, End, 52, 1.893e-06
1024, End, 53, 1.964e-06
1024, End, 54, 1.952e-06
1024, End, 55, 1.888e-06
1024, End, 56, 2.012e-06
1024, End, 57, 1.874e-06
1024, End, 58, 2.006e-06
1024, End, 59, 1.93e-06
1024, End, 60, 1.95e-06
1024, End, 61, 1.93e-06
1024, End, 62, 1.853e-06
1024, End, 63, 2.001e-06
1024, End, 64, 1.96e-06
1024, End, 65, 1.857e-06
1024, End, 66, 2.104e-06
1024, End, 67, 1.876e-06
1024, End, 68, 1.99e-06
1024, End, 69, 1.969e-06
1024, End, 70, 2.134e-06
1024, End, 71, 2.369e-06
1024, End, 72, 2.246e-06
1024, End, 73, 1.798e-06
1024, End, 74, 1.939e-06
1024, End, 75, 2.027e-06
1024, End, 76, 1.995e-06
1024, End, 77, 1.994e-06
1024, End, 78, 1.952e-06
1024, End, 79, 2.027e-06
1024, End, 80, 1.953e-06
1024, End, 81, 1.879e-06
1024, End, 82, 1.96e-06
1024, End, 83, 1.879e-06
1024, End, 84, 1.859e-06
1024, End, 85, 1.95e-06
1024, End, 86, 1.868e-06
1024, End, 87, 2.039e-06
1024, End, 88, 2.019e-06
