JOBID=28642
Size, Timepoint, Index, Time
1024, End, 1, 7.681e-06
1024, End, 2, 6.922e-06
1024, End, 3, 3.046e-06
1024, End, 4, 6.496e-06
1024, End, 5, 1.1368e-05
1024, End, 6, 6.236e-06
1024, End, 7, 5.218e-06
1024, End, 8, 7.202e-06
1024, End, 9, 5.374e-06
1024, End, 10, 5.96e-06
1024, End, 11, 4.752e-06
1024, End, 12, 4.758e-06
1024, End, 13, 4.953e-06
1024, End, 14, 5.116e-06
1024, End, 15, 5.713e-06
1024, End, 16, 3.253e-06
1024, End, 17, 4.03e-06
1024, End, 18, 3.834e-06
1024, End, 19, 3.776e-06
1024, End, 20, 4.523e-06
1024, End, 21, 5.416e-06
1024, End, 22, 4.664e-06
1024, End, 23, 5.62e-06
1024, End, 24, 3.893e-06
1024, End, 25, 6.961e-06
1024, End, 26, 1.6863e-05
1024, End, 27, 4.432e-06
1024, End, 28, 3.153e-06
1024, End, 29, 4.152e-06
1024, End, 30, 4.216e-06
1024, End, 31, 4.053e-06
1024, End, 32, 4.37e-06
1024, End, 33, 4.961e-06
1024, End, 34, 4.225e-06
1024, End, 35, 5.751e-06
1024, End, 36, 4.604e-06
1024, End, 37, 4.124e-06
1024, End, 38, 4.122e-06
1024, End, 39, 5.223e-06
1024, End, 40, 4.221e-06
1024, End, 41, 3.519e-06
1024, End, 42, 4.447e-06
1024, End, 43, 4.346e-06
1024, End, 44, 4.914e-06
1024, End, 45, 5.093e-06
1024, End, 46, 5.112e-06
1024, End, 47, 4.949e-06
1024, End, 48, 4.275e-06
1024, End, 49, 4.129e-06
1024, End, 50, 5.026e-06
1024, End, 51, 6.924e-06
1024, End, 52, 4.986e-06
1024, End, 53, 4.167e-06
1024, End, 54, 4.283e-06
1024, End, 55, 4.78e-06
1024, End, 56, 4.599e-06
1024, End, 57, 4.874e-06
1024, End, 58, 4.163e-06
1024, End, 59, 3.602e-06
1024, End, 60, 4.335e-06
1024, End, 61, 1.6473e-05
1024, End, 62, 5.639e-06
1024, End, 63, 3.722e-06
1024, End, 64, 3.74e-06
1024, End, 65, 4.268e-06
1024, End, 66, 3.876e-06
1024, End, 67, 4.386e-06
1024, End, 68, 3.66e-06
1024, End, 69, 4.138e-06
1024, End, 70, 4.25e-06
1024, End, 71, 4.705e-06
1024, End, 72, 3.968e-06
1024, End, 73, 3.586e-06
1024, End, 74, 4.369e-06
1024, End, 75, 4.659e-06
1024, End, 76, 4.31e-06
1024, End, 77, 5.699e-06
1024, End, 78, 4.624e-06
1024, End, 79, 4.45e-06
1024, End, 80, 5.001e-06
1024, End, 81, 4.377e-06
1024, End, 82, 4.993e-06
1024, End, 83, 2.656e-06
1024, End, 84, 4.09e-06
1024, End, 85, 1.6034e-05
1024, End, 86, 4.634e-06
1024, End, 87, 4.5e-06
1024, End, 88, 3.764e-06
1024, End, 89, 3.973e-06
1024, End, 90, 3.877e-06
1024, End, 91, 7.329e-06
1024, End, 92, 4.034e-06
1024, End, 93, 4.448e-06
1024, End, 94, 3.432e-06
1024, End, 95, 4.47e-06
1024, End, 96, 4.948e-06
1024, End, 97, 3.645e-06
1024, End, 98, 3.747e-06
1024, End, 99, 3.768e-06
1024, End, 100, 3.474e-06
2048, End, 1, 6.397e-06
2048, End, 2, 1.0436e-05
2048, End, 3, 6.351e-06
2048, End, 4, 7.634e-06
2048, End, 5, 7.598e-06
2048, End, 6, 7.02e-06
2048, End, 7, 7.575e-06
2048, End, 8, 7.213e-06
2048, End, 9, 4.966e-06
2048, End, 10, 6.235e-06
2048, End, 11, 5.302e-06
2048, End, 12, 4.982e-06
2048, End, 13, 5.156e-06
2048, End, 14, 5.773e-06
2048, End, 15, 4.745e-06
2048, End, 16, 5.081e-06
2048, End, 17, 5.474e-06
2048, End, 18, 7.464e-06
2048, End, 19, 5.975e-06
2048, End, 20, 5.693e-06
2048, End, 21, 5.117e-06
2048, End, 22, 4.968e-06
2048, End, 23, 6.196e-06
2048, End, 24, 5.916e-06
2048, End, 25, 5.394e-06
2048, End, 26, 5.282e-06
2048, End, 27, 4.926e-06
2048, End, 28, 4.867e-06
2048, End, 29, 5.486e-06
2048, End, 30, 5.906e-06
2048, End, 31, 4.55e-06
2048, End, 32, 4.608e-06
2048, End, 33, 4.525e-06
2048, End, 34, 5.916e-06
2048, End, 35, 5.106e-06
2048, End, 36, 4.266e-06
2048, End, 37, 6.093e-06
2048, End, 38, 4.912e-06
2048, End, 39, 5.492e-06
2048, End, 40, 5.371e-06
2048, End, 41, 4.807e-06
2048, End, 42, 6.362e-06
2048, End, 43, 5.13e-06
2048, End, 44, 5.357e-06
2048, End, 45, 6.174e-06
2048, End, 46, 5.014e-06
2048, End, 47, 5.943e-06
2048, End, 48, 4.772e-06
2048, End, 49, 5.795e-06
2048, End, 50, 5.428e-06
2048, End, 51, 5.796e-06
2048, End, 52, 6.019e-06
2048, End, 53, 5.615e-06
2048, End, 54, 4.425e-06
2048, End, 55, 4.987e-06
2048, End, 56, 4.381e-06
2048, End, 57, 5.565e-06
2048, End, 58, 4.629e-06
2048, End, 59, 6.018e-06
2048, End, 60, 4.761e-06
2048, End, 61, 5.634e-06
2048, End, 62, 5.567e-06
2048, End, 63, 4.246e-06
2048, End, 64, 5.307e-06
2048, End, 65, 5.376e-06
2048, End, 66, 6.044e-06
2048, End, 67, 4.551e-06
2048, End, 68, 5.168e-06
2048, End, 69, 6.993e-06
2048, End, 70, 4.915e-06
2048, End, 71, 5.465e-06
2048, End, 72, 5.65e-06
2048, End, 73, 5.145e-06
2048, End, 74, 4.564e-06
2048, End, 75, 4.877e-06
2048, End, 76, 4.181e-06
2048, End, 77, 5.377e-06
2048, End, 78, 5.531e-06
2048, End, 79, 4.07e-06
2048, End, 80, 5.723e-06
2048, End, 81, 4.014e-06
2048, End, 82, 5.051e-06
2048, End, 83, 5.896e-06
2048, End, 84, 5.766e-06
2048, End, 85, 4.337e-06
2048, End, 86, 5.723e-06
2048, End, 87, 5.087e-06
2048, End, 88, 4.902e-06
2048, End, 89, 5.583e-06
2048, End, 90, 5.139e-06
2048, End, 91, 6.55e-06
2048, End, 92, 5.355e-06
2048, End, 93, 5.2e-06
2048, End, 94, 4.975e-06
2048, End, 95, 4.927e-06
2048, End, 96, 4.83e-06
2048, End, 97, 4.272e-06
2048, End, 98, 5.724e-06
2048, End, 99, 4.804e-06
2048, End, 100, 4.832e-06
4096, End, 1, 9.998e-06
4096, End, 2, 1.1788e-05
4096, End, 3, 1.1433e-05
4096, End, 4, 1.0446e-05
4096, End, 5, 8.546e-06
4096, End, 6, 9.024e-06
4096, End, 7, 7.453e-06
4096, End, 8, 8.001e-06
4096, End, 9, 8.331e-06
4096, End, 10, 8.348e-06
4096, End, 11, 7.094e-06
4096, End, 12, 7.655e-06
4096, End, 13, 7.098e-06
4096, End, 14, 8.117e-06
4096, End, 15, 6.833e-06
4096, End, 16, 8.086e-06
4096, End, 17, 8.18e-06
4096, End, 18, 9.172e-06
4096, End, 19, 7.599e-06
4096, End, 20, 7.699e-06
4096, End, 21, 7.59e-06
4096, End, 22, 8.377e-06
4096, End, 23, 8.099e-06
4096, End, 24, 7.41e-06
4096, End, 25, 7.565e-06
4096, End, 26, 7.054e-06
4096, End, 27, 7.582e-06
4096, End, 28, 7.051e-06
4096, End, 29, 8.086e-06
4096, End, 30, 6.747e-06
4096, End, 31, 7.44e-06
4096, End, 32, 6.918e-06
4096, End, 33, 7.752e-06
4096, End, 34, 7.646e-06
4096, End, 35, 7.105e-06
4096, End, 36, 7.059e-06
4096, End, 37, 7.142e-06
4096, End, 38, 6.967e-06
4096, End, 39, 7.875e-06
4096, End, 40, 6.6e-06
4096, End, 41, 7.051e-06
4096, End, 42, 7.846e-06
4096, End, 43, 6.977e-06
4096, End, 44, 7.493e-06
4096, End, 45, 7.117e-06
4096, End, 46, 7.269e-06
4096, End, 47, 7.214e-06
4096, End, 48, 7.794e-06
4096, End, 49, 7.761e-06
4096, End, 50, 7.226e-06
4096, End, 51, 8.17e-06
4096, End, 52, 6.898e-06
4096, End, 53, 7.239e-06
4096, End, 54, 7.153e-06
4096, End, 55, 7.44e-06
4096, End, 56, 7.933e-06
4096, End, 57, 6.88e-06
4096, End, 58, 6.644e-06
4096, End, 59, 7.714e-06
4096, End, 60, 7.338e-06
4096, End, 61, 8.121e-06
4096, End, 62, 7.438e-06
4096, End, 63, 7.222e-06
4096, End, 64, 6.954e-06
4096, End, 65, 7.734e-06
4096, End, 66, 7.958e-06
4096, End, 67, 6.501e-06
4096, End, 68, 7.789e-06
4096, End, 69, 7.457e-06
4096, End, 70, 7.586e-06
4096, End, 71, 7.446e-06
4096, End, 72, 7.039e-06
4096, End, 73, 6.941e-06
4096, End, 74, 7.242e-06
4096, End, 75, 7.218e-06
4096, End, 76, 6.867e-06
4096, End, 77, 7.139e-06
4096, End, 78, 7.059e-06
4096, End, 79, 7.017e-06
4096, End, 80, 7.353e-06
4096, End, 81, 6.834e-06
4096, End, 82, 6.801e-06
4096, End, 83, 7.456e-06
4096, End, 84, 6.977e-06
4096, End, 85, 7.623e-06
4096, End, 86, 8.208e-06
4096, End, 87, 7.097e-06
4096, End, 88, 7.054e-06
4096, End, 89, 6.803e-06
4096, End, 90, 7.107e-06
4096, End, 91, 6.715e-06
4096, End, 92, 6.382e-06
4096, End, 93, 7.06e-06
4096, End, 94, 7.358e-06
4096, End, 95, 7.644e-06
4096, End, 96, 8.013e-06
4096, End, 97, 6.798e-06
4096, End, 98, 8.326e-06
4096, End, 99, 7.696e-06
4096, End, 100, 7.479e-06
8192, End, 1, 1.418e-05
8192, End, 2, 1.2563e-05
8192, End, 3, 9.969e-06
8192, End, 4, 1.4124e-05
8192, End, 5, 1.3486e-05
8192, End, 6, 1.3916e-05
8192, End, 7, 1.1688e-05
8192, End, 8, 1.2268e-05
8192, End, 9, 1.1389e-05
8192, End, 10, 1.127e-05
8192, End, 11, 1.1254e-05
8192, End, 12, 1.1609e-05
8192, End, 13, 1.2393e-05
8192, End, 14, 1.2751e-05
