JOBID=29461
Nodes=2 Procs=4 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/atomics/mpi_atomic_inc --repetitions 100 -m root -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 3.2112e-05
0, 1, End, 2, 3.0796e-05
0, 1, End, 3, 3.1442e-05
0, 1, End, 4, 2.9968e-05
0, 1, End, 5, 4.712e-05
0, 1, End, 6, 3.0994e-05
0, 1, End, 7, 3.6563e-05
0, 1, End, 8, 3.1901e-05
0, 1, End, 9, 3.5123e-05
0, 1, End, 10, 3.0772e-05
0, 1, End, 11, 3.0933e-05
0, 1, End, 12, 3.0523e-05
0, 1, End, 13, 3.22e-05
0, 1, End, 14, 3.0525e-05
0, 1, End, 15, 3.0552e-05
0, 1, End, 16, 3.0929e-05
0, 1, End, 17, 3.229e-05
0, 1, End, 18, 3.1424e-05
0, 1, End, 19, 2.814e-05
0, 1, End, 20, 3.1244e-05
0, 1, End, 21, 2.9047e-05
0, 1, End, 22, 3.1915e-05
0, 1, End, 23, 3.2399e-05
0, 1, End, 24, 3.0553e-05
0, 1, End, 25, 3.2333e-05
0, 1, End, 26, 3.1113e-05
0, 1, End, 27, 3.3027e-05
0, 1, End, 28, 3.071e-05
0, 1, End, 29, 2.814e-05
0, 1, End, 30, 3.4559e-05
0, 1, End, 31, 3.1165e-05
0, 1, End, 32, 3.1448e-05
0, 1, End, 33, 3.2174e-05
0, 1, End, 34, 2.8399e-05
0, 1, End, 35, 3.1631e-05
0, 1, End, 36, 3.2027e-05
0, 1, End, 37, 3.1727e-05
0, 1, End, 38, 3.0686e-05
0, 1, End, 39, 3.1001e-05
0, 1, End, 40, 3.2905e-05
0, 1, End, 41, 2.8536e-05
0, 1, End, 42, 3.0773e-05
0, 1, End, 43, 3.0582e-05
0, 1, End, 44, 2.7811e-05
0, 1, End, 45, 3.0982e-05
0, 1, End, 46, 2.9442e-05
0, 1, End, 47, 3.0103e-05
0, 1, End, 48, 3.2286e-05
0, 1, End, 49, 3.1816e-05
0, 1, End, 50, 3.1514e-05
0, 1, End, 51, 3.1202e-05
0, 1, End, 52, 3.1636e-05
0, 1, End, 53, 2.8556e-05
0, 1, End, 54, 2.9461e-05
0, 1, End, 55, 3.1571e-05
0, 1, End, 56, 3.6073e-05
0, 1, End, 57, 3.1839e-05
0, 1, End, 58, 3.8096e-05
0, 1, End, 59, 4.2376e-05
0, 1, End, 60, 4.7224e-05
0, 1, End, 61, 3.2271e-05
0, 1, End, 62, 3.0628e-05
0, 1, End, 63, 3.0778e-05
0, 1, End, 64, 3.1524e-05
0, 1, End, 65, 3.2068e-05
0, 1, End, 66, 3.0834e-05
