JOBID=29458
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/atomics/upcxx_atomic_inc --repetitions 100 -m root -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 4.87e-07
0, 1, End, 2, 4.87e-07
0, 1, End, 3, 4.95e-07
0, 1, End, 4, 4.84e-07
0, 1, End, 5, 4.95e-07
0, 1, End, 6, 4.86e-07
0, 1, End, 7, 5.09e-07
0, 1, End, 8, 4.93e-07
0, 1, End, 9, 4.86e-07
0, 1, End, 10, 6.62e-07
0, 1, End, 11, 4.98e-07
0, 1, End, 12, 4.91e-07
0, 1, End, 13, 4.87e-07
0, 1, End, 14, 4.88e-07
0, 1, End, 15, 4.87e-07
0, 1, End, 16, 6.66e-07
0, 1, End, 17, 4.86e-07
0, 1, End, 18, 4.93e-07
0, 1, End, 19, 4.94e-07
0, 1, End, 20, 4.89e-07
0, 1, End, 21, 4.86e-07
0, 1, End, 22, 4.86e-07
0, 1, End, 23, 4.85e-07
0, 1, End, 24, 4.93e-07
0, 1, End, 25, 4.95e-07
0, 1, End, 26, 6.62e-07
0, 1, End, 27, 4.94e-07
0, 1, End, 28, 4.87e-07
0, 1, End, 29, 4.93e-07
0, 1, End, 30, 4.92e-07
0, 1, End, 31, 6.65e-07
0, 1, End, 32, 4.96e-07
0, 1, End, 33, 4.86e-07
0, 1, End, 34, 5.38e-07
0, 1, End, 35, 4.86e-07
0, 1, End, 36, 5.17e-07
0, 1, End, 37, 4.86e-07
0, 1, End, 38, 4.89e-07
0, 1, End, 39, 4.89e-07
0, 1, End, 40, 4.96e-07
0, 1, End, 41, 4.93e-07
0, 1, End, 42, 4.92e-07
0, 1, End, 43, 4.86e-07
0, 1, End, 44, 4.84e-07
0, 1, End, 45, 4.88e-07
0, 1, End, 46, 4.88e-07
0, 1, End, 47, 5.03e-07
0, 1, End, 48, 4.93e-07
0, 1, End, 49, 6.62e-07
0, 1, End, 50, 6.62e-07
0, 1, End, 51, 6.52e-07
0, 1, End, 52, 4.92e-07
0, 1, End, 53, 4.98e-07
0, 1, End, 54, 6.62e-07
0, 1, End, 55, 4.84e-07
0, 1, End, 56, 4.92e-07
0, 1, End, 57, 4.93e-07
0, 1, End, 58, 4.94e-07
0, 1, End, 59, 4.87e-07
0, 1, End, 60, 4.96e-07
0, 1, End, 61, 4.93e-07
0, 1, End, 62, 4.87e-07
0, 1, End, 63, 4.94e-07
0, 1, End, 64, 4.89e-07
0, 1, End, 65, 4.86e-07
0, 1, End, 66, 4.86e-07
0, 1, End, 67, 4.88e-07
0, 1, End, 68, 6.36e-07
0, 1, End, 69, 4.87e-07
0, 1, End, 70, 4.87e-07
0, 1, End, 71, 4.84e-07
0, 1, End, 72, 4.88e-07
0, 1, End, 73, 4.88e-07
0, 1, End, 74, 4.86e-07
0, 1, End, 75, 6.61e-07
0, 1, End, 76, 4.87e-07
0, 1, End, 77, 6.59e-07
0, 1, End, 78, 4.87e-07
0, 1, End, 79, 6.63e-07
0, 1, End, 80, 4.93e-07
0, 1, End, 81, 5.08e-07
0, 1, End, 82, 5.52e-07
0, 1, End, 83, 4.87e-07
0, 1, End, 84, 4.86e-07
0, 1, End, 85, 6.63e-07
0, 1, End, 86, 4.86e-07
0, 1, End, 87, 5.36e-07
0, 1, End, 88, 4.86e-07
0, 1, End, 89, 4.88e-07
0, 1, End, 90, 4.87e-07
0, 1, End, 91, 4.87e-07
0, 1, End, 92, 4.84e-07
0, 1, End, 93, 4.85e-07
0, 1, End, 94, 4.85e-07
0, 1, End, 95, 6.59e-07
0, 1, End, 96, 4.87e-07
0, 1, End, 97, 4.86e-07
0, 1, End, 98, 6.62e-07
0, 1, End, 99, 4.98e-07
0, 1, End, 100, 4.84e-07
0, 2, End, 1, 6.77e-07
0, 2, End, 2, 6.64e-07
0, 2, End, 3, 6.72e-07
0, 2, End, 4, 6.76e-07
0, 2, End, 5, 6.78e-07
0, 2, End, 6, 6.67e-07
0, 2, End, 7, 6.68e-07
0, 2, End, 8, 4.97e-07
0, 2, End, 9, 6.65e-07
0, 2, End, 10, 6.68e-07
0, 2, End, 11, 6.76e-07
0, 2, End, 12, 6.66e-07
0, 2, End, 13, 6.75e-07
0, 2, End, 14, 6.75e-07
0, 2, End, 15, 4.92e-07
0, 2, End, 16, 6.75e-07
0, 2, End, 17, 6.96e-07
0, 2, End, 18, 6.78e-07
0, 2, End, 19, 6.76e-07
0, 2, End, 20, 4.98e-07
0, 2, End, 21, 6.66e-07
0, 2, End, 22, 6.85e-07
0, 2, End, 23, 5.29e-07
0, 2, End, 24, 4.99e-07
0, 2, End, 25, 6.74e-07
0, 2, End, 26, 6.65e-07
0, 2, End, 27, 5.87e-07
0, 2, End, 28, 7.75e-07
0, 2, End, 29, 6.67e-07
0, 2, End, 30, 6.79e-07
0, 2, End, 31, 6.66e-07
0, 2, End, 32, 7.9e-07
0, 2, End, 33, 6.7e-07
0, 2, End, 34, 6.68e-07
0, 2, End, 35, 6.95e-07
0, 2, End, 36, 6.66e-07
0, 2, End, 37, 5.01e-07
0, 2, End, 38, 6.64e-07
0, 2, End, 39, 6.77e-07
0, 2, End, 40, 6.67e-07
0, 2, End, 41, 6.69e-07
0, 2, End, 42, 6.73e-07
0, 2, End, 43, 6.07e-07
0, 2, End, 44, 5.01e-07
0, 2, End, 45, 4.99e-07
0, 2, End, 46, 4.97e-07
0, 2, End, 47, 5.85e-07
0, 2, End, 48, 5e-07
0, 2, End, 49, 6.17e-07
0, 2, End, 50, 6.72e-07
0, 2, End, 51, 6.67e-07
0, 2, End, 52, 5.95e-07
0, 2, End, 53, 6.75e-07
0, 2, End, 54, 6.75e-07
0, 2, End, 55, 6.72e-07
0, 2, End, 56, 6.67e-07
0, 2, End, 57, 6.68e-07
0, 2, End, 58, 6.76e-07
0, 2, End, 59, 5.2e-07
0, 2, End, 60, 6.74e-07
0, 2, End, 61, 6.66e-07
0, 2, End, 62, 6.65e-07
0, 2, End, 63, 6.67e-07
0, 2, End, 64, 6.73e-07
0, 2, End, 65, 5.85e-07
0, 2, End, 66, 6.68e-07
0, 2, End, 67, 4.98e-07
0, 2, End, 68, 6.75e-07
0, 2, End, 69, 5.65e-07
0, 2, End, 70, 5.78e-07
0, 2, End, 71, 4.98e-07
0, 2, End, 72, 6.66e-07
0, 2, End, 73, 6.66e-07
0, 2, End, 74, 6.74e-07
0, 2, End, 75, 6.74e-07
0, 2, End, 76, 5.86e-07
0, 2, End, 77, 6.73e-07
0, 2, End, 78, 4.96e-07
0, 2, End, 79, 4.9e-07
0, 2, End, 80, 6.76e-07
0, 2, End, 81, 6.67e-07
0, 2, End, 82, 4.96e-07
0, 2, End, 83, 4.9e-07
0, 2, End, 84, 4.92e-07
0, 2, End, 85, 6.65e-07
0, 2, End, 86, 6.76e-07
0, 2, End, 87, 6.66e-07
0, 2, End, 88, 4.91e-07
0, 2, End, 89, 6.66e-07
0, 2, End, 90, 7.03e-07
0, 2, End, 91, 4.9e-07
0, 2, End, 92, 6.64e-07
0, 2, End, 93, 4.96e-07
0, 2, End, 94, 6.98e-07
0, 2, End, 95, 4.98e-07
0, 2, End, 96, 6.15e-07
0, 2, End, 97, 5.92e-07
0, 2, End, 98, 6.76e-07
0, 2, End, 99, 6.81e-07
0, 2, End, 100, 4.99e-07
0, 8, End, 1, 8.59e-07
0, 8, End, 2, 8.56e-07
0, 8, End, 3, 5.87e-07
0, 8, End, 4, 8.63e-07
0, 8, End, 5, 8.59e-07
0, 8, End, 6, 5.96e-07
0, 8, End, 7, 8.58e-07
0, 8, End, 8, 6.97e-07
0, 8, End, 9, 8.88e-07
0, 8, End, 10, 5.94e-07
0, 8, End, 11, 8.6e-07
0, 8, End, 12, 1.152e-06
0, 8, End, 13, 7.01e-07
0, 8, End, 14, 1.121e-06
0, 8, End, 15, 8.6e-07
0, 8, End, 16, 5.89e-07
0, 8, End, 17, 8.57e-07
0, 8, End, 18, 5.95e-07
0, 8, End, 19, 5.87e-07
0, 8, End, 20, 1.114e-06
0, 8, End, 21, 5.92e-07
0, 8, End, 22, 1.234e-06
0, 8, End, 23, 5.86e-07
0, 8, End, 24, 5.88e-07
0, 8, End, 25, 5.88e-07
0, 8, End, 26, 8.66e-07
0, 8, End, 27, 8.61e-07
0, 8, End, 28, 5.85e-07
0, 8, End, 29, 5.92e-07
0, 8, End, 30, 1.123e-06
0, 8, End, 31, 8.61e-07
0, 8, End, 32, 8.5e-07
0, 8, End, 33, 5.94e-07
0, 8, End, 34, 5.86e-07
0, 8, End, 35, 1.122e-06
0, 8, End, 36, 6.35e-07
0, 8, End, 37, 6.02e-07
0, 8, End, 38, 8.63e-07
0, 8, End, 39, 5.87e-07
0, 8, End, 40, 5.87e-07
0, 8, End, 41, 5.94e-07
0, 8, End, 42, 5.97e-07
0, 8, End, 43, 5.86e-07
0, 8, End, 44, 6.22e-07
0, 8, End, 45, 5.96e-07
0, 8, End, 46, 5.99e-07
0, 8, End, 47, 5.96e-07
0, 8, End, 48, 8.52e-07
0, 8, End, 49, 7.01e-07
0, 8, End, 50, 5.89e-07
0, 8, End, 51, 8.6e-07
