JOBID=28792
Nodes=2 Procs=4 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/broadcast/mpi_broadcast_array --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 4.287e-06
0, 1, End, 2, 3.8e-06
0, 1, End, 3, 4.191e-06
0, 1, End, 4, 3.866e-06
0, 1, End, 5, 1.3934e-05
0, 1, End, 6, 1.8565e-05
0, 1, End, 7, 4.608e-06
0, 1, End, 8, 4.307e-06
0, 1, End, 9, 4.033e-06
0, 1, End, 10, 3.906e-06
0, 1, End, 11, 4.037e-06
0, 1, End, 12, 1.2507e-05
0, 1, End, 13, 3.756e-06
0, 1, End, 14, 4.609e-06
0, 1, End, 15, 4.2e-06
0, 1, End, 16, 4.301e-06
0, 1, End, 17, 4.037e-06
0, 1, End, 18, 3.876e-06
0, 1, End, 19, 4.371e-06
0, 1, End, 20, 4.043e-06
0, 1, End, 21, 5.835e-06
0, 1, End, 22, 7.989e-06
0, 1, End, 23, 4.528e-06
0, 1, End, 24, 4.394e-06
0, 1, End, 25, 3.879e-06
0, 1, End, 26, 3.859e-06
0, 1, End, 27, 3.859e-06
0, 1, End, 28, 4.053e-06
0, 1, End, 29, 4.003e-06
0, 1, End, 30, 4.203e-06
0, 1, End, 31, 3.939e-06
0, 1, End, 32, 4.211e-06
0, 1, End, 33, 3.912e-06
0, 1, End, 34, 3.926e-06
0, 1, End, 35, 4.09e-06
0, 1, End, 36, 4.047e-06
0, 1, End, 37, 4.722e-06
0, 1, End, 38, 4.882e-06
0, 1, End, 39, 4.268e-06
0, 1, End, 40, 3.986e-06
0, 1, End, 41, 3.816e-06
0, 1, End, 42, 3.946e-06
0, 1, End, 43, 4.141e-06
0, 1, End, 44, 4.14e-06
0, 1, End, 45, 3.977e-06
0, 1, End, 46, 4.063e-06
0, 1, End, 47, 3.358e-06
0, 1, End, 48, 4.391e-06
0, 1, End, 49, 3.976e-06
0, 1, End, 50, 4.009e-06
0, 1, End, 51, 4.157e-06
0, 1, End, 52, 4.01e-06
0, 1, End, 53, 4.788e-06
0, 1, End, 54, 6.682e-06
0, 1, End, 55, 4.762e-06
0, 1, End, 56, 4.25e-06
0, 1, End, 57, 3.902e-06
0, 1, End, 58, 3.973e-06
0, 1, End, 59, 3.943e-06
0, 1, End, 60, 4.02e-06
0, 1, End, 61, 3.843e-06
0, 1, End, 62, 4.251e-06
0, 1, End, 63, 4.184e-06
0, 1, End, 64, 4.027e-06
0, 1, End, 65, 4.064e-06
0, 1, End, 66, 3.996e-06
0, 1, End, 67, 3.929e-06
0, 1, End, 68, 1.5758e-05
0, 1, End, 69, 4.314e-06
0, 1, End, 70, 4.745e-06
0, 1, End, 71, 4.207e-06
0, 1, End, 72, 3.786e-06
0, 1, End, 73, 3.819e-06
0, 1, End, 74, 3.87e-06
0, 1, End, 75, 4.043e-06
0, 1, End, 76, 4.1e-06
0, 1, End, 77, 4.003e-06
0, 1, End, 78, 4.27e-06
0, 1, End, 79, 3.836e-06
0, 1, End, 80, 3.99e-06
0, 1, End, 81, 1.0229e-05
0, 1, End, 82, 3.96e-06
0, 1, End, 83, 3.966e-06
0, 1, End, 84, 4.357e-06
0, 1, End, 85, 4.584e-06
0, 1, End, 86, 5.714e-06
0, 1, End, 87, 4.615e-06
0, 1, End, 88, 4.007e-06
0, 1, End, 89, 3.953e-06
0, 1, End, 90, 3.766e-06
0, 1, End, 91, 1.3844e-05
0, 1, End, 92, 3.689e-06
0, 1, End, 93, 4.084e-06
0, 1, End, 94, 4.331e-06
0, 1, End, 95, 4.003e-06
0, 1, End, 96, 4.013e-06
0, 1, End, 97, 1.2604e-05
0, 1, End, 98, 3.78e-06
0, 1, End, 99, 5.105e-06
0, 1, End, 100, 3.939e-06
0, 256, End, 1, 1.85e-05
0, 256, End, 2, 1.9356e-05
0, 256, End, 3, 1.9212e-05
0, 256, End, 4, 1.1333e-05
0, 256, End, 5, 1.0689e-05
0, 256, End, 6, 2.0455e-05
0, 256, End, 7, 1.2223e-05
0, 256, End, 8, 1.0498e-05
0, 256, End, 9, 1.0904e-05
0, 256, End, 10, 1.0457e-05
0, 256, End, 11, 1.0517e-05
0, 256, End, 12, 1.8795e-05
0, 256, End, 13, 1.9092e-05
0, 256, End, 14, 1.9214e-05
0, 256, End, 15, 1.1308e-05
0, 256, End, 16, 1.1178e-05
0, 256, End, 17, 1.0738e-05
0, 256, End, 18, 1.0512e-05
0, 256, End, 19, 1.0843e-05
0, 256, End, 20, 1.0769e-05
0, 256, End, 21, 1.0479e-05
0, 256, End, 22, 1.9515e-05
0, 256, End, 23, 2.873e-05
0, 256, End, 24, 8.085e-06
0, 256, End, 25, 6.885e-06
0, 256, End, 26, 7.254e-06
0, 256, End, 27, 6.935e-06
0, 256, End, 28, 7.247e-06
0, 256, End, 29, 7.748e-06
0, 256, End, 30, 7.363e-06
0, 256, End, 31, 6.912e-06
0, 256, End, 32, 7.166e-06
0, 256, End, 33, 6.584e-06
0, 256, End, 34, 7.031e-06
0, 256, End, 35, 6.73e-06
0, 256, End, 36, 7.169e-06
0, 256, End, 37, 7.558e-06
0, 256, End, 38, 8.744e-06
0, 256, End, 39, 7.806e-06
0, 256, End, 40, 7.155e-06
0, 256, End, 41, 6.837e-06
0, 256, End, 42, 7.171e-06
0, 256, End, 43, 6.545e-06
0, 256, End, 44, 6.631e-06
0, 256, End, 45, 7.92e-06
0, 256, End, 46, 7.453e-06
0, 256, End, 47, 6.7e-06
0, 256, End, 48, 6.931e-06
0, 256, End, 49, 7.021e-06
0, 256, End, 50, 7.13e-06
0, 256, End, 51, 6.109e-06
0, 256, End, 52, 6.826e-06
0, 256, End, 53, 6.287e-06
0, 256, End, 54, 9.32e-06
0, 256, End, 55, 8.333e-06
0, 256, End, 56, 7.335e-06
0, 256, End, 57, 7.114e-06
0, 256, End, 58, 7.066e-06
0, 256, End, 59, 6.98e-06
0, 256, End, 60, 7.323e-06
0, 256, End, 61, 8.02e-06
0, 256, End, 62, 7.856e-06
0, 256, End, 63, 6.848e-06
0, 256, End, 64, 7.058e-06
0, 256, End, 65, 7.095e-06
0, 256, End, 66, 7.149e-06
0, 256, End, 67, 7.024e-06
0, 256, End, 68, 7.143e-06
0, 256, End, 69, 7.591e-06
0, 256, End, 70, 8.481e-06
0, 256, End, 71, 7.347e-06
0, 256, End, 72, 6.327e-06
0, 256, End, 73, 7.283e-06
0, 256, End, 74, 6.923e-06
0, 256, End, 75, 6.922e-06
0, 256, End, 76, 7.08e-06
0, 256, End, 77, 7.896e-06
0, 256, End, 78, 7.446e-06
0, 256, End, 79, 6.853e-06
0, 256, End, 80, 6.891e-06
0, 256, End, 81, 7.223e-06
0, 256, End, 82, 7.066e-06
0, 256, End, 83, 6.977e-06
0, 256, End, 84, 7.06e-06
0, 256, End, 85, 7.959e-06
0, 256, End, 86, 9.28e-06
0, 256, End, 87, 7.857e-06
0, 256, End, 88, 6.948e-06
0, 256, End, 89, 6.748e-06
0, 256, End, 90, 7.075e-06
0, 256, End, 91, 6.765e-06
0, 256, End, 92, 6.98e-06
0, 256, End, 93, 7.473e-06
0, 256, End, 94, 7.507e-06
0, 256, End, 95, 6.912e-06
0, 256, End, 96, 7.037e-06
0, 256, End, 97, 6.788e-06
0, 256, End, 98, 7.038e-06
0, 256, End, 99, 6.774e-06
0, 256, End, 100, 6.909e-06
0, 4096, End, 1, 1.7068e-05
0, 4096, End, 2, 1.6954e-05
0, 4096, End, 3, 2.2395e-05
0, 4096, End, 4, 1.7243e-05
0, 4096, End, 5, 2.2188e-05
0, 4096, End, 6, 1.9764e-05
0, 4096, End, 7, 1.6271e-05
0, 4096, End, 8, 1.5401e-05
0, 4096, End, 9, 1.4655e-05
0, 4096, End, 10, 3.8036e-05
0, 4096, End, 11, 1.5707e-05
0, 4096, End, 12, 1.4861e-05
0, 4096, End, 13, 2.3702e-05
0, 4096, End, 14, 1.5972e-05
0, 4096, End, 15, 1.4465e-05
