JOBID=28780
Nodes=2 Procs=4 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/broadcast/upcxx_broadcast_array --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 3.948e-06
0, 1, End, 2, 8.238e-06
0, 1, End, 3, 2.825e-06
0, 1, End, 4, 4.181e-06
0, 1, End, 5, 3.884e-06
0, 1, End, 6, 6.762e-06
0, 1, End, 7, 2.276e-06
0, 1, End, 8, 3.746e-06
0, 1, End, 9, 4.831e-06
0, 1, End, 10, 6.576e-06
0, 1, End, 11, 2.311e-06
0, 1, End, 12, 3.875e-06
0, 1, End, 13, 3.832e-06
0, 1, End, 14, 1.3498e-05
0, 1, End, 15, 3.709e-06
0, 1, End, 16, 3.861e-06
0, 1, End, 17, 4.208e-06
0, 1, End, 18, 3.689e-06
0, 1, End, 19, 3.95e-06
0, 1, End, 20, 3.552e-06
0, 1, End, 21, 4.315e-06
0, 1, End, 22, 6.686e-06
0, 1, End, 23, 3.208e-06
0, 1, End, 24, 3.664e-06
0, 1, End, 25, 4.054e-06
0, 1, End, 26, 8.759e-06
0, 1, End, 27, 4.197e-06
0, 1, End, 28, 4.249e-06
0, 1, End, 29, 3.811e-06
0, 1, End, 30, 4.411e-06
0, 1, End, 31, 1.5162e-05
0, 1, End, 32, 4.915e-06
0, 1, End, 33, 4.354e-06
0, 1, End, 34, 6.13e-06
0, 1, End, 35, 2.685e-06
0, 1, End, 36, 4.077e-06
0, 1, End, 37, 3.912e-06
0, 1, End, 38, 5.952e-06
0, 1, End, 39, 3.369e-06
0, 1, End, 40, 4.107e-06
0, 1, End, 41, 3.492e-06
0, 1, End, 42, 1.1752e-05
0, 1, End, 43, 2.022e-06
0, 1, End, 44, 3.368e-06
0, 1, End, 45, 3.852e-06
0, 1, End, 46, 3.735e-06
0, 1, End, 47, 3.778e-06
0, 1, End, 48, 3.739e-06
0, 1, End, 49, 4.257e-06
0, 1, End, 50, 4.323e-06
0, 1, End, 51, 3.963e-06
0, 1, End, 52, 3.931e-06
0, 1, End, 53, 4.417e-06
0, 1, End, 54, 6.245e-06
0, 1, End, 55, 3.705e-06
0, 1, End, 56, 3.648e-06
0, 1, End, 57, 4.049e-06
0, 1, End, 58, 3.698e-06
0, 1, End, 59, 4.577e-06
0, 1, End, 60, 3.812e-06
0, 1, End, 61, 3.742e-06
0, 1, End, 62, 3.706e-06
0, 1, End, 63, 4.168e-06
0, 1, End, 64, 3.7e-06
0, 1, End, 65, 3.813e-06
0, 1, End, 66, 5.834e-06
0, 1, End, 67, 1.938e-06
0, 1, End, 68, 3.609e-06
0, 1, End, 69, 4.432e-06
0, 1, End, 70, 6.414e-06
0, 1, End, 71, 3.668e-06
0, 1, End, 72, 3.947e-06
0, 1, End, 73, 3.713e-06
0, 1, End, 74, 6.664e-06
0, 1, End, 75, 2.028e-06
0, 1, End, 76, 3.969e-06
0, 1, End, 77, 3.665e-06
0, 1, End, 78, 3.668e-06
0, 1, End, 79, 3.903e-06
0, 1, End, 80, 3.697e-06
0, 1, End, 81, 4.414e-06
0, 1, End, 82, 3.655e-06
0, 1, End, 83, 3.641e-06
0, 1, End, 84, 4.31e-06
0, 1, End, 85, 3.661e-06
0, 1, End, 86, 6.358e-06
0, 1, End, 87, 3.253e-06
0, 1, End, 88, 3.358e-06
0, 1, End, 89, 4.075e-06
0, 1, End, 90, 4.307e-06
0, 1, End, 91, 4.295e-06
0, 1, End, 92, 3.636e-06
0, 1, End, 93, 3.972e-06
0, 1, End, 94, 4.078e-06
0, 1, End, 95, 4.611e-06
0, 1, End, 96, 3.657e-06
0, 1, End, 97, 4.267e-06
0, 1, End, 98, 5.771e-06
0, 1, End, 99, 2.156e-06
0, 1, End, 100, 4.265e-06
0, 256, End, 1, 2.9712e-05
0, 256, End, 2, 3.242e-05
0, 256, End, 3, 2.8159e-05
0, 256, End, 4, 2.7628e-05
0, 256, End, 5, 6.945e-06
0, 256, End, 6, 2.7951e-05
0, 256, End, 7, 7.842e-06
0, 256, End, 8, 1.7417e-05
0, 256, End, 9, 1.1723e-05
0, 256, End, 10, 6.806e-06
0, 256, End, 11, 9.241e-06
0, 256, End, 12, 7.752e-06
0, 256, End, 13, 7.591e-06
0, 256, End, 14, 6.962e-06
0, 256, End, 15, 6.687e-06
0, 256, End, 16, 7.507e-06
0, 256, End, 17, 6.586e-06
0, 256, End, 18, 1.0264e-05
0, 256, End, 19, 6.512e-06
0, 256, End, 20, 6.677e-06
0, 256, End, 21, 5.937e-06
0, 256, End, 22, 5.678e-06
0, 256, End, 23, 6.254e-06
0, 256, End, 24, 5.672e-06
0, 256, End, 25, 6.154e-06
0, 256, End, 26, 6.108e-06
0, 256, End, 27, 9.117e-06
0, 256, End, 28, 7.857e-06
0, 256, End, 29, 1.8015e-05
0, 256, End, 30, 2.0785e-05
0, 256, End, 31, 6.509e-06
0, 256, End, 32, 8.481e-06
0, 256, End, 33, 8.337e-06
0, 256, End, 34, 1.0083e-05
0, 256, End, 35, 6.46e-06
0, 256, End, 36, 6.299e-06
0, 256, End, 37, 6.171e-06
0, 256, End, 38, 6.277e-06
0, 256, End, 39, 6.303e-06
0, 256, End, 40, 8.481e-06
0, 256, End, 41, 8.578e-06
0, 256, End, 42, 6.102e-06
0, 256, End, 43, 8.178e-06
0, 256, End, 44, 6.372e-06
0, 256, End, 45, 6.32e-06
0, 256, End, 46, 5.746e-06
0, 256, End, 47, 6.177e-06
0, 256, End, 48, 6.35e-06
0, 256, End, 49, 6.393e-06
0, 256, End, 50, 9.411e-06
0, 256, End, 51, 6.013e-06
0, 256, End, 52, 5.722e-06
0, 256, End, 53, 6.111e-06
0, 256, End, 54, 6.736e-06
0, 256, End, 55, 7.142e-06
0, 256, End, 56, 5.899e-06
0, 256, End, 57, 6.041e-06
0, 256, End, 58, 6.753e-06
0, 256, End, 59, 8.341e-06
0, 256, End, 60, 6.669e-06
0, 256, End, 61, 6.679e-06
0, 256, End, 62, 6.278e-06
0, 256, End, 63, 6.441e-06
0, 256, End, 64, 8.5e-06
0, 256, End, 65, 8.321e-06
0, 256, End, 66, 9.919e-06
0, 256, End, 67, 6.125e-06
0, 256, End, 68, 6.145e-06
0, 256, End, 69, 6.068e-06
0, 256, End, 70, 6.876e-06
0, 256, End, 71, 7.135e-06
0, 256, End, 72, 8.464e-06
0, 256, End, 73, 8.572e-06
0, 256, End, 74, 6.091e-06
0, 256, End, 75, 8.279e-06
0, 256, End, 76, 6.751e-06
0, 256, End, 77, 5.965e-06
0, 256, End, 78, 6.34e-06
0, 256, End, 79, 5.812e-06
0, 256, End, 80, 6.291e-06
0, 256, End, 81, 5.929e-06
0, 256, End, 82, 1.0583e-05
0, 256, End, 83, 6.369e-06
0, 256, End, 84, 6.076e-06
0, 256, End, 85, 5.948e-06
0, 256, End, 86, 6.224e-06
0, 256, End, 87, 5.901e-06
0, 256, End, 88, 6.096e-06
0, 256, End, 89, 6.189e-06
0, 256, End, 90, 6.122e-06
0, 256, End, 91, 8.077e-06
0, 256, End, 92, 6.033e-06
0, 256, End, 93, 6.035e-06
0, 256, End, 94, 5.619e-06
0, 256, End, 95, 6.195e-06
0, 256, End, 96, 8.479e-06
0, 256, End, 97, 8.085e-06
0, 256, End, 98, 6.795e-06
0, 256, End, 99, 5.899e-06
0, 256, End, 100, 6.264e-06
0, 4096, End, 1, 7.9924e-05
0, 4096, End, 2, 8.2644e-05
0, 4096, End, 3, 7.3542e-05
0, 4096, End, 4, 3.1517e-05
0, 4096, End, 5, 5.4333e-05
0, 4096, End, 6, 7.8309e-05
0, 4096, End, 7, 5.8659e-05
0, 4096, End, 8, 6.4844e-05
0, 4096, End, 9, 5.6929e-05
0, 4096, End, 10, 5.9491e-05
0, 4096, End, 11, 5.5403e-05
0, 4096, End, 12, 5.9708e-05
0, 4096, End, 13, 5.5776e-05
0, 4096, End, 14, 6.071e-05
0, 4096, End, 15, 2.1863e-05
0, 4096, End, 16, 1.8285e-05
0, 4096, End, 17, 1.986e-05
0, 4096, End, 18, 1.5408e-05
0, 4096, End, 19, 1.5361e-05
0, 4096, End, 20, 1.7077e-05
0, 4096, End, 21, 1.673e-05
0, 4096, End, 22, 1.4412e-05
0, 4096, End, 23, 1.6459e-05
0, 4096, End, 24, 1.4706e-05
0, 4096, End, 25, 1.4335e-05
0, 4096, End, 26, 1.662e-05
0, 4096, End, 27, 1.3692e-05
0, 4096, End, 28, 1.8683e-05
0, 4096, End, 29, 1.4668e-05
0, 4096, End, 30, 4.1141e-05
0, 4096, End, 31, 1.844e-05
0, 4096, End, 32, 1.8677e-05
0, 4096, End, 33, 2.0251e-05
0, 4096, End, 34, 1.4545e-05
0, 4096, End, 35, 1.4339e-05
0, 4096, End, 36, 1.744e-05
0, 4096, End, 37, 1.4758e-05
0, 4096, End, 38, 1.6963e-05
0, 4096, End, 39, 1.6875e-05
0, 4096, End, 40, 2.3525e-05
0, 4096, End, 41, 1.6939e-05
0, 4096, End, 42, 1.6751e-05
0, 4096, End, 43, 1.4276e-05
0, 4096, End, 44, 1.9058e-05
0, 4096, End, 45, 1.4367e-05
0, 4096, End, 46, 1.6583e-05
0, 4096, End, 47, 1.5001e-05
0, 4096, End, 48, 1.7137e-05
0, 4096, End, 49, 1.9098e-05
0, 4096, End, 50, 1.4503e-05
0, 4096, End, 51, 1.6525e-05
0, 4096, End, 52, 1.7348e-05
0, 4096, End, 53, 1.4954e-05
0, 4096, End, 54, 1.4424e-05
0, 4096, End, 55, 1.6654e-05
0, 4096, End, 56, 1.4583e-05
0, 4096, End, 57, 1.4418e-05
0, 4096, End, 58, 1.6753e-05
0, 4096, End, 59, 1.4211e-05
0, 4096, End, 60, 1.9039e-05
0, 4096, End, 61, 1.4629e-05
0, 4096, End, 62, 1.7423e-05
0, 4096, End, 63, 1.503e-05
0, 4096, End, 64, 1.8155e-05
0, 4096, End, 65, 1.9371e-05
0, 4096, End, 66, 1.439e-05
0, 4096, End, 67, 1.4514e-05
0, 4096, End, 68, 2.1931e-05
0, 4096, End, 69, 1.7595e-05
0, 4096, End, 70, 1.5031e-05
0, 4096, End, 71, 1.7417e-05
0, 4096, End, 72, 2.392e-05
0, 4096, End, 73, 1.4871e-05
0, 4096, End, 74, 1.679e-05
0, 4096, End, 75, 1.455e-05
0, 4096, End, 76, 1.8662e-05
0, 4096, End, 77, 1.5574e-05
0, 4096, End, 78, 1.754e-05
0, 4096, End, 79, 1.4893e-05
0, 4096, End, 80, 1.4685e-05
0, 4096, End, 81, 1.9563e-05
0, 4096, End, 82, 1.4458e-05
0, 4096, End, 83, 1.4242e-05
0, 4096, End, 84, 1.7561e-05
0, 4096, End, 85, 1.44e-05
0, 4096, End, 86, 1.6841e-05
0, 4096, End, 87, 1.6863e-05
0, 4096, End, 88, 1.4994e-05
0, 4096, End, 89, 1.4561e-05
0, 4096, End, 90, 1.6786e-05
0, 4096, End, 91, 1.4233e-05
0, 4096, End, 92, 1.9146e-05
0, 4096, End, 93, 1.742e-05
0, 4096, End, 94, 1.7487e-05
0, 4096, End, 95, 1.7746e-05
0, 4096, End, 96, 1.7764e-05
0, 4096, End, 97, 1.8127e-05
0, 4096, End, 98, 1.5267e-05
0, 4096, End, 99, 1.4153e-05
0, 4096, End, 100, 1.4447e-05
0, 16384, End, 1, 6.4861e-05
0, 16384, End, 2, 6.2801e-05
0, 16384, End, 3, 4.5366e-05
0, 16384, End, 4, 4.6143e-05
