JOBID=28779
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/broadcast/upcxx_broadcast_array --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 1.585e-06
0, 1, End, 2, 1.584e-06
0, 1, End, 3, 1.528e-06
0, 1, End, 4, 1.504e-06
0, 1, End, 5, 1.276e-06
0, 1, End, 6, 1.497e-06
0, 1, End, 7, 1.265e-06
0, 1, End, 8, 1.489e-06
0, 1, End, 9, 4.648e-06
0, 1, End, 10, 1.398e-06
0, 1, End, 11, 1.355e-06
0, 1, End, 12, 1.361e-06
0, 1, End, 13, 1.518e-06
0, 1, End, 14, 1.504e-06
0, 1, End, 15, 1.282e-06
0, 1, End, 16, 1.346e-06
0, 1, End, 17, 1.523e-06
0, 1, End, 18, 1.565e-06
0, 1, End, 19, 1.362e-06
0, 1, End, 20, 1.553e-06
0, 1, End, 21, 1.561e-06
0, 1, End, 22, 1.562e-06
0, 1, End, 23, 1.385e-06
0, 1, End, 24, 1.557e-06
0, 1, End, 25, 5.322e-06
0, 1, End, 26, 1.37e-06
0, 1, End, 27, 1.551e-06
0, 1, End, 28, 1.367e-06
0, 1, End, 29, 1.534e-06
0, 1, End, 30, 1.52e-06
0, 1, End, 31, 1.526e-06
0, 1, End, 32, 1.526e-06
0, 1, End, 33, 1.502e-06
0, 1, End, 34, 1.583e-06
0, 1, End, 35, 1.357e-06
0, 1, End, 36, 1.36e-06
0, 1, End, 37, 1.555e-06
0, 1, End, 38, 1.598e-06
0, 1, End, 39, 1.275e-06
0, 1, End, 40, 1.258e-06
0, 1, End, 41, 4.942e-06
0, 1, End, 42, 1.366e-06
0, 1, End, 43, 1.358e-06
0, 1, End, 44, 1.543e-06
0, 1, End, 45, 1.363e-06
0, 1, End, 46, 1.349e-06
0, 1, End, 47, 1.633e-06
0, 1, End, 48, 1.374e-06
0, 1, End, 49, 1.523e-06
0, 1, End, 50, 1.532e-06
0, 1, End, 51, 1.39e-06
0, 1, End, 52, 1.358e-06
0, 1, End, 53, 1.333e-06
0, 1, End, 54, 1.525e-06
0, 1, End, 55, 1.546e-06
0, 1, End, 56, 1.56e-06
0, 1, End, 57, 4.373e-06
0, 1, End, 58, 1.562e-06
0, 1, End, 59, 1.525e-06
0, 1, End, 60, 1.701e-06
0, 1, End, 61, 1.36e-06
0, 1, End, 62, 1.521e-06
0, 1, End, 63, 1.575e-06
0, 1, End, 64, 1.264e-06
0, 1, End, 65, 1.553e-06
0, 1, End, 66, 1.667e-06
0, 1, End, 67, 1.351e-06
0, 1, End, 68, 1.368e-06
0, 1, End, 69, 1.548e-06
0, 1, End, 70, 1.552e-06
0, 1, End, 71, 1.555e-06
0, 1, End, 72, 1.365e-06
0, 1, End, 73, 4.822e-06
0, 1, End, 74, 1.563e-06
0, 1, End, 75, 1.366e-06
0, 1, End, 76, 1.591e-06
0, 1, End, 77, 1.531e-06
0, 1, End, 78, 1.503e-06
0, 1, End, 79, 1.36e-06
0, 1, End, 80, 1.355e-06
0, 1, End, 81, 1.557e-06
0, 1, End, 82, 1.447e-06
0, 1, End, 83, 1.363e-06
0, 1, End, 84, 1.555e-06
0, 1, End, 85, 1.455e-06
0, 1, End, 86, 1.601e-06
0, 1, End, 87, 1.361e-06
0, 1, End, 88, 1.369e-06
0, 1, End, 89, 4.816e-06
0, 1, End, 90, 1.582e-06
0, 1, End, 91, 1.368e-06
0, 1, End, 92, 1.276e-06
0, 1, End, 93, 1.526e-06
0, 1, End, 94, 1.503e-06
0, 1, End, 95, 1.37e-06
0, 1, End, 96, 1.546e-06
0, 1, End, 97, 1.369e-06
0, 1, End, 98, 1.627e-06
0, 1, End, 99, 1.753e-06
0, 1, End, 100, 1.972e-06
0, 256, End, 1, 9.524e-06
0, 256, End, 2, 3.557e-06
0, 256, End, 3, 3.08e-06
0, 256, End, 4, 3.188e-06
0, 256, End, 5, 3.244e-06
0, 256, End, 6, 3.367e-06
0, 256, End, 7, 3.182e-06
0, 256, End, 8, 3.109e-06
0, 256, End, 9, 3.148e-06
0, 256, End, 10, 6.366e-06
0, 256, End, 11, 2.917e-06
0, 256, End, 12, 3.105e-06
0, 256, End, 13, 2.987e-06
0, 256, End, 14, 3.099e-06
0, 256, End, 15, 3.363e-06
0, 256, End, 16, 3.267e-06
0, 256, End, 17, 7.369e-06
0, 256, End, 18, 3.356e-06
0, 256, End, 19, 3.019e-06
0, 256, End, 20, 2.75e-06
0, 256, End, 21, 2.545e-06
0, 256, End, 22, 2.787e-06
0, 256, End, 23, 2.715e-06
0, 256, End, 24, 2.643e-06
0, 256, End, 25, 2.827e-06
0, 256, End, 26, 5.984e-06
0, 256, End, 27, 2.723e-06
0, 256, End, 28, 3.085e-06
0, 256, End, 29, 2.954e-06
0, 256, End, 30, 3.088e-06
0, 256, End, 31, 2.967e-06
0, 256, End, 32, 2.964e-06
0, 256, End, 33, 7.074e-06
0, 256, End, 34, 2.825e-06
0, 256, End, 35, 2.972e-06
0, 256, End, 36, 3.22e-06
0, 256, End, 37, 2.939e-06
0, 256, End, 38, 2.824e-06
0, 256, End, 39, 2.95e-06
0, 256, End, 40, 3.086e-06
0, 256, End, 41, 2.811e-06
0, 256, End, 42, 5.896e-06
0, 256, End, 43, 3.313e-06
0, 256, End, 44, 3.114e-06
0, 256, End, 45, 3.235e-06
0, 256, End, 46, 3.066e-06
0, 256, End, 47, 3.184e-06
0, 256, End, 48, 3.07e-06
0, 256, End, 49, 6.896e-06
0, 256, End, 50, 3.41e-06
0, 256, End, 51, 3.234e-06
0, 256, End, 52, 3.107e-06
0, 256, End, 53, 2.985e-06
0, 256, End, 54, 2.939e-06
0, 256, End, 55, 2.936e-06
0, 256, End, 56, 2.983e-06
0, 256, End, 57, 2.92e-06
0, 256, End, 58, 6.24e-06
0, 256, End, 59, 3.104e-06
0, 256, End, 60, 2.931e-06
0, 256, End, 61, 3.005e-06
0, 256, End, 62, 3.097e-06
0, 256, End, 63, 3.277e-06
0, 256, End, 64, 3.064e-06
0, 256, End, 65, 6.772e-06
0, 256, End, 66, 3.225e-06
0, 256, End, 67, 2.941e-06
0, 256, End, 68, 2.758e-06
0, 256, End, 69, 2.811e-06
0, 256, End, 70, 2.83e-06
0, 256, End, 71, 2.931e-06
0, 256, End, 72, 2.781e-06
0, 256, End, 73, 2.682e-06
0, 256, End, 74, 5.925e-06
0, 256, End, 75, 2.612e-06
0, 256, End, 76, 2.742e-06
0, 256, End, 77, 2.812e-06
0, 256, End, 78, 3.033e-06
0, 256, End, 79, 3.213e-06
0, 256, End, 80, 3.188e-06
0, 256, End, 81, 6.129e-06
0, 256, End, 82, 2.865e-06
0, 256, End, 83, 3.033e-06
0, 256, End, 84, 3.068e-06
0, 256, End, 85, 2.776e-06
0, 256, End, 86, 3.095e-06
0, 256, End, 87, 3.2e-06
0, 256, End, 88, 3.197e-06
0, 256, End, 89, 3.107e-06
0, 256, End, 90, 5.91e-06
0, 256, End, 91, 2.963e-06
0, 256, End, 92, 2.914e-06
0, 256, End, 93, 2.512e-06
0, 256, End, 94, 2.494e-06
0, 256, End, 95, 2.556e-06
0, 256, End, 96, 2.489e-06
0, 256, End, 97, 6.691e-06
0, 256, End, 98, 2.944e-06
0, 256, End, 99, 2.748e-06
0, 256, End, 100, 2.792e-06
0, 4096, End, 1, 6.003e-06
0, 4096, End, 2, 5.742e-06
0, 4096, End, 3, 9.194e-06
0, 4096, End, 4, 9.648e-06
0, 4096, End, 5, 6.573e-06
0, 4096, End, 6, 6.665e-06
0, 4096, End, 7, 1.0084e-05
