JOBID=29060
Nodes=8 Procs=16 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/broadcast/upcxx_broadcast_array --repetitions 100 -m max -q --warmup-repetitions 100
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 9.885e-06
0, 1, End, 2, 7.158e-06
0, 1, End, 3, 9.138e-06
0, 1, End, 4, 6.095e-06
0, 1, End, 5, 6.395e-06
0, 1, End, 6, 4.256e-06
0, 1, End, 7, 7.149e-06
0, 1, End, 8, 6.968e-06
0, 1, End, 9, 6.266e-06
0, 1, End, 10, 6.805e-06
0, 1, End, 11, 7.502e-06
0, 1, End, 12, 6.695e-06
0, 1, End, 13, 2.5434e-05
0, 1, End, 14, 6.748e-06
0, 1, End, 15, 6.779e-06
0, 1, End, 16, 7.28e-06
0, 1, End, 17, 1.7737e-05
0, 1, End, 18, 7.58e-06
0, 1, End, 19, 8.67e-06
0, 1, End, 20, 6.409e-06
0, 1, End, 21, 6.881e-06
0, 1, End, 22, 4.911e-06
0, 1, End, 23, 1.7425e-05
0, 1, End, 24, 6.451e-06
0, 1, End, 25, 7.028e-06
0, 1, End, 26, 6.859e-06
0, 1, End, 27, 7.533e-06
0, 1, End, 28, 6.844e-06
0, 1, End, 29, 7.842e-06
0, 1, End, 30, 7.227e-06
0, 1, End, 31, 7.624e-06
0, 1, End, 32, 1.8568e-05
0, 1, End, 33, 1.0055e-05
0, 1, End, 34, 9.43e-06
0, 1, End, 35, 8.233e-06
0, 1, End, 36, 6.953e-06
0, 1, End, 37, 7.523e-06
0, 1, End, 38, 5.853e-06
0, 1, End, 39, 8.348e-06
0, 1, End, 40, 6.599e-06
0, 1, End, 41, 1.5188e-05
0, 1, End, 42, 3.441e-06
0, 1, End, 43, 7.257e-06
0, 1, End, 44, 6.721e-06
0, 1, End, 45, 6.629e-06
0, 1, End, 46, 6.883e-06
0, 1, End, 47, 1.3653e-05
0, 1, End, 48, 2.579e-06
0, 1, End, 49, 1.0742e-05
0, 1, End, 50, 9.874e-06
0, 1, End, 51, 8.585e-06
0, 1, End, 52, 6.119e-06
0, 1, End, 53, 1.1761e-05
0, 1, End, 54, 7.119e-06
0, 1, End, 55, 7.765e-06
0, 1, End, 56, 6.131e-06
0, 1, End, 57, 7.195e-06
0, 1, End, 58, 6.771e-06
0, 1, End, 59, 6.934e-06
0, 1, End, 60, 6.442e-06
0, 1, End, 61, 7.59e-06
0, 1, End, 62, 7.364e-06
0, 1, End, 63, 7.486e-06
0, 1, End, 64, 6.507e-06
0, 1, End, 65, 1.0699e-05
0, 1, End, 66, 8.909e-06
0, 1, End, 67, 9.462e-06
0, 1, End, 68, 6.773e-06
0, 1, End, 69, 6.575e-06
0, 1, End, 70, 4.285e-06
0, 1, End, 71, 7.353e-06
0, 1, End, 72, 6.254e-06
0, 1, End, 73, 7.135e-06
0, 1, End, 74, 1.7716e-05
0, 1, End, 75, 7.98e-06
0, 1, End, 76, 7.059e-06
0, 1, End, 77, 6.855e-06
0, 1, End, 78, 6.316e-06
0, 1, End, 79, 7.617e-06
0, 1, End, 80, 6.485e-06
0, 1, End, 81, 9.222e-06
0, 1, End, 82, 8.271e-06
0, 1, End, 83, 8.633e-06
0, 1, End, 84, 5.866e-06
0, 1, End, 85, 6.904e-06
0, 1, End, 86, 5.262e-06
0, 1, End, 87, 6.212e-06
0, 1, End, 88, 6.754e-06
0, 1, End, 89, 6.614e-06
0, 1, End, 90, 5.867e-06
0, 1, End, 91, 7.53e-06
0, 1, End, 92, 7.443e-06
0, 1, End, 93, 7.123e-06
0, 1, End, 94, 6.396e-06
0, 1, End, 95, 7.035e-06
0, 1, End, 96, 6.182e-06
0, 1, End, 97, 1.0599e-05
0, 1, End, 98, 8.128e-06
0, 1, End, 99, 8.975e-06
0, 1, End, 100, 6.025e-06
0, 4, End, 1, 7.969e-06
0, 4, End, 2, 6.709e-06
0, 4, End, 3, 7.698e-06
0, 4, End, 4, 7.465e-06
0, 4, End, 5, 8.564e-06
0, 4, End, 6, 7.231e-06
0, 4, End, 7, 7.803e-06
0, 4, End, 8, 7.278e-06
0, 4, End, 9, 5.129e-06
0, 4, End, 10, 7.475e-06
