JOBID=29013
Nodes=10 Procs=20 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/gather/upcxx_allgather_rput --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 0.000100078
0, 1, End, 2, 0.000143849
0, 1, End, 3, 0.000107121
0, 1, End, 4, 5.1414e-05
0, 1, End, 5, 6.1768e-05
0, 1, End, 6, 5.5957e-05
0, 1, End, 7, 6.0719e-05
0, 1, End, 8, 6.2459e-05
0, 1, End, 9, 5.4468e-05
0, 1, End, 10, 4.9454e-05
0, 1, End, 11, 4.4528e-05
0, 1, End, 12, 5.0437e-05
0, 1, End, 13, 5.4895e-05
0, 1, End, 14, 4.9811e-05
0, 1, End, 15, 4.334e-05
0, 1, End, 16, 4.6217e-05
0, 1, End, 17, 4.4955e-05
0, 1, End, 18, 4.3259e-05
0, 1, End, 19, 4.656e-05
0, 1, End, 20, 5.035e-05
0, 1, End, 21, 4.6016e-05
0, 1, End, 22, 5.1173e-05
0, 1, End, 23, 4.5877e-05
0, 1, End, 24, 4.982e-05
0, 1, End, 25, 5.7167e-05
0, 1, End, 26, 5.2841e-05
0, 1, End, 27, 5.0721e-05
0, 1, End, 28, 4.4622e-05
0, 1, End, 29, 5.5534e-05
0, 1, End, 30, 5.0396e-05
0, 1, End, 31, 7.847e-05
0, 1, End, 32, 6.0716e-05
0, 1, End, 33, 4.7057e-05
0, 1, End, 34, 5.2099e-05
0, 1, End, 35, 4.9762e-05
0, 1, End, 36, 5.1029e-05
0, 1, End, 37, 4.8473e-05
0, 1, End, 38, 4.5113e-05
0, 1, End, 39, 4.4572e-05
0, 1, End, 40, 5.3386e-05
0, 1, End, 41, 4.6323e-05
0, 1, End, 42, 5.3593e-05
0, 1, End, 43, 5.2087e-05
0, 1, End, 44, 4.5776e-05
0, 1, End, 45, 4.5439e-05
0, 1, End, 46, 6.1552e-05
0, 1, End, 47, 5.3264e-05
0, 1, End, 48, 4.9752e-05
0, 1, End, 49, 5.0137e-05
0, 1, End, 50, 5.9103e-05
0, 1, End, 51, 4.3286e-05
