JOBID=28994
Nodes=4 Procs=8 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/gather/upcxx_gather_rget --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 3.681e-06
0, 1, End, 2, 1.4236e-05
0, 1, End, 3, 4.024e-06
0, 1, End, 4, 4.333e-06
0, 1, End, 5, 2.6904e-05
0, 1, End, 6, 4.367e-06
0, 1, End, 7, 1.4353e-05
0, 1, End, 8, 4.384e-06
0, 1, End, 9, 4.068e-06
0, 1, End, 10, 3.992e-06
0, 1, End, 11, 3.9e-06
0, 1, End, 12, 3.843e-06
0, 1, End, 13, 3.767e-06
0, 1, End, 14, 3.435e-06
0, 1, End, 15, 1.1437e-05
0, 1, End, 16, 3.436e-06
0, 1, End, 17, 3.442e-06
0, 1, End, 18, 3.406e-06
0, 1, End, 19, 3.431e-06
0, 1, End, 20, 3.429e-06
0, 1, End, 21, 3.449e-06
0, 1, End, 22, 3.489e-06
0, 1, End, 23, 3.446e-06
0, 1, End, 24, 3.465e-06
0, 1, End, 25, 1.4713e-05
0, 1, End, 26, 3.597e-06
0, 1, End, 27, 3.622e-06
0, 1, End, 28, 3.661e-06
0, 1, End, 29, 3.524e-06
0, 1, End, 30, 3.472e-06
0, 1, End, 31, 3.518e-06
0, 1, End, 32, 3.48e-06
0, 1, End, 33, 3.461e-06
0, 1, End, 34, 3.487e-06
0, 1, End, 35, 3.478e-06
0, 1, End, 36, 3.437e-06
0, 1, End, 37, 3.529e-06
0, 1, End, 38, 3.427e-06
0, 1, End, 39, 3.479e-06
0, 1, End, 40, 3.409e-06
0, 1, End, 41, 3.487e-06
0, 1, End, 42, 3.423e-06
0, 1, End, 43, 3.417e-06
0, 1, End, 44, 3.43e-06
0, 1, End, 45, 3.452e-06
0, 1, End, 46, 3.408e-06
0, 1, End, 47, 3.446e-06
0, 1, End, 48, 3.463e-06
0, 1, End, 49, 3.426e-06
0, 1, End, 50, 3.429e-06
0, 1, End, 51, 3.491e-06
0, 1, End, 52, 3.393e-06
0, 1, End, 53, 3.425e-06
0, 1, End, 54, 3.407e-06
0, 1, End, 55, 3.444e-06
0, 1, End, 56, 3.451e-06
0, 1, End, 57, 3.499e-06
0, 1, End, 58, 3.434e-06
0, 1, End, 59, 3.395e-06
0, 1, End, 60, 3.456e-06
0, 1, End, 61, 3.403e-06
0, 1, End, 62, 3.417e-06
0, 1, End, 63, 3.433e-06
0, 1, End, 64, 3.441e-06
0, 1, End, 65, 3.385e-06
0, 1, End, 66, 3.41e-06
0, 1, End, 67, 3.386e-06
0, 1, End, 68, 3.409e-06
0, 1, End, 69, 3.414e-06
0, 1, End, 70, 3.43e-06
0, 1, End, 71, 3.453e-06
0, 1, End, 72, 3.436e-06
0, 1, End, 73, 3.481e-06
0, 1, End, 74, 3.425e-06
0, 1, End, 75, 3.414e-06
0, 1, End, 76, 3.509e-06
0, 1, End, 77, 3.408e-06
0, 1, End, 78, 3.447e-06
0, 1, End, 79, 3.443e-06
0, 1, End, 80, 3.429e-06
0, 1, End, 81, 3.415e-06
0, 1, End, 82, 3.436e-06
0, 1, End, 83, 3.388e-06
0, 1, End, 84, 3.492e-06
0, 1, End, 85, 3.406e-06
0, 1, End, 86, 3.406e-06
0, 1, End, 87, 3.455e-06
0, 1, End, 88, 3.428e-06
0, 1, End, 89, 3.506e-06
0, 1, End, 90, 3.419e-06
0, 1, End, 91, 3.412e-06
0, 1, End, 92, 3.45e-06
0, 1, End, 93, 3.479e-06
0, 1, End, 94, 3.408e-06
0, 1, End, 95, 3.457e-06
0, 1, End, 96, 3.399e-06
0, 1, End, 97, 3.401e-06
0, 1, End, 98, 3.383e-06
0, 1, End, 99, 3.528e-06
0, 1, End, 100, 3.409e-06
0, 4, End, 1, 3.956e-06
0, 4, End, 2, 4.436e-06
0, 4, End, 3, 3.95e-06
0, 4, End, 4, 3.946e-06
0, 4, End, 5, 6.754e-06
0, 4, End, 6, 4.432e-06
0, 4, End, 7, 5.213e-06
0, 4, End, 8, 3.9e-06
0, 4, End, 9, 3.886e-06
0, 4, End, 10, 4.272e-06
0, 4, End, 11, 4.032e-06
0, 4, End, 12, 3.788e-06
0, 4, End, 13, 3.767e-06
0, 4, End, 14, 3.852e-06
0, 4, End, 15, 3.899e-06
0, 4, End, 16, 4.067e-06
0, 4, End, 17, 4.152e-06
0, 4, End, 18, 3.811e-06
0, 4, End, 19, 3.834e-06
0, 4, End, 20, 4.067e-06
0, 4, End, 21, 3.78e-06
0, 4, End, 22, 3.844e-06
0, 4, End, 23, 3.786e-06
0, 4, End, 24, 3.894e-06
0, 4, End, 25, 4.16e-06
0, 4, End, 26, 3.954e-06
0, 4, End, 27, 3.887e-06
0, 4, End, 28, 3.798e-06
0, 4, End, 29, 4.208e-06
0, 4, End, 30, 3.926e-06
0, 4, End, 31, 4.202e-06
0, 4, End, 32, 3.813e-06
0, 4, End, 33, 4.068e-06
0, 4, End, 34, 4.339e-06
0, 4, End, 35, 3.899e-06
0, 4, End, 36, 3.799e-06
0, 4, End, 37, 4.044e-06
0, 4, End, 38, 4.189e-06
0, 4, End, 39, 3.902e-06
0, 4, End, 40, 3.812e-06
0, 4, End, 41, 3.837e-06
0, 4, End, 42, 3.789e-06
0, 4, End, 43, 3.847e-06
0, 4, End, 44, 3.773e-06
0, 4, End, 45, 3.777e-06
0, 4, End, 46, 3.938e-06
0, 4, End, 47, 3.767e-06
0, 4, End, 48, 3.757e-06
0, 4, End, 49, 4.237e-06
0, 4, End, 50, 3.837e-06
0, 4, End, 51, 4.018e-06
0, 4, End, 52, 4.019e-06
0, 4, End, 53, 3.821e-06
0, 4, End, 54, 3.836e-06
0, 4, End, 55, 4.16e-06
0, 4, End, 56, 4.234e-06
0, 4, End, 57, 3.791e-06
0, 4, End, 58, 3.877e-06
0, 4, End, 59, 3.996e-06
0, 4, End, 60, 3.818e-06
0, 4, End, 61, 3.978e-06
0, 4, End, 62, 4.17e-06
0, 4, End, 63, 3.753e-06
0, 4, End, 64, 4.103e-06
0, 4, End, 65, 4.092e-06
0, 4, End, 66, 4.111e-06
0, 4, End, 67, 4.015e-06
0, 4, End, 68, 4.081e-06
0, 4, End, 69, 3.95e-06
0, 4, End, 70, 3.794e-06
0, 4, End, 71, 4.088e-06
0, 4, End, 72, 4.128e-06
0, 4, End, 73, 3.827e-06
0, 4, End, 74, 3.774e-06
