JOBID=29016
Nodes=10 Procs=20 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/gather/upcxx_gather_rget_binomial --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 5.1808e-05
0, 1, End, 2, 3.634e-05
0, 1, End, 3, 3.5082e-05
0, 1, End, 4, 3.463e-05
0, 1, End, 5, 3.5707e-05
0, 1, End, 6, 3.5746e-05
0, 1, End, 7, 5.0841e-05
0, 1, End, 8, 4.5967e-05
0, 1, End, 9, 3.6404e-05
0, 1, End, 10, 3.4824e-05
0, 1, End, 11, 3.5223e-05
0, 1, End, 12, 3.8396e-05
0, 1, End, 13, 3.5324e-05
0, 1, End, 14, 3.4256e-05
0, 1, End, 15, 3.5057e-05
0, 1, End, 16, 3.4884e-05
0, 1, End, 17, 3.6497e-05
0, 1, End, 18, 3.6389e-05
0, 1, End, 19, 3.8171e-05
0, 1, End, 20, 3.6691e-05
0, 1, End, 21, 4.5951e-05
0, 1, End, 22, 4.0708e-05
0, 1, End, 23, 6.0453e-05
0, 1, End, 24, 4.5723e-05
0, 1, End, 25, 3.5834e-05
0, 1, End, 26, 3.504e-05
0, 1, End, 27, 3.5294e-05
0, 1, End, 28, 3.5776e-05
0, 1, End, 29, 3.5359e-05
0, 1, End, 30, 5.4155e-05
0, 1, End, 31, 5.7032e-05
0, 1, End, 32, 3.7803e-05
0, 1, End, 33, 4.267e-05
0, 1, End, 34, 3.9444e-05
0, 1, End, 35, 4.5388e-05
0, 1, End, 36, 3.6486e-05
0, 1, End, 37, 4.5311e-05
0, 1, End, 38, 4.6066e-05
0, 1, End, 39, 4.5948e-05
0, 1, End, 40, 4.736e-05
0, 1, End, 41, 3.6318e-05
0, 1, End, 42, 0.000349258
0, 1, End, 43, 4.328e-05
0, 1, End, 44, 5.1038e-05
0, 1, End, 45, 4.5305e-05
0, 1, End, 46, 3.6317e-05
0, 1, End, 47, 3.5034e-05
0, 1, End, 48, 4.0003e-05
0, 1, End, 49, 3.5062e-05
0, 1, End, 50, 3.4723e-05
0, 1, End, 51, 3.5008e-05
0, 1, End, 52, 3.4522e-05
0, 1, End, 53, 3.4083e-05
0, 1, End, 54, 3.5406e-05
0, 1, End, 55, 4.7839e-05
0, 1, End, 56, 3.5817e-05
0, 1, End, 57, 4.8038e-05
0, 1, End, 58, 4.1995e-05
0, 1, End, 59, 4.4538e-05
0, 1, End, 60, 4.7475e-05
0, 1, End, 61, 3.63e-05
0, 1, End, 62, 3.5847e-05
0, 1, End, 63, 3.5561e-05
0, 1, End, 64, 3.6111e-05
0, 1, End, 65, 3.4396e-05
0, 1, End, 66, 3.5419e-05
0, 1, End, 67, 5.0833e-05
0, 1, End, 68, 4.5075e-05
0, 1, End, 69, 3.6267e-05
0, 1, End, 70, 3.7635e-05
0, 1, End, 71, 8.5305e-05
0, 1, End, 72, 4.4905e-05
0, 1, End, 73, 3.5821e-05
0, 1, End, 74, 3.4739e-05
0, 1, End, 75, 3.6193e-05
0, 1, End, 76, 3.539e-05
0, 1, End, 77, 3.5835e-05
0, 1, End, 78, 3.6185e-05
0, 1, End, 79, 3.4613e-05
0, 1, End, 80, 4.0904e-05
0, 1, End, 81, 4.5278e-05
0, 1, End, 82, 4.5429e-05
0, 1, End, 83, 3.5781e-05
0, 1, End, 84, 3.5525e-05
0, 1, End, 85, 0.000343219
