JOBID=28996
Nodes=4 Procs=8 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/gather/upcxx_gather_rget_no_copy --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 4.371e-06
0, 1, End, 2, 4.566e-06
0, 1, End, 3, 4.586e-06
0, 1, End, 4, 4.128e-06
0, 1, End, 5, 6.122e-06
0, 1, End, 6, 4.049e-06
0, 1, End, 7, 4.189e-06
0, 1, End, 8, 4.276e-06
0, 1, End, 9, 4.248e-06
0, 1, End, 10, 4.27e-06
0, 1, End, 11, 4.153e-06
0, 1, End, 12, 4.023e-06
0, 1, End, 13, 3.815e-06
0, 1, End, 14, 4.321e-06
0, 1, End, 15, 3.726e-06
0, 1, End, 16, 4.167e-06
0, 1, End, 17, 4.17e-06
0, 1, End, 18, 3.752e-06
0, 1, End, 19, 3.99e-06
0, 1, End, 20, 3.825e-06
0, 1, End, 21, 3.847e-06
0, 1, End, 22, 3.794e-06
0, 1, End, 23, 3.958e-06
0, 1, End, 24, 3.951e-06
0, 1, End, 25, 4.118e-06
0, 1, End, 26, 3.809e-06
0, 1, End, 27, 1.0986e-05
0, 1, End, 28, 3.751e-06
0, 1, End, 29, 4.202e-06
0, 1, End, 30, 3.98e-06
0, 1, End, 31, 3.888e-06
0, 1, End, 32, 3.928e-06
0, 1, End, 33, 1.0892e-05
0, 1, End, 34, 3.998e-06
0, 1, End, 35, 8.955e-06
0, 1, End, 36, 3.982e-06
0, 1, End, 37, 4.173e-06
0, 1, End, 38, 4.317e-06
0, 1, End, 39, 4.193e-06
0, 1, End, 40, 4.01e-06
0, 1, End, 41, 3.82e-06
0, 1, End, 42, 3.831e-06
0, 1, End, 43, 4.366e-06
0, 1, End, 44, 9.143e-06
0, 1, End, 45, 3.753e-06
0, 1, End, 46, 4.091e-06
0, 1, End, 47, 3.722e-06
0, 1, End, 48, 3.804e-06
0, 1, End, 49, 4.217e-06
0, 1, End, 50, 3.804e-06
0, 1, End, 51, 3.944e-06
0, 1, End, 52, 3.721e-06
0, 1, End, 53, 4.268e-06
0, 1, End, 54, 3.965e-06
0, 1, End, 55, 4.153e-06
0, 1, End, 56, 4.146e-06
0, 1, End, 57, 4.101e-06
0, 1, End, 58, 3.812e-06
0, 1, End, 59, 3.795e-06
0, 1, End, 60, 3.811e-06
0, 1, End, 61, 3.698e-06
0, 1, End, 62, 4.22e-06
0, 1, End, 63, 4.131e-06
0, 1, End, 64, 3.881e-06
0, 1, End, 65, 3.862e-06
0, 1, End, 66, 3.783e-06
0, 1, End, 67, 3.796e-06
0, 1, End, 68, 3.975e-06
0, 1, End, 69, 4.409e-06
0, 1, End, 70, 3.841e-06
0, 1, End, 71, 3.855e-06
0, 1, End, 72, 4.217e-06
0, 1, End, 73, 3.908e-06
0, 1, End, 74, 1.0643e-05
0, 1, End, 75, 1.2132e-05
0, 1, End, 76, 3.821e-06
0, 1, End, 77, 3.801e-06
0, 1, End, 78, 4.047e-06
0, 1, End, 79, 3.946e-06
0, 1, End, 80, 1.4856e-05
0, 1, End, 81, 3.844e-06
0, 1, End, 82, 3.919e-06
0, 1, End, 83, 1.1324e-05
0, 1, End, 84, 3.983e-06
0, 1, End, 85, 4.114e-06
0, 1, End, 86, 3.909e-06
0, 1, End, 87, 3.864e-06
0, 1, End, 88, 4.006e-06
0, 1, End, 89, 3.986e-06
0, 1, End, 90, 3.799e-06
0, 1, End, 91, 4.454e-06
0, 1, End, 92, 3.992e-06
0, 1, End, 93, 3.875e-06
0, 1, End, 94, 3.92e-06
0, 1, End, 95, 3.753e-06
