JOBID=29014
Nodes=10 Procs=20 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/gather/upcxx_gather_rput --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 1.027e-06
0, 1, End, 2, 1.858e-06
0, 1, End, 3, 7.738e-06
0, 1, End, 4, 2.07e-06
0, 1, End, 5, 1.153e-06
0, 1, End, 6, 1.7302e-05
0, 1, End, 7, 1.072e-06
0, 1, End, 8, 1.1061e-05
0, 1, End, 9, 9.02e-07
0, 1, End, 10, 7.9e-07
0, 1, End, 11, 1.031e-06
0, 1, End, 12, 5.65e-07
0, 1, End, 13, 9.45e-07
0, 1, End, 14, 8.05e-07
0, 1, End, 15, 8.04e-07
0, 1, End, 16, 1.0589e-05
0, 1, End, 17, 8.62e-07
0, 1, End, 18, 5.85e-07
0, 1, End, 19, 8.96e-07
0, 1, End, 20, 8.81e-07
0, 1, End, 21, 9.25e-07
0, 1, End, 22, 7.91e-07
0, 1, End, 23, 8.82e-07
0, 1, End, 24, 9.88e-07
0, 1, End, 25, 1.064e-06
0, 1, End, 26, 7.98e-07
0, 1, End, 27, 8.78e-07
0, 1, End, 28, 1.795e-06
0, 1, End, 29, 8.77e-07
0, 1, End, 30, 5.57e-07
0, 1, End, 31, 8.84e-07
0, 1, End, 32, 8.77e-07
0, 1, End, 33, 8.99e-07
0, 1, End, 34, 1.041e-06
0, 1, End, 35, 9.46e-07
0, 1, End, 36, 7.26e-07
0, 1, End, 37, 9.05e-07
0, 1, End, 38, 5.4e-07
0, 1, End, 39, 7.64e-07
0, 1, End, 40, 6.67e-07
0, 1, End, 41, 5.43e-07
0, 1, End, 42, 5.37e-07
0, 1, End, 43, 8.75e-07
0, 1, End, 44, 5.34e-07
0, 1, End, 45, 5.44e-07
0, 1, End, 46, 5.45e-07
0, 1, End, 47, 7.1e-07
0, 1, End, 48, 6.66e-07
0, 1, End, 49, 5.45e-07
0, 1, End, 50, 5.37e-07
0, 1, End, 51, 6.45e-07
0, 1, End, 52, 5.44e-07
0, 1, End, 53, 6.83e-07
0, 1, End, 54, 1.4418e-05
0, 1, End, 55, 7.23e-07
0, 1, End, 56, 7.87e-07
0, 1, End, 57, 6.07e-07
0, 1, End, 58, 7.04e-07
0, 1, End, 59, 7.83e-07
0, 1, End, 60, 6.16e-07
0, 1, End, 61, 5.42e-07
0, 1, End, 62, 5.4e-07
0, 1, End, 63, 5.45e-07
0, 1, End, 64, 6.42e-07
0, 1, End, 65, 5.37e-07
0, 1, End, 66, 5.38e-07
0, 1, End, 67, 5.49e-07
0, 1, End, 68, 5.42e-07
0, 1, End, 69, 5.53e-07
0, 1, End, 70, 2.215e-06
0, 1, End, 71, 5.44e-07
0, 1, End, 72, 7.83e-07
0, 1, End, 73, 5.42e-07
0, 1, End, 74, 5.41e-07
0, 1, End, 75, 8.15e-07
0, 1, End, 76, 8.39e-07
0, 1, End, 77, 2.095e-06
0, 1, End, 78, 6.45e-07
0, 1, End, 79, 5.55e-07
0, 1, End, 80, 6.57e-07
0, 1, End, 81, 5.56e-07
0, 1, End, 82, 5.6e-07
0, 1, End, 83, 5.39e-07
0, 1, End, 84, 5.52e-07
0, 1, End, 85, 5.42e-07
0, 1, End, 86, 5.47e-07
0, 1, End, 87, 5.39e-07
0, 1, End, 88, 6.82e-07
0, 1, End, 89, 5.4e-07
0, 1, End, 90, 5.41e-07
0, 1, End, 91, 7.85e-07
0, 1, End, 92, 5.44e-07
0, 1, End, 93, 6.74e-07
0, 1, End, 94, 7.27e-07
0, 1, End, 95, 5.66e-07
0, 1, End, 96, 7.97e-07
0, 1, End, 97, 5.55e-07
0, 1, End, 98, 8.29e-07
0, 1, End, 99, 8.05e-07
0, 1, End, 100, 7.17e-07
0, 4, End, 1, 8.63e-07
0, 4, End, 2, 1.771e-06
0, 4, End, 3, 7.118e-06
0, 4, End, 4, 1.941e-06
0, 4, End, 5, 1.046e-06
0, 4, End, 6, 1.0985e-05
0, 4, End, 7, 9.6e-07
0, 4, End, 8, 1.79e-06
0, 4, End, 9, 1.086e-06
0, 4, End, 10, 7.39e-07
0, 4, End, 11, 8.01e-07
0, 4, End, 12, 7.99e-07
0, 4, End, 13, 1.1353e-05
0, 4, End, 14, 9.06e-07
0, 4, End, 15, 9.43e-07
0, 4, End, 16, 5.75e-07
0, 4, End, 17, 9.22e-07
0, 4, End, 18, 6.67e-07
0, 4, End, 19, 9.05e-07
0, 4, End, 20, 6.48e-07
0, 4, End, 21, 1.081e-06
0, 4, End, 22, 6.04e-07
0, 4, End, 23, 9.46e-07
0, 4, End, 24, 7.08e-07
0, 4, End, 25, 7.89e-07
0, 4, End, 26, 5.93e-07
0, 4, End, 27, 8.53e-07
0, 4, End, 28, 7.43e-07
0, 4, End, 29, 8.88e-07
0, 4, End, 30, 7.01e-07
0, 4, End, 31, 8.65e-07
0, 4, End, 32, 5.44e-07
0, 4, End, 33, 8.22e-07
0, 4, End, 34, 9.53e-07
0, 4, End, 35, 8.7e-07
0, 4, End, 36, 5.46e-07
0, 4, End, 37, 8.63e-07
0, 4, End, 38, 5.61e-07
0, 4, End, 39, 2.464e-06
0, 4, End, 40, 7.58e-07
0, 4, End, 41, 6.85e-07
0, 4, End, 42, 5.57e-07
0, 4, End, 43, 1.761e-06
0, 4, End, 44, 5.45e-07
0, 4, End, 45, 5.66e-07
0, 4, End, 46, 7.57e-07
0, 4, End, 47, 7.04e-07
0, 4, End, 48, 5.45e-07
0, 4, End, 49, 6.88e-07
0, 4, End, 50, 6.03e-07
0, 4, End, 51, 5.42e-07
0, 4, End, 52, 5.92e-07
0, 4, End, 53, 5.47e-07
0, 4, End, 54, 5.41e-07
0, 4, End, 55, 6.24e-07
0, 4, End, 56, 2.193e-06
0, 4, End, 57, 6.94e-07
0, 4, End, 58, 5.46e-07
0, 4, End, 59, 5.79e-07
0, 4, End, 60, 5.78e-07
0, 4, End, 61, 5.43e-07
0, 4, End, 62, 5.72e-07
0, 4, End, 63, 5.42e-07
0, 4, End, 64, 5.79e-07
0, 4, End, 65, 6.87e-07
0, 4, End, 66, 5.41e-07
0, 4, End, 67, 6.46e-07
0, 4, End, 68, 5.7e-07
0, 4, End, 69, 6.85e-07
0, 4, End, 70, 6.41e-07
0, 4, End, 71, 6.64e-07
0, 4, End, 72, 5.44e-07
0, 4, End, 73, 7.09e-07
0, 4, End, 74, 5.54e-07
0, 4, End, 75, 8.59e-07
0, 4, End, 76, 5.79e-07
0, 4, End, 77, 5.7e-07
0, 4, End, 78, 6.77e-07
0, 4, End, 79, 6.82e-07
0, 4, End, 80, 5.48e-07
0, 4, End, 81, 6.7e-07
0, 4, End, 82, 6.06e-07
0, 4, End, 83, 6.76e-07
0, 4, End, 84, 5.77e-07
0, 4, End, 85, 6.79e-07
0, 4, End, 86, 5.55e-07
0, 4, End, 87, 5.81e-07
0, 4, End, 88, 5.74e-07
0, 4, End, 89, 7e-07
0, 4, End, 90, 5.86e-07
0, 4, End, 91, 7.24e-07
0, 4, End, 92, 5.84e-07
0, 4, End, 93, 8.14e-07
0, 4, End, 94, 5.96e-07
0, 4, End, 95, 5.86e-07
0, 4, End, 96, 5.51e-07
0, 4, End, 97, 6.99e-07
0, 4, End, 98, 7.55e-07
0, 4, End, 99, 6.83e-07
0, 4, End, 100, 6.15e-07
0, 16, End, 1, 1.034e-06
0, 16, End, 2, 1.0624e-05
0, 16, End, 3, 1.725e-06
0, 16, End, 4, 2.207e-06
0, 16, End, 5, 9.58e-07
0, 16, End, 6, 1.265e-05
0, 16, End, 7, 1.047e-06
0, 16, End, 8, 7.2e-07
0, 16, End, 9, 9.75e-07
0, 16, End, 10, 5.74e-07
0, 16, End, 11, 9.4e-07
0, 16, End, 12, 8.04e-07
0, 16, End, 13, 1.04e-06
0, 16, End, 14, 8.3e-07
0, 16, End, 15, 1.725e-06
0, 16, End, 16, 8.67e-07
0, 16, End, 17, 1.023e-06
0, 16, End, 18, 6.82e-07
0, 16, End, 19, 1.003e-06
0, 16, End, 20, 6.45e-07
0, 16, End, 21, 1.137e-06
0, 16, End, 22, 8.23e-07
0, 16, End, 23, 7.89e-07
0, 16, End, 24, 8.35e-07
0, 16, End, 25, 8.24e-07
0, 16, End, 26, 8.47e-07
0, 16, End, 27, 1.0859e-05
0, 16, End, 28, 8.48e-07
0, 16, End, 29, 9.31e-07
0, 16, End, 30, 8.17e-07
0, 16, End, 31, 7.04e-07
0, 16, End, 32, 8.79e-07
0, 16, End, 33, 7.45e-07
0, 16, End, 34, 1.206e-06
0, 16, End, 35, 9.22e-07
0, 16, End, 36, 5.81e-07
0, 16, End, 37, 9.28e-07
0, 16, End, 38, 4.37e-07
0, 16, End, 39, 6.49e-07
0, 16, End, 40, 4.57e-07
0, 16, End, 41, 4.26e-07
0, 16, End, 42, 4.43e-07
0, 16, End, 43, 4.39e-07
0, 16, End, 44, 4.44e-07
0, 16, End, 45, 1.827e-06
0, 16, End, 46, 4.42e-07
0, 16, End, 47, 4.82e-07
0, 16, End, 48, 1.2722e-05
0, 16, End, 49, 5.52e-07
0, 16, End, 50, 5.69e-07
0, 16, End, 51, 4.34e-07
0, 16, End, 52, 5.02e-07
0, 16, End, 53, 4.52e-07
0, 16, End, 54, 6.63e-07
0, 16, End, 55, 6.85e-07
0, 16, End, 56, 4.42e-07
0, 16, End, 57, 4.37e-07
0, 16, End, 58, 4.43e-07
0, 16, End, 59, 4.42e-07
0, 16, End, 60, 6.03e-07
0, 16, End, 61, 8.93e-07
