JOBID=28568
Size, Timepoint Index, Time
1K, End, 1, 1.645e-06
1K, End, 2, 1.653e-06
1K, End, 3, 1.705e-06
1K, End, 4, 1.691e-06
1K, End, 5, 1.523e-06
1K, End, 6, 1.526e-06
1K, End, 7, 1.673e-06
1K, End, 8, 1.687e-06
1K, End, 9, 1.718e-06
1K, End, 10, 1.668e-06
1K, End, 11, 1.735e-06
1K, End, 12, 1.778e-06
1K, End, 13, 1.736e-06
1K, End, 14, 1.705e-06
1K, End, 15, 1.571e-06
1K, End, 16, 1.578e-06
1K, End, 17, 1.618e-06
1K, End, 18, 1.444e-06
1K, End, 19, 1.626e-06
1K, End, 20, 1.625e-06
1K, End, 21, 1.598e-06
1K, End, 22, 1.407e-06
1K, End, 23, 1.406e-06
1K, End, 24, 1.412e-06
1K, End, 25, 1.417e-06
1K, End, 26, 1.413e-06
1K, End, 27, 1.404e-06
1K, End, 28, 1.424e-06
1K, End, 29, 1.494e-06
1K, End, 30, 1.683e-06
1K, End, 31, 1.441e-06
1K, End, 32, 1.607e-06
1K, End, 33, 1.621e-06
1K, End, 34, 1.656e-06
1K, End, 35, 1.461e-06
1K, End, 36, 1.682e-06
1K, End, 37, 1.667e-06
1K, End, 38, 1.667e-06
1K, End, 39, 1.671e-06
1K, End, 40, 1.534e-06
1K, End, 41, 1.69e-06
1K, End, 42, 1.746e-06
1K, End, 43, 1.517e-06
1K, End, 44, 1.555e-06
1K, End, 45, 1.545e-06
1K, End, 46, 1.71e-06
1K, End, 47, 1.618e-06
1K, End, 48, 1.582e-06
1K, End, 49, 1.62e-06
1K, End, 50, 1.611e-06
1K, End, 51, 1.432e-06
1K, End, 52, 1.4e-06
1K, End, 53, 1.449e-06
1K, End, 54, 1.495e-06
1K, End, 55, 1.585e-06
1K, End, 56, 1.453e-06
1K, End, 57, 1.393e-06
1K, End, 58, 1.577e-06
1K, End, 59, 1.395e-06
1K, End, 60, 1.561e-06
1K, End, 61, 1.645e-06
1K, End, 62, 1.557e-06
1K, End, 63, 1.59e-06
1K, End, 64, 1.576e-06
1K, End, 65, 1.425e-06
1K, End, 66, 1.593e-06
1K, End, 67, 1.412e-06
1K, End, 68, 1.63e-06
1K, End, 69, 1.579e-06
1K, End, 70, 1.591e-06
1K, End, 71, 1.569e-06
1K, End, 72, 1.446e-06
1K, End, 73, 1.621e-06
1K, End, 74, 1.618e-06
1K, End, 75, 1.606e-06
1K, End, 76, 1.598e-06
1K, End, 77, 1.439e-06
1K, End, 78, 1.637e-06
1K, End, 79, 1.649e-06
1K, End, 80, 1.404e-06
1K, End, 81, 1.386e-06
1K, End, 82, 1.425e-06
1K, End, 83, 1.415e-06
1K, End, 84, 1.419e-06
1K, End, 85, 1.608e-06
1K, End, 86, 1.544e-06
1K, End, 87, 1.408e-06
1K, End, 88, 1.408e-06
1K, End, 89, 1.416e-06
1K, End, 90, 1.408e-06
1K, End, 91, 1.58e-06
1K, End, 92, 1.609e-06
1K, End, 93, 1.629e-06
1K, End, 94, 1.589e-06
1K, End, 95, 1.622e-06
1K, End, 96, 1.586e-06
1K, End, 97, 1.653e-06
1K, End, 98, 1.637e-06
1K, End, 99, 1.409e-06
1K, End, 100, 1.387e-06
2K, End, 1, 1.95e-06
2K, End, 2, 1.929e-06
2K, End, 3, 1.999e-06
2K, End, 4, 1.89e-06
2K, End, 5, 1.891e-06
2K, End, 6, 1.874e-06
2K, End, 7, 1.906e-06
