JOBID=28635
Size, Timepoint, Index, Time
1024, End, 1, 2.042e-06
1024, End, 2, 1.854e-06
1024, End, 3, 1.962e-06
1024, End, 4, 1.887e-06
1024, End, 5, 1.939e-06
1024, End, 6, 1.807e-06
1024, End, 7, 1.942e-06
1024, End, 8, 1.831e-06
1024, End, 9, 1.958e-06
1024, End, 10, 1.851e-06
1024, End, 11, 1.905e-06
1024, End, 12, 1.829e-06
1024, End, 13, 1.996e-06
1024, End, 14, 1.821e-06
1024, End, 15, 1.835e-06
1024, End, 16, 1.871e-06
1024, End, 17, 1.998e-06
1024, End, 18, 1.836e-06
1024, End, 19, 1.81e-06
1024, End, 20, 1.985e-06
1024, End, 21, 1.965e-06
1024, End, 22, 1.92e-06
1024, End, 23, 1.939e-06
1024, End, 24, 1.803e-06
1024, End, 25, 1.991e-06
1024, End, 26, 1.974e-06
1024, End, 27, 1.865e-06
1024, End, 28, 1.854e-06
1024, End, 29, 1.735e-06
1024, End, 30, 1.881e-06
1024, End, 31, 1.979e-06
1024, End, 32, 2.377e-06
1024, End, 33, 2.048e-06
1024, End, 34, 1.943e-06
1024, End, 35, 1.968e-06
1024, End, 36, 2.109e-06
1024, End, 37, 2.009e-06
1024, End, 38, 1.854e-06
1024, End, 39, 1.955e-06
1024, End, 40, 1.833e-06
1024, End, 41, 1.891e-06
1024, End, 42, 1.958e-06
1024, End, 43, 1.884e-06
1024, End, 44, 1.818e-06
1024, End, 45, 1.907e-06
1024, End, 46, 1.89e-06
1024, End, 47, 1.923e-06
1024, End, 48, 1.936e-06
1024, End, 49, 1.929e-06
1024, End, 50, 1.866e-06
1024, End, 51, 1.907e-06
1024, End, 52, 1.868e-06
1024, End, 53, 1.995e-06
1024, End, 54, 1.894e-06
1024, End, 55, 2.03e-06
1024, End, 56, 2.047e-06
1024, End, 57, 1.855e-06
1024, End, 58, 2.011e-06
1024, End, 59, 2.092e-06
1024, End, 60, 2.028e-06
1024, End, 61, 1.755e-06
1024, End, 62, 1.704e-06
1024, End, 63, 1.854e-06
1024, End, 64, 1.881e-06
1024, End, 65, 1.881e-06
1024, End, 66, 1.799e-06
1024, End, 67, 1.854e-06
1024, End, 68, 1.86e-06
1024, End, 69, 1.917e-06
1024, End, 70, 2.113e-06
1024, End, 71, 2.126e-06
1024, End, 72, 1.931e-06
1024, End, 73, 1.847e-06
1024, End, 74, 1.744e-06
1024, End, 75, 1.827e-06
1024, End, 76, 2.077e-06
1024, End, 77, 1.877e-06
1024, End, 78, 1.918e-06
1024, End, 79, 1.863e-06
1024, End, 80, 2.08e-06
1024, End, 81, 1.906e-06
1024, End, 82, 1.818e-06
1024, End, 83, 1.786e-06
1024, End, 84, 1.863e-06
1024, End, 85, 1.993e-06
1024, End, 86, 2.064e-06
1024, End, 87, 1.791e-06
1024, End, 88, 1.892e-06
1024, End, 89, 2.094e-06
1024, End, 90, 1.887e-06
1024, End, 91, 1.769e-06
1024, End, 92, 1.722e-06
1024, End, 93, 2.585e-06
1024, End, 94, 2.062e-06
1024, End, 95, 1.929e-06
1024, End, 96, 1.926e-06
1024, End, 97, 1.898e-06
1024, End, 98, 1.96e-06
1024, End, 99, 2.055e-06
1024, End, 100, 1.85e-06
2048, End, 1, 3.536e-06
2048, End, 2, 3.688e-06
2048, End, 3, 3.361e-06
2048, End, 4, 3.542e-06
2048, End, 5, 3.557e-06
2048, End, 6, 3.496e-06
2048, End, 7, 3.395e-06
2048, End, 8, 3.748e-06
2048, End, 9, 3.782e-06
2048, End, 10, 3.557e-06
2048, End, 11, 3.412e-06
2048, End, 12, 3.38e-06
2048, End, 13, 3.34e-06
2048, End, 14, 3.343e-06
2048, End, 15, 3.407e-06
2048, End, 16, 3.534e-06
2048, End, 17, 3.585e-06
2048, End, 18, 3.79e-06
2048, End, 19, 3.428e-06
2048, End, 20, 4.335e-06
2048, End, 21, 4.02e-06
2048, End, 22, 3.602e-06
2048, End, 23, 3.777e-06
2048, End, 24, 3.685e-06
2048, End, 25, 3.559e-06
2048, End, 26, 3.572e-06
2048, End, 27, 3.603e-06
2048, End, 28, 3.836e-06
2048, End, 29, 3.622e-06
2048, End, 30, 3.748e-06
2048, End, 31, 3.722e-06
2048, End, 32, 3.618e-06
2048, End, 33, 3.533e-06
2048, End, 34, 3.677e-06
2048, End, 35, 3.766e-06
2048, End, 36, 3.452e-06
2048, End, 37, 3.606e-06
2048, End, 38, 3.361e-06
2048, End, 39, 3.468e-06
2048, End, 40, 3.744e-06
2048, End, 41, 3.429e-06
2048, End, 42, 3.951e-06
2048, End, 43, 3.903e-06
2048, End, 44, 3.531e-06
2048, End, 45, 3.383e-06
2048, End, 46, 3.511e-06
2048, End, 47, 3.792e-06
2048, End, 48, 3.43e-06
2048, End, 49, 3.46e-06
2048, End, 50, 3.654e-06
2048, End, 51, 3.573e-06
2048, End, 52, 3.591e-06
2048, End, 53, 3.464e-06
2048, End, 54, 3.714e-06
2048, End, 55, 3.517e-06
2048, End, 56, 3.565e-06
2048, End, 57, 3.769e-06
2048, End, 58, 3.536e-06
2048, End, 59, 3.34e-06
2048, End, 60, 3.792e-06
2048, End, 61, 3.754e-06
2048, End, 62, 3.263e-06
2048, End, 63, 3.355e-06
2048, End, 64, 3.367e-06
2048, End, 65, 3.831e-06
2048, End, 66, 3.572e-06
2048, End, 67, 3.447e-06
2048, End, 68, 3.481e-06
2048, End, 69, 4.044e-06
2048, End, 70, 3.575e-06
2048, End, 71, 3.653e-06
2048, End, 72, 3.719e-06
2048, End, 73, 3.616e-06
2048, End, 74, 3.409e-06
2048, End, 75, 3.663e-06
2048, End, 76, 3.559e-06
2048, End, 77, 3.631e-06
2048, End, 78, 3.637e-06
2048, End, 79, 3.347e-06
2048, End, 80, 3.581e-06
2048, End, 81, 3.916e-06
2048, End, 82, 3.721e-06
2048, End, 83, 3.507e-06
2048, End, 84, 3.453e-06
2048, End, 85, 3.524e-06
2048, End, 86, 3.534e-06
2048, End, 87, 3.631e-06
2048, End, 88, 3.389e-06
2048, End, 89, 3.48e-06
2048, End, 90, 3.689e-06
2048, End, 91, 3.308e-06
2048, End, 92, 3.583e-06
2048, End, 93, 3.445e-06
2048, End, 94, 3.384e-06
2048, End, 95, 3.453e-06
2048, End, 96, 3.752e-06
2048, End, 97, 3.724e-06
2048, End, 98, 3.496e-06
2048, End, 99, 3.734e-06
2048, End, 100, 3.459e-06
4096, End, 1, 6.187e-06
4096, End, 2, 6.338e-06
4096, End, 3, 6.29e-06
4096, End, 4, 7.085e-06
4096, End, 5, 6.516e-06
4096, End, 6, 6.784e-06
4096, End, 7, 6.506e-06
4096, End, 8, 6.793e-06
4096, End, 9, 6.62e-06
4096, End, 10, 6.376e-06
4096, End, 11, 6.446e-06
4096, End, 12, 6.49e-06
4096, End, 13, 7.035e-06
