JOBID=28579
Size, Timepoint, Index, Time
1024, End, 1, 7.288e-06
1024, End, 2, 6.678e-06
1024, End, 3, 6.061e-06
1024, End, 4, 6.905e-06
1024, End, 5, 5.589e-06
1024, End, 6, 6.083e-06
1024, End, 7, 6.388e-06
1024, End, 8, 8.837e-06
1024, End, 9, 4.4e-06
1024, End, 10, 5.124e-06
1024, End, 11, 4.985e-06
1024, End, 12, 4.866e-06
1024, End, 13, 5.772e-06
1024, End, 14, 4.757e-06
1024, End, 15, 4.736e-06
1024, End, 16, 4.962e-06
1024, End, 17, 4.8e-06
1024, End, 18, 4.783e-06
1024, End, 19, 1.1928e-05
1024, End, 20, 7.346e-06
1024, End, 21, 4.261e-06
1024, End, 22, 5.246e-06
1024, End, 23, 4.883e-06
1024, End, 24, 4.71e-06
1024, End, 25, 5.064e-06
1024, End, 26, 5.157e-06
1024, End, 27, 4.797e-06
1024, End, 28, 5.029e-06
1024, End, 29, 5.891e-06
1024, End, 30, 4.791e-06
1024, End, 31, 4.745e-06
1024, End, 32, 4.733e-06
1024, End, 33, 4.882e-06
1024, End, 34, 6.197e-06
1024, End, 35, 4.702e-06
1024, End, 36, 4.812e-06
1024, End, 37, 4.672e-06
1024, End, 38, 4.768e-06
1024, End, 39, 3.494e-06
1024, End, 40, 6.436e-06
1024, End, 41, 4.602e-06
1024, End, 42, 4.768e-06
1024, End, 43, 4.94e-06
1024, End, 44, 4.503e-06
1024, End, 45, 4.982e-06
1024, End, 46, 4.755e-06
1024, End, 47, 4.695e-06
1024, End, 48, 4.818e-06
1024, End, 49, 4.966e-06
1024, End, 50, 4.905e-06
1024, End, 51, 4.681e-06
1024, End, 52, 4.76e-06
1024, End, 53, 4.619e-06
1024, End, 54, 4.683e-06
1024, End, 55, 4.811e-06
1024, End, 56, 4.84e-06
1024, End, 57, 4.818e-06
1024, End, 58, 4.884e-06
1024, End, 59, 4.88e-06
1024, End, 60, 5.321e-06
1024, End, 61, 4.706e-06
1024, End, 62, 4.743e-06
1024, End, 63, 4.701e-06
1024, End, 64, 4.779e-06
1024, End, 65, 4.704e-06
1024, End, 66, 4.671e-06
1024, End, 67, 4.57e-06
1024, End, 68, 4.621e-06
1024, End, 69, 4.652e-06
1024, End, 70, 4.709e-06
1024, End, 71, 4.58e-06
1024, End, 72, 4.808e-06
1024, End, 73, 4.661e-06
1024, End, 74, 4.772e-06
1024, End, 75, 4.582e-06
1024, End, 76, 4.643e-06
1024, End, 77, 4.911e-06
1024, End, 78, 4.786e-06
1024, End, 79, 4.624e-06
1024, End, 80, 4.6e-06
1024, End, 81, 4.742e-06
1024, End, 82, 4.855e-06
1024, End, 83, 4.593e-06
1024, End, 84, 4.79e-06
1024, End, 85, 4.234e-06
1024, End, 86, 4.628e-06
1024, End, 87, 4.762e-06
1024, End, 88, 1.3115e-05
1024, End, 89, 3.101e-06
1024, End, 90, 4.88e-06
1024, End, 91, 4.625e-06
1024, End, 92, 4.648e-06
1024, End, 93, 5.403e-06
1024, End, 94, 4.754e-06
1024, End, 95, 4.548e-06
1024, End, 96, 5.063e-06
1024, End, 97, 4.578e-06
1024, End, 98, 4.678e-06
1024, End, 99, 4.697e-06
1024, End, 100, 4.635e-06
2048, End, 1, 7.865e-06
2048, End, 2, 7.804e-06
2048, End, 3, 7.586e-06
