JOBID=28597
Size, Timepoint, Index, Time
1024, End, 1, 3.283e-06
1024, End, 2, 7.545e-06
1024, End, 3, 2.82e-06
1024, End, 4, 3.137e-06
1024, End, 5, 2.947e-06
1024, End, 6, 1.677e-06
1024, End, 7, 1.598e-06
1024, End, 8, 1.588e-06
1024, End, 9, 1.542e-06
1024, End, 10, 4.841e-06
1024, End, 11, 1.907e-06
1024, End, 12, 1.612e-06
1024, End, 13, 1.835e-06
1024, End, 14, 1.629e-06
1024, End, 15, 1.994e-06
1024, End, 16, 2.034e-06
1024, End, 17, 1.885e-06
1024, End, 18, 1.644e-06
1024, End, 19, 1.149e-06
1024, End, 20, 1.804e-06
1024, End, 21, 1.568e-06
1024, End, 22, 1.604e-06
1024, End, 23, 1.678e-06
1024, End, 24, 1.776e-06
1024, End, 25, 1.756e-06
1024, End, 26, 1.535e-06
1024, End, 27, 1.547e-06
1024, End, 28, 1.523e-06
1024, End, 29, 1.526e-06
1024, End, 30, 1.529e-06
1024, End, 31, 1.52e-06
1024, End, 32, 1.504e-06
1024, End, 33, 1.495e-06
1024, End, 34, 3.712e-06
1024, End, 35, 1.589e-06
1024, End, 36, 1.726e-06
1024, End, 37, 1.748e-06
1024, End, 38, 1.522e-06
1024, End, 39, 1.505e-06
1024, End, 40, 1.524e-06
1024, End, 41, 1.842e-06
1024, End, 42, 4.028e-06
1024, End, 43, 1.688e-06
1024, End, 44, 1.763e-06
1024, End, 45, 1.552e-06
1024, End, 46, 1.544e-06
1024, End, 47, 1.52e-06
1024, End, 48, 1.723e-06
1024, End, 49, 1.729e-06
1024, End, 50, 1.794e-06
1024, End, 51, 1.587e-06
1024, End, 52, 1.527e-06
1024, End, 53, 1.752e-06
1024, End, 54, 1.636e-06
1024, End, 55, 1.76e-06
1024, End, 56, 1.571e-06
1024, End, 57, 1.695e-06
1024, End, 58, 1.817e-06
1024, End, 59, 1.613e-06
1024, End, 60, 1.515e-06
1024, End, 61, 1.988e-06
1024, End, 62, 1.516e-06
1024, End, 63, 1.502e-06
1024, End, 64, 1.735e-06
1024, End, 65, 1.535e-06
1024, End, 66, 3.713e-06
1024, End, 67, 1.744e-06
1024, End, 68, 1.756e-06
1024, End, 69, 1.725e-06
1024, End, 70, 1.78e-06
1024, End, 71, 1.558e-06
1024, End, 72, 1.527e-06
1024, End, 73, 2.019e-06
1024, End, 74, 4.141e-06
1024, End, 75, 1.149e-06
1024, End, 76, 1.951e-06
1024, End, 77, 1.429e-06
1024, End, 78, 1.678e-06
1024, End, 79, 1.781e-06
1024, End, 80, 1.798e-06
1024, End, 81, 1.592e-06
1024, End, 82, 1.575e-06
1024, End, 83, 1.572e-06
1024, End, 84, 1.557e-06
1024, End, 85, 1.714e-06
1024, End, 86, 1.579e-06
1024, End, 87, 1.551e-06
1024, End, 88, 1.757e-06
1024, End, 89, 1.758e-06
1024, End, 90, 1.594e-06
1024, End, 91, 1.752e-06
1024, End, 92, 1.55e-06
1024, End, 93, 1.532e-06
1024, End, 94, 1.73e-06
1024, End, 95, 1.784e-06
1024, End, 96, 1.777e-06
1024, End, 97, 1.759e-06
1024, End, 98, 3.768e-06
1024, End, 99, 1.686e-06
1024, End, 100, 1.607e-06
2048, End, 1, 5.859e-06
2048, End, 2, 3.069e-06
2048, End, 3, 2.987e-06
2048, End, 4, 2.918e-06
2048, End, 5, 3.167e-06
2048, End, 6, 1.882e-06
2048, End, 7, 2.017e-06
2048, End, 8, 1.902e-06
2048, End, 9, 4.813e-06
2048, End, 10, 1.27e-06
2048, End, 11, 1.886e-06
2048, End, 12, 2.147e-06
2048, End, 13, 1.78e-06
2048, End, 14, 1.949e-06
2048, End, 15, 1.743e-06
2048, End, 16, 2.29e-06
2048, End, 17, 1.685e-06
2048, End, 18, 1.983e-06
2048, End, 19, 1.888e-06
2048, End, 20, 1.746e-06
2048, End, 21, 1.794e-06
2048, End, 22, 1.9e-06
2048, End, 23, 1.903e-06
2048, End, 24, 1.692e-06
2048, End, 25, 1.24e-06
2048, End, 26, 1.704e-06
2048, End, 27, 1.664e-06
2048, End, 28, 2.196e-06
2048, End, 29, 2.107e-06
2048, End, 30, 1.83e-06
2048, End, 31, 1.706e-06
2048, End, 32, 1.665e-06
2048, End, 33, 4.348e-06
2048, End, 34, 1.907e-06
2048, End, 35, 1.843e-06
2048, End, 36, 1.849e-06
2048, End, 37, 1.696e-06
2048, End, 38, 1.675e-06
