JOBID=28554
Size, Timepoint, Index, Time
1K, End, 1, 0.0462787
1K, End, 2, 0.0462985
1K, End, 3, 0.0462827
1K, End, 4, 0.0463047
1K, End, 5, 0.0463129
1K, End, 6, 0.0463237
1K, End, 7, 0.0476485
1K, End, 8, 0.046336
1K, End, 9, 0.0468131
1K, End, 10, 0.0462974
1K, End, 11, 0.0467517
1K, End, 12, 0.0462741
1K, End, 13, 0.0462726
1K, End, 14, 0.0462889
1K, End, 15, 0.0462752
1K, End, 16, 0.0462746
1K, End, 17, 0.0462746
1K, End, 18, 0.0462861
1K, End, 19, 0.0462715
1K, End, 20, 0.0462843
1K, End, 21, 0.0462979
1K, End, 22, 0.0462782
1K, End, 23, 0.0462726
1K, End, 24, 0.0462874
1K, End, 25, 0.0463068
1K, End, 26, 0.0462818
1K, End, 27, 0.0462778
1K, End, 28, 0.0462857
1K, End, 29, 0.0462955
1K, End, 30, 0.0462753
1K, End, 31, 0.0462657
1K, End, 32, 0.0462802
1K, End, 33, 0.0462672
1K, End, 34, 0.0462885
1K, End, 35, 0.0462793
1K, End, 36, 0.0462823
1K, End, 37, 0.0463131
1K, End, 38, 0.0462941
1K, End, 39, 0.0462654
1K, End, 40, 0.0462816
1K, End, 41, 0.0462773
1K, End, 42, 0.0462968
1K, End, 43, 0.0462746
1K, End, 44, 0.0462747
1K, End, 45, 0.0462678
1K, End, 46, 0.0462713
1K, End, 47, 0.0462783
1K, End, 48, 0.0462905
1K, End, 49, 0.0462635
1K, End, 50, 0.0462845
1K, End, 51, 0.0504916
1K, End, 52, 0.0472383
1K, End, 53, 0.0473
1K, End, 54, 0.047246
1K, End, 55, 0.0472412
1K, End, 56, 0.0472456
1K, End, 57, 0.0472255
1K, End, 58, 0.0472381
1K, End, 59, 0.0472793
1K, End, 60, 0.0471842
1K, End, 61, 0.0472805
1K, End, 62, 0.0472261
1K, End, 63, 0.0472688
1K, End, 64, 0.0472128
1K, End, 65, 0.0471653
1K, End, 66, 0.0472163
1K, End, 67, 0.0472192
1K, End, 68, 0.0471595
1K, End, 69, 0.0471972
1K, End, 70, 0.0471938
1K, End, 71, 0.0472499
1K, End, 72, 0.0471842
1K, End, 73, 0.0472496
1K, End, 74, 0.0471774
1K, End, 75, 0.0472607
1K, End, 76, 0.0472139
1K, End, 77, 0.0472178
1K, End, 78, 0.0472219
1K, End, 79, 0.0472005
1K, End, 80, 0.0472526
1K, End, 81, 0.0472456
1K, End, 82, 0.0471705
1K, End, 83, 0.0472348
1K, End, 84, 0.0471769
1K, End, 85, 0.0472711
1K, End, 86, 0.0472015
1K, End, 87, 0.047206
1K, End, 88, 0.0472097
1K, End, 89, 0.0472365
1K, End, 90, 0.0472036
1K, End, 91, 0.0472154
1K, End, 92, 0.0472183
1K, End, 93, 0.0472357
1K, End, 94, 0.0471949
1K, End, 95, 0.047243
1K, End, 96, 0.0471813
1K, End, 97, 0.04724
1K, End, 98, 0.0471498
1K, End, 99, 0.0472204
1K, End, 100, 0.047275
2K, End, 1, 0.0938041
2K, End, 2, 0.093395
2K, End, 3, 0.0934434
2K, End, 4, 0.0934084
2K, End, 5, 0.0934356
2K, End, 6, 0.0934549
2K, End, 7, 0.0934333
2K, End, 8, 0.093407
2K, End, 9, 0.09343
2K, End, 10, 0.0934203
2K, End, 11, 0.0934637
2K, End, 12, 0.0933902
2K, End, 13, 0.0933961
2K, End, 14, 0.0933937
2K, End, 15, 0.0933923
2K, End, 16, 0.0933977
2K, End, 17, 0.0933897
2K, End, 18, 0.0934309
2K, End, 19, 0.0934228
2K, End, 20, 0.0934117
2K, End, 21, 0.096079
2K, End, 22, 0.0945958
2K, End, 23, 0.0945486
2K, End, 24, 0.0944992
2K, End, 25, 0.0945426
2K, End, 26, 0.0945253
2K, End, 27, 0.0945268
2K, End, 28, 0.0945208
2K, End, 29, 0.0945909
2K, End, 30, 0.0945609
2K, End, 31, 0.0945288
2K, End, 32, 0.0945189
2K, End, 33, 0.0945619
2K, End, 34, 0.0945038
2K, End, 35, 0.0945705
2K, End, 36, 0.0944605
2K, End, 37, 0.0945629
2K, End, 38, 0.0944833
2K, End, 39, 0.0946024
2K, End, 40, 0.0945382
2K, End, 41, 0.0945612
2K, End, 42, 0.0944596
2K, End, 43, 0.0945658
2K, End, 44, 0.0944887
2K, End, 45, 0.0945524
2K, End, 46, 0.0944339
2K, End, 47, 0.0946052
2K, End, 48, 0.0946146
2K, End, 49, 0.0946534
2K, End, 50, 0.0944682
2K, End, 51, 0.0946166
2K, End, 52, 0.09449
2K, End, 53, 0.0945858
2K, End, 54, 0.0944954
2K, End, 55, 0.0945837
2K, End, 56, 0.0945714
2K, End, 57, 0.0945665
2K, End, 58, 0.0945
2K, End, 59, 0.0946119
2K, End, 60, 0.0944985
2K, End, 61, 0.0946252
2K, End, 62, 0.094513
2K, End, 63, 0.0951388
2K, End, 64, 0.0945482
2K, End, 65, 0.0946137
2K, End, 66, 0.094623
2K, End, 67, 0.0945724
2K, End, 68, 0.0944999
2K, End, 69, 0.0945888
2K, End, 70, 0.0945709
2K, End, 71, 0.0945527
2K, End, 72, 0.094467
2K, End, 73, 0.0945493
2K, End, 74, 0.0944995
2K, End, 75, 0.0945542
2K, End, 76, 0.0945146
2K, End, 77, 0.0945747
2K, End, 78, 0.094482
2K, End, 79, 0.0945029
2K, End, 80, 0.0945104
2K, End, 81, 0.0945788
2K, End, 82, 0.0944747
2K, End, 83, 0.0945646
2K, End, 84, 0.0946622
2K, End, 85, 0.094593
2K, End, 86, 0.0945301
2K, End, 87, 0.0946324
2K, End, 88, 0.0946176
2K, End, 89, 0.0945286
2K, End, 90, 0.0944949
2K, End, 91, 0.0945512
2K, End, 92, 0.0944904
2K, End, 93, 0.0945412
2K, End, 94, 0.0945116
2K, End, 95, 0.0945914
2K, End, 96, 0.0944932
2K, End, 97, 0.0945434
2K, End, 98, 0.0945254
2K, End, 99, 0.0945479
2K, End, 100, 0.0945079
4K, End, 1, 0.185183
4K, End, 2, 0.185254
4K, End, 3, 0.185143
4K, End, 4, 0.185105
4K, End, 5, 0.185321
4K, End, 6, 0.190626
4K, End, 7, 0.189285
4K, End, 8, 0.189159
4K, End, 9, 0.189253
4K, End, 10, 0.18907
4K, End, 11, 0.189251
4K, End, 12, 0.189051
4K, End, 13, 0.189224
4K, End, 14, 0.189072
4K, End, 15, 0.189197
4K, End, 16, 0.189074
4K, End, 17, 0.189271
4K, End, 18, 0.189084
4K, End, 19, 0.189191
4K, End, 20, 0.189053
4K, End, 21, 0.189126
4K, End, 22, 0.188956
4K, End, 23, 0.188946
4K, End, 24, 0.188917
4K, End, 25, 0.189059
4K, End, 26, 0.188911
4K, End, 27, 0.190143
4K, End, 28, 0.188887
4K, End, 29, 0.189065
4K, End, 30, 0.188886
4K, End, 31, 0.189019
4K, End, 32, 0.188985
4K, End, 33, 0.188895
4K, End, 34, 0.188865
4K, End, 35, 0.189031
4K, End, 36, 0.188851
4K, End, 37, 0.189042
4K, End, 38, 0.188986
4K, End, 39, 0.189004
4K, End, 40, 0.188915
4K, End, 41, 0.189098
4K, End, 42, 0.188954
4K, End, 43, 0.189166
4K, End, 44, 0.188943
4K, End, 45, 0.189063
4K, End, 46, 0.188878
4K, End, 47, 0.18907
4K, End, 48, 0.188952
4K, End, 49, 0.189009
4K, End, 50, 0.188966
4K, End, 51, 0.189105
4K, End, 52, 0.188908
4K, End, 53, 0.189093
4K, End, 54, 0.18898
4K, End, 55, 0.189117
4K, End, 56, 0.188978
4K, End, 57, 0.1891
4K, End, 58, 0.18896
4K, End, 59, 0.189086
4K, End, 60, 0.188883
4K, End, 61, 0.18915
4K, End, 62, 0.188912
4K, End, 63, 0.189088
4K, End, 64, 0.188999
4K, End, 65, 0.189146
4K, End, 66, 0.188975
4K, End, 67, 0.189057
4K, End, 68, 0.188996
4K, End, 69, 0.189643
4K, End, 70, 0.188996
4K, End, 71, 0.189148
4K, End, 72, 0.188996
4K, End, 73, 0.189115
4K, End, 74, 0.188943
4K, End, 75, 0.189152
4K, End, 76, 0.188966
4K, End, 77, 0.189014
4K, End, 78, 0.188917
4K, End, 79, 0.189137
4K, End, 80, 0.188963
4K, End, 81, 0.189039
4K, End, 82, 0.188978
4K, End, 83, 0.189055
4K, End, 84, 0.188995
4K, End, 85, 0.189147
4K, End, 86, 0.189013
4K, End, 87, 0.189087
4K, End, 88, 0.189001
4K, End, 89, 0.189108
4K, End, 90, 0.189039
4K, End, 91, 0.189099
4K, End, 92, 0.188984
4K, End, 93, 0.189169
4K, End, 94, 0.188979
4K, End, 95, 0.189193
4K, End, 96, 0.188984
4K, End, 97, 0.189086
4K, End, 98, 0.189004
4K, End, 99, 0.189077
