JOBID=28576
Size, Timepoint, Index, Time
1024, End, 1, 0.00268839
1024, End, 2, 0.00276302
1024, End, 3, 0.00270631
1024, End, 4, 0.00267643
1024, End, 5, 0.0026892
1024, End, 6, 0.00269027
1024, End, 7, 0.00276814
1024, End, 8, 0.00276396
1024, End, 9, 0.00267433
1024, End, 10, 0.00267972
1024, End, 11, 0.00267562
1024, End, 12, 0.00267912
1024, End, 13, 0.00268051
1024, End, 14, 0.00268223
1024, End, 15, 0.00268315
1024, End, 16, 0.00267823
1024, End, 17, 0.0026859
1024, End, 18, 0.00268121
1024, End, 19, 0.00268468
1024, End, 20, 0.00268561
1024, End, 21, 0.00274824
1024, End, 22, 0.00272873
1024, End, 23, 0.00267275
1024, End, 24, 0.00267869
1024, End, 25, 0.00267835
1024, End, 26, 0.00268271
1024, End, 27, 0.00267979
1024, End, 28, 0.00267808
1024, End, 29, 0.00268358
1024, End, 30, 0.00268631
1024, End, 31, 0.00268067
1024, End, 32, 0.00267942
1024, End, 33, 0.00268473
1024, End, 34, 0.00267608
1024, End, 35, 0.00267465
1024, End, 36, 0.00268551
1024, End, 37, 0.00267704
1024, End, 38, 0.00268393
1024, End, 39, 0.0026758
1024, End, 40, 0.0026757
1024, End, 41, 0.00267634
1024, End, 42, 0.0026817
1024, End, 43, 0.00267747
1024, End, 44, 0.0026853
1024, End, 45, 0.00267777
1024, End, 46, 0.00268405
1024, End, 47, 0.00268301
1024, End, 48, 0.0026833
1024, End, 49, 0.00267764
1024, End, 50, 0.00268243
1024, End, 51, 0.00267809
1024, End, 52, 0.00267863
1024, End, 53, 0.00268578
1024, End, 54, 0.00269364
1024, End, 55, 0.00268158
1024, End, 56, 0.00267783
1024, End, 57, 0.0026879
1024, End, 58, 0.00269631
1024, End, 59, 0.00276642
1024, End, 60, 0.0026824
1024, End, 61, 0.00268328
1024, End, 62, 0.00268529
1024, End, 63, 0.00268557
1024, End, 64, 0.0026805
1024, End, 65, 0.0026897
1024, End, 66, 0.00268616
1024, End, 67, 0.00268539
1024, End, 68, 0.00268716
1024, End, 69, 0.00268177
1024, End, 70, 0.00268508
1024, End, 71, 0.00268368
1024, End, 72, 0.00267925
1024, End, 73, 0.00268155
1024, End, 74, 0.00268148
1024, End, 75, 0.0026765
1024, End, 76, 0.00267889
1024, End, 77, 0.00268507
1024, End, 78, 0.00267855
1024, End, 79, 0.00268413
1024, End, 80, 0.00268203
1024, End, 81, 0.00268266
1024, End, 82, 0.00267547
1024, End, 83, 0.00267642
1024, End, 84, 0.00268261
1024, End, 85, 0.00267568
1024, End, 86, 0.00267954
1024, End, 87, 0.00267309
1024, End, 88, 0.00268323
1024, End, 89, 0.00268367
1024, End, 90, 0.00268468
1024, End, 91, 0.00268057
1024, End, 92, 0.00268418
1024, End, 93, 0.00269156
1024, End, 94, 0.00268314
1024, End, 95, 0.00268093
1024, End, 96, 0.00278227
1024, End, 97, 0.00267863
1024, End, 98, 0.0026814
1024, End, 99, 0.00267947
1024, End, 100, 0.00268388
2048, End, 1, 0.00562998
2048, End, 2, 0.00562799
2048, End, 3, 0.00562938
2048, End, 4, 0.00562652
2048, End, 5, 0.00562354
2048, End, 6, 0.00564808
2048, End, 7, 0.00562182
2048, End, 8, 0.0056281
2048, End, 9, 0.00562576
2048, End, 10, 0.00562788
2048, End, 11, 0.00562397
2048, End, 12, 0.00569172
2048, End, 13, 0.00562854
2048, End, 14, 0.00562486
2048, End, 15, 0.00562364
2048, End, 16, 0.00561736
2048, End, 17, 0.00562447
2048, End, 18, 0.00562079
2048, End, 19, 0.00563875
2048, End, 20, 0.00562267
2048, End, 21, 0.00562341
2048, End, 22, 0.00561745
2048, End, 23, 0.00562529
2048, End, 24, 0.00565493
2048, End, 25, 0.0056257
2048, End, 26, 0.00560974
2048, End, 27, 0.00597924
2048, End, 28, 0.00561934
2048, End, 29, 0.00591953
2048, End, 30, 0.00562221
2048, End, 31, 0.00562433
2048, End, 32, 0.00562413
2048, End, 33, 0.00561367
2048, End, 34, 0.0056269
2048, End, 35, 0.00562836
2048, End, 36, 0.00562419
2048, End, 37, 0.00562759
2048, End, 38, 0.00563128
2048, End, 39, 0.00562696
2048, End, 40, 0.00565715
2048, End, 41, 0.00563122
