JOBID=28556
Size, Index, Time
1K, End, 1, 0.00316851
1K, End, 2, 0.00310656
1K, End, 3, 0.00310586
1K, End, 4, 0.00311852
1K, End, 5, 0.00310144
1K, End, 6, 0.00310001
1K, End, 7, 0.00311224
1K, End, 8, 0.00310636
1K, End, 9, 0.00311991
1K, End, 10, 0.00310828
1K, End, 11, 0.00311795
1K, End, 12, 0.003104
1K, End, 13, 0.00311164
1K, End, 14, 0.00312051
1K, End, 15, 0.00311898
1K, End, 16, 0.00310853
1K, End, 17, 0.0031091
1K, End, 18, 0.00311353
1K, End, 19, 0.00311889
1K, End, 20, 0.00312643
1K, End, 21, 0.00313152
1K, End, 22, 0.00311407
1K, End, 23, 0.00315962
1K, End, 24, 0.00317227
1K, End, 25, 0.0031193
1K, End, 26, 0.00311935
1K, End, 27, 0.00309947
1K, End, 28, 0.00311923
1K, End, 29, 0.00310468
1K, End, 30, 0.00310004
1K, End, 31, 0.00309748
1K, End, 32, 0.00310975
1K, End, 33, 0.00311189
1K, End, 34, 0.003112
1K, End, 35, 0.00310769
1K, End, 36, 0.00310606
1K, End, 37, 0.00313968
1K, End, 38, 0.00313056
1K, End, 39, 0.00310301
1K, End, 40, 0.00309727
1K, End, 41, 0.00311039
1K, End, 42, 0.00310349
1K, End, 43, 0.00310113
1K, End, 44, 0.00310248
1K, End, 45, 0.00310962
1K, End, 46, 0.00310721
1K, End, 47, 0.00310349
1K, End, 48, 0.00310883
1K, End, 49, 0.00310374
1K, End, 50, 0.00311688
1K, End, 51, 0.00309955
1K, End, 52, 0.00310646
1K, End, 53, 0.00310446
1K, End, 54, 0.00310291
1K, End, 55, 0.0031022
1K, End, 56, 0.00310504
1K, End, 57, 0.00309042
1K, End, 58, 0.00309886
1K, End, 59, 0.00309655
1K, End, 60, 0.00309895
1K, End, 61, 0.00309036
1K, End, 62, 0.00310861
1K, End, 63, 0.00333055
1K, End, 64, 0.00309474
1K, End, 65, 0.00309253
1K, End, 66, 0.00309582
1K, End, 67, 0.00310916
1K, End, 68, 0.00310039
1K, End, 69, 0.00310334
1K, End, 70, 0.00309197
1K, End, 71, 0.00309867
1K, End, 72, 0.00309707
1K, End, 73, 0.00310844
1K, End, 74, 0.00310073
1K, End, 75, 0.00310048
1K, End, 76, 0.00309066
1K, End, 77, 0.00309438
1K, End, 78, 0.00311241
1K, End, 79, 0.00309929
1K, End, 80, 0.00310169
1K, End, 81, 0.00309111
1K, End, 82, 0.0031067
1K, End, 83, 0.0031038
1K, End, 84, 0.00318219
1K, End, 85, 0.00315856
1K, End, 86, 0.00309254
1K, End, 87, 0.00309694
1K, End, 88, 0.00310341
1K, End, 89, 0.00309541
1K, End, 90, 0.00308706
1K, End, 91, 0.00309579
1K, End, 92, 0.00309912
1K, End, 93, 0.00309217
1K, End, 94, 0.00313964
1K, End, 95, 0.00316946
1K, End, 96, 0.00308454
1K, End, 97, 0.00309708
1K, End, 98, 0.00310096
1K, End, 99, 0.00310146
1K, End, 100, 0.00308632
2K, End, 1, 0.00638974
2K, End, 2, 0.0063675
2K, End, 3, 0.00637083
2K, End, 4, 0.00636983
2K, End, 5, 0.00637109
2K, End, 6, 0.0063678
2K, End, 7, 0.00636878
2K, End, 8, 0.00637868
2K, End, 9, 0.00637344
2K, End, 10, 0.00637505
2K, End, 11, 0.00640202
2K, End, 12, 0.00639849
2K, End, 13, 0.00636543
2K, End, 14, 0.00637068
2K, End, 15, 0.00636897
2K, End, 16, 0.0063718
2K, End, 17, 0.0063869
2K, End, 18, 0.00638391
2K, End, 19, 0.00637585
2K, End, 20, 0.00637639
2K, End, 21, 0.00636615
2K, End, 22, 0.00638331
2K, End, 23, 0.00637676
2K, End, 24, 0.00638892
2K, End, 25, 0.0063691
2K, End, 26, 0.00637703
2K, End, 27, 0.00656981
2K, End, 28, 0.0063724
2K, End, 29, 0.00638285
2K, End, 30, 0.00654789
2K, End, 31, 0.00644234
2K, End, 32, 0.00644726
2K, End, 33, 0.0063641
2K, End, 34, 0.00637726
2K, End, 35, 0.00648512
2K, End, 36, 0.00637892
2K, End, 37, 0.00640736
2K, End, 38, 0.00640838
2K, End, 39, 0.00637669
2K, End, 40, 0.00638126
2K, End, 41, 0.006376
2K, End, 42, 0.00636541
2K, End, 43, 0.00636206
2K, End, 44, 0.00636836
2K, End, 45, 0.00638533
2K, End, 46, 0.00639427
2K, End, 47, 0.0064098
2K, End, 48, 0.00637187
2K, End, 49, 0.00636438
2K, End, 50, 0.0063741
2K, End, 51, 0.00636806
2K, End, 52, 0.0063817
2K, End, 53, 0.00635471
2K, End, 54, 0.00637011
2K, End, 55, 0.00638567
2K, End, 56, 0.00638039
2K, End, 57, 0.00637608
2K, End, 58, 0.00638455
2K, End, 59, 0.00637556
2K, End, 60, 0.00639578
2K, End, 61, 0.00637945
2K, End, 62, 0.00646951
2K, End, 63, 0.00635909
2K, End, 64, 0.00637913
2K, End, 65, 0.00644596
2K, End, 66, 0.00638565
2K, End, 67, 0.00637104
2K, End, 68, 0.0063765
2K, End, 69, 0.00637505
2K, End, 70, 0.00637312
2K, End, 71, 0.00637329
2K, End, 72, 0.00637808
2K, End, 73, 0.00649985
2K, End, 74, 0.00638071
2K, End, 75, 0.00637928
2K, End, 76, 0.00648843
2K, End, 77, 0.00636877
2K, End, 78, 0.00636908
2K, End, 79, 0.00636506
2K, End, 80, 0.006373
2K, End, 81, 0.00638306
2K, End, 82, 0.00637382
2K, End, 83, 0.00637981
2K, End, 84, 0.00637623
2K, End, 85, 0.00637671
2K, End, 86, 0.00637227
2K, End, 87, 0.00637489
2K, End, 88, 0.00638176
2K, End, 89, 0.00636428
2K, End, 90, 0.00638726
2K, End, 91, 0.00637717
2K, End, 92, 0.00639047
2K, End, 93, 0.00645485
2K, End, 94, 0.00638604
2K, End, 95, 0.00637849
2K, End, 96, 0.00638891
2K, End, 97, 0.00636488
2K, End, 98, 0.00636884
2K, End, 99, 0.00636572
2K, End, 100, 0.00637988
4K, End, 1, 0.0123419
4K, End, 2, 0.0123202
4K, End, 3, 0.0125403
4K, End, 4, 0.0123405
4K, End, 5, 0.0123975
4K, End, 6, 0.0123136
4K, End, 7, 0.0126095
4K, End, 8, 0.0124168
4K, End, 9, 0.0123457
4K, End, 10, 0.0125022
4K, End, 11, 0.0123671
4K, End, 12, 0.012324
4K, End, 13, 0.0123293
4K, End, 14, 0.0123446
4K, End, 15, 0.0123417
4K, End, 16, 0.0123106
4K, End, 17, 0.012351
4K, End, 18, 0.0123734
4K, End, 19, 0.0123388
4K, End, 20, 0.0123951
4K, End, 21, 0.0124275
4K, End, 22, 0.0123279
4K, End, 23, 0.0123224
4K, End, 24, 0.0122851
4K, End, 25, 0.012349
4K, End, 26, 0.0123326
4K, End, 27, 0.0123287
4K, End, 28, 0.0122933
4K, End, 29, 0.0123212
4K, End, 30, 0.0123248
4K, End, 31, 0.0124538
4K, End, 32, 0.012308
4K, End, 33, 0.0124467
4K, End, 34, 0.0124615
4K, End, 35, 0.0123422
4K, End, 36, 0.0123138
4K, End, 37, 0.0123919
4K, End, 38, 0.0123168
4K, End, 39, 0.0123121
4K, End, 40, 0.0124173
4K, End, 41, 0.0123704
4K, End, 42, 0.0123647
4K, End, 43, 0.0123356
4K, End, 44, 0.0123648
4K, End, 45, 0.0123549
4K, End, 46, 0.0123536
4K, End, 47, 0.0123558
4K, End, 48, 0.0123414
4K, End, 49, 0.0123346
4K, End, 50, 0.0123742
4K, End, 51, 0.0123082
4K, End, 52, 0.0123295
