JOBID=28555
Size, Index, Time
1K, End, 1, 0.00271395
1K, End, 2, 0.00271039
1K, End, 3, 0.00272856
1K, End, 4, 0.00274885
1K, End, 5, 0.00272826
1K, End, 6, 0.00271648
1K, End, 7, 0.0027144
1K, End, 8, 0.00271959
1K, End, 9, 0.00272265
1K, End, 10, 0.00272447
1K, End, 11, 0.00271961
1K, End, 12, 0.00271508
1K, End, 13, 0.00272013
1K, End, 14, 0.00272672
1K, End, 15, 0.00271716
1K, End, 16, 0.00271613
1K, End, 17, 0.00271681
1K, End, 18, 0.00272796
1K, End, 19, 0.00274221
1K, End, 20, 0.0027237
1K, End, 21, 0.00271689
1K, End, 22, 0.00271932
1K, End, 23, 0.00271139
1K, End, 24, 0.00271754
1K, End, 25, 0.0027237
1K, End, 26, 0.00271733
1K, End, 27, 0.00272173
1K, End, 28, 0.00279974
1K, End, 29, 0.0027233
1K, End, 30, 0.00271551
1K, End, 31, 0.0027178
1K, End, 32, 0.00272632
1K, End, 33, 0.00272664
1K, End, 34, 0.00273271
1K, End, 35, 0.0027295
1K, End, 36, 0.00271686
1K, End, 37, 0.00271102
1K, End, 38, 0.00272128
1K, End, 39, 0.00271362
1K, End, 40, 0.00272481
1K, End, 41, 0.00271619
1K, End, 42, 0.00273507
1K, End, 43, 0.0027118
1K, End, 44, 0.00272485
1K, End, 45, 0.00272576
1K, End, 46, 0.00272111
1K, End, 47, 0.00275374
1K, End, 48, 0.0027414
1K, End, 49, 0.00274192
1K, End, 50, 0.00276322
1K, End, 51, 0.0027451
1K, End, 52, 0.0027418
1K, End, 53, 0.0027553
1K, End, 54, 0.00274235
1K, End, 55, 0.00272728
1K, End, 56, 0.00275501
1K, End, 57, 0.00272259
1K, End, 58, 0.00271177
1K, End, 59, 0.00281218
1K, End, 60, 0.00270765
1K, End, 61, 0.00272062
1K, End, 62, 0.00281003
1K, End, 63, 0.00274956
1K, End, 64, 0.00274605
1K, End, 65, 0.00272611
1K, End, 66, 0.002723
1K, End, 67, 0.00272283
1K, End, 68, 0.00272658
1K, End, 69, 0.00272406
1K, End, 70, 0.00272032
1K, End, 71, 0.00271945
1K, End, 72, 0.00271794
1K, End, 73, 0.00271175
1K, End, 74, 0.00271395
1K, End, 75, 0.00271766
1K, End, 76, 0.00273011
1K, End, 77, 0.00273284
1K, End, 78, 0.00273309
1K, End, 79, 0.00272931
1K, End, 80, 0.00272236
1K, End, 81, 0.00271655
1K, End, 82, 0.00271184
1K, End, 83, 0.00272687
1K, End, 84, 0.00271867
1K, End, 85, 0.00273021
1K, End, 86, 0.00273138
1K, End, 87, 0.00272843
1K, End, 88, 0.00272685
1K, End, 89, 0.00271448
1K, End, 90, 0.00272338
1K, End, 91, 0.00271897
1K, End, 92, 0.00272336
1K, End, 93, 0.00270731
1K, End, 94, 0.00270625
1K, End, 95, 0.00272008
1K, End, 96, 0.00277868
1K, End, 97, 0.00272958
1K, End, 98, 0.00271901
1K, End, 99, 0.0027237
1K, End, 100, 0.002716
2K, End, 1, 0.00536681
2K, End, 2, 0.00536348
2K, End, 3, 0.00544595
2K, End, 4, 0.00540695
2K, End, 5, 0.00546454
2K, End, 6, 0.0053652
2K, End, 7, 0.00537466
2K, End, 8, 0.0053736
2K, End, 9, 0.00536991
2K, End, 10, 0.00536423
2K, End, 11, 0.00536636
2K, End, 12, 0.00536573
2K, End, 13, 0.00537113
2K, End, 14, 0.00537183
2K, End, 15, 0.00536769
2K, End, 16, 0.00537265
2K, End, 17, 0.00536296
2K, End, 18, 0.0053702
2K, End, 19, 0.00536919
2K, End, 20, 0.00537354
2K, End, 21, 0.00536016
2K, End, 22, 0.00536653
2K, End, 23, 0.00544903
2K, End, 24, 0.0053713
2K, End, 25, 0.00537207
2K, End, 26, 0.0053841
2K, End, 27, 0.00536568
2K, End, 28, 0.00537312
2K, End, 29, 0.00536852
2K, End, 30, 0.00535995
2K, End, 31, 0.00536838
2K, End, 32, 0.00538168
2K, End, 33, 0.00536321
2K, End, 34, 0.00536306
2K, End, 35, 0.00538409
2K, End, 36, 0.00539407
2K, End, 37, 0.00537877
2K, End, 38, 0.00543301
2K, End, 39, 0.00541659
2K, End, 40, 0.00538509
2K, End, 41, 0.00538353
2K, End, 42, 0.00545611
2K, End, 43, 0.00537254
2K, End, 44, 0.00537561
2K, End, 45, 0.0053697
2K, End, 46, 0.00536518
2K, End, 47, 0.00541706
2K, End, 48, 0.00538369
2K, End, 49, 0.00537902
2K, End, 50, 0.00537917
2K, End, 51, 0.00537854
2K, End, 52, 0.00538875
2K, End, 53, 0.00541278
2K, End, 54, 0.0053886
2K, End, 55, 0.00537123
2K, End, 56, 0.00538171
2K, End, 57, 0.00536695
2K, End, 58, 0.00537896
2K, End, 59, 0.00536678
2K, End, 60, 0.00537426
2K, End, 61, 0.00538525
2K, End, 62, 0.00537831
2K, End, 63, 0.00538053
2K, End, 64, 0.00536853
2K, End, 65, 0.00536366
2K, End, 66, 0.00536959
2K, End, 67, 0.00538012
2K, End, 68, 0.0053746
2K, End, 69, 0.00537877
2K, End, 70, 0.00568001
2K, End, 71, 0.00577939
2K, End, 72, 0.005377
2K, End, 73, 0.00537478
2K, End, 74, 0.00547141
2K, End, 75, 0.00537676
2K, End, 76, 0.00536185
2K, End, 77, 0.00535941
2K, End, 78, 0.0053817
2K, End, 79, 0.00546857
2K, End, 80, 0.0053762
2K, End, 81, 0.0053714
2K, End, 82, 0.00538123
2K, End, 83, 0.0053792
2K, End, 84, 0.00537494
2K, End, 85, 0.00537962
2K, End, 86, 0.00537015
2K, End, 87, 0.00539087
2K, End, 88, 0.00537666
2K, End, 89, 0.00538791
2K, End, 90, 0.00538187
2K, End, 91, 0.00537535
2K, End, 92, 0.00538321
2K, End, 93, 0.00537691
2K, End, 94, 0.0053829
2K, End, 95, 0.00537537
2K, End, 96, 0.00537244
2K, End, 97, 0.00538761
2K, End, 98, 0.00537482
2K, End, 99, 0.00559676
2K, End, 100, 0.00542275
4K, End, 1, 0.0106179
4K, End, 2, 0.0106169
4K, End, 3, 0.0106167
4K, End, 4, 0.0106203
4K, End, 5, 0.0106085
4K, End, 6, 0.0106186
4K, End, 7, 0.0106206
4K, End, 8, 0.0106066
4K, End, 9, 0.010732
4K, End, 10, 0.0109114
4K, End, 11, 0.0106095
4K, End, 12, 0.0106215
4K, End, 13, 0.0106479
4K, End, 14, 0.0106222
4K, End, 15, 0.0106208
4K, End, 16, 0.010701
4K, End, 17, 0.0108936
4K, End, 18, 0.010697
4K, End, 19, 0.010635
4K, End, 20, 0.0106293
4K, End, 21, 0.0106148
4K, End, 22, 0.0106421
4K, End, 23, 0.0106312
4K, End, 24, 0.0106364
4K, End, 25, 0.0106275
4K, End, 26, 0.0106258
4K, End, 27, 0.0106276
4K, End, 28, 0.0106352
4K, End, 29, 0.0106193
4K, End, 30, 0.0106296
4K, End, 31, 0.0109254
4K, End, 32, 0.0106291
4K, End, 33, 0.0106192
4K, End, 34, 0.0106165
4K, End, 35, 0.0106222
4K, End, 36, 0.0107394
4K, End, 37, 0.0108003
4K, End, 38, 0.0106336
4K, End, 39, 0.0106453
4K, End, 40, 0.0106299
4K, End, 41, 0.0106285
4K, End, 42, 0.0106339
4K, End, 43, 0.0107631
4K, End, 44, 0.01063
4K, End, 45, 0.010642
4K, End, 46, 0.0106285
4K, End, 47, 0.0107251
4K, End, 48, 0.010633
4K, End, 49, 0.0106304
4K, End, 50, 0.0108314
4K, End, 51, 0.0106342
4K, End, 52, 0.0106408
4K, End, 53, 0.0106122
4K, End, 54, 0.0106871
4K, End, 55, 0.0108571
4K, End, 56, 0.010755
4K, End, 57, 0.0106197
4K, End, 58, 0.0106327
4K, End, 59, 0.0107566
4K, End, 60, 0.0106487
4K, End, 61, 0.0106242
4K, End, 62, 0.0106423
4K, End, 63, 0.0106267
4K, End, 64, 0.0107215
4K, End, 65, 0.0106272
4K, End, 66, 0.0106308
4K, End, 67, 0.0106256
4K, End, 68, 0.0106334
4K, End, 69, 0.0106194
4K, End, 70, 0.0106348
4K, End, 71, 0.0106797
4K, End, 72, 0.010619
4K, End, 73, 0.0109022
4K, End, 74, 0.0106255
4K, End, 75, 0.0106143
4K, End, 76, 0.0106304
4K, End, 77, 0.0106429
4K, End, 78, 0.0106412
4K, End, 79, 0.010637
4K, End, 80, 0.0106256
4K, End, 81, 0.0106089
4K, End, 82, 0.0106264
4K, End, 83, 0.0106271
4K, End, 84, 0.0106203
4K, End, 85, 0.0106229
4K, End, 86, 0.0106298
4K, End, 87, 0.0106389
4K, End, 88, 0.0106377
4K, End, 89, 0.0106177
4K, End, 90, 0.0107475
4K, End, 91, 0.0106434
4K, End, 92, 0.0107348
4K, End, 93, 0.0106283
4K, End, 94, 0.0107484
4K, End, 95, 0.01065
4K, End, 96, 0.0106324
4K, End, 97, 0.0106425
4K, End, 98, 0.0106267
4K, End, 99, 0.0106467
4K, End, 100, 0.0106469
8K, End, 1, 0.0217291
8K, End, 2, 0.0216242
8K, End, 3, 0.0213992
8K, End, 4, 0.0213787
8K, End, 5, 0.02134
8K, End, 6, 0.0215717
8K, End, 7, 0.0214798
8K, End, 8, 0.0213808
8K, End, 9, 0.0213725
8K, End, 10, 0.0213655
8K, End, 11, 0.0213756
8K, End, 12, 0.021388
8K, End, 13, 0.0213836
8K, End, 14, 0.021782
8K, End, 15, 0.0214115
8K, End, 16, 0.0214903
8K, End, 17, 0.0214065
8K, End, 18, 0.0213992
8K, End, 19, 0.0214027
8K, End, 20, 0.0214039
8K, End, 21, 0.0214832
8K, End, 22, 0.0213641
8K, End, 23, 0.0213851
8K, End, 24, 0.0213879
8K, End, 25, 0.0215001
8K, End, 26, 0.0214079
8K, End, 27, 0.021408
8K, End, 28, 0.0214198
8K, End, 29, 0.0215207
8K, End, 30, 0.0214391
8K, End, 31, 0.021352
8K, End, 32, 0.0216286
8K, End, 33, 0.0213744
8K, End, 34, 0.0214617
8K, End, 35, 0.021373
8K, End, 36, 0.0213752
8K, End, 37, 0.0213621
8K, End, 38, 0.0213656
8K, End, 39, 0.0213854
8K, End, 40, 0.0213642
8K, End, 41, 0.0213763
8K, End, 42, 0.0213809
8K, End, 43, 0.021481
8K, End, 44, 0.0214683
8K, End, 45, 0.0213755
8K, End, 46, 0.0213576
8K, End, 47, 0.0213648
8K, End, 48, 0.021381
8K, End, 49, 0.021531
8K, End, 50, 0.0214061
8K, End, 51, 0.021387
8K, End, 52, 0.0213828
8K, End, 53, 0.0215333
8K, End, 54, 0.0213949
8K, End, 55, 0.0215068
8K, End, 56, 0.02154
8K, End, 57, 0.0215888
8K, End, 58, 0.0215705
8K, End, 59, 0.0213679
8K, End, 60, 0.0214645
8K, End, 61, 0.0214825
8K, End, 62, 0.0215004
8K, End, 63, 0.0213835
8K, End, 64, 0.0213702
8K, End, 65, 0.0213747
8K, End, 66, 0.0213639
8K, End, 67, 0.0213905
8K, End, 68, 0.0214985
8K, End, 69, 0.0213973
8K, End, 70, 0.0214032
8K, End, 71, 0.0214143
8K, End, 72, 0.0215328
8K, End, 73, 0.0214053
8K, End, 74, 0.02156
8K, End, 75, 0.0213698
8K, End, 76, 0.0214904
