JOBID=28577
Size, Timepoint, Index, Time
1024, End, 1, 0.0452401
1024, End, 2, 0.0452366
1024, End, 3, 0.0452343
1024, End, 4, 0.0452514
1024, End, 5, 0.0453514
1024, End, 6, 0.0454314
1024, End, 7, 0.0452244
1024, End, 8, 0.0452187
1024, End, 9, 0.0452284
1024, End, 10, 0.0452405
1024, End, 11, 0.0452224
1024, End, 12, 0.0452233
1024, End, 13, 0.045233
1024, End, 14, 0.0455087
1024, End, 15, 0.0452232
1024, End, 16, 0.045236
1024, End, 17, 0.0452204
1024, End, 18, 0.0452462
1024, End, 19, 0.0452292
1024, End, 20, 0.0452245
1024, End, 21, 0.0452407
1024, End, 22, 0.0452279
1024, End, 23, 0.045237
1024, End, 24, 0.0452554
1024, End, 25, 0.0455263
1024, End, 26, 0.0452475
1024, End, 27, 0.0452379
1024, End, 28, 0.0452337
1024, End, 29, 0.0452607
1024, End, 30, 0.0452536
1024, End, 31, 0.0452401
1024, End, 32, 0.0452594
1024, End, 33, 0.0452445
1024, End, 34, 0.0452502
1024, End, 35, 0.0452464
1024, End, 36, 0.0452501
1024, End, 37, 0.0452581
1024, End, 38, 0.0452843
1024, End, 39, 0.0454074
1024, End, 40, 0.0453901
1024, End, 41, 0.0452543
1024, End, 42, 0.0452478
1024, End, 43, 0.0452488
1024, End, 44, 0.0452364
1024, End, 45, 0.0452349
1024, End, 46, 0.0452345
1024, End, 47, 0.0452887
1024, End, 48, 0.0452308
1024, End, 49, 0.0452364
1024, End, 50, 0.045229
1024, End, 51, 0.0452514
1024, End, 52, 0.0452322
1024, End, 53, 0.0452375
1024, End, 54, 0.045232
1024, End, 55, 0.0452378
1024, End, 56, 0.0452404
1024, End, 57, 0.0452431
1024, End, 58, 0.0455492
1024, End, 59, 0.0452396
1024, End, 60, 0.0452421
1024, End, 61, 0.0452279
1024, End, 62, 0.0452452
1024, End, 63, 0.0452225
1024, End, 64, 0.0452276
1024, End, 65, 0.0452227
1024, End, 66, 0.0452283
1024, End, 67, 0.0452349
1024, End, 68, 0.0452286
1024, End, 69, 0.0452447
1024, End, 70, 0.0452166
1024, End, 71, 0.0452235
1024, End, 72, 0.0452171
1024, End, 73, 0.045223
1024, End, 74, 0.0452174
1024, End, 75, 0.0452273
1024, End, 76, 0.0452451
1024, End, 77, 0.0452262
1024, End, 78, 0.0452385
1024, End, 79, 0.0452261
1024, End, 80, 0.0452266
1024, End, 81, 0.0452392
1024, End, 82, 0.0456415
1024, End, 83, 0.0452469
1024, End, 84, 0.0452486
1024, End, 85, 0.0452307
1024, End, 86, 0.0452439
1024, End, 87, 0.0452368
1024, End, 88, 0.0452419
1024, End, 89, 0.0452511
1024, End, 90, 0.0452399
1024, End, 91, 0.0452477
1024, End, 92, 0.0452347
1024, End, 93, 0.0452407
1024, End, 94, 0.0452281
1024, End, 95, 0.0452272
1024, End, 96, 0.0452251
1024, End, 97, 0.0452364
1024, End, 98, 0.0452568
1024, End, 99, 0.0452304
1024, End, 100, 0.0452435
2048, End, 1, 0.0906131
2048, End, 2, 0.0905038
2048, End, 3, 0.0905901
2048, End, 4, 0.0905082
2048, End, 5, 0.0904791
2048, End, 6, 0.090625
2048, End, 7, 0.0905025
2048, End, 8, 0.0906349
2048, End, 9, 0.0905008
2048, End, 10, 0.0905147
2048, End, 11, 0.0905031
2048, End, 12, 0.0904953
2048, End, 13, 0.0906794
2048, End, 14, 0.0905118
2048, End, 15, 0.090652
2048, End, 16, 0.0905007
2048, End, 17, 0.0905728
2048, End, 18, 0.0904961
2048, End, 19, 0.0904994
2048, End, 20, 0.0904963
2048, End, 21, 0.0904973
2048, End, 22, 0.0905486
2048, End, 23, 0.0906805
2048, End, 24, 0.090493
2048, End, 25, 0.0906767
2048, End, 26, 0.0905008
2048, End, 27, 0.090511
2048, End, 28, 0.0905047
2048, End, 29, 0.0905077
2048, End, 30, 0.0905037
2048, End, 31, 0.0904917
2048, End, 32, 0.0904832
2048, End, 33, 0.0905152
2048, End, 34, 0.0904784
2048, End, 35, 0.0906209
2048, End, 36, 0.0904899
2048, End, 37, 0.0905593
2048, End, 38, 0.0904938
2048, End, 39, 0.0904912
2048, End, 40, 0.0905045
2048, End, 41, 0.0904761
2048, End, 42, 0.0905175
2048, End, 43, 0.0905455
2048, End, 44, 0.0905067
2048, End, 45, 0.0904914
2048, End, 46, 0.0905045
2048, End, 47, 0.0905144
2048, End, 48, 0.0905035
2048, End, 49, 0.090493
2048, End, 50, 0.0906991
2048, End, 51, 0.090504
2048, End, 52, 0.090506
2048, End, 53, 0.090621
2048, End, 54, 0.09049
2048, End, 55, 0.0905017
2048, End, 56, 0.0905067
2048, End, 57, 0.0904919
2048, End, 58, 0.0905306
2048, End, 59, 0.0904923
2048, End, 60, 0.0904934
2048, End, 61, 0.090513
2048, End, 62, 0.0905175
2048, End, 63, 0.0904978
2048, End, 64, 0.0904885
2048, End, 65, 0.0905151
2048, End, 66, 0.0904858
2048, End, 67, 0.0904858
2048, End, 68, 0.0904912
2048, End, 69, 0.0904963
2048, End, 70, 0.0904921
2048, End, 71, 0.0906051
2048, End, 72, 0.0904985
2048, End, 73, 0.0906097
2048, End, 74, 0.0905062
2048, End, 75, 0.0904841
2048, End, 76, 0.0904724
2048, End, 77, 0.0904749
2048, End, 78, 0.0905174
2048, End, 79, 0.0904747
2048, End, 80, 0.0904787
2048, End, 81, 0.0904746
2048, End, 82, 0.0905054
2048, End, 83, 0.0904989
2048, End, 84, 0.0904812
2048, End, 85, 0.090482
2048, End, 86, 0.0904873
2048, End, 87, 0.090494
2048, End, 88, 0.0904892
2048, End, 89, 0.0904895
2048, End, 90, 0.0904701
2048, End, 91, 0.0904827
2048, End, 92, 0.0904799
2048, End, 93, 0.0904846
2048, End, 94, 0.0905101
2048, End, 95, 0.090488
2048, End, 96, 0.0904864
2048, End, 97, 0.0904798
2048, End, 98, 0.0907466
2048, End, 99, 0.0905102
2048, End, 100, 0.0906202
4096, End, 1, 0.180869
4096, End, 2, 0.181094
4096, End, 3, 0.18087
4096, End, 4, 0.180899
4096, End, 5, 0.180911
4096, End, 6, 0.180985
4096, End, 7, 0.181068
4096, End, 8, 0.180909
4096, End, 9, 0.180897
4096, End, 10, 0.180893
4096, End, 11, 0.180903
4096, End, 12, 0.180903
4096, End, 13, 0.181237
4096, End, 14, 0.180957
4096, End, 15, 0.180916
4096, End, 16, 0.180977
4096, End, 17, 0.180922
4096, End, 18, 0.180919
4096, End, 19, 0.180933
4096, End, 20, 0.181106
4096, End, 21, 0.181077
4096, End, 22, 0.180906
4096, End, 23, 0.1809
4096, End, 24, 0.180982
4096, End, 25, 0.180881
4096, End, 26, 0.18092
4096, End, 27, 0.18093
4096, End, 28, 0.180908
4096, End, 29, 0.180907
4096, End, 30, 0.180954
4096, End, 31, 0.18124
4096, End, 32, 0.180911
4096, End, 33, 0.180878
4096, End, 34, 0.180896
4096, End, 35, 0.180894
4096, End, 36, 0.18088
4096, End, 37, 0.180903
4096, End, 38, 0.1809
4096, End, 39, 0.180891
4096, End, 40, 0.1809
4096, End, 41, 0.180953
4096, End, 42, 0.180916
4096, End, 43, 0.180898
4096, End, 44, 0.181228
4096, End, 45, 0.180971
4096, End, 46, 0.180978
4096, End, 47, 0.180933
4096, End, 48, 0.180951
4096, End, 49, 0.180998
4096, End, 50, 0.180958
4096, End, 51, 0.180911
4096, End, 52, 0.180932
4096, End, 53, 0.180949
4096, End, 54, 0.18095
4096, End, 55, 0.180941
4096, End, 56, 0.180907
4096, End, 57, 0.180964
4096, End, 58, 0.18092
4096, End, 59, 0.180955
4096, End, 60, 0.180938
4096, End, 61, 0.181038
4096, End, 62, 0.181168
4096, End, 63, 0.180991
4096, End, 64, 0.18094
4096, End, 65, 0.180924
