JOBID=28550
Size, Index, Time
1K, End, 1, 0.045232
1K, End, 2, 0.0452145
1K, End, 3, 0.0452169
1K, End, 4, 0.0452145
1K, End, 5, 0.0452176
1K, End, 6, 0.045441
1K, End, 7, 0.045214
1K, End, 8, 0.0452074
1K, End, 9, 0.0452175
1K, End, 10, 0.0452165
1K, End, 11, 0.0452182
1K, End, 12, 0.0452393
1K, End, 13, 0.0452205
1K, End, 14, 0.0454088
1K, End, 15, 0.0452177
1K, End, 16, 0.0452108
1K, End, 17, 0.0452211
1K, End, 18, 0.0452597
1K, End, 19, 0.0452337
1K, End, 20, 0.0452141
1K, End, 21, 0.0452326
1K, End, 22, 0.0452169
1K, End, 23, 0.045223
1K, End, 24, 0.0452239
1K, End, 25, 0.0454413
1K, End, 26, 0.0452733
1K, End, 27, 0.0452109
1K, End, 28, 0.0452253
1K, End, 29, 0.0452231
1K, End, 30, 0.045215
1K, End, 31, 0.0452238
1K, End, 32, 0.0452342
1K, End, 33, 0.0452213
1K, End, 34, 0.0452286
1K, End, 35, 0.0452348
1K, End, 36, 0.0452399
1K, End, 37, 0.0452528
1K, End, 38, 0.0452305
1K, End, 39, 0.0452799
1K, End, 40, 0.0455244
1K, End, 41, 0.0452171
1K, End, 42, 0.0452372
1K, End, 43, 0.0452443
1K, End, 44, 0.0452262
1K, End, 45, 0.0452342
1K, End, 46, 0.0452149
1K, End, 47, 0.0452324
1K, End, 48, 0.0452332
1K, End, 49, 0.0452224
1K, End, 50, 0.0452218
1K, End, 51, 0.0452234
1K, End, 52, 0.045212
1K, End, 53, 0.0452241
1K, End, 54, 0.0452169
1K, End, 55, 0.0452148
1K, End, 56, 0.0452377
1K, End, 57, 0.0452212
1K, End, 58, 0.0454882
1K, End, 59, 0.045236
1K, End, 60, 0.0452321
1K, End, 61, 0.0452532
1K, End, 62, 0.0452148
1K, End, 63, 0.0452245
1K, End, 64, 0.0452325
1K, End, 65, 0.045223
1K, End, 66, 0.0452181
1K, End, 67, 0.0452238
1K, End, 68, 0.0452224
1K, End, 69, 0.0452265
1K, End, 70, 0.0452454
1K, End, 71, 0.0452315
1K, End, 72, 0.0452334
