JOBID=28552
Size, Timepoint, Index, Time
1K, End, 1, 0.0248269
1K, End, 2, 0.0248236
1K, End, 3, 0.0248257
1K, End, 4, 0.0248383
1K, End, 5, 0.0248198
1K, End, 6, 0.024817
1K, End, 7, 0.0250581
1K, End, 8, 0.0248413
1K, End, 9, 0.0248273
1K, End, 10, 0.0248252
1K, End, 11, 0.0248029
1K, End, 12, 0.0248152
1K, End, 13, 0.0248452
1K, End, 14, 0.0248305
1K, End, 15, 0.0248255
1K, End, 16, 0.0248226
1K, End, 17, 0.0248154
1K, End, 18, 0.0248375
1K, End, 19, 0.0249003
1K, End, 20, 0.0248333
1K, End, 21, 0.0248365
1K, End, 22, 0.0248352
1K, End, 23, 0.0248211
1K, End, 24, 0.024835
1K, End, 25, 0.0248261
1K, End, 26, 0.0248601
1K, End, 27, 0.0248086
1K, End, 28, 0.0248172
1K, End, 29, 0.0248148
1K, End, 30, 0.0248198
1K, End, 31, 0.0248164
1K, End, 32, 0.0248234
1K, End, 33, 0.0248179
1K, End, 34, 0.0249182
1K, End, 35, 0.0248141
1K, End, 36, 0.0248077
1K, End, 37, 0.0248278
1K, End, 38, 0.024815
1K, End, 39, 0.0248197
1K, End, 40, 0.0248199
1K, End, 41, 0.0248085
1K, End, 42, 0.024819
1K, End, 43, 0.0248127
1K, End, 44, 0.0248169
1K, End, 45, 0.0248132
1K, End, 46, 0.0248737
1K, End, 47, 0.0248207
1K, End, 48, 0.0248161
1K, End, 49, 0.0248075
1K, End, 50, 0.0248231
1K, End, 51, 0.0248086
1K, End, 52, 0.0248063
1K, End, 53, 0.0248148
1K, End, 54, 0.0248806
1K, End, 55, 0.0248184
1K, End, 56, 0.0248113
1K, End, 57, 0.0248142
1K, End, 58, 0.024818
1K, End, 59, 0.0248203
1K, End, 60, 0.0248163
1K, End, 61, 0.0248193
1K, End, 62, 0.0248287
1K, End, 63, 0.0248249
1K, End, 64, 0.0248156
1K, End, 65, 0.0248419
1K, End, 66, 0.0248134
1K, End, 67, 0.0248199
1K, End, 68, 0.0248174
1K, End, 69, 0.0248176
1K, End, 70, 0.0248106
1K, End, 71, 0.0248229
1K, End, 72, 0.0248219
1K, End, 73, 0.0248147
1K, End, 74, 0.0248269
1K, End, 75, 0.0248237
1K, End, 76, 0.0248284
1K, End, 77, 0.0248261
1K, End, 78, 0.0248287
1K, End, 79, 0.0248252
1K, End, 80, 0.0249163
1K, End, 81, 0.0248206
1K, End, 82, 0.0248288
1K, End, 83, 0.0248472
1K, End, 84, 0.0248295
1K, End, 85, 0.02483
1K, End, 86, 0.0248316
1K, End, 87, 0.0248261
1K, End, 88, 0.0248265
1K, End, 89, 0.0248285
