JOBID=28584
Size, Timepoint, Index, Time
1024, End, 1, 8.569e-06
1024, End, 2, 8.195e-06
1024, End, 3, 7.627e-06
1024, End, 4, 8.635e-06
1024, End, 5, 8.05e-06
1024, End, 6, 7.059e-06
1024, End, 7, 8.322e-06
1024, End, 8, 7.927e-06
1024, End, 9, 7.273e-06
1024, End, 10, 8.068e-06
1024, End, 11, 8.97e-06
1024, End, 12, 8.941e-06
1024, End, 13, 8.802e-06
1024, End, 14, 8.755e-06
1024, End, 15, 8.993e-06
1024, End, 16, 8.922e-06
1024, End, 17, 8.49e-06
1024, End, 18, 8.66e-06
1024, End, 19, 8.35e-06
1024, End, 20, 8.043e-06
1024, End, 21, 9.379e-06
1024, End, 22, 8.151e-06
1024, End, 23, 7.607e-06
1024, End, 24, 8.379e-06
1024, End, 25, 7.526e-06
1024, End, 26, 2.895e-06
1024, End, 27, 6.008e-06
1024, End, 28, 6.537e-06
1024, End, 29, 6.631e-06
1024, End, 30, 6.757e-06
1024, End, 31, 8.628e-06
1024, End, 32, 7.877e-06
1024, End, 33, 5.382e-06
1024, End, 34, 7.331e-06
1024, End, 35, 9.006e-06
1024, End, 36, 8.563e-06
1024, End, 37, 8.582e-06
1024, End, 38, 8.931e-06
1024, End, 39, 9.039e-06
1024, End, 40, 8.386e-06
1024, End, 41, 8.888e-06
1024, End, 42, 9.638e-06
1024, End, 43, 9.161e-06
1024, End, 44, 9.479e-06
1024, End, 45, 9.858e-06
1024, End, 46, 8.842e-06
1024, End, 47, 1.0369e-05
1024, End, 48, 9.939e-06
1024, End, 49, 8.927e-06
1024, End, 50, 9.305e-06
1024, End, 51, 8.949e-06
1024, End, 52, 6.901e-06
1024, End, 53, 7.938e-06
1024, End, 54, 8.509e-06
1024, End, 55, 8.195e-06
1024, End, 56, 7.787e-06
1024, End, 57, 7.927e-06
1024, End, 58, 7.25e-06
1024, End, 59, 7.887e-06
1024, End, 60, 7.834e-06
1024, End, 61, 1.7529e-05
1024, End, 62, 9.637e-06
1024, End, 63, 1.0521e-05
1024, End, 64, 9.338e-06
1024, End, 65, 8.636e-06
1024, End, 66, 9.129e-06
1024, End, 67, 8.504e-06
1024, End, 68, 7.393e-06
1024, End, 69, 8.351e-06
1024, End, 70, 8.472e-06
1024, End, 71, 7.82e-06
1024, End, 72, 7.652e-06
1024, End, 73, 7.736e-06
1024, End, 74, 8.207e-06
1024, End, 75, 8.78e-06
1024, End, 76, 8.401e-06
1024, End, 77, 8.246e-06
1024, End, 78, 7.634e-06
1024, End, 79, 8.058e-06
1024, End, 80, 9.066e-06
1024, End, 81, 8.716e-06
1024, End, 82, 8.344e-06
1024, End, 83, 8.112e-06
1024, End, 84, 8.072e-06
1024, End, 85, 9.523e-06
1024, End, 86, 9.094e-06
1024, End, 87, 8.402e-06
1024, End, 88, 9.55e-06
1024, End, 89, 1.2525e-05
1024, End, 90, 1.2138e-05
1024, End, 91, 1.1094e-05
1024, End, 92, 1.0871e-05
1024, End, 93, 1.1217e-05
1024, End, 94, 1.0742e-05
1024, End, 95, 1.0784e-05
1024, End, 96, 1.0239e-05
1024, End, 97, 1.0549e-05
1024, End, 98, 9.438e-06
1024, End, 99, 1.0476e-05
1024, End, 100, 1.07e-05
2048, End, 1, 8.661e-06
2048, End, 2, 7.954e-06
2048, End, 3, 8.548e-06
2048, End, 4, 8.325e-06
2048, End, 5, 8.278e-06
2048, End, 6, 8.26e-06
2048, End, 7, 8.047e-06
2048, End, 8, 7.667e-06
2048, End, 9, 7.404e-06
2048, End, 10, 8.328e-06
2048, End, 11, 8.259e-06
2048, End, 12, 8.76e-06
2048, End, 13, 8.228e-06
2048, End, 14, 9.25e-06
2048, End, 15, 8.482e-06
2048, End, 16, 8.103e-06
2048, End, 17, 8.537e-06
2048, End, 18, 8.119e-06
2048, End, 19, 8.08e-06
2048, End, 20, 8.696e-06
2048, End, 21, 7.563e-06
2048, End, 22, 7.873e-06
2048, End, 23, 7.92e-06
2048, End, 24, 8.065e-06
2048, End, 25, 9.791e-06
2048, End, 26, 9.924e-06
2048, End, 27, 9.086e-06
2048, End, 28, 8.861e-06
2048, End, 29, 9.045e-06
2048, End, 30, 8.004e-06
2048, End, 31, 7.589e-06
2048, End, 32, 8.484e-06
2048, End, 33, 8.476e-06
2048, End, 34, 8.306e-06
2048, End, 35, 8.232e-06
2048, End, 36, 8.393e-06
2048, End, 37, 8.219e-06
2048, End, 38, 7.963e-06
2048, End, 39, 8.308e-06
2048, End, 40, 8.066e-06
2048, End, 41, 7.457e-06
2048, End, 42, 8.477e-06
2048, End, 43, 8.706e-06
2048, End, 44, 8.49e-06
2048, End, 45, 8.965e-06
2048, End, 46, 9.031e-06
2048, End, 47, 9.071e-06
2048, End, 48, 9.392e-06
2048, End, 49, 8.457e-06
2048, End, 50, 8.428e-06
2048, End, 51, 8.798e-06
2048, End, 52, 8.325e-06
2048, End, 53, 7.849e-06
2048, End, 54, 8.136e-06
2048, End, 55, 8.092e-06
2048, End, 56, 8.212e-06
2048, End, 57, 8.389e-06
2048, End, 58, 8.039e-06
2048, End, 59, 7.843e-06
2048, End, 60, 8.677e-06
2048, End, 61, 8.137e-06
2048, End, 62, 8.355e-06
2048, End, 63, 8.417e-06
2048, End, 64, 7.988e-06
2048, End, 65, 7.774e-06
2048, End, 66, 8.591e-06
2048, End, 67, 8.132e-06
2048, End, 68, 8.666e-06
2048, End, 69, 8.752e-06
2048, End, 70, 8.216e-06
2048, End, 71, 7.999e-06
2048, End, 72, 8.739e-06
2048, End, 73, 7.83e-06
2048, End, 74, 7.823e-06
2048, End, 75, 8.304e-06
2048, End, 76, 7.793e-06
2048, End, 77, 8.263e-06
2048, End, 78, 8.162e-06
2048, End, 79, 7.921e-06
2048, End, 80, 7.967e-06
2048, End, 81, 8.24e-06
2048, End, 82, 9.001e-06
2048, End, 83, 8.789e-06
2048, End, 84, 8.915e-06
2048, End, 85, 8.267e-06
2048, End, 86, 8.02e-06
2048, End, 87, 8.355e-06
2048, End, 88, 8.33e-06
2048, End, 89, 8.192e-06
2048, End, 90, 8.557e-06
2048, End, 91, 8.072e-06
2048, End, 92, 8.214e-06
2048, End, 93, 8.989e-06
2048, End, 94, 8.093e-06
2048, End, 95, 6.466e-06
2048, End, 96, 7.56e-06
2048, End, 97, 1.4892e-05
2048, End, 98, 9.993e-06
2048, End, 99, 9.706e-06
2048, End, 100, 9.38e-06
4096, End, 1, 1.4559e-05
4096, End, 2, 1.2715e-05
4096, End, 3, 1.542e-05
4096, End, 4, 1.443e-05
4096, End, 5, 1.3882e-05
4096, End, 6, 1.2573e-05
4096, End, 7, 1.2356e-05
4096, End, 8, 1.2441e-05
4096, End, 9, 1.1982e-05
4096, End, 10, 1.1873e-05
4096, End, 11, 1.2465e-05
4096, End, 12, 1.1882e-05
4096, End, 13, 1.0905e-05
4096, End, 14, 1.0964e-05
4096, End, 15, 1.1607e-05
4096, End, 16, 1.1854e-05
4096, End, 17, 1.1624e-05
4096, End, 18, 1.4163e-05
4096, End, 19, 2.0654e-05
4096, End, 20, 1.3959e-05
4096, End, 21, 1.4789e-05
4096, End, 22, 1.4584e-05
4096, End, 23, 1.261e-05
4096, End, 24, 1.1594e-05
4096, End, 25, 1.1625e-05
4096, End, 26, 1.2459e-05
4096, End, 27, 1.0962e-05
4096, End, 28, 1.0739e-05
4096, End, 29, 1.0386e-05
4096, End, 30, 1.0703e-05
4096, End, 31, 1.2944e-05
4096, End, 32, 1.2984e-05
4096, End, 33, 1.3181e-05
4096, End, 34, 1.3454e-05
4096, End, 35, 1.4038e-05
4096, End, 36, 1.3679e-05
4096, End, 37, 1.157e-05
4096, End, 38, 9.568e-06
4096, End, 39, 1.0928e-05
4096, End, 40, 1.1537e-05
4096, End, 41, 1.0503e-05
4096, End, 42, 1.0564e-05
4096, End, 43, 1.1219e-05
4096, End, 44, 1.1132e-05
4096, End, 45, 1.0474e-05
4096, End, 46, 1.0915e-05
4096, End, 47, 1.1701e-05
4096, End, 48, 1.087e-05
4096, End, 49, 1.0277e-05
4096, End, 50, 1.107e-05
4096, End, 51, 1.0368e-05
4096, End, 52, 9.945e-06
4096, End, 53, 9.667e-06
4096, End, 54, 1.0909e-05
4096, End, 55, 9.871e-06
4096, End, 56, 9.984e-06
4096, End, 57, 1.2983e-05
4096, End, 58, 1.1631e-05
4096, End, 59, 1.1484e-05
4096, End, 60, 1.1028e-05
4096, End, 61, 1.08e-05
4096, End, 62, 1.0431e-05
4096, End, 63, 1.0433e-05
4096, End, 64, 1.0737e-05
4096, End, 65, 9.957e-06
4096, End, 66, 9.78e-06
4096, End, 67, 9.862e-06
4096, End, 68, 1.026e-05
4096, End, 69, 1.0916e-05
4096, End, 70, 1.0021e-05
4096, End, 71, 1.0254e-05
4096, End, 72, 1.0639e-05
4096, End, 73, 1.2674e-05
4096, End, 74, 1.3553e-05
4096, End, 75, 1.3603e-05
4096, End, 76, 1.292e-05
4096, End, 77, 1.2949e-05
4096, End, 78, 1.2131e-05
4096, End, 79, 1.1958e-05
4096, End, 80, 1.2064e-05
4096, End, 81, 1.1706e-05
4096, End, 82, 1.2139e-05
4096, End, 83, 1.1917e-05
4096, End, 84, 1.0907e-05
4096, End, 85, 1.1083e-05
4096, End, 86, 9.778e-06
4096, End, 87, 1.0384e-05
4096, End, 88, 1.0447e-05
4096, End, 89, 1.1055e-05
4096, End, 90, 1.129e-05
4096, End, 91, 1.0163e-05
4096, End, 92, 1.0479e-05
4096, End, 93, 1.189e-05
4096, End, 94, 1.1363e-05
4096, End, 95, 1.2149e-05
4096, End, 96, 1.1838e-05
4096, End, 97, 1.171e-05
4096, End, 98, 1.1164e-05
4096, End, 99, 1.1417e-05
4096, End, 100, 1.1099e-05
8192, End, 1, 1.7029e-05
8192, End, 2, 1.7301e-05
8192, End, 3, 1.7762e-05
8192, End, 4, 1.7388e-05
8192, End, 5, 1.7063e-05
8192, End, 6, 1.7384e-05
8192, End, 7, 1.7511e-05
8192, End, 8, 1.7423e-05
8192, End, 9, 1.7861e-05
8192, End, 10, 1.7673e-05
8192, End, 11, 1.8352e-05
8192, End, 12, 1.8588e-05
8192, End, 13, 1.8651e-05
8192, End, 14, 1.8883e-05
8192, End, 15, 1.9402e-05
8192, End, 16, 1.9377e-05
8192, End, 17, 2.0002e-05
8192, End, 18, 1.8605e-05
8192, End, 19, 1.8522e-05
8192, End, 20, 1.7764e-05
8192, End, 21, 1.7259e-05
8192, End, 22, 1.7941e-05
8192, End, 23, 1.8054e-05
8192, End, 24, 1.795e-05
8192, End, 25, 1.7255e-05
8192, End, 26, 1.6995e-05
8192, End, 27, 1.7672e-05
8192, End, 28, 1.7893e-05
8192, End, 29, 1.8264e-05
8192, End, 30, 1.7376e-05
8192, End, 31, 1.7212e-05
8192, End, 32, 1.6668e-05
8192, End, 33, 1.6749e-05
8192, End, 34, 1.606e-05
8192, End, 35, 1.723e-05
8192, End, 36, 1.5501e-05
8192, End, 37, 1.5868e-05
8192, End, 38, 1.5581e-05
8192, End, 39, 1.4989e-05
8192, End, 40, 1.4638e-05
8192, End, 41, 1.5359e-05
8192, End, 42, 1.5259e-05
8192, End, 43, 1.5351e-05
8192, End, 44, 1.4748e-05
8192, End, 45, 1.5225e-05
8192, End, 46, 1.3969e-05
8192, End, 47, 1.4201e-05
8192, End, 48, 1.4132e-05
8192, End, 49, 1.4638e-05
8192, End, 50, 1.5265e-05
8192, End, 51, 1.606e-05
8192, End, 52, 1.4434e-05
8192, End, 53, 1.2302e-05
8192, End, 54, 1.3585e-05
8192, End, 55, 1.4611e-05
8192, End, 56, 1.5245e-05
8192, End, 57, 1.5466e-05
8192, End, 58, 1.4988e-05
