JOBID=28581
Size, Timepoint, Index, Time
1024, End, 1, 1.1517e-05
1024, End, 2, 1.2232e-05
1024, End, 3, 1.1737e-05
1024, End, 4, 1.2282e-05
1024, End, 5, 1.1734e-05
1024, End, 6, 1.2436e-05
1024, End, 7, 1.1617e-05
1024, End, 8, 1.1843e-05
1024, End, 9, 1.1994e-05
1024, End, 10, 1.1868e-05
1024, End, 11, 1.1854e-05
1024, End, 12, 1.2007e-05
1024, End, 13, 1.1849e-05
1024, End, 14, 1.1948e-05
1024, End, 15, 1.1961e-05
1024, End, 16, 1.2051e-05
1024, End, 17, 1.1617e-05
1024, End, 18, 1.205e-05
1024, End, 19, 7.843e-06
1024, End, 20, 1.1901e-05
1024, End, 21, 1.2054e-05
1024, End, 22, 1.2463e-05
1024, End, 23, 1.2031e-05
1024, End, 24, 1.2884e-05
1024, End, 25, 1.2298e-05
1024, End, 26, 1.2092e-05
1024, End, 27, 1.1878e-05
1024, End, 28, 1.1458e-05
1024, End, 29, 1.1993e-05
1024, End, 30, 1.2078e-05
1024, End, 31, 1.2236e-05
1024, End, 32, 1.2027e-05
1024, End, 33, 1.15e-05
1024, End, 34, 1.227e-05
1024, End, 35, 2.2382e-05
1024, End, 36, 1.2705e-05
1024, End, 37, 1.1963e-05
1024, End, 38, 1.2356e-05
1024, End, 39, 1.1891e-05
1024, End, 40, 1.232e-05
1024, End, 41, 1.2233e-05
1024, End, 42, 1.1827e-05
1024, End, 43, 1.1651e-05
1024, End, 44, 1.1575e-05
1024, End, 45, 1.172e-05
1024, End, 46, 1.2535e-05
1024, End, 47, 1.1922e-05
1024, End, 48, 1.1862e-05
1024, End, 49, 1.1508e-05
1024, End, 50, 1.2114e-05
1024, End, 51, 1.2127e-05
1024, End, 52, 1.1997e-05
1024, End, 53, 1.1684e-05
1024, End, 54, 1.235e-05
1024, End, 55, 9.116e-06
1024, End, 56, 1.2554e-05
1024, End, 57, 1.1925e-05
1024, End, 58, 1.2411e-05
1024, End, 59, 1.1567e-05
1024, End, 60, 1.1633e-05
1024, End, 61, 1.2171e-05
1024, End, 62, 1.2098e-05
1024, End, 63, 1.1736e-05
1024, End, 64, 1.2053e-05
1024, End, 65, 1.3921e-05
1024, End, 66, 1.4531e-05
1024, End, 67, 1.1961e-05
1024, End, 68, 1.1738e-05
1024, End, 69, 1.1482e-05
1024, End, 70, 1.2368e-05
1024, End, 71, 1.1597e-05
1024, End, 72, 1.175e-05
1024, End, 73, 1.1584e-05
1024, End, 74, 1.1854e-05
1024, End, 75, 1.1642e-05
1024, End, 76, 1.1707e-05
1024, End, 77, 1.1983e-05
1024, End, 78, 1.2078e-05
1024, End, 79, 1.1918e-05
1024, End, 80, 1.2511e-05
1024, End, 81, 1.2002e-05
1024, End, 82, 1.151e-05
1024, End, 83, 1.1837e-05
1024, End, 84, 1.1551e-05
1024, End, 85, 1.1463e-05
1024, End, 86, 1.2635e-05
1024, End, 87, 1.1351e-05
1024, End, 88, 1.1688e-05
1024, End, 89, 1.2054e-05
1024, End, 90, 1.1457e-05
1024, End, 91, 1.1791e-05
1024, End, 92, 1.1444e-05
1024, End, 93, 1.1966e-05
1024, End, 94, 1.1948e-05
1024, End, 95, 1.1623e-05
1024, End, 96, 1.1784e-05
1024, End, 97, 1.1565e-05
1024, End, 98, 1.1897e-05
1024, End, 99, 1.1936e-05
1024, End, 100, 1.16e-05
2048, End, 1, 1.3737e-05
2048, End, 2, 1.4182e-05
2048, End, 3, 1.4026e-05
2048, End, 4, 1.3901e-05
2048, End, 5, 1.3602e-05
2048, End, 6, 1.7321e-05
2048, End, 7, 1.3637e-05
2048, End, 8, 1.3368e-05
2048, End, 9, 1.3776e-05
2048, End, 10, 1.3743e-05
2048, End, 11, 1.3777e-05
2048, End, 12, 1.3474e-05
2048, End, 13, 1.372e-05
2048, End, 14, 1.3586e-05
2048, End, 15, 1.4277e-05
2048, End, 16, 1.3653e-05
2048, End, 17, 1.3981e-05
2048, End, 18, 1.4192e-05
2048, End, 19, 1.3892e-05
2048, End, 20, 1.4096e-05
2048, End, 21, 1.3833e-05
2048, End, 22, 1.3835e-05
2048, End, 23, 1.39e-05
2048, End, 24, 1.3337e-05
2048, End, 25, 1.415e-05
2048, End, 26, 1.3863e-05
2048, End, 27, 1.3978e-05
2048, End, 28, 1.3958e-05
2048, End, 29, 1.3611e-05
2048, End, 30, 1.3674e-05
