JOBID=28583
Size, Timepoint, Index, Time
1024, End, 1, 6.9824e-05
1024, End, 2, 6.8988e-05
1024, End, 3, 6.9884e-05
1024, End, 4, 6.8973e-05
1024, End, 5, 6.7444e-05
1024, End, 6, 6.8394e-05
1024, End, 7, 6.773e-05
1024, End, 8, 7.1381e-05
1024, End, 9, 6.7389e-05
1024, End, 10, 6.9011e-05
1024, End, 11, 6.8049e-05
1024, End, 12, 6.8764e-05
1024, End, 13, 6.7806e-05
1024, End, 14, 7.0371e-05
1024, End, 15, 7.0051e-05
1024, End, 16, 8.3036e-05
1024, End, 17, 7.7281e-05
1024, End, 18, 6.8794e-05
1024, End, 19, 6.7337e-05
1024, End, 20, 6.8471e-05
1024, End, 21, 6.693e-05
1024, End, 22, 6.8319e-05
1024, End, 23, 6.7278e-05
1024, End, 24, 6.869e-05
1024, End, 25, 6.7122e-05
1024, End, 26, 6.8461e-05
1024, End, 27, 7.1402e-05
1024, End, 28, 7.2007e-05
1024, End, 29, 6.762e-05
1024, End, 30, 6.8783e-05
1024, End, 31, 7.532e-05
1024, End, 32, 7.516e-05
1024, End, 33, 6.9447e-05
1024, End, 34, 6.8525e-05
1024, End, 35, 6.6617e-05
1024, End, 36, 6.883e-05
1024, End, 37, 6.6754e-05
1024, End, 38, 6.7703e-05
1024, End, 39, 6.731e-05
1024, End, 40, 6.8452e-05
1024, End, 41, 7.1902e-05
1024, End, 42, 6.7621e-05
1024, End, 43, 6.7558e-05
1024, End, 44, 6.8015e-05
1024, End, 45, 6.7508e-05
1024, End, 46, 6.9889e-05
1024, End, 47, 6.7174e-05
1024, End, 48, 7.7855e-05
1024, End, 49, 6.7298e-05
1024, End, 50, 6.806e-05
1024, End, 51, 6.8037e-05
1024, End, 52, 6.9753e-05
1024, End, 53, 6.7234e-05
1024, End, 54, 7.2275e-05
1024, End, 55, 7.6985e-05
1024, End, 56, 6.8386e-05
1024, End, 57, 6.7034e-05
1024, End, 58, 6.7426e-05
1024, End, 59, 6.8068e-05
1024, End, 60, 6.8321e-05
1024, End, 61, 6.7451e-05
1024, End, 62, 6.7524e-05
1024, End, 63, 6.792e-05
1024, End, 64, 6.7656e-05
1024, End, 65, 6.6342e-05
1024, End, 66, 6.8372e-05
1024, End, 67, 9.8884e-05
1024, End, 68, 6.8478e-05
1024, End, 69, 6.7351e-05
1024, End, 70, 6.8436e-05
1024, End, 71, 6.7556e-05
1024, End, 72, 6.8632e-05
1024, End, 73, 6.7252e-05
1024, End, 74, 6.9154e-05
1024, End, 75, 6.7507e-05
1024, End, 76, 6.8721e-05
1024, End, 77, 6.7334e-05
1024, End, 78, 7.1612e-05
1024, End, 79, 6.9703e-05
1024, End, 80, 6.8398e-05
1024, End, 81, 6.7024e-05
1024, End, 82, 7.9459e-05
1024, End, 83, 7.6331e-05
1024, End, 84, 7.2063e-05
1024, End, 85, 6.7693e-05
1024, End, 86, 6.7455e-05
1024, End, 87, 6.6977e-05
1024, End, 88, 6.7169e-05
1024, End, 89, 6.6985e-05
1024, End, 90, 7.0476e-05
1024, End, 91, 6.7981e-05
1024, End, 92, 7.2073e-05
1024, End, 93, 6.74e-05
1024, End, 94, 6.7271e-05
1024, End, 95, 6.7916e-05
1024, End, 96, 6.8501e-05
1024, End, 97, 6.846e-05
1024, End, 98, 6.7524e-05
1024, End, 99, 6.7778e-05
1024, End, 100, 6.8426e-05
2048, End, 1, 0.00013621
2048, End, 2, 0.000137163
2048, End, 3, 0.000136998
2048, End, 4, 0.000137386
2048, End, 5, 0.00013639
2048, End, 6, 0.000137614
2048, End, 7, 0.000137301
2048, End, 8, 0.00013665
2048, End, 9, 0.000136196
2048, End, 10, 0.000138398
2048, End, 11, 0.000136626
2048, End, 12, 0.000136022
2048, End, 13, 0.000136892
2048, End, 14, 0.000136236
2048, End, 15, 0.000136504
2048, End, 16, 0.000137566
2048, End, 17, 0.00013854
2048, End, 18, 0.000137384
2048, End, 19, 0.000138114
2048, End, 20, 0.000135986
2048, End, 21, 0.000135691
2048, End, 22, 0.000136626
2048, End, 23, 0.000137042
2048, End, 24, 0.000136888
2048, End, 25, 0.000137214
2048, End, 26, 0.000136442
2048, End, 27, 0.000136419
2048, End, 28, 0.000136383
2048, End, 29, 0.000136076
2048, End, 30, 0.000136248
2048, End, 31, 0.000138352
2048, End, 32, 0.000136251
2048, End, 33, 0.000136993
2048, End, 34, 0.000135691
2048, End, 35, 0.000136129
2048, End, 36, 0.00013581
2048, End, 37, 0.000136578
2048, End, 38, 0.000138006
2048, End, 39, 0.000137993
2048, End, 40, 0.000137195
2048, End, 41, 0.00013668
2048, End, 42, 0.000136077
2048, End, 43, 0.00013774
2048, End, 44, 0.000138077
2048, End, 45, 0.000134185
2048, End, 46, 0.000136852
2048, End, 47, 0.000135382
2048, End, 48, 0.000136581
2048, End, 49, 0.000137176
2048, End, 50, 0.000136722
2048, End, 51, 0.000140306
2048, End, 52, 0.000135752
2048, End, 53, 0.000135753
2048, End, 54, 0.000137341
2048, End, 55, 0.000136323
2048, End, 56, 0.000135782
2048, End, 57, 0.000137602
2048, End, 58, 0.000138463
2048, End, 59, 0.000136338
2048, End, 60, 0.000135006
2048, End, 61, 0.000137249
2048, End, 62, 0.000136614
2048, End, 63, 0.000135592
2048, End, 64, 0.000136903
2048, End, 65, 0.000138945
2048, End, 66, 0.000137283
2048, End, 67, 0.000137019
2048, End, 68, 0.000138255
2048, End, 69, 0.00013729
2048, End, 70, 0.000136934
2048, End, 71, 0.000137549
2048, End, 72, 0.000140052
2048, End, 73, 0.000136274
2048, End, 74, 0.00013841
2048, End, 75, 0.000136789
2048, End, 76, 0.000136017
2048, End, 77, 0.000136287
2048, End, 78, 0.00013619
2048, End, 79, 0.000137292
2048, End, 80, 0.000136684
2048, End, 81, 0.000137053
2048, End, 82, 0.00013781
2048, End, 83, 0.000134452
2048, End, 84, 0.000135356
2048, End, 85, 0.000137078
2048, End, 86, 0.000137262
2048, End, 87, 0.000136291
2048, End, 88, 0.000138299
2048, End, 89, 0.000136067
2048, End, 90, 0.000136507
2048, End, 91, 0.000137029
2048, End, 92, 0.000136756
2048, End, 93, 0.000136291
2048, End, 94, 0.000137442
2048, End, 95, 0.00013681
2048, End, 96, 0.000135892
2048, End, 97, 0.000136885
2048, End, 98, 0.0001356
2048, End, 99, 0.000136507
2048, End, 100, 0.000136897
4096, End, 1, 0.000269861
4096, End, 2, 0.00027198
4096, End, 3, 0.000274067
4096, End, 4, 0.000269733
4096, End, 5, 0.000269099
4096, End, 6, 0.000272764
4096, End, 7, 0.000270342
4096, End, 8, 0.000270454
4096, End, 9, 0.000270239
4096, End, 10, 0.000269656
4096, End, 11, 0.000271166
4096, End, 12, 0.000268619
4096, End, 13, 0.000273436
4096, End, 14, 0.000270414
4096, End, 15, 0.000271413
4096, End, 16, 0.000269815
4096, End, 17, 0.000269985
4096, End, 18, 0.00027154
4096, End, 19, 0.000270932
4096, End, 20, 0.000273728
4096, End, 21, 0.000270613
4096, End, 22, 0.00028577
4096, End, 23, 0.000271333
4096, End, 24, 0.000275415
4096, End, 25, 0.000274128
4096, End, 26, 0.000270812
4096, End, 27, 0.000280214
4096, End, 28, 0.000273421
4096, End, 29, 0.000271315
4096, End, 30, 0.000270539
4096, End, 31, 0.000273346
4096, End, 32, 0.000270968
4096, End, 33, 0.000270226
4096, End, 34, 0.000272766
4096, End, 35, 0.000272887
4096, End, 36, 0.000270033
4096, End, 37, 0.000269382
4096, End, 38, 0.000271493
4096, End, 39, 0.00027006
4096, End, 40, 0.000270383
4096, End, 41, 0.000270993
4096, End, 42, 0.000271806
4096, End, 43, 0.000270932
4096, End, 44, 0.000269954
4096, End, 45, 0.000271763
4096, End, 46, 0.000271795
4096, End, 47, 0.000271642
4096, End, 48, 0.000270052
4096, End, 49, 0.000275522
4096, End, 50, 0.000270249
4096, End, 51, 0.000268723
4096, End, 52, 0.000270355
4096, End, 53, 0.000270933
4096, End, 54, 0.000269397
4096, End, 55, 0.000269707
4096, End, 56, 0.000271613
4096, End, 57, 0.00027247
4096, End, 58, 0.000270897
4096, End, 59, 0.000271092
4096, End, 60, 0.000271377
4096, End, 61, 0.000270656
4096, End, 62, 0.000270664
4096, End, 63, 0.000270783
4096, End, 64, 0.000269413
4096, End, 65, 0.000270388
4096, End, 66, 0.000273016
4096, End, 67, 0.000271673
4096, End, 68, 0.000270862
4096, End, 69, 0.000270862
4096, End, 70, 0.000270798
4096, End, 71, 0.000271675
4096, End, 72, 0.000270879
4096, End, 73, 0.000270631
4096, End, 74, 0.000273736
4096, End, 75, 0.000271797
4096, End, 76, 0.000270025
4096, End, 77, 0.000270446
4096, End, 78, 0.000270353
4096, End, 79, 0.000272511
4096, End, 80, 0.000268028
4096, End, 81, 0.000271926
4096, End, 82, 0.000270712
4096, End, 83, 0.000272226
4096, End, 84, 0.000272225
4096, End, 85, 0.00027035
4096, End, 86, 0.000270237
4096, End, 87, 0.000271366
4096, End, 88, 0.000271958
4096, End, 89, 0.000268391
4096, End, 90, 0.000270056
4096, End, 91, 0.000269188
4096, End, 92, 0.000274059
4096, End, 93, 0.000272827
4096, End, 94, 0.000270444
4096, End, 95, 0.00027203
4096, End, 96, 0.000271883
4096, End, 97, 0.000269404
4096, End, 98, 0.000268752
4096, End, 99, 0.000270868
4096, End, 100, 0.000269718
8192, End, 1, 0.000545445
8192, End, 2, 0.000548872
8192, End, 3, 0.000545217
8192, End, 4, 0.000547652
8192, End, 5, 0.000547262
8192, End, 6, 0.000546685
8192, End, 7, 0.000550673
8192, End, 8, 0.000547371
8192, End, 9, 0.000549236
8192, End, 10, 0.000545462
8192, End, 11, 0.000547689
8192, End, 12, 0.00054514
8192, End, 13, 0.000548497
8192, End, 14, 0.000546395
8192, End, 15, 0.000544485
8192, End, 16, 0.000548273
8192, End, 17, 0.000546387
8192, End, 18, 0.000547263
8192, End, 19, 0.00054649
8192, End, 20, 0.000548179
8192, End, 21, 0.000545693
8192, End, 22, 0.000548609
8192, End, 23, 0.000549439
8192, End, 24, 0.000545002
8192, End, 25, 0.000546049
8192, End, 26, 0.000575918
8192, End, 27, 0.000549393
8192, End, 28, 0.000559359
8192, End, 29, 0.000551085
8192, End, 30, 0.000547819
8192, End, 31, 0.000548238
8192, End, 32, 0.000552481
8192, End, 33, 0.000545727
8192, End, 34, 0.000544582
8192, End, 35, 0.000544832
8192, End, 36, 0.000549761
8192, End, 37, 0.000546341
8192, End, 38, 0.000548763
8192, End, 39, 0.00054522
8192, End, 40, 0.000547126
8192, End, 41, 0.000547766
8192, End, 42, 0.000546403
8192, End, 43, 0.000549107
8192, End, 44, 0.000546403
8192, End, 45, 0.000547724
8192, End, 46, 0.000564512
8192, End, 47, 0.000549218
8192, End, 48, 0.000555404
8192, End, 49, 0.000547654
8192, End, 50, 0.000545563
8192, End, 51, 0.00054498
8192, End, 52, 0.00054612
8192, End, 53, 0.000543241
8192, End, 54, 0.000545737
8192, End, 55, 0.000544454
8192, End, 56, 0.000548836
8192, End, 57, 0.000544502
8192, End, 58, 0.000545204
8192, End, 59, 0.000548545
8192, End, 60, 0.000544439
8192, End, 61, 0.000548033
8192, End, 62, 0.000545951
8192, End, 63, 0.000548199
8192, End, 64, 0.000545901
8192, End, 65, 0.000547506
8192, End, 66, 0.000544886
8192, End, 67, 0.000546103
8192, End, 68, 0.000545699
8192, End, 69, 0.000559976
8192, End, 70, 0.000546416
8192, End, 71, 0.000546047
8192, End, 72, 0.000555274
8192, End, 73, 0.000545738
8192, End, 74, 0.000548489
8192, End, 75, 0.000547939
8192, End, 76, 0.000542773
8192, End, 77, 0.000546761
8192, End, 78, 0.000543442
8192, End, 79, 0.000545528
8192, End, 80, 0.000546581
8192, End, 81, 0.000548111
8192, End, 82, 0.000550134
8192, End, 83, 0.000551006
8192, End, 84, 0.000545776
8192, End, 85, 0.000558658
8192, End, 86, 0.0005497
8192, End, 87, 0.000555517
8192, End, 88, 0.000546486
8192, End, 89, 0.000545374
8192, End, 90, 0.000545353
8192, End, 91, 0.000547704
8192, End, 92, 0.000547945
8192, End, 93, 0.000547384
8192, End, 94, 0.000545285
8192, End, 95, 0.000545841
8192, End, 96, 0.000546035
8192, End, 97, 0.000547668
8192, End, 98, 0.000545986
8192, End, 99, 0.000549379
8192, End, 100, 0.000545412
16384, End, 1, 0.00108829
16384, End, 2, 0.00108227
16384, End, 3, 0.00106652
16384, End, 4, 0.00106414
16384, End, 5, 0.00106202
16384, End, 6, 0.00107127
16384, End, 7, 0.00106921
16384, End, 8, 0.00106444
16384, End, 9, 0.00106788
16384, End, 10, 0.00106585
16384, End, 11, 0.00106733
16384, End, 12, 0.00106257
16384, End, 13, 0.00106572
16384, End, 14, 0.00106842
16384, End, 15, 0.0010694
16384, End, 16, 0.00107039
16384, End, 17, 0.00106695
16384, End, 18, 0.00107015
16384, End, 19, 0.00106554
16384, End, 20, 0.00109946
16384, End, 21, 0.00108563
16384, End, 22, 0.00106164
16384, End, 23, 0.00106957
16384, End, 24, 0.00106672
16384, End, 25, 0.00110174
16384, End, 26, 0.00108724
16384, End, 27, 0.00106768
16384, End, 28, 0.00106479
16384, End, 29, 0.00106806
16384, End, 30, 0.00106612
16384, End, 31, 0.00106608
16384, End, 32, 0.0010829
16384, End, 33, 0.00107829
16384, End, 34, 0.00106488
16384, End, 35, 0.00107294
16384, End, 36, 0.00106957
16384, End, 37, 0.00106642
16384, End, 38, 0.00106637
16384, End, 39, 0.00106539
16384, End, 40, 0.00106345
16384, End, 41, 0.00106883
16384, End, 42, 0.00106784
16384, End, 43, 0.00106177
16384, End, 44, 0.00108659
16384, End, 45, 0.00108379
16384, End, 46, 0.00106881
16384, End, 47, 0.00106644
16384, End, 48, 0.00106586
16384, End, 49, 0.00106508
16384, End, 50, 0.00106581
16384, End, 51, 0.00106778
16384, End, 52, 0.00108762
16384, End, 53, 0.00107172
16384, End, 54, 0.00106349
16384, End, 55, 0.00106872
16384, End, 56, 0.0010757
16384, End, 57, 0.00110859
16384, End, 58, 0.00109513
16384, End, 59, 0.00106784
16384, End, 60, 0.00107159
16384, End, 61, 0.0010646
16384, End, 62, 0.0010648
16384, End, 63, 0.00106566
16384, End, 64, 0.00106239
16384, End, 65, 0.0010674
16384, End, 66, 0.00106562
16384, End, 67, 0.00106608
16384, End, 68, 0.00106829
16384, End, 69, 0.00106757
16384, End, 70, 0.00106762
16384, End, 71, 0.00106646
16384, End, 72, 0.00106297
16384, End, 73, 0.00108026
16384, End, 74, 0.00107566
16384, End, 75, 0.00106932
16384, End, 76, 0.00107192
16384, End, 77, 0.00106632
16384, End, 78, 0.00106675
16384, End, 79, 0.00107185
16384, End, 80, 0.00106543
16384, End, 81, 0.00106882
16384, End, 82, 0.00106879
16384, End, 83, 0.00106897
16384, End, 84, 0.00107122
16384, End, 85, 0.00106341
16384, End, 86, 0.00106734
16384, End, 87, 0.00106456
16384, End, 88, 0.00107357
16384, End, 89, 0.00106664
16384, End, 90, 0.00106421
16384, End, 91, 0.00106909
16384, End, 92, 0.00107068
16384, End, 93, 0.00107863
16384, End, 94, 0.00109663
16384, End, 95, 0.00107643
16384, End, 96, 0.00108091
16384, End, 97, 0.00107039
16384, End, 98, 0.00106363
16384, End, 99, 0.00106701
16384, End, 100, 0.00106776
32768, End, 1, 0.0021633
32768, End, 2, 0.00215978
32768, End, 3, 0.00216703
32768, End, 4, 0.00216859
32768, End, 5, 0.00216515
32768, End, 6, 0.00217017
32768, End, 7, 0.00215875
32768, End, 8, 0.00216111
32768, End, 9, 0.00215791
32768, End, 10, 0.00217816
32768, End, 11, 0.00217714
32768, End, 12, 0.00216102
32768, End, 13, 0.00217272
32768, End, 14, 0.0021706
32768, End, 15, 0.00216595
32768, End, 16, 0.00215953
32768, End, 17, 0.00215989
32768, End, 18, 0.0021654
32768, End, 19, 0.00216779
32768, End, 20, 0.00219737
32768, End, 21, 0.00216668
32768, End, 22, 0.0021874
32768, End, 23, 0.00220287
32768, End, 24, 0.00219021
32768, End, 25, 0.00217014
32768, End, 26, 0.00219675
32768, End, 27, 0.00217011
32768, End, 28, 0.00216186
32768, End, 29, 0.00216713
32768, End, 30, 0.00216555
32768, End, 31, 0.00216529
32768, End, 32, 0.00215631
32768, End, 33, 0.00218764
32768, End, 34, 0.00218368
32768, End, 35, 0.00217211
32768, End, 36, 0.00216117
32768, End, 37, 0.00217381
32768, End, 38, 0.00223191
32768, End, 39, 0.00216255
32768, End, 40, 0.00217173
32768, End, 41, 0.00216388
32768, End, 42, 0.00216609
32768, End, 43, 0.00217251
32768, End, 44, 0.00216474
32768, End, 45, 0.00215894
32768, End, 46, 0.00215756
32768, End, 47, 0.00216026
32768, End, 48, 0.00216614
32768, End, 49, 0.00216401
32768, End, 50, 0.0021686
32768, End, 51, 0.00217211
32768, End, 52, 0.00216328
32768, End, 53, 0.00216702
32768, End, 54, 0.00215912
32768, End, 55, 0.0021828
32768, End, 56, 0.0022067
32768, End, 57, 0.00219336
32768, End, 58, 0.00216641
32768, End, 59, 0.00216767
32768, End, 60, 0.00216624
32768, End, 61, 0.00216525
32768, End, 62, 0.00217318
32768, End, 63, 0.00216927
32768, End, 64, 0.0021636
32768, End, 65, 0.00216661
32768, End, 66, 0.00218325
32768, End, 67, 0.00216829
32768, End, 68, 0.002184
32768, End, 69, 0.00216639
32768, End, 70, 0.00216341
32768, End, 71, 0.00220647
32768, End, 72, 0.00216573
32768, End, 73, 0.0021704
32768, End, 74, 0.00216318
32768, End, 75, 0.00216247
32768, End, 76, 0.00216545
32768, End, 77, 0.00217204
32768, End, 78, 0.00220803
32768, End, 79, 0.00217858
32768, End, 80, 0.00217098
32768, End, 81, 0.00216966
32768, End, 82, 0.00218527
32768, End, 83, 0.00249435
32768, End, 84, 0.00217857
32768, End, 85, 0.00216642
32768, End, 86, 0.00216877
32768, End, 87, 0.00216826
32768, End, 88, 0.00216955
32768, End, 89, 0.00216404
32768, End, 90, 0.00219885
32768, End, 91, 0.00217275
32768, End, 92, 0.00216729
32768, End, 93, 0.00216409
32768, End, 94, 0.0021907
32768, End, 95, 0.00219291
