JOBID=28582
Size, Timepoint, Index, Time
1024, End, 1, 1.3727e-05
1024, End, 2, 1.3379e-05
1024, End, 3, 1.2253e-05
1024, End, 4, 1.3349e-05
1024, End, 5, 1.357e-05
1024, End, 6, 1.4456e-05
1024, End, 7, 1.1473e-05
1024, End, 8, 1.2854e-05
1024, End, 9, 1.0799e-05
1024, End, 10, 1.229e-05
1024, End, 11, 9.524e-06
1024, End, 12, 1.1318e-05
1024, End, 13, 1.0567e-05
1024, End, 14, 1.2048e-05
1024, End, 15, 1.2057e-05
1024, End, 16, 1.4895e-05
1024, End, 17, 1.033e-05
1024, End, 18, 1.2967e-05
1024, End, 19, 1.0481e-05
1024, End, 20, 1.0932e-05
1024, End, 21, 1.0006e-05
1024, End, 22, 1.0848e-05
1024, End, 23, 1.0209e-05
1024, End, 24, 1.2167e-05
1024, End, 25, 9.994e-06
1024, End, 26, 1.1718e-05
1024, End, 27, 1.0311e-05
1024, End, 28, 1.3191e-05
1024, End, 29, 1.0297e-05
1024, End, 30, 1.1298e-05
1024, End, 31, 1.0196e-05
1024, End, 32, 1.0783e-05
1024, End, 33, 1.0568e-05
1024, End, 34, 1.0742e-05
1024, End, 35, 9.864e-06
1024, End, 36, 1.0975e-05
1024, End, 37, 1.2106e-05
1024, End, 38, 1.1898e-05
1024, End, 39, 1.005e-05
1024, End, 40, 1.1528e-05
1024, End, 41, 1.1464e-05
1024, End, 42, 1.0762e-05
1024, End, 43, 1.0377e-05
1024, End, 44, 1.1041e-05
1024, End, 45, 1.0242e-05
1024, End, 46, 1.1237e-05
1024, End, 47, 1.0054e-05
1024, End, 48, 1.0756e-05
1024, End, 49, 1.0106e-05
1024, End, 50, 1.1308e-05
1024, End, 51, 1.0316e-05
1024, End, 52, 1.0687e-05
1024, End, 53, 1.0247e-05
1024, End, 54, 9.864e-06
1024, End, 55, 1.0318e-05
1024, End, 56, 1.0632e-05
1024, End, 57, 1.0022e-05
1024, End, 58, 1.1589e-05
1024, End, 59, 9.976e-06
1024, End, 60, 1.1177e-05
1024, End, 61, 9.583e-06
1024, End, 62, 1.1035e-05
1024, End, 63, 1.0374e-05
1024, End, 64, 1.0805e-05
1024, End, 65, 1.0366e-05
1024, End, 66, 1.0742e-05
1024, End, 67, 1.0354e-05
1024, End, 68, 1.0873e-05
1024, End, 69, 1.0333e-05
1024, End, 70, 1.0773e-05
1024, End, 71, 1.0523e-05
1024, End, 72, 1.0993e-05
1024, End, 73, 1.0273e-05
1024, End, 74, 1.1032e-05
1024, End, 75, 1.0064e-05
1024, End, 76, 1.069e-05
1024, End, 77, 1.0017e-05
1024, End, 78, 1.0926e-05
1024, End, 79, 1.0527e-05
1024, End, 80, 1.1954e-05
1024, End, 81, 1.0487e-05
1024, End, 82, 1.0867e-05
1024, End, 83, 1.0133e-05
1024, End, 84, 1.0917e-05
1024, End, 85, 1.0157e-05
1024, End, 86, 8.873e-06
1024, End, 87, 1.2686e-05
1024, End, 88, 1.1531e-05
1024, End, 89, 1.7865e-05
1024, End, 90, 1.1599e-05
1024, End, 91, 1.0107e-05
1024, End, 92, 1.3247e-05
1024, End, 93, 1.0327e-05
1024, End, 94, 1.0973e-05
1024, End, 95, 1.0915e-05
1024, End, 96, 2.3309e-05
1024, End, 97, 2.421e-06
1024, End, 98, 1.1068e-05
1024, End, 99, 1.0296e-05
1024, End, 100, 1.1459e-05
2048, End, 1, 1.3369e-05
2048, End, 2, 1.4357e-05
2048, End, 3, 1.406e-05
2048, End, 4, 1.5622e-05
2048, End, 5, 1.304e-05
2048, End, 6, 1.5182e-05
2048, End, 7, 1.3254e-05
2048, End, 8, 1.3961e-05
2048, End, 9, 1.1692e-05
2048, End, 10, 1.2854e-05
2048, End, 11, 1.1488e-05
2048, End, 12, 1.1583e-05
2048, End, 13, 1.1334e-05
2048, End, 14, 1.2686e-05
2048, End, 15, 1.2486e-05
2048, End, 16, 1.3052e-05
2048, End, 17, 1.1752e-05
2048, End, 18, 1.398e-05
2048, End, 19, 1.1089e-05
2048, End, 20, 1.2826e-05
2048, End, 21, 1.1427e-05
2048, End, 22, 1.1954e-05
2048, End, 23, 1.1532e-05
2048, End, 24, 1.287e-05
2048, End, 25, 1.1647e-05
2048, End, 26, 1.2116e-05
2048, End, 27, 1.2183e-05
2048, End, 28, 1.3028e-05
2048, End, 29, 1.2526e-05
2048, End, 30, 1.3117e-05
2048, End, 31, 1.1369e-05
2048, End, 32, 1.1977e-05
2048, End, 33, 1.2528e-05
2048, End, 34, 1.2252e-05
2048, End, 35, 1.1864e-05
2048, End, 36, 1.2079e-05
2048, End, 37, 1.1543e-05
2048, End, 38, 1.337e-05
2048, End, 39, 1.1793e-05
2048, End, 40, 1.5502e-05
2048, End, 41, 1.1553e-05
2048, End, 42, 1.203e-05
2048, End, 43, 1.1474e-05
2048, End, 44, 1.2428e-05
2048, End, 45, 1.156e-05
2048, End, 46, 1.2375e-05
2048, End, 47, 1.1317e-05
2048, End, 48, 1.211e-05
2048, End, 49, 1.166e-05
2048, End, 50, 1.161e-05
2048, End, 51, 1.185e-05
2048, End, 52, 1.1969e-05
2048, End, 53, 1.125e-05
2048, End, 54, 1.3339e-05
2048, End, 55, 1.1375e-05
2048, End, 56, 1.2173e-05
2048, End, 57, 1.1482e-05
2048, End, 58, 1.2311e-05
2048, End, 59, 1.1642e-05
2048, End, 60, 1.2449e-05
2048, End, 61, 1.0152e-05
2048, End, 62, 1.2033e-05
2048, End, 63, 1.1576e-05
2048, End, 64, 1.1759e-05
2048, End, 65, 1.1457e-05
2048, End, 66, 1.1845e-05
2048, End, 67, 1.1359e-05
2048, End, 68, 1.1792e-05
2048, End, 69, 1.1236e-05
2048, End, 70, 1.2236e-05
2048, End, 71, 1.1516e-05
2048, End, 72, 1.1956e-05
2048, End, 73, 1.121e-05
2048, End, 74, 1.2167e-05
2048, End, 75, 1.123e-05
2048, End, 76, 1.1888e-05
2048, End, 77, 1.1331e-05
2048, End, 78, 1.2242e-05
2048, End, 79, 1.2144e-05
2048, End, 80, 1.2036e-05
2048, End, 81, 1.1311e-05
2048, End, 82, 1.2183e-05
2048, End, 83, 1.1621e-05
2048, End, 84, 1.2413e-05
2048, End, 85, 1.1653e-05
2048, End, 86, 1.2616e-05
2048, End, 87, 1.1513e-05
2048, End, 88, 1.3753e-05
2048, End, 89, 1.1142e-05
2048, End, 90, 1.2186e-05
2048, End, 91, 1.157e-05
2048, End, 92, 1.2947e-05
2048, End, 93, 1.1568e-05
2048, End, 94, 1.2673e-05
2048, End, 95, 1.1396e-05
2048, End, 96, 1.1846e-05
2048, End, 97, 1.119e-05
2048, End, 98, 1.1782e-05
2048, End, 99, 1.1327e-05
2048, End, 100, 1.2771e-05
4096, End, 1, 1.4534e-05
