JOBID=30313
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/non-contiguous/upcxx_rput_non_contiguous --chunk-size 4 --in-stride 8 --out-inter-chunk-stride 8 --repetitions 200 -m root -q --warmup-repetitions 200
Rank, Total-size, Chunk-size, Chunks-per-rank, In-stride, Size-per-rank, Out-inter-chunk-stride, Out-inter-rank-stride, Timepoint, Index, Time
0, 8, 4, 1, 8, 4, 8, 12, End, 1, 1.315e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 2, 1.463e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 3, 3.758e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 4, 1.306e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 5, 1.324e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 6, 1.345e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 7, 1.324e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 8, 1.346e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 9, 1.312e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 10, 1.373e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 11, 1.464e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 12, 1.347e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 13, 1.504e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 14, 1.641e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 15, 1.315e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 16, 1.399e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 17, 1.413e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 18, 1.428e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 19, 4.102e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 20, 1.424e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 21, 1.321e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 22, 1.373e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 23, 1.529e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 24, 1.355e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 25, 1.321e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 26, 1.305e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 27, 1.499e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 28, 1.533e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 29, 1.283e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 30, 1.332e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 31, 1.525e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 32, 1.283e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 33, 1.297e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 34, 1.355e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 35, 3.97e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 36, 1.362e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 37, 1.306e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 38, 1.427e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 39, 1.428e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 40, 1.554e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 41, 1.303e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 42, 1.405e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 43, 1.639e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 44, 1.322e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 45, 1.304e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 46, 1.33e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 47, 1.339e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 48, 1.581e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 49, 1.302e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 50, 1.302e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 51, 4.494e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 52, 1.388e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 53, 1.304e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 54, 1.321e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 55, 1.321e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 56, 1.34e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 57, 1.544e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 58, 1.423e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 59, 1.52e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 60, 6.942e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 61, 1.445e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 62, 1.285e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 63, 1.645e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 64, 1.422e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 65, 1.344e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 66, 1.366e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 67, 4.212e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 68, 1.562e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 69, 1.369e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 70, 1.571e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 71, 1.285e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 72, 1.321e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 73, 1.523e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 74, 1.306e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 75, 1.644e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 76, 1.301e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 77, 1.526e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 78, 1.292e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 79, 1.314e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 80, 1.32e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 81, 1.312e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 82, 1.324e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 83, 3.853e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 84, 1.37e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 85, 1.343e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 86, 1.311e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 87, 1.313e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 88, 1.277e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 89, 1.41e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 90, 1.404e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 91, 1.894e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 92, 1.415e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 93, 1.423e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 94, 1.426e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 95, 1.322e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 96, 1.593e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 97, 1.304e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 98, 1.521e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 99, 4.035e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 100, 1.287e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 101, 1.311e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 102, 1.349e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 103, 1.356e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 104, 1.342e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 105, 1.324e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 106, 1.335e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 107, 1.463e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 108, 1.338e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 109, 1.322e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 110, 1.346e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 111, 1.322e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 112, 1.546e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 113, 1.379e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 114, 1.427e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 115, 4.499e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 116, 1.6e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 117, 1.312e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 118, 1.523e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 119, 1.3e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 120, 1.33e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 121, 1.676e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 122, 1.489e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 123, 1.401e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 124, 1.316e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 125, 1.336e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 126, 1.319e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 127, 1.346e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 128, 1.322e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 129, 1.303e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 130, 1.522e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 131, 4.303e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 132, 1.314e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 133, 1.427e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 134, 1.426e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 135, 1.423e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 136, 1.503e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 137, 1.285e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 138, 1.33e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 139, 1.472e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 140, 1.309e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 141, 1.526e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 142, 1.374e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 143, 1.523e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 144, 1.309e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 145, 1.506e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 146, 1.341e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 147, 3.783e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 148, 1.425e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 149, 1.595e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 150, 1.316e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 151, 1.319e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 152, 1.439e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 153, 1.393e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 154, 1.475e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 155, 1.427e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 156, 1.439e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 157, 1.412e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 158, 1.618e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 159, 1.427e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 160, 1.433e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 161, 1.322e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 162, 1.523e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 163, 4.073e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 164, 1.383e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 165, 1.351e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 166, 1.382e-06
