JOBID=29161
Nodes=4 Procs=8 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/mpi_ping_pong --repetitions 100 -m all -q --warmup-repetitions 200 --value 1000
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1000, End, 1, 0.000254623
0, 1, 1000, End, 2, 0.000257279
0, 1, 1000, End, 3, 0.000254693
0, 1, 1000, End, 4, 0.000254545
0, 1, 1000, End, 5, 0.000254387
0, 1, 1000, End, 6, 0.000257318
0, 1, 1000, End, 7, 0.000255187
0, 1, 1000, End, 8, 0.000255192
0, 1, 1000, End, 9, 0.000254732
0, 1, 1000, End, 10, 0.000254321
0, 1, 1000, End, 11, 0.000254734
0, 1, 1000, End, 12, 0.00025606
0, 1, 1000, End, 13, 0.00025857
0, 1, 1000, End, 14, 0.00025538
0, 1, 1000, End, 15, 0.000255424
0, 1, 1000, End, 16, 0.000254718
0, 1, 1000, End, 17, 0.000257731
0, 1, 1000, End, 18, 0.000253514
0, 1, 1000, End, 19, 0.000255504
0, 1, 1000, End, 20, 0.000255082
0, 1, 1000, End, 21, 0.000258726
0, 1, 1000, End, 22, 0.000255351
0, 1, 1000, End, 23, 0.000255485
0, 1, 1000, End, 24, 0.000257635
0, 1, 1000, End, 25, 0.00025476
0, 1, 1000, End, 26, 0.000256222
0, 1, 1000, End, 27, 0.000255597
0, 1, 1000, End, 28, 0.000256783
0, 1, 1000, End, 29, 0.000255235
0, 1, 1000, End, 30, 0.000255151
0, 1, 1000, End, 31, 0.000254583
0, 1, 1000, End, 32, 0.00025945
0, 1, 1000, End, 33, 0.000255443
0, 1, 1000, End, 34, 0.000256013
0, 1, 1000, End, 35, 0.000256823
0, 1, 1000, End, 36, 0.000254338
0, 1, 1000, End, 37, 0.000257212
0, 1, 1000, End, 38, 0.000254672
0, 1, 1000, End, 39, 0.000258565
0, 1, 1000, End, 40, 0.000255213
0, 1, 1000, End, 41, 0.000255213
0, 1, 1000, End, 42, 0.000255311
0, 1, 1000, End, 43, 0.000258344
0, 1, 1000, End, 44, 0.000255927
0, 1, 1000, End, 45, 0.000255758
0, 1, 1000, End, 46, 0.000255002
0, 1, 1000, End, 47, 0.000255011
0, 1, 1000, End, 48, 0.000253625
0, 1, 1000, End, 49, 0.000254703
0, 1, 1000, End, 50, 0.000258216
0, 1, 1000, End, 51, 0.000255438
0, 1, 1000, End, 52, 0.000255948
0, 1, 1000, End, 53, 0.000254287
0, 1, 1000, End, 54, 0.000259127
0, 1, 1000, End, 55, 0.000255847
0, 1, 1000, End, 56, 0.000256624
0, 1, 1000, End, 57, 0.000253697
0, 1, 1000, End, 58, 0.000258918
0, 1, 1000, End, 59, 0.000255609
0, 1, 1000, End, 60, 0.000254329
