JOBID=28743
Nodes=8 Procs=8 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/mpi_ping_pong --repetitions 100 --value 1K -q -m all
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1024, End, 1, 0.00173481
0, 1, 1024, End, 2, 0.00172259
0, 1, 1024, End, 3, 0.00172289
0, 1, 1024, End, 4, 0.00172048
0, 1, 1024, End, 5, 0.00172031
0, 1, 1024, End, 6, 0.00170677
0, 1, 1024, End, 7, 0.00172002
0, 1, 1024, End, 8, 0.00171747
0, 1, 1024, End, 9, 0.00171068
0, 1, 1024, End, 10, 0.00171063
0, 1, 1024, End, 11, 0.00172643
0, 1, 1024, End, 12, 0.00171037
0, 1, 1024, End, 13, 0.001703
0, 1, 1024, End, 14, 0.00171969
0, 1, 1024, End, 15, 0.00171535
0, 1, 1024, End, 16, 0.0017176
0, 1, 1024, End, 17, 0.00170764
0, 1, 1024, End, 18, 0.00170795
0, 1, 1024, End, 19, 0.00171699
0, 1, 1024, End, 20, 0.00171655
0, 1, 1024, End, 21, 0.00172337
0, 1, 1024, End, 22, 0.00171218
0, 1, 1024, End, 23, 0.00172389
0, 1, 1024, End, 24, 0.00170712
0, 1, 1024, End, 25, 0.00171905
0, 1, 1024, End, 26, 0.00171619
0, 1, 1024, End, 27, 0.00172038
0, 1, 1024, End, 28, 0.00172012
0, 1, 1024, End, 29, 0.00171583
0, 1, 1024, End, 30, 0.00172057
0, 1, 1024, End, 31, 0.00171262
0, 1, 1024, End, 32, 0.00171114
0, 1, 1024, End, 33, 0.00171998
0, 1, 1024, End, 34, 0.0020605
0, 1, 1024, End, 35, 0.0017177
0, 1, 1024, End, 36, 0.0017123
0, 1, 1024, End, 37, 0.00171586
0, 1, 1024, End, 38, 0.00172051
0, 1, 1024, End, 39, 0.00170518
0, 1, 1024, End, 40, 0.00172955
0, 1, 1024, End, 41, 0.00172291
0, 1, 1024, End, 42, 0.00171211
0, 1, 1024, End, 43, 0.00171113
0, 1, 1024, End, 44, 0.00171923
0, 1, 1024, End, 45, 0.00171834
0, 1, 1024, End, 46, 0.00171889
0, 1, 1024, End, 47, 0.00171261
0, 1, 1024, End, 48, 0.00171708
0, 1, 1024, End, 49, 0.00172337
0, 1, 1024, End, 50, 0.00172144
0, 1, 1024, End, 51, 0.00171591
0, 1, 1024, End, 52, 0.00171667
0, 1, 1024, End, 53, 0.00171812
0, 1, 1024, End, 54, 0.00204903
0, 1, 1024, End, 55, 0.00173861
0, 1, 1024, End, 56, 0.0017286
0, 1, 1024, End, 57, 0.00171972
0, 1, 1024, End, 58, 0.00172377
0, 1, 1024, End, 59, 0.00170944
0, 1, 1024, End, 60, 0.00172175
0, 1, 1024, End, 61, 0.00171962
0, 1, 1024, End, 62, 0.0017084
0, 1, 1024, End, 63, 0.00172278
0, 1, 1024, End, 64, 0.00171898
0, 1, 1024, End, 65, 0.00171274
0, 1, 1024, End, 66, 0.00170886
0, 1, 1024, End, 67, 0.00171627
0, 1, 1024, End, 68, 0.00172049
0, 1, 1024, End, 69, 0.00171392
0, 1, 1024, End, 70, 0.00171363
0, 1, 1024, End, 71, 0.00171898
0, 1, 1024, End, 72, 0.00171388
0, 1, 1024, End, 73, 0.0017163
0, 1, 1024, End, 74, 0.00171845
0, 1, 1024, End, 75, 0.00171624
0, 1, 1024, End, 76, 0.00171351
0, 1, 1024, End, 77, 0.00171131
0, 1, 1024, End, 78, 0.00171993
0, 1, 1024, End, 79, 0.00171499
0, 1, 1024, End, 80, 0.00171476
0, 1, 1024, End, 81, 0.00171897
0, 1, 1024, End, 82, 0.00170847
0, 1, 1024, End, 83, 0.00171998
