JOBID=28773
Nodes=4 Procs=8 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rpc --repetitions 100 --value 1K -m all -q
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1024, End, 1, 0.00198266
0, 1, 1024, End, 2, 0.0019721
0, 1, 1024, End, 3, 0.00196402
0, 1, 1024, End, 4, 0.00197155
0, 1, 1024, End, 5, 0.00198056
0, 1, 1024, End, 6, 0.00197165
0, 1, 1024, End, 7, 0.00198093
0, 1, 1024, End, 8, 0.00198535
0, 1, 1024, End, 9, 0.00198394
0, 1, 1024, End, 10, 0.00199281
0, 1, 1024, End, 11, 0.0019633
0, 1, 1024, End, 12, 0.00196674
0, 1, 1024, End, 13, 0.00198854
0, 1, 1024, End, 14, 0.00196266
0, 1, 1024, End, 15, 0.00196886
0, 1, 1024, End, 16, 0.00197547
0, 1, 1024, End, 17, 0.00199453
0, 1, 1024, End, 18, 0.00198413
0, 1, 1024, End, 19, 0.0019697
0, 1, 1024, End, 20, 0.00198882
0, 1, 1024, End, 21, 0.00197803
0, 1, 1024, End, 22, 0.00199864
0, 1, 1024, End, 23, 0.00197362
0, 1, 1024, End, 24, 0.00197845
0, 1, 1024, End, 25, 0.00198052
0, 1, 1024, End, 26, 0.00198045
0, 1, 1024, End, 27, 0.00197463
0, 1, 1024, End, 28, 0.00198465
0, 1, 1024, End, 29, 0.00199571
0, 1, 1024, End, 30, 0.00196829
0, 1, 1024, End, 31, 0.00198002
0, 1, 1024, End, 32, 0.00197263
0, 1, 1024, End, 33, 0.00196559
0, 1, 1024, End, 34, 0.00197869
0, 1, 1024, End, 35, 0.0019746
0, 1, 1024, End, 36, 0.00197444
0, 1, 1024, End, 37, 0.00197136
0, 1, 1024, End, 38, 0.00198714
0, 1, 1024, End, 39, 0.00197851
0, 1, 1024, End, 40, 0.0019874
0, 1, 1024, End, 41, 0.00199115
0, 1, 1024, End, 42, 0.00197811
0, 1, 1024, End, 43, 0.00198981
0, 1, 1024, End, 44, 0.00199165
0, 1, 1024, End, 45, 0.00198641
0, 1, 1024, End, 46, 0.0019656
0, 1, 1024, End, 47, 0.00196747
0, 1, 1024, End, 48, 0.00200175
0, 1, 1024, End, 49, 0.0019724
0, 1, 1024, End, 50, 0.00196347
0, 1, 1024, End, 51, 0.00197998
0, 1, 1024, End, 52, 0.00197698
0, 1, 1024, End, 53, 0.00198526
0, 1, 1024, End, 54, 0.00196577
0, 1, 1024, End, 55, 0.00199628
0, 1, 1024, End, 56, 0.00196846
0, 1, 1024, End, 57, 0.00198397
0, 1, 1024, End, 58, 0.00196121
0, 1, 1024, End, 59, 0.00197321
0, 1, 1024, End, 60, 0.00231131
0, 1, 1024, End, 61, 0.0019878
0, 1, 1024, End, 62, 0.00197447
0, 1, 1024, End, 63, 0.0019958
0, 1, 1024, End, 64, 0.0019806
0, 1, 1024, End, 65, 0.00199293
0, 1, 1024, End, 66, 0.00197971
0, 1, 1024, End, 67, 0.00196434
0, 1, 1024, End, 68, 0.00197531
0, 1, 1024, End, 69, 0.00198985
0, 1, 1024, End, 70, 0.00197951
0, 1, 1024, End, 71, 0.00197209
0, 1, 1024, End, 72, 0.00197435
0, 1, 1024, End, 73, 0.00198727
0, 1, 1024, End, 74, 0.0019679
0, 1, 1024, End, 75, 0.00197628
0, 1, 1024, End, 76, 0.00195994
0, 1, 1024, End, 77, 0.00200805
0, 1, 1024, End, 78, 0.00199019
0, 1, 1024, End, 79, 0.0019786
0, 1, 1024, End, 80, 0.00197287
0, 1, 1024, End, 81, 0.00197087
0, 1, 1024, End, 82, 0.00197913
0, 1, 1024, End, 83, 0.00199013
0, 1, 1024, End, 84, 0.00199781
0, 1, 1024, End, 85, 0.00197848
0, 1, 1024, End, 86, 0.00197806
0, 1, 1024, End, 87, 0.00196826
0, 1, 1024, End, 88, 0.00197763
0, 1, 1024, End, 89, 0.00198094
0, 1, 1024, End, 90, 0.00197707
0, 1, 1024, End, 91, 0.00197347
0, 1, 1024, End, 92, 0.00196355
0, 1, 1024, End, 93, 0.00197265
0, 1, 1024, End, 94, 0.00197381
0, 1, 1024, End, 95, 0.00198441
0, 1, 1024, End, 96, 0.00196579
0, 1, 1024, End, 97, 0.00197847
0, 1, 1024, End, 98, 0.0019722
0, 1, 1024, End, 99, 0.00198396
0, 1, 1024, End, 100, 0.0019703
1, 1, 1024, End, 1, 0.00198312
1, 1, 1024, End, 2, 0.00197237
1, 1, 1024, End, 3, 0.00196422
1, 1, 1024, End, 4, 0.00197182
1, 1, 1024, End, 5, 0.0019808
1, 1, 1024, End, 6, 0.00197193
1, 1, 1024, End, 7, 0.00198118
1, 1, 1024, End, 8, 0.00198567
1, 1, 1024, End, 9, 0.00198418
1, 1, 1024, End, 10, 0.00199323
1, 1, 1024, End, 11, 0.00196358
1, 1, 1024, End, 12, 0.00196713
1, 1, 1024, End, 13, 0.0019888
1, 1, 1024, End, 14, 0.00196288
1, 1, 1024, End, 15, 0.00196909
1, 1, 1024, End, 16, 0.00197574
1, 1, 1024, End, 17, 0.00199476
1, 1, 1024, End, 18, 0.00198445
1, 1, 1024, End, 19, 0.00197
1, 1, 1024, End, 20, 0.00198913
1, 1, 1024, End, 21, 0.00197849
1, 1, 1024, End, 22, 0.00199898
