JOBID=29171
Nodes=8 Procs=8 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rpc --repetitions 100 -m all -q --warmup-repetitions 200 --value 1000
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1000, End, 1, 0.00438846
0, 1, 1000, End, 2, 0.00471087
0, 1, 1000, End, 3, 0.00439177
0, 1, 1000, End, 4, 0.00474182
0, 1, 1000, End, 5, 0.00477347
0, 1, 1000, End, 6, 0.00440631
0, 1, 1000, End, 7, 0.00446947
0, 1, 1000, End, 8, 0.00441332
0, 1, 1000, End, 9, 0.00448467
0, 1, 1000, End, 10, 0.00444314
0, 1, 1000, End, 11, 0.0044756
0, 1, 1000, End, 12, 0.00441792
0, 1, 1000, End, 13, 0.00438976
0, 1, 1000, End, 14, 0.00439367
0, 1, 1000, End, 15, 0.0044275
0, 1, 1000, End, 16, 0.00442542
0, 1, 1000, End, 17, 0.00439847
0, 1, 1000, End, 18, 0.00434946
0, 1, 1000, End, 19, 0.00443917
0, 1, 1000, End, 20, 0.00445594
0, 1, 1000, End, 21, 0.00441515
0, 1, 1000, End, 22, 0.00440681
0, 1, 1000, End, 23, 0.00447189
0, 1, 1000, End, 24, 0.00436105
0, 1, 1000, End, 25, 0.00442292
0, 1, 1000, End, 26, 0.00444045
0, 1, 1000, End, 27, 0.00444929
0, 1, 1000, End, 28, 0.0044635
0, 1, 1000, End, 29, 0.00476294
0, 1, 1000, End, 30, 0.00439454
0, 1, 1000, End, 31, 0.00438548
0, 1, 1000, End, 32, 0.00477173
0, 1, 1000, End, 33, 0.00446058
0, 1, 1000, End, 34, 0.00441511
0, 1, 1000, End, 35, 0.00445113
0, 1, 1000, End, 36, 0.00437832
0, 1, 1000, End, 37, 0.00444503
0, 1, 1000, End, 38, 0.00446056
0, 1, 1000, End, 39, 0.00439119
0, 1, 1000, End, 40, 0.00448265
0, 1, 1000, End, 41, 0.00442735
0, 1, 1000, End, 42, 0.00446125
0, 1, 1000, End, 43, 0.0044793
0, 1, 1000, End, 44, 0.00443064
0, 1, 1000, End, 45, 0.00448741
0, 1, 1000, End, 46, 0.00445775
0, 1, 1000, End, 47, 0.00444358
0, 1, 1000, End, 48, 0.00441369
0, 1, 1000, End, 49, 0.00438245
0, 1, 1000, End, 50, 0.00440896
0, 1, 1000, End, 51, 0.00440138
0, 1, 1000, End, 52, 0.00446135
0, 1, 1000, End, 53, 0.0044096
0, 1, 1000, End, 54, 0.00436446
0, 1, 1000, End, 55, 0.00444172
0, 1, 1000, End, 56, 0.00443563
0, 1, 1000, End, 57, 0.00480077
0, 1, 1000, End, 58, 0.00439882
0, 1, 1000, End, 59, 0.00477387
0, 1, 1000, End, 60, 0.00436697
0, 1, 1000, End, 61, 0.00456569
0, 1, 1000, End, 62, 0.00436646
0, 1, 1000, End, 63, 0.00438461
0, 1, 1000, End, 64, 0.0044162
0, 1, 1000, End, 65, 0.00444972
0, 1, 1000, End, 66, 0.0044111
0, 1, 1000, End, 67, 0.00441065
0, 1, 1000, End, 68, 0.00443178
1, 1, 1000, End, 1, 0.00439763
1, 1, 1000, End, 2, 0.0047138
1, 1, 1000, End, 3, 0.00439598
1, 1, 1000, End, 4, 0.00474692
1, 1, 1000, End, 5, 0.00477818
1, 1, 1000, End, 6, 0.00441003
1, 1, 1000, End, 7, 0.00447133
1, 1, 1000, End, 8, 0.00441868
1, 1, 1000, End, 9, 0.00448815
1, 1, 1000, End, 10, 0.0044482
1, 1, 1000, End, 11, 0.00447904
1, 1, 1000, End, 12, 0.00442223
1, 1, 1000, End, 13, 0.00439891
1, 1, 1000, End, 14, 0.0043973
1, 1, 1000, End, 15, 0.00442931
1, 1, 1000, End, 16, 0.00442838
1, 1, 1000, End, 17, 0.00440383
1, 1, 1000, End, 18, 0.00435197
1, 1, 1000, End, 19, 0.00444229
1, 1, 1000, End, 20, 0.004461
1, 1, 1000, End, 21, 0.00442661
1, 1, 1000, End, 22, 0.00440877
1, 1, 1000, End, 23, 0.00447595
1, 1, 1000, End, 24, 0.00436764
1, 1, 1000, End, 25, 0.00442579
1, 1, 1000, End, 26, 0.00444272
0, 1, 1000, End, 69, 0.00461679
0, 1, 1000, End, 70, 0.00440094
0, 1, 1000, End, 71, 0.00446669
0, 1, 1000, End, 72, 0.00444609
0, 1, 1000, End, 73, 0.00438311
1, 1, 1000, End, 27, 0.00445496
1, 1, 1000, End, 28, 0.00446581
1, 1, 1000, End, 29, 0.00476506
1, 1, 1000, End, 30, 0.00439883
1, 1, 1000, End, 31, 0.00438712
1, 1, 1000, End, 32, 0.00478301
1, 1, 1000, End, 33, 0.00447195
1, 1, 1000, End, 34, 0.00442073
1, 1, 1000, End, 35, 0.00445018
1, 1, 1000, End, 36, 0.00438321
1, 1, 1000, End, 37, 0.00445009
1, 1, 1000, End, 38, 0.00446549
1, 1, 1000, End, 39, 0.00439363
1, 1, 1000, End, 40, 0.00448452
1, 1, 1000, End, 41, 0.00443147
1, 1, 1000, End, 42, 0.00446477
1, 1, 1000, End, 43, 0.00448365
1, 1, 1000, End, 44, 0.00475387
0, 1, 1000, End, 74, 0.00442404
0, 1, 1000, End, 75, 0.00444178
0, 1, 1000, End, 76, 0.0044626
0, 1, 1000, End, 77, 0.00446304
0, 1, 1000, End, 78, 0.00442684
0, 1, 1000, End, 79, 0.00445697
0, 1, 1000, End, 80, 0.00437509
0, 1, 1000, End, 81, 0.00444484
0, 1, 1000, End, 82, 0.00438556
0, 1, 1000, End, 83, 0.00441196
0, 1, 1000, End, 84, 0.00438118
0, 1, 1000, End, 85, 0.00476747
0, 1, 1000, End, 86, 0.00446998
0, 1, 1000, End, 87, 0.00473784
0, 1, 1000, End, 88, 0.00439919
0, 1, 1000, End, 89, 0.00442018
1, 1, 1000, End, 45, 0.00449994
1, 1, 1000, End, 46, 0.00446273
1, 1, 1000, End, 47, 0.00444889
1, 1, 1000, End, 48, 0.00441585
1, 1, 1000, End, 49, 0.00438526
1, 1, 1000, End, 50, 0.00441408
1, 1, 1000, End, 51, 0.00440663
1, 1, 1000, End, 52, 0.00446356
1, 1, 1000, End, 53, 0.00441419
1, 1, 1000, End, 54, 0.00436726
1, 1, 1000, End, 55, 0.00444545
1, 1, 1000, End, 56, 0.00443819
1, 1, 1000, End, 57, 0.0048024
1, 1, 1000, End, 58, 0.00440581
1, 1, 1000, End, 59, 0.00477629
1, 1, 1000, End, 60, 0.00437159
1, 1, 1000, End, 61, 0.00456843
1, 1, 1000, End, 62, 0.00436715
1, 1, 1000, End, 63, 0.00438807
1, 1, 1000, End, 64, 0.00442581
1, 1, 1000, End, 65, 0.00445207
0, 1, 1000, End, 90, 0.00442304
0, 1, 1000, End, 91, 0.00445272
0, 1, 1000, End, 92, 0.00446126
