JOBID=28774
Nodes=4 Procs=8 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rpc_no_flag --repetitions 100 --value 1K -m all -q
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1024, End, 1, 0.00180847
0, 1, 1024, End, 2, 0.00187715
0, 1, 1024, End, 3, 0.0018141
0, 1, 1024, End, 4, 0.00180795
0, 1, 1024, End, 5, 0.00183056
0, 1, 1024, End, 6, 0.00181167
0, 1, 1024, End, 7, 0.00181817
0, 1, 1024, End, 8, 0.00180962
0, 1, 1024, End, 9, 0.00181275
0, 1, 1024, End, 10, 0.00190965
0, 1, 1024, End, 11, 0.00180892
0, 1, 1024, End, 12, 0.001812
0, 1, 1024, End, 13, 0.00180821
0, 1, 1024, End, 14, 0.00181734
0, 1, 1024, End, 15, 0.00214675
0, 1, 1024, End, 16, 0.00182187
0, 1, 1024, End, 17, 0.00180955
0, 1, 1024, End, 18, 0.00181457
0, 1, 1024, End, 19, 0.00181018
0, 1, 1024, End, 20, 0.0018144
0, 1, 1024, End, 21, 0.00180846
0, 1, 1024, End, 22, 0.00181337
0, 1, 1024, End, 23, 0.00180864
0, 1, 1024, End, 24, 0.00181396
0, 1, 1024, End, 25, 0.00182189
0, 1, 1024, End, 26, 0.00181014
0, 1, 1024, End, 27, 0.00181522
0, 1, 1024, End, 28, 0.00181156
0, 1, 1024, End, 29, 0.00181128
0, 1, 1024, End, 30, 0.00181438
0, 1, 1024, End, 31, 0.00181089
0, 1, 1024, End, 32, 0.00181589
0, 1, 1024, End, 33, 0.00181684
0, 1, 1024, End, 34, 0.00182522
0, 1, 1024, End, 35, 0.00182781
0, 1, 1024, End, 36, 0.00181513
0, 1, 1024, End, 37, 0.00180858
0, 1, 1024, End, 38, 0.00182051
0, 1, 1024, End, 39, 0.00181355
0, 1, 1024, End, 40, 0.00182066
0, 1, 1024, End, 41, 0.00180674
0, 1, 1024, End, 42, 0.00181424
0, 1, 1024, End, 43, 0.00181397
0, 1, 1024, End, 44, 0.00180494
0, 1, 1024, End, 45, 0.00181333
0, 1, 1024, End, 46, 0.00181366
0, 1, 1024, End, 47, 0.00181014
0, 1, 1024, End, 48, 0.0018183
0, 1, 1024, End, 49, 0.00180826
0, 1, 1024, End, 50, 0.00181626
0, 1, 1024, End, 51, 0.00180979
0, 1, 1024, End, 52, 0.00181826
0, 1, 1024, End, 53, 0.001806
0, 1, 1024, End, 54, 0.00180926
0, 1, 1024, End, 55, 0.00180897
0, 1, 1024, End, 56, 0.0018053
0, 1, 1024, End, 57, 0.00180641
0, 1, 1024, End, 58, 0.00180835
0, 1, 1024, End, 59, 0.0018145
0, 1, 1024, End, 60, 0.00180622
0, 1, 1024, End, 61, 0.00181419
0, 1, 1024, End, 62, 0.00184297
0, 1, 1024, End, 63, 0.0018096
0, 1, 1024, End, 64, 0.00182135
0, 1, 1024, End, 65, 0.00181028
0, 1, 1024, End, 66, 0.00181224
0, 1, 1024, End, 67, 0.00180875
0, 1, 1024, End, 68, 0.00180784
0, 1, 1024, End, 69, 0.00181494
0, 1, 1024, End, 70, 0.00181602
0, 1, 1024, End, 71, 0.0018076
0, 1, 1024, End, 72, 0.00181846
0, 1, 1024, End, 73, 0.00181485
0, 1, 1024, End, 74, 0.00181799
0, 1, 1024, End, 75, 0.00181267
0, 1, 1024, End, 76, 0.00180401
0, 1, 1024, End, 77, 0.00180864
0, 1, 1024, End, 78, 0.00181038
0, 1, 1024, End, 79, 0.00180763
0, 1, 1024, End, 80, 0.0018165
0, 1, 1024, End, 81, 0.00181199
0, 1, 1024, End, 82, 0.00214041
0, 1, 1024, End, 83, 0.00181114
0, 1, 1024, End, 84, 0.00181317
0, 1, 1024, End, 85, 0.00181226
0, 1, 1024, End, 86, 0.00181251
0, 1, 1024, End, 87, 0.00181595
0, 1, 1024, End, 88, 0.00181116
0, 1, 1024, End, 89, 0.00180852
0, 1, 1024, End, 90, 0.0018241
0, 1, 1024, End, 91, 0.0018085
0, 1, 1024, End, 92, 0.001808
0, 1, 1024, End, 93, 0.00181299
0, 1, 1024, End, 94, 0.00182239
0, 1, 1024, End, 95, 0.00181989
0, 1, 1024, End, 96, 0.00181839
0, 1, 1024, End, 97, 0.00180622
0, 1, 1024, End, 98, 0.0018127
0, 1, 1024, End, 99, 0.00181318
0, 1, 1024, End, 100, 0.00180677
1, 1, 1024, End, 1, 0.00180868
1, 1, 1024, End, 2, 0.00187753
1, 1, 1024, End, 3, 0.00181429
1, 1, 1024, End, 4, 0.00180818
1, 1, 1024, End, 5, 0.00183073
1, 1, 1024, End, 6, 0.00181189
1, 1, 1024, End, 7, 0.00181847
1, 1, 1024, End, 8, 0.0018098
1, 1, 1024, End, 9, 0.00181305
1, 1, 1024, End, 10, 0.00190999
