JOBID=29170
Nodes=8 Procs=8 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rpc_no_flag --repetitions 100 -m all -q --warmup-repetitions 200 --value 1000
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1000, End, 1, 0.00446237
0, 1, 1000, End, 2, 0.00439785
0, 1, 1000, End, 3, 0.00447647
0, 1, 1000, End, 4, 0.00441907
0, 1, 1000, End, 5, 0.0044553
0, 1, 1000, End, 6, 0.00438597
0, 1, 1000, End, 7, 0.00449202
0, 1, 1000, End, 8, 0.00440991
0, 1, 1000, End, 9, 0.00439428
0, 1, 1000, End, 10, 0.0047872
0, 1, 1000, End, 11, 0.00443964
0, 1, 1000, End, 12, 0.00479633
0, 1, 1000, End, 13, 0.0044274
0, 1, 1000, End, 14, 0.00438138
0, 1, 1000, End, 15, 0.00443277
0, 1, 1000, End, 16, 0.00442757
0, 1, 1000, End, 17, 0.0044439
0, 1, 1000, End, 18, 0.00445418
0, 1, 1000, End, 19, 0.00439347
0, 1, 1000, End, 20, 0.0044044
0, 1, 1000, End, 21, 0.00442591
0, 1, 1000, End, 22, 0.00440523
0, 1, 1000, End, 23, 0.0043643
0, 1, 1000, End, 24, 0.00437525
0, 1, 1000, End, 25, 0.00447039
0, 1, 1000, End, 26, 0.00444637
0, 1, 1000, End, 27, 0.00440845
0, 1, 1000, End, 28, 0.00439738
0, 1, 1000, End, 29, 0.00439527
0, 1, 1000, End, 30, 0.00441871
0, 1, 1000, End, 31, 0.00440873
0, 1, 1000, End, 32, 0.00444007
0, 1, 1000, End, 33, 0.00442958
0, 1, 1000, End, 34, 0.00445327
0, 1, 1000, End, 35, 0.00452664
0, 1, 1000, End, 36, 0.00443751
0, 1, 1000, End, 37, 0.00444101
0, 1, 1000, End, 38, 0.00475895
0, 1, 1000, End, 39, 0.00441214
0, 1, 1000, End, 40, 0.00471745
0, 1, 1000, End, 41, 0.00438934
0, 1, 1000, End, 42, 0.0043505
0, 1, 1000, End, 43, 0.00441609
0, 1, 1000, End, 44, 0.00436849
0, 1, 1000, End, 45, 0.00444286
0, 1, 1000, End, 46, 0.00442869
0, 1, 1000, End, 47, 0.00444564
0, 1, 1000, End, 48, 0.004465
0, 1, 1000, End, 49, 0.00439642
0, 1, 1000, End, 50, 0.00448017
0, 1, 1000, End, 51, 0.00444893
0, 1, 1000, End, 52, 0.00449785
0, 1, 1000, End, 53, 0.00445231
0, 1, 1000, End, 54, 0.00447459
0, 1, 1000, End, 55, 0.00441218
0, 1, 1000, End, 56, 0.0044403
0, 1, 1000, End, 57, 0.00448902
0, 1, 1000, End, 58, 0.00441599
0, 1, 1000, End, 59, 0.00441908
0, 1, 1000, End, 60, 0.00440046
0, 1, 1000, End, 61, 0.00437431
0, 1, 1000, End, 62, 0.00438982
0, 1, 1000, End, 63, 0.00457526
0, 1, 1000, End, 64, 0.00441065
0, 1, 1000, End, 65, 0.00474391
0, 1, 1000, End, 66, 0.0046462
0, 1, 1000, End, 67, 0.0044535
1, 1, 1000, End, 1, 0.00446692
1, 1, 1000, End, 2, 0.00440273
1, 1, 1000, End, 3, 0.00447901
1, 1, 1000, End, 4, 0.00442422
1, 1, 1000, End, 5, 0.00445761
1, 1, 1000, End, 6, 0.00438832
1, 1, 1000, End, 7, 0.00449441
1, 1, 1000, End, 8, 0.00441511
1, 1, 1000, End, 9, 0.00439639
1, 1, 1000, End, 10, 0.00478903
1, 1, 1000, End, 11, 0.00444389
1, 1, 1000, End, 12, 0.00479856
1, 1, 1000, End, 13, 0.00443188
1, 1, 1000, End, 14, 0.00438953
1, 1, 1000, End, 15, 0.00443765
1, 1, 1000, End, 16, 0.00442969
1, 1, 1000, End, 17, 0.0044472
1, 1, 1000, End, 18, 0.00445696
1, 1, 1000, End, 19, 0.00439891
1, 1, 1000, End, 20, 0.00440651
1, 1, 1000, End, 21, 0.00442804
1, 1, 1000, End, 22, 0.00441088
1, 1, 1000, End, 23, 0.00437629
1, 1, 1000, End, 24, 0.00437802
1, 1, 1000, End, 25, 0.00447288
1, 1, 1000, End, 26, 0.00445074
0, 1, 1000, End, 68, 0.00480868
0, 1, 1000, End, 69, 0.0044774
0, 1, 1000, End, 70, 0.00445515
0, 1, 1000, End, 71, 0.0044386
0, 1, 1000, End, 72, 0.00443637
0, 1, 1000, End, 73, 0.00442284
0, 1, 1000, End, 74, 0.00445249
0, 1, 1000, End, 75, 0.00447461
0, 1, 1000, End, 76, 0.0045114
0, 1, 1000, End, 77, 0.00446431
0, 1, 1000, End, 78, 0.00442797
0, 1, 1000, End, 79, 0.00447492
0, 1, 1000, End, 80, 0.00443917
0, 1, 1000, End, 81, 0.00446825
0, 1, 1000, End, 82, 0.00443693
0, 1, 1000, End, 83, 0.00443074
0, 1, 1000, End, 84, 0.00442001
1, 1, 1000, End, 27, 0.00441214
1, 1, 1000, End, 28, 0.00440054
1, 1, 1000, End, 29, 0.0044068
1, 1, 1000, End, 30, 0.00442078
1, 1, 1000, End, 31, 0.00441187
1, 1, 1000, End, 32, 0.00444248
1, 1, 1000, End, 33, 0.00443508
1, 1, 1000, End, 34, 0.00445847
1, 1, 1000, End, 35, 0.00451783
1, 1, 1000, End, 36, 0.00444143
1, 1, 1000, End, 37, 0.00444396
1, 1, 1000, End, 38, 0.00476097
1, 1, 1000, End, 39, 0.00441583
1, 1, 1000, End, 40, 0.00471952
1, 1, 1000, End, 41, 0.00439086
1, 1, 1000, End, 42, 0.00435297
1, 1, 1000, End, 43, 0.00442088
1, 1, 1000, End, 44, 0.00437114
1, 1, 1000, End, 45, 0.00444028
1, 1, 1000, End, 46, 0.00443331
0, 1, 1000, End, 85, 0.00442555
0, 1, 1000, End, 86, 0.00442081
0, 1, 1000, End, 87, 0.0044366
0, 1, 1000, End, 88, 0.00442917
0, 1, 1000, End, 89, 0.00438974
1, 1, 1000, End, 47, 0.00445106
1, 1, 1000, End, 48, 0.00447016
1, 1, 1000, End, 49, 0.00439839
1, 1, 1000, End, 50, 0.00448293
1, 1, 1000, End, 51, 0.00445377
1, 1, 1000, End, 52, 0.00450234
1, 1, 1000, End, 53, 0.00445666
1, 1, 1000, End, 54, 0.00448058
1, 1, 1000, End, 55, 0.0044177
1, 1, 1000, End, 56, 0.00444343
