JOBID=29162
Nodes=4 Procs=8 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rput --repetitions 100 -m all -q --warmup-repetitions 200 --value 1000
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1000, End, 1, 0.00104028
0, 1, 1000, End, 2, 0.00103698
0, 1, 1000, End, 3, 0.00103839
0, 1, 1000, End, 4, 0.00104244
0, 1, 1000, End, 5, 0.00103947
0, 1, 1000, End, 6, 0.00104075
0, 1, 1000, End, 7, 0.00104013
0, 1, 1000, End, 8, 0.00104338
0, 1, 1000, End, 9, 0.00103421
0, 1, 1000, End, 10, 0.00104198
0, 1, 1000, End, 11, 0.00103714
0, 1, 1000, End, 12, 0.0010425
0, 1, 1000, End, 13, 0.00104215
0, 1, 1000, End, 14, 0.00103968
0, 1, 1000, End, 15, 0.0010411
0, 1, 1000, End, 16, 0.00103239
0, 1, 1000, End, 17, 0.00137759
0, 1, 1000, End, 18, 0.00103198
0, 1, 1000, End, 19, 0.00103682
0, 1, 1000, End, 20, 0.00103852
0, 1, 1000, End, 21, 0.00104065
0, 1, 1000, End, 22, 0.0010359
0, 1, 1000, End, 23, 0.00103581
0, 1, 1000, End, 24, 0.00103917
0, 1, 1000, End, 25, 0.00103765
0, 1, 1000, End, 26, 0.00103513
0, 1, 1000, End, 27, 0.00104336
0, 1, 1000, End, 28, 0.00103543
0, 1, 1000, End, 29, 0.00103855
0, 1, 1000, End, 30, 0.00103963
0, 1, 1000, End, 31, 0.00102922
0, 1, 1000, End, 32, 0.00103754
0, 1, 1000, End, 33, 0.00104298
0, 1, 1000, End, 34, 0.00103748
0, 1, 1000, End, 35, 0.00103883
0, 1, 1000, End, 36, 0.0010428
0, 1, 1000, End, 37, 0.00104089
0, 1, 1000, End, 38, 0.00104272
0, 1, 1000, End, 39, 0.00103858
0, 1, 1000, End, 40, 0.00103655
0, 1, 1000, End, 41, 0.00103764
0, 1, 1000, End, 42, 0.00103124
0, 1, 1000, End, 43, 0.00103893
0, 1, 1000, End, 44, 0.00103915
0, 1, 1000, End, 45, 0.00103322
0, 1, 1000, End, 46, 0.00103361
0, 1, 1000, End, 47, 0.00104042
0, 1, 1000, End, 48, 0.00104236
0, 1, 1000, End, 49, 0.00104045
0, 1, 1000, End, 50, 0.00103864
0, 1, 1000, End, 51, 0.00103598
0, 1, 1000, End, 52, 0.00103686
0, 1, 1000, End, 53, 0.00103002
0, 1, 1000, End, 54, 0.00104391
0, 1, 1000, End, 55, 0.00103838
0, 1, 1000, End, 56, 0.00103984
0, 1, 1000, End, 57, 0.00104291
0, 1, 1000, End, 58, 0.00103731
0, 1, 1000, End, 59, 0.0010388
0, 1, 1000, End, 60, 0.00104034
0, 1, 1000, End, 61, 0.00103375
0, 1, 1000, End, 62, 0.00104051
0, 1, 1000, End, 63, 0.00104043
0, 1, 1000, End, 64, 0.00103601
0, 1, 1000, End, 65, 0.00104333
0, 1, 1000, End, 66, 0.00103493
0, 1, 1000, End, 67, 0.00104669
0, 1, 1000, End, 68, 0.00103488
0, 1, 1000, End, 69, 0.00102537
0, 1, 1000, End, 70, 0.0010389
0, 1, 1000, End, 71, 0.00103915
0, 1, 1000, End, 72, 0.00103498
0, 1, 1000, End, 73, 0.00103779
0, 1, 1000, End, 74, 0.00104697
0, 1, 1000, End, 75, 0.00103672
0, 1, 1000, End, 76, 0.00104573
0, 1, 1000, End, 77, 0.0010599
0, 1, 1000, End, 78, 0.00103294
0, 1, 1000, End, 79, 0.0010799
0, 1, 1000, End, 80, 0.00106333
0, 1, 1000, End, 81, 0.0010434
0, 1, 1000, End, 82, 0.00103699
0, 1, 1000, End, 83, 0.00103986
0, 1, 1000, End, 84, 0.00103832
0, 1, 1000, End, 85, 0.00103921
0, 1, 1000, End, 86, 0.00104154
0, 1, 1000, End, 87, 0.00103458
0, 1, 1000, End, 88, 0.00104214
0, 1, 1000, End, 89, 0.00103748
0, 1, 1000, End, 90, 0.0010362
0, 1, 1000, End, 91, 0.00103713
0, 1, 1000, End, 92, 0.00103416
0, 1, 1000, End, 93, 0.00103705
0, 1, 1000, End, 94, 0.00104234
0, 1, 1000, End, 95, 0.00104615
0, 1, 1000, End, 96, 0.00103078
0, 1, 1000, End, 97, 0.00104344
0, 1, 1000, End, 98, 0.00104295
0, 1, 1000, End, 99, 0.00103028
0, 1, 1000, End, 100, 0.0010369
1, 1, 1000, End, 1, 0.00103955
1, 1, 1000, End, 2, 0.00103629
1, 1, 1000, End, 3, 0.00103762
1, 1, 1000, End, 4, 0.00104179
1, 1, 1000, End, 5, 0.00103875
1, 1, 1000, End, 6, 0.0010401
