JOBID=28747
Nodes=8 Procs=8 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rput --repetitions 100 --value 1K -q -m all
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1024, End, 1, 0.00331162
0, 1, 1024, End, 2, 0.00294951
0, 1, 1024, End, 3, 0.00297287
0, 1, 1024, End, 4, 0.00295104
0, 1, 1024, End, 5, 0.00296846
0, 1, 1024, End, 6, 0.00294715
0, 1, 1024, End, 7, 0.00294304
0, 1, 1024, End, 8, 0.00296567
0, 1, 1024, End, 9, 0.00294173
0, 1, 1024, End, 10, 0.00295602
0, 1, 1024, End, 11, 0.00293923
0, 1, 1024, End, 12, 0.00294735
0, 1, 1024, End, 13, 0.00296486
0, 1, 1024, End, 14, 0.00294464
0, 1, 1024, End, 15, 0.00297078
0, 1, 1024, End, 16, 0.00294677
0, 1, 1024, End, 17, 0.00295988
0, 1, 1024, End, 18, 0.00294205
0, 1, 1024, End, 19, 0.00296659
0, 1, 1024, End, 20, 0.00296742
0, 1, 1024, End, 21, 0.00296732
0, 1, 1024, End, 22, 0.0029452
0, 1, 1024, End, 23, 0.00298745
0, 1, 1024, End, 24, 0.00296208
0, 1, 1024, End, 25, 0.0029764
0, 1, 1024, End, 26, 0.00294458
0, 1, 1024, End, 27, 0.00296008
0, 1, 1024, End, 28, 0.00296133
0, 1, 1024, End, 29, 0.00296557
0, 1, 1024, End, 30, 0.00296739
0, 1, 1024, End, 31, 0.00293464
0, 1, 1024, End, 32, 0.00295892
0, 1, 1024, End, 33, 0.00328594
0, 1, 1024, End, 34, 0.00293571
0, 1, 1024, End, 35, 0.00297581
0, 1, 1024, End, 36, 0.00293709
0, 1, 1024, End, 37, 0.00295973
0, 1, 1024, End, 38, 0.00295005
0, 1, 1024, End, 39, 0.00296058
0, 1, 1024, End, 40, 0.00298601
0, 1, 1024, End, 41, 0.00296375
0, 1, 1024, End, 42, 0.00294075
0, 1, 1024, End, 43, 0.00329862
0, 1, 1024, End, 44, 0.00294523
0, 1, 1024, End, 45, 0.00295744
0, 1, 1024, End, 46, 0.00295737
0, 1, 1024, End, 47, 0.002956
0, 1, 1024, End, 48, 0.00296434
0, 1, 1024, End, 49, 0.00295486
0, 1, 1024, End, 50, 0.00295437
0, 1, 1024, End, 51, 0.00295156
0, 1, 1024, End, 52, 0.00296309
0, 1, 1024, End, 53, 0.00295187
0, 1, 1024, End, 54, 0.00294897
0, 1, 1024, End, 55, 0.00294826
0, 1, 1024, End, 56, 0.00295387
0, 1, 1024, End, 57, 0.00296824
0, 1, 1024, End, 58, 0.0029445
0, 1, 1024, End, 59, 0.00294643
0, 1, 1024, End, 60, 0.00294932
0, 1, 1024, End, 61, 0.00294496
0, 1, 1024, End, 62, 0.0029627
0, 1, 1024, End, 63, 0.00294681
0, 1, 1024, End, 64, 0.00295029
0, 1, 1024, End, 65, 0.00296368
0, 1, 1024, End, 66, 0.00293887
0, 1, 1024, End, 67, 0.00296367
0, 1, 1024, End, 68, 0.00295832
0, 1, 1024, End, 69, 0.00296391
0, 1, 1024, End, 70, 0.00294887
0, 1, 1024, End, 71, 0.00294361
0, 1, 1024, End, 72, 0.00296159
0, 1, 1024, End, 73, 0.00295092
0, 1, 1024, End, 74, 0.00296822
0, 1, 1024, End, 75, 0.00329188
1, 1, 1024, End, 1, 0.00330964
1, 1, 1024, End, 2, 0.00294895
1, 1, 1024, End, 3, 0.00297152
1, 1, 1024, End, 4, 0.00294877
1, 1, 1024, End, 5, 0.00296611
1, 1, 1024, End, 6, 0.00294434
1, 1, 1024, End, 7, 0.00294031
1, 1, 1024, End, 8, 0.00296385
1, 1, 1024, End, 9, 0.00293854
1, 1, 1024, End, 10, 0.00295488
1, 1, 1024, End, 11, 0.00293716
1, 1, 1024, End, 12, 0.00294506
1, 1, 1024, End, 13, 0.00296307
1, 1, 1024, End, 14, 0.00294306
1, 1, 1024, End, 15, 0.00296802
1, 1, 1024, End, 16, 0.00294411
1, 1, 1024, End, 17, 0.00295714
1, 1, 1024, End, 18, 0.00293934
1, 1, 1024, End, 19, 0.00296322
1, 1, 1024, End, 20, 0.00296603
1, 1, 1024, End, 21, 0.00296414
1, 1, 1024, End, 22, 0.00294433
1, 1, 1024, End, 23, 0.00298603
0, 1, 1024, End, 76, 0.00293656
0, 1, 1024, End, 77, 0.00297006
0, 1, 1024, End, 78, 0.00293725
0, 1, 1024, End, 79, 0.00295523
0, 1, 1024, End, 80, 0.00296678
0, 1, 1024, End, 81, 0.00294737
0, 1, 1024, End, 82, 0.00294765
0, 1, 1024, End, 83, 0.00294319
0, 1, 1024, End, 84, 0.00296499
0, 1, 1024, End, 85, 0.00329018
0, 1, 1024, End, 86, 0.00295206
0, 1, 1024, End, 87, 0.00297474
1, 1, 1024, End, 24, 0.0029606
1, 1, 1024, End, 25, 0.00297507
1, 1, 1024, End, 26, 0.00294162
1, 1, 1024, End, 27, 0.00295907
1, 1, 1024, End, 28, 0.00295967
1, 1, 1024, End, 29, 0.00296315
1, 1, 1024, End, 30, 0.00296529
1, 1, 1024, End, 31, 0.00293205
1, 1, 1024, End, 32, 0.00295752
1, 1, 1024, End, 33, 0.00328309
1, 1, 1024, End, 34, 0.00293277
1, 1, 1024, End, 35, 0.0029731
1, 1, 1024, End, 36, 0.00292928
1, 1, 1024, End, 37, 0.00295674
1, 1, 1024, End, 38, 0.00294913
0, 1, 1024, End, 88, 0.00294049
0, 1, 1024, End, 89, 0.00294337
0, 1, 1024, End, 90, 0.0029584
0, 1, 1024, End, 91, 0.00294348
0, 1, 1024, End, 92, 0.00295773
0, 1, 1024, End, 93, 0.00294
0, 1, 1024, End, 94, 0.00295965
0, 1, 1024, End, 95, 0.00295557
0, 1, 1024, End, 96, 0.00295914
0, 1, 1024, End, 97, 0.00296114
0, 1, 1024, End, 98, 0.00295481
0, 1, 1024, End, 99, 0.00295397
0, 1, 1024, End, 100, 0.00294216
1, 1, 1024, End, 39, 0.00295861
1, 1, 1024, End, 40, 0.00298441
1, 1, 1024, End, 41, 0.00296252
1, 1, 1024, End, 42, 0.0029397
1, 1, 1024, End, 43, 0.00329775
1, 1, 1024, End, 44, 0.00294453
1, 1, 1024, End, 45, 0.00295546
1, 1, 1024, End, 46, 0.00295617
1, 1, 1024, End, 47, 0.00295362
1, 1, 1024, End, 48, 0.0029632
1, 1, 1024, End, 49, 0.00295211
1, 1, 1024, End, 50, 0.00295179
1, 1, 1024, End, 51, 0.00294918
1, 1, 1024, End, 52, 0.00296155
1, 1, 1024, End, 53, 0.00294974
1, 1, 1024, End, 54, 0.00294582
1, 1, 1024, End, 55, 0.00294648
1, 1, 1024, End, 56, 0.0029526
1, 1, 1024, End, 57, 0.00296633
1, 1, 1024, End, 58, 0.00294268
1, 1, 1024, End, 59, 0.00294378
1, 1, 1024, End, 60, 0.00294781
1, 1, 1024, End, 61, 0.00294281
1, 1, 1024, End, 62, 0.00296022
1, 1, 1024, End, 63, 0.0029447
1, 1, 1024, End, 64, 0.00294877
1, 1, 1024, End, 65, 0.00296094
1, 1, 1024, End, 66, 0.00293661
1, 1, 1024, End, 67, 0.00296109
1, 1, 1024, End, 68, 0.00295625
1, 1, 1024, End, 69, 0.00296236
1, 1, 1024, End, 70, 0.00294649
1, 1, 1024, End, 71, 0.00294204
1, 1, 1024, End, 72, 0.00295801
1, 1, 1024, End, 73, 0.00294969
1, 1, 1024, End, 74, 0.00296725
1, 1, 1024, End, 75, 0.00328952
1, 1, 1024, End, 76, 0.00293305
1, 1, 1024, End, 77, 0.00296817
1, 1, 1024, End, 78, 0.00293466
1, 1, 1024, End, 79, 0.00295386
1, 1, 1024, End, 80, 0.00296452
1, 1, 1024, End, 81, 0.00294505
2, 1, 1024, End, 1, 0.00256841
2, 1, 1024, End, 2, 0.00258404
2, 1, 1024, End, 3, 0.00259438
2, 1, 1024, End, 4, 0.00257973
2, 1, 1024, End, 5, 0.00257656
2, 1, 1024, End, 6, 0.00258653
2, 1, 1024, End, 7, 0.00259512
2, 1, 1024, End, 8, 0.00256251
2, 1, 1024, End, 9, 0.0025857
