JOBID=28746
Nodes=8 Procs=8 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rput_no_flag --repetitions 100 --value 1K -q -m all
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1024, End, 1, 0.00156705
0, 1, 1024, End, 2, 0.00157617
0, 1, 1024, End, 3, 0.00156447
0, 1, 1024, End, 4, 0.00156605
0, 1, 1024, End, 5, 0.00157132
0, 1, 1024, End, 6, 0.0015631
0, 1, 1024, End, 7, 0.00157138
0, 1, 1024, End, 8, 0.00156161
0, 1, 1024, End, 9, 0.00156057
0, 1, 1024, End, 10, 0.00156581
0, 1, 1024, End, 11, 0.00156196
0, 1, 1024, End, 12, 0.00155761
0, 1, 1024, End, 13, 0.00156577
0, 1, 1024, End, 14, 0.00155232
0, 1, 1024, End, 15, 0.00156005
0, 1, 1024, End, 16, 0.00156496
0, 1, 1024, End, 17, 0.00156296
0, 1, 1024, End, 18, 0.0015577
0, 1, 1024, End, 19, 0.00156029
0, 1, 1024, End, 20, 0.00155676
0, 1, 1024, End, 21, 0.00155408
0, 1, 1024, End, 22, 0.00156239
0, 1, 1024, End, 23, 0.0015561
0, 1, 1024, End, 24, 0.00156119
0, 1, 1024, End, 25, 0.00155852
0, 1, 1024, End, 26, 0.00156084
0, 1, 1024, End, 27, 0.00155261
0, 1, 1024, End, 28, 0.00155241
0, 1, 1024, End, 29, 0.00156804
0, 1, 1024, End, 30, 0.00155673
0, 1, 1024, End, 31, 0.00156769
0, 1, 1024, End, 32, 0.00156355
0, 1, 1024, End, 33, 0.00156097
0, 1, 1024, End, 34, 0.00155962
0, 1, 1024, End, 35, 0.00156407
0, 1, 1024, End, 36, 0.0015603
0, 1, 1024, End, 37, 0.00155713
0, 1, 1024, End, 38, 0.00157041
0, 1, 1024, End, 39, 0.0015612
0, 1, 1024, End, 40, 0.00156088
0, 1, 1024, End, 41, 0.00157536
0, 1, 1024, End, 42, 0.0015643
0, 1, 1024, End, 43, 0.00156598
0, 1, 1024, End, 44, 0.00156697
0, 1, 1024, End, 45, 0.00158571
0, 1, 1024, End, 46, 0.0015662
0, 1, 1024, End, 47, 0.00157327
0, 1, 1024, End, 48, 0.00162516
0, 1, 1024, End, 49, 0.00156989
0, 1, 1024, End, 50, 0.00159397
0, 1, 1024, End, 51, 0.00157667
0, 1, 1024, End, 52, 0.0015696
0, 1, 1024, End, 53, 0.00159259
0, 1, 1024, End, 54, 0.00157364
0, 1, 1024, End, 55, 0.00159377
0, 1, 1024, End, 56, 0.00157129
0, 1, 1024, End, 57, 0.00158182
0, 1, 1024, End, 58, 0.00157698
0, 1, 1024, End, 59, 0.00157092
0, 1, 1024, End, 60, 0.0019138
0, 1, 1024, End, 61, 0.00156897
0, 1, 1024, End, 62, 0.00156885
0, 1, 1024, End, 63, 0.00157236
0, 1, 1024, End, 64, 0.00156994
0, 1, 1024, End, 65, 0.00157036
