JOBID=28770
Nodes=4 Procs=8 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rput_then --repetitions 100 --value 1K -m all -q
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1024, End, 1, 0.000225544
0, 1, 1024, End, 2, 0.000223888
0, 1, 1024, End, 3, 0.000224632
0, 1, 1024, End, 4, 0.000232093
0, 1, 1024, End, 5, 0.000228088
0, 1, 1024, End, 6, 0.000224635
0, 1, 1024, End, 7, 0.000225997
0, 1, 1024, End, 8, 0.000223332
0, 1, 1024, End, 9, 0.000224194
0, 1, 1024, End, 10, 0.000222327
0, 1, 1024, End, 11, 0.000226013
0, 1, 1024, End, 12, 0.000222467
0, 1, 1024, End, 13, 0.000225758
0, 1, 1024, End, 14, 0.000223102
0, 1, 1024, End, 15, 0.000223348
0, 1, 1024, End, 16, 0.000224314
0, 1, 1024, End, 17, 0.000224104
0, 1, 1024, End, 18, 0.000228669
0, 1, 1024, End, 19, 0.000224869
0, 1, 1024, End, 20, 0.000222682
0, 1, 1024, End, 21, 0.000221596
0, 1, 1024, End, 22, 0.000223747
0, 1, 1024, End, 23, 0.00022576
0, 1, 1024, End, 24, 0.000219042
0, 1, 1024, End, 25, 0.000228861
0, 1, 1024, End, 26, 0.000223393
0, 1, 1024, End, 27, 0.000224787
0, 1, 1024, End, 28, 0.000226246
0, 1, 1024, End, 29, 0.00022667
0, 1, 1024, End, 30, 0.000224669
0, 1, 1024, End, 31, 0.000222681
0, 1, 1024, End, 32, 0.000229035
0, 1, 1024, End, 33, 0.000224174
0, 1, 1024, End, 34, 0.000224127
0, 1, 1024, End, 35, 0.000224953
0, 1, 1024, End, 36, 0.000227882
0, 1, 1024, End, 37, 0.000223984
0, 1, 1024, End, 38, 0.000224501
0, 1, 1024, End, 39, 0.000223507
0, 1, 1024, End, 40, 0.000222826
0, 1, 1024, End, 41, 0.000225661
0, 1, 1024, End, 42, 0.000225171
0, 1, 1024, End, 43, 0.000228228
0, 1, 1024, End, 44, 0.000223745
0, 1, 1024, End, 45, 0.000221746
0, 1, 1024, End, 46, 0.00022201
0, 1, 1024, End, 47, 0.000223658
0, 1, 1024, End, 48, 0.000224135
0, 1, 1024, End, 49, 0.000223106
0, 1, 1024, End, 50, 0.000226952
0, 1, 1024, End, 51, 0.000223673
0, 1, 1024, End, 52, 0.000225823
0, 1, 1024, End, 53, 0.00022457
0, 1, 1024, End, 54, 0.000226188
0, 1, 1024, End, 55, 0.000222824
0, 1, 1024, End, 56, 0.000225956
