JOBID=29173
Nodes=8 Procs=8 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rput_then --repetitions 100 -m all -q --warmup-repetitions 200 --value 1000
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1000, End, 1, 0.000576918
0, 1, 1000, End, 2, 0.000573808
0, 1, 1000, End, 3, 0.000575962
0, 1, 1000, End, 4, 0.000582126
0, 1, 1000, End, 5, 0.000581158
0, 1, 1000, End, 6, 0.000588595
0, 1, 1000, End, 7, 0.000582869
0, 1, 1000, End, 8, 0.000571605
0, 1, 1000, End, 9, 0.000575588
0, 1, 1000, End, 10, 0.000575807
0, 1, 1000, End, 11, 0.000588494
0, 1, 1000, End, 12, 0.000582009
0, 1, 1000, End, 13, 0.000590281
0, 1, 1000, End, 14, 0.000574483
0, 1, 1000, End, 15, 0.000581081
0, 1, 1000, End, 16, 0.000589913
0, 1, 1000, End, 17, 0.000586416
0, 1, 1000, End, 18, 0.000580857
0, 1, 1000, End, 19, 0.000577283
0, 1, 1000, End, 20, 0.000577212
0, 1, 1000, End, 21, 0.000577406
0, 1, 1000, End, 22, 0.000586246
0, 1, 1000, End, 23, 0.000578576
0, 1, 1000, End, 24, 0.000573222
0, 1, 1000, End, 25, 0.000579554
0, 1, 1000, End, 26, 0.000580848
0, 1, 1000, End, 27, 0.000569873
0, 1, 1000, End, 28, 0.000578358
0, 1, 1000, End, 29, 0.000569044
0, 1, 1000, End, 30, 0.000581298
0, 1, 1000, End, 31, 0.000575265
0, 1, 1000, End, 32, 0.000581536
0, 1, 1000, End, 33, 0.000589029
0, 1, 1000, End, 34, 0.000592175
0, 1, 1000, End, 35, 0.000579311
0, 1, 1000, End, 36, 0.000579593
0, 1, 1000, End, 37, 0.000580861
0, 1, 1000, End, 38, 0.000572606
0, 1, 1000, End, 39, 0.000577332
0, 1, 1000, End, 40, 0.000578582
0, 1, 1000, End, 41, 0.000590809
0, 1, 1000, End, 42, 0.000576984
0, 1, 1000, End, 43, 0.000576047
0, 1, 1000, End, 44, 0.000577917
0, 1, 1000, End, 45, 0.00058181
0, 1, 1000, End, 46, 0.00059313
0, 1, 1000, End, 47, 0.000576897
0, 1, 1000, End, 48, 0.000584677
0, 1, 1000, End, 49, 0.00057566
0, 1, 1000, End, 50, 0.000576465
0, 1, 1000, End, 51, 0.000594118
0, 1, 1000, End, 52, 0.000578205
0, 1, 1000, End, 53, 0.000582526
0, 1, 1000, End, 54, 0.000589264
0, 1, 1000, End, 55, 0.000580656
0, 1, 1000, End, 56, 0.000591002
0, 1, 1000, End, 57, 0.000580643
0, 1, 1000, End, 58, 0.000576485
0, 1, 1000, End, 59, 0.000577496
0, 1, 1000, End, 60, 0.000571964
0, 1, 1000, End, 61, 0.000583639
0, 1, 1000, End, 62, 0.000594923
0, 1, 1000, End, 63, 0.000577044
0, 1, 1000, End, 64, 0.000576875
0, 1, 1000, End, 65, 0.000580343
0, 1, 1000, End, 66, 0.000585728
0, 1, 1000, End, 67, 0.000575732
0, 1, 1000, End, 68, 0.000588551
0, 1, 1000, End, 69, 0.000580265
0, 1, 1000, End, 70, 0.000573463
0, 1, 1000, End, 71, 0.000579813
0, 1, 1000, End, 72, 0.000578524
0, 1, 1000, End, 73, 0.000577359
0, 1, 1000, End, 74, 0.000576028
1, 1, 1000, End, 1, 0.000590565
1, 1, 1000, End, 2, 0.000588388
1, 1, 1000, End, 3, 0.00059482
1, 1, 1000, End, 4, 0.00059651
1, 1, 1000, End, 5, 0.000596906
1, 1, 1000, End, 6, 0.000577632
1, 1, 1000, End, 7, 0.00059857
1, 1, 1000, End, 8, 0.000588762
1, 1, 1000, End, 9, 0.000590726
1, 1, 1000, End, 10, 0.000589939
1, 1, 1000, End, 11, 0.000574056
1, 1, 1000, End, 12, 0.000595688
1, 1, 1000, End, 13, 0.000582993
1, 1, 1000, End, 14, 0.000588764
1, 1, 1000, End, 15, 0.00059489
1, 1, 1000, End, 16, 0.000579225
1, 1, 1000, End, 17, 0.00057623
1, 1, 1000, End, 18, 0.000596863
1, 1, 1000, End, 19, 0.000592705
1, 1, 1000, End, 20, 0.000590331
1, 1, 1000, End, 21, 0.000594483
1, 1, 1000, End, 22, 0.000584661
1, 1, 1000, End, 23, 0.000594298
1, 1, 1000, End, 24, 0.000587036
1, 1, 1000, End, 25, 0.000593593
1, 1, 1000, End, 26, 0.000595022
1, 1, 1000, End, 27, 0.000586504
0, 1, 1000, End, 75, 0.000575615
0, 1, 1000, End, 76, 0.000590989
0, 1, 1000, End, 77, 0.000576296
0, 1, 1000, End, 78, 0.000575691
0, 1, 1000, End, 79, 0.000575608
0, 1, 1000, End, 80, 0.000581528
0, 1, 1000, End, 81, 0.000579002
0, 1, 1000, End, 82, 0.000580547
0, 1, 1000, End, 83, 0.00058633
0, 1, 1000, End, 84, 0.00058173
0, 1, 1000, End, 85, 0.000577786
0, 1, 1000, End, 86, 0.0005776
0, 1, 1000, End, 87, 0.000572522
0, 1, 1000, End, 88, 0.0005781
0, 1, 1000, End, 89, 0.000576265
1, 1, 1000, End, 28, 0.000594714
1, 1, 1000, End, 29, 0.000585116
1, 1, 1000, End, 30, 0.000596151
1, 1, 1000, End, 31, 0.000591293
1, 1, 1000, End, 32, 0.000594476
1, 1, 1000, End, 33, 0.000578229
1, 1, 1000, End, 34, 0.000578224
1, 1, 1000, End, 35, 0.000595242
1, 1, 1000, End, 36, 0.00059485
1, 1, 1000, End, 37, 0.000595054
1, 1, 1000, End, 38, 0.000588694
1, 1, 1000, End, 39, 0.000590498
1, 1, 1000, End, 40, 0.000592543
1, 1, 1000, End, 41, 0.000578984
1, 1, 1000, End, 42, 0.00059108
1, 1, 1000, End, 43, 0.00059213
1, 1, 1000, End, 44, 0.000592628
1, 1, 1000, End, 45, 0.000595099
1, 1, 1000, End, 46, 0.000580388
1, 1, 1000, End, 47, 0.000590667
1, 1, 1000, End, 48, 0.000589961
1, 1, 1000, End, 49, 0.000592405
1, 1, 1000, End, 50, 0.000588857
1, 1, 1000, End, 51, 0.000580131
1, 1, 1000, End, 52, 0.000591915
1, 1, 1000, End, 53, 0.000598083
0, 1, 1000, End, 90, 0.00059166
0, 1, 1000, End, 91, 0.000572703
0, 1, 1000, End, 92, 0.000598425
0, 1, 1000, End, 93, 0.00058169
0, 1, 1000, End, 94, 0.000575065
0, 1, 1000, End, 95, 0.000577113
0, 1, 1000, End, 96, 0.000579081
0, 1, 1000, End, 97, 0.000572103
0, 1, 1000, End, 98, 0.000935413
0, 1, 1000, End, 99, 0.000580592
0, 1, 1000, End, 100, 0.000578586
1, 1, 1000, End, 54, 0.000577407
1, 1, 1000, End, 55, 0.000595768
1, 1, 1000, End, 56, 0.000579352
1, 1, 1000, End, 57, 0.000594601
1, 1, 1000, End, 58, 0.000589444
1, 1, 1000, End, 59, 0.000590807
1, 1, 1000, End, 60, 0.000587691
1, 1, 1000, End, 61, 0.000598241
1, 1, 1000, End, 62, 0.000579798
1, 1, 1000, End, 63, 0.000590943
1, 1, 1000, End, 64, 0.000589454
1, 1, 1000, End, 65, 0.000594964
1, 1, 1000, End, 66, 0.000600614
1, 1, 1000, End, 67, 0.000591439
1, 1, 1000, End, 68, 0.000576671
1, 1, 1000, End, 69, 0.00059508
1, 1, 1000, End, 70, 0.000588468
1, 1, 1000, End, 71, 0.000593738
1, 1, 1000, End, 72, 0.000593504
1, 1, 1000, End, 73, 0.000590716
1, 1, 1000, End, 74, 0.000590507
1, 1, 1000, End, 75, 0.000590521
1, 1, 1000, End, 76, 0.000578762
1, 1, 1000, End, 77, 0.000591673
1, 1, 1000, End, 78, 0.00058833
1, 1, 1000, End, 79, 0.000589346
1, 1, 1000, End, 80, 0.000591241
1, 1, 1000, End, 81, 0.000592949
1, 1, 1000, End, 82, 0.000594074
1, 1, 1000, End, 83, 0.000573443
1, 1, 1000, End, 84, 0.000594978
1, 1, 1000, End, 85, 0.000590777
1, 1, 1000, End, 86, 0.000592366
1, 1, 1000, End, 87, 0.000585866
1, 1, 1000, End, 88, 0.000591846
1, 1, 1000, End, 89, 0.000592292
1, 1, 1000, End, 90, 0.000577827
1, 1, 1000, End, 91, 0.000585777
1, 1, 1000, End, 92, 0.000583358
1, 1, 1000, End, 93, 0.000595426
2, 1, 1000, End, 1, 0.000599807
2, 1, 1000, End, 2, 0.000595317
2, 1, 1000, End, 3, 0.000608154
2, 1, 1000, End, 4, 0.000600133
2, 1, 1000, End, 5, 0.000595261
2, 1, 1000, End, 6, 0.000588574
2, 1, 1000, End, 7, 0.000595654
2, 1, 1000, End, 8, 0.000602882
2, 1, 1000, End, 9, 0.000597866
2, 1, 1000, End, 10, 0.000601441
2, 1, 1000, End, 11, 0.000602453
2, 1, 1000, End, 12, 0.000596544
2, 1, 1000, End, 13, 0.000595394
2, 1, 1000, End, 14, 0.000598066
2, 1, 1000, End, 15, 0.000594763
2, 1, 1000, End, 16, 0.000594704
2, 1, 1000, End, 17, 0.00059875
2, 1, 1000, End, 18, 0.000601709
2, 1, 1000, End, 19, 0.000602425
2, 1, 1000, End, 20, 0.000592529
2, 1, 1000, End, 21, 0.000600798
2, 1, 1000, End, 22, 0.000596692
2, 1, 1000, End, 23, 0.000598899
2, 1, 1000, End, 24, 0.000597934
2, 1, 1000, End, 25, 0.000594817
2, 1, 1000, End, 26, 0.000597541
2, 1, 1000, End, 27, 0.000596615
2, 1, 1000, End, 28, 0.000597006
2, 1, 1000, End, 29, 0.000602755
2, 1, 1000, End, 30, 0.000600256
1, 1, 1000, End, 94, 0.000589669
1, 1, 1000, End, 95, 0.000592916
1, 1, 1000, End, 96, 0.000592217
1, 1, 1000, End, 97, 0.000586824
1, 1, 1000, End, 98, 0.000578823
2, 1, 1000, End, 31, 0.000600176
2, 1, 1000, End, 32, 0.000597335
2, 1, 1000, End, 33, 0.00060037
2, 1, 1000, End, 34, 0.00060982
2, 1, 1000, End, 35, 0.000601014
2, 1, 1000, End, 36, 0.000597815
2, 1, 1000, End, 37, 0.000599441
2, 1, 1000, End, 38, 0.000604291
2, 1, 1000, End, 39, 0.000596463
2, 1, 1000, End, 40, 0.000592329
2, 1, 1000, End, 41, 0.000596959
2, 1, 1000, End, 42, 0.000599038
2, 1, 1000, End, 43, 0.00059688
2, 1, 1000, End, 44, 0.000599138
2, 1, 1000, End, 45, 0.000597304
2, 1, 1000, End, 46, 0.000592453
2, 1, 1000, End, 47, 0.000601803
2, 1, 1000, End, 48, 0.000596103
2, 1, 1000, End, 49, 0.000600415
2, 1, 1000, End, 50, 0.000585422
1, 1, 1000, End, 99, 0.000591151
1, 1, 1000, End, 100, 0.000593552
2, 1, 1000, End, 51, 0.000596335
2, 1, 1000, End, 52, 0.000599743
2, 1, 1000, End, 53, 0.000597312
2, 1, 1000, End, 54, 0.000602456
2, 1, 1000, End, 55, 0.000594327
2, 1, 1000, End, 56, 0.000596338
2, 1, 1000, End, 57, 0.00060428
2, 1, 1000, End, 58, 0.00059508
2, 1, 1000, End, 59, 0.000599434
2, 1, 1000, End, 60, 0.000593675
2, 1, 1000, End, 61, 0.000602865
2, 1, 1000, End, 62, 0.000599518
2, 1, 1000, End, 63, 0.000596058
2, 1, 1000, End, 64, 0.00060235
2, 1, 1000, End, 65, 0.000603032
2, 1, 1000, End, 66, 0.000588843
2, 1, 1000, End, 67, 0.000596346
2, 1, 1000, End, 68, 0.000596925
2, 1, 1000, End, 69, 0.000596024
2, 1, 1000, End, 70, 0.000602376
2, 1, 1000, End, 71, 0.000600786
2, 1, 1000, End, 72, 0.000605486
2, 1, 1000, End, 73, 0.000603833
2, 1, 1000, End, 74, 0.000596071
2, 1, 1000, End, 75, 0.000588461
2, 1, 1000, End, 76, 0.000597989
2, 1, 1000, End, 77, 0.000604629
2, 1, 1000, End, 78, 0.000604723
2, 1, 1000, End, 79, 0.000618734
2, 1, 1000, End, 80, 0.000601149
2, 1, 1000, End, 81, 0.000599687
2, 1, 1000, End, 82, 0.00059563
2, 1, 1000, End, 83, 0.00060015
2, 1, 1000, End, 84, 0.000599431
2, 1, 1000, End, 85, 0.000595683
2, 1, 1000, End, 86, 0.000595746
2, 1, 1000, End, 87, 0.000595306
2, 1, 1000, End, 88, 0.000598706
2, 1, 1000, End, 89, 0.00060001
2, 1, 1000, End, 90, 0.000598172
2, 1, 1000, End, 91, 0.000590225
2, 1, 1000, End, 92, 0.00059305
2, 1, 1000, End, 93, 0.000598789
2, 1, 1000, End, 94, 0.000596755
2, 1, 1000, End, 95, 0.00060036
2, 1, 1000, End, 96, 0.000600594
2, 1, 1000, End, 97, 0.000599369
2, 1, 1000, End, 98, 0.000603713
2, 1, 1000, End, 99, 0.000602631
2, 1, 1000, End, 100, 0.000608889
3, 1, 1000, End, 1, 0.0004335
3, 1, 1000, End, 2, 0.000430619
3, 1, 1000, End, 3, 0.000434979
3, 1, 1000, End, 4, 0.000431305
3, 1, 1000, End, 5, 0.000430796
3, 1, 1000, End, 6, 0.000433413
3, 1, 1000, End, 7, 0.000430393
3, 1, 1000, End, 8, 0.000439232
3, 1, 1000, End, 9, 0.000430501
3, 1, 1000, End, 10, 0.000432208
3, 1, 1000, End, 11, 0.000432854
3, 1, 1000, End, 12, 0.000432449
3, 1, 1000, End, 13, 0.000433741
3, 1, 1000, End, 14, 0.00043164
3, 1, 1000, End, 15, 0.000430949
3, 1, 1000, End, 16, 0.000434207
3, 1, 1000, End, 17, 0.000430399
3, 1, 1000, End, 18, 0.00043268
3, 1, 1000, End, 19, 0.000430863
3, 1, 1000, End, 20, 0.000430455
3, 1, 1000, End, 21, 0.000432851
3, 1, 1000, End, 22, 0.000431531
3, 1, 1000, End, 23, 0.000433338
3, 1, 1000, End, 24, 0.000431049
3, 1, 1000, End, 25, 0.00043169
3, 1, 1000, End, 26, 0.000433971
3, 1, 1000, End, 27, 0.000432128
3, 1, 1000, End, 28, 0.000433633
3, 1, 1000, End, 29, 0.000431377
3, 1, 1000, End, 30, 0.000431974
3, 1, 1000, End, 31, 0.000433229
3, 1, 1000, End, 32, 0.000431973
3, 1, 1000, End, 33, 0.000433801
3, 1, 1000, End, 34, 0.000431505
3, 1, 1000, End, 35, 0.000431459
3, 1, 1000, End, 36, 0.000433955
3, 1, 1000, End, 37, 0.000429644
3, 1, 1000, End, 38, 0.000433677
3, 1, 1000, End, 39, 0.000431697
3, 1, 1000, End, 40, 0.000430427
3, 1, 1000, End, 41, 0.000432876
3, 1, 1000, End, 42, 0.000457781
3, 1, 1000, End, 43, 0.000434336
3, 1, 1000, End, 44, 0.000434275
3, 1, 1000, End, 45, 0.000431602
3, 1, 1000, End, 46, 0.000440168
3, 1, 1000, End, 47, 0.000431487
3, 1, 1000, End, 48, 0.000432974
3, 1, 1000, End, 49, 0.000440029
3, 1, 1000, End, 50, 0.000432043
3, 1, 1000, End, 51, 0.000433021
3, 1, 1000, End, 52, 0.000430503
3, 1, 1000, End, 53, 0.000432318
3, 1, 1000, End, 54, 0.000437756
3, 1, 1000, End, 55, 0.000431191
3, 1, 1000, End, 56, 0.000434003
3, 1, 1000, End, 57, 0.000431481
3, 1, 1000, End, 58, 0.000431614
3, 1, 1000, End, 59, 0.000433329
3, 1, 1000, End, 60, 0.000430389
3, 1, 1000, End, 61, 0.000433584
3, 1, 1000, End, 62, 0.000434009
3, 1, 1000, End, 63, 0.000431031
3, 1, 1000, End, 64, 0.000434093
3, 1, 1000, End, 65, 0.000431458
3, 1, 1000, End, 66, 0.000431996
