JOBID=29167
Nodes=4 Procs=8 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rput_wait --repetitions 100 -m all -q --warmup-repetitions 200 --value 1000
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1000, End, 1, 8.6562e-05
0, 1, 1000, End, 2, 8.1456e-05
0, 1, 1000, End, 3, 8.527e-05
0, 1, 1000, End, 4, 8.7805e-05
0, 1, 1000, End, 5, 7.717e-05
0, 1, 1000, End, 6, 7.7065e-05
0, 1, 1000, End, 7, 7.7478e-05
0, 1, 1000, End, 8, 7.3836e-05
0, 1, 1000, End, 9, 8.1603e-05
0, 1, 1000, End, 10, 8.6017e-05
0, 1, 1000, End, 11, 8.0216e-05
0, 1, 1000, End, 12, 8.0017e-05
0, 1, 1000, End, 13, 8.1774e-05
0, 1, 1000, End, 14, 8.7114e-05
0, 1, 1000, End, 15, 7.5396e-05
0, 1, 1000, End, 16, 7.9793e-05
0, 1, 1000, End, 17, 6.5557e-05
0, 1, 1000, End, 18, 8.5393e-05
0, 1, 1000, End, 19, 8.2166e-05
0, 1, 1000, End, 20, 8.1898e-05
0, 1, 1000, End, 21, 7.383e-05
0, 1, 1000, End, 22, 8.4813e-05
0, 1, 1000, End, 23, 8.8882e-05
0, 1, 1000, End, 24, 8.7986e-05
0, 1, 1000, End, 25, 8.3798e-05
0, 1, 1000, End, 26, 8.5511e-05
0, 1, 1000, End, 27, 8.3631e-05
0, 1, 1000, End, 28, 8.0955e-05
0, 1, 1000, End, 29, 8.152e-05
0, 1, 1000, End, 30, 9.2871e-05
0, 1, 1000, End, 31, 8.8479e-05
0, 1, 1000, End, 32, 8.2174e-05
0, 1, 1000, End, 33, 9.189e-05
0, 1, 1000, End, 34, 6.6726e-05
0, 1, 1000, End, 35, 7.8582e-05
0, 1, 1000, End, 36, 8.0029e-05
0, 1, 1000, End, 37, 8.7885e-05
0, 1, 1000, End, 38, 7.7252e-05
0, 1, 1000, End, 39, 7.8579e-05
0, 1, 1000, End, 40, 7.7407e-05
0, 1, 1000, End, 41, 8.9414e-05
0, 1, 1000, End, 42, 8.0643e-05
0, 1, 1000, End, 43, 8.827e-05
0, 1, 1000, End, 44, 8.8337e-05
0, 1, 1000, End, 45, 8.6275e-05
0, 1, 1000, End, 46, 8.1525e-05
0, 1, 1000, End, 47, 8.1961e-05
0, 1, 1000, End, 48, 8.14e-05
0, 1, 1000, End, 49, 7.8855e-05
0, 1, 1000, End, 50, 6.7614e-05
0, 1, 1000, End, 51, 7.8705e-05
0, 1, 1000, End, 52, 8.0955e-05
0, 1, 1000, End, 53, 8.4188e-05
0, 1, 1000, End, 54, 8.6938e-05
0, 1, 1000, End, 55, 8.6072e-05
0, 1, 1000, End, 56, 8.0422e-05
0, 1, 1000, End, 57, 8.3258e-05
0, 1, 1000, End, 58, 8.1899e-05
0, 1, 1000, End, 59, 7.7374e-05
0, 1, 1000, End, 60, 7.7891e-05
0, 1, 1000, End, 61, 8.7215e-05
0, 1, 1000, End, 62, 8.501e-05
0, 1, 1000, End, 63, 9.1085e-05
0, 1, 1000, End, 64, 8.9403e-05
0, 1, 1000, End, 65, 7.6347e-05
0, 1, 1000, End, 66, 8.0262e-05
0, 1, 1000, End, 67, 8.6487e-05
0, 1, 1000, End, 68, 8.9664e-05
0, 1, 1000, End, 69, 7.7432e-05
0, 1, 1000, End, 70, 8.0557e-05
0, 1, 1000, End, 71, 9.169e-05
0, 1, 1000, End, 72, 8.7019e-05
0, 1, 1000, End, 73, 9.5793e-05
0, 1, 1000, End, 74, 7.9086e-05
0, 1, 1000, End, 75, 7.9293e-05
0, 1, 1000, End, 76, 7.3383e-05
0, 1, 1000, End, 77, 9.2208e-05
0, 1, 1000, End, 78, 8.153e-05
0, 1, 1000, End, 79, 8.3584e-05
0, 1, 1000, End, 80, 8.3932e-05
0, 1, 1000, End, 81, 8.4425e-05
0, 1, 1000, End, 82, 9.2451e-05
0, 1, 1000, End, 83, 8.1075e-05
0, 1, 1000, End, 84, 8.8555e-05
0, 1, 1000, End, 85, 8.1538e-05
0, 1, 1000, End, 86, 8.0178e-05
0, 1, 1000, End, 87, 8.6768e-05
0, 1, 1000, End, 88, 9.1588e-05
0, 1, 1000, End, 89, 8.625e-05
0, 1, 1000, End, 90, 8.2743e-05
0, 1, 1000, End, 91, 7.6848e-05
0, 1, 1000, End, 92, 9.0655e-05
0, 1, 1000, End, 93, 7.6969e-05
0, 1, 1000, End, 94, 7.808e-05
0, 1, 1000, End, 95, 8.06e-05
0, 1, 1000, End, 96, 8.7095e-05
0, 1, 1000, End, 97, 8.186e-05
0, 1, 1000, End, 98, 8.2819e-05
0, 1, 1000, End, 99, 7.7492e-05
0, 1, 1000, End, 100, 9.5046e-05
1, 1, 1000, End, 1, 8.884e-05
1, 1, 1000, End, 2, 8.3799e-05
1, 1, 1000, End, 3, 8.7657e-05
1, 1, 1000, End, 4, 8.9896e-05
1, 1, 1000, End, 5, 7.9818e-05
1, 1, 1000, End, 6, 7.9471e-05
1, 1, 1000, End, 7, 8.011e-05
1, 1, 1000, End, 8, 7.6703e-05
1, 1, 1000, End, 9, 8.4289e-05
1, 1, 1000, End, 10, 8.8278e-05
1, 1, 1000, End, 11, 8.2694e-05
1, 1, 1000, End, 12, 8.2671e-05
1, 1, 1000, End, 13, 8.3593e-05
1, 1, 1000, End, 14, 8.9472e-05
1, 1, 1000, End, 15, 7.8156e-05
1, 1, 1000, End, 16, 8.2365e-05
1, 1, 1000, End, 17, 6.9017e-05
1, 1, 1000, End, 18, 8.7624e-05
1, 1, 1000, End, 19, 8.4641e-05
1, 1, 1000, End, 20, 8.4344e-05
1, 1, 1000, End, 21, 7.5615e-05
1, 1, 1000, End, 22, 8.6946e-05
1, 1, 1000, End, 23, 9.1014e-05
1, 1, 1000, End, 24, 9.0186e-05
1, 1, 1000, End, 25, 8.6174e-05
1, 1, 1000, End, 26, 8.7784e-05
1, 1, 1000, End, 27, 8.5958e-05
1, 1, 1000, End, 28, 8.3542e-05
1, 1, 1000, End, 29, 8.3955e-05
1, 1, 1000, End, 30, 9.4835e-05
1, 1, 1000, End, 31, 9.0543e-05
1, 1, 1000, End, 32, 8.437e-05
1, 1, 1000, End, 33, 9.3916e-05
1, 1, 1000, End, 34, 6.9947e-05
1, 1, 1000, End, 35, 8.12e-05
1, 1, 1000, End, 36, 8.1493e-05
1, 1, 1000, End, 37, 9.0011e-05
1, 1, 1000, End, 38, 7.8837e-05
1, 1, 1000, End, 39, 8.1182e-05
1, 1, 1000, End, 40, 7.9824e-05
1, 1, 1000, End, 41, 9.1302e-05
1, 1, 1000, End, 42, 8.3186e-05
1, 1, 1000, End, 43, 9.0403e-05
1, 1, 1000, End, 44, 9.0546e-05
1, 1, 1000, End, 45, 8.8557e-05
1, 1, 1000, End, 46, 8.4005e-05
1, 1, 1000, End, 47, 8.4382e-05
1, 1, 1000, End, 48, 8.3896e-05
1, 1, 1000, End, 49, 8.1414e-05
1, 1, 1000, End, 50, 7.072e-05
1, 1, 1000, End, 51, 8.0558e-05
1, 1, 1000, End, 52, 8.3314e-05
1, 1, 1000, End, 53, 8.5862e-05
1, 1, 1000, End, 54, 8.92e-05
1, 1, 1000, End, 55, 8.834e-05
1, 1, 1000, End, 56, 8.2983e-05
1, 1, 1000, End, 57, 8.5592e-05
1, 1, 1000, End, 58, 8.3751e-05
1, 1, 1000, End, 59, 8.0192e-05
1, 1, 1000, End, 60, 8.0655e-05
1, 1, 1000, End, 61, 8.9462e-05
1, 1, 1000, End, 62, 8.7322e-05
1, 1, 1000, End, 63, 9.251e-05
1, 1, 1000, End, 64, 9.1722e-05
1, 1, 1000, End, 65, 7.816e-05
1, 1, 1000, End, 66, 8.2312e-05
1, 1, 1000, End, 67, 8.8696e-05
1, 1, 1000, End, 68, 9.1269e-05
1, 1, 1000, End, 69, 8.0216e-05
1, 1, 1000, End, 70, 8.3015e-05
1, 1, 1000, End, 71, 9.379e-05
1, 1, 1000, End, 72, 8.9277e-05
1, 1, 1000, End, 73, 9.754e-05
1, 1, 1000, End, 74, 8.1694e-05
1, 1, 1000, End, 75, 8.1845e-05
1, 1, 1000, End, 76, 7.5445e-05
1, 1, 1000, End, 77, 9.4281e-05
1, 1, 1000, End, 78, 8.4012e-05
1, 1, 1000, End, 79, 8.5671e-05
1, 1, 1000, End, 80, 8.6328e-05
1, 1, 1000, End, 81, 8.6796e-05
1, 1, 1000, End, 82, 9.4503e-05
1, 1, 1000, End, 83, 8.3547e-05
1, 1, 1000, End, 84, 9.0747e-05
1, 1, 1000, End, 85, 8.3247e-05
1, 1, 1000, End, 86, 8.2703e-05
1, 1, 1000, End, 87, 8.8995e-05
1, 1, 1000, End, 88, 9.3647e-05
1, 1, 1000, End, 89, 8.8534e-05
1, 1, 1000, End, 90, 8.5097e-05
1, 1, 1000, End, 91, 7.903e-05
1, 1, 1000, End, 92, 9.2819e-05
1, 1, 1000, End, 93, 7.9612e-05
1, 1, 1000, End, 94, 8.0902e-05
1, 1, 1000, End, 95, 8.3215e-05
1, 1, 1000, End, 96, 8.8925e-05
1, 1, 1000, End, 97, 8.4335e-05
1, 1, 1000, End, 98, 8.4551e-05
1, 1, 1000, End, 99, 8.0162e-05
1, 1, 1000, End, 100, 9.6875e-05
2, 1, 1000, End, 1, 7.8691e-05
2, 1, 1000, End, 2, 9.7457e-05
2, 1, 1000, End, 3, 9.6658e-05
2, 1, 1000, End, 4, 9.572e-05
2, 1, 1000, End, 5, 8.2608e-05
2, 1, 1000, End, 6, 9.7146e-05
2, 1, 1000, End, 7, 0.00010167
2, 1, 1000, End, 8, 9.6816e-05
2, 1, 1000, End, 9, 8.332e-05
2, 1, 1000, End, 10, 8.9369e-05
2, 1, 1000, End, 11, 8.7479e-05
2, 1, 1000, End, 12, 9.5858e-05
2, 1, 1000, End, 13, 8.5154e-05
2, 1, 1000, End, 14, 8.8253e-05
2, 1, 1000, End, 15, 8.4088e-05
2, 1, 1000, End, 16, 9.0286e-05
2, 1, 1000, End, 17, 8.1638e-05
2, 1, 1000, End, 18, 9.8586e-05
2, 1, 1000, End, 19, 9.2157e-05
2, 1, 1000, End, 20, 8.9606e-05
2, 1, 1000, End, 21, 8.6317e-05
2, 1, 1000, End, 22, 8.2438e-05
2, 1, 1000, End, 23, 8.1451e-05
2, 1, 1000, End, 24, 8.4523e-05
2, 1, 1000, End, 25, 8.8992e-05
2, 1, 1000, End, 26, 9.5295e-05
2, 1, 1000, End, 27, 7.7967e-05
2, 1, 1000, End, 28, 9.1611e-05
2, 1, 1000, End, 29, 8.5432e-05
2, 1, 1000, End, 30, 8.5367e-05
2, 1, 1000, End, 31, 8.7291e-05
2, 1, 1000, End, 32, 9.0392e-05
2, 1, 1000, End, 33, 8.6352e-05
2, 1, 1000, End, 34, 9.4276e-05
2, 1, 1000, End, 35, 9.2325e-05
2, 1, 1000, End, 36, 9.0429e-05
2, 1, 1000, End, 37, 8.1598e-05
2, 1, 1000, End, 38, 8.6237e-05
2, 1, 1000, End, 39, 9.7099e-05
2, 1, 1000, End, 40, 9.4881e-05
2, 1, 1000, End, 41, 9.0406e-05
2, 1, 1000, End, 42, 8.3912e-05
2, 1, 1000, End, 43, 9.4854e-05
2, 1, 1000, End, 44, 9.8532e-05
2, 1, 1000, End, 45, 9.3654e-05
2, 1, 1000, End, 46, 8.9771e-05
2, 1, 1000, End, 47, 8.9079e-05
2, 1, 1000, End, 48, 9.1959e-05
2, 1, 1000, End, 49, 8.3281e-05
2, 1, 1000, End, 50, 9.1205e-05
2, 1, 1000, End, 51, 9.3227e-05
2, 1, 1000, End, 52, 8.9598e-05
2, 1, 1000, End, 53, 9.0625e-05
2, 1, 1000, End, 54, 9.439e-05
2, 1, 1000, End, 55, 9.7581e-05
2, 1, 1000, End, 56, 9.2197e-05
2, 1, 1000, End, 57, 9.0129e-05
2, 1, 1000, End, 58, 9.5709e-05
2, 1, 1000, End, 59, 8.2845e-05
2, 1, 1000, End, 60, 8.6149e-05
2, 1, 1000, End, 61, 0.000104043
2, 1, 1000, End, 62, 9.1372e-05
2, 1, 1000, End, 63, 7.8073e-05
2, 1, 1000, End, 64, 8.6704e-05
2, 1, 1000, End, 65, 8.5009e-05
2, 1, 1000, End, 66, 7.4843e-05
2, 1, 1000, End, 67, 8.649e-05
2, 1, 1000, End, 68, 8.891e-05
2, 1, 1000, End, 69, 9.5717e-05
2, 1, 1000, End, 70, 9.9246e-05
2, 1, 1000, End, 71, 9.1943e-05
2, 1, 1000, End, 72, 9.2368e-05
2, 1, 1000, End, 73, 8.9442e-05
2, 1, 1000, End, 74, 8.8747e-05
2, 1, 1000, End, 75, 8.8099e-05
2, 1, 1000, End, 76, 9.7123e-05
2, 1, 1000, End, 77, 7.1415e-05
2, 1, 1000, End, 78, 9.2318e-05
2, 1, 1000, End, 79, 9.2211e-05
2, 1, 1000, End, 80, 0.00010376
2, 1, 1000, End, 81, 8.6326e-05
2, 1, 1000, End, 82, 8.7872e-05
2, 1, 1000, End, 83, 8.8996e-05
2, 1, 1000, End, 84, 8.3307e-05
2, 1, 1000, End, 85, 9.6512e-05
2, 1, 1000, End, 86, 9.0033e-05
2, 1, 1000, End, 87, 9.4327e-05
2, 1, 1000, End, 88, 9.1645e-05
2, 1, 1000, End, 89, 8.5486e-05
2, 1, 1000, End, 90, 9.4283e-05
2, 1, 1000, End, 91, 9.1243e-05
2, 1, 1000, End, 92, 9.3994e-05
2, 1, 1000, End, 93, 9.0402e-05
2, 1, 1000, End, 94, 8.4647e-05
2, 1, 1000, End, 95, 9.1986e-05
2, 1, 1000, End, 96, 9.3104e-05
2, 1, 1000, End, 97, 9.2597e-05
2, 1, 1000, End, 98, 8.4321e-05
2, 1, 1000, End, 99, 8.6875e-05
2, 1, 1000, End, 100, 9.3602e-05
3, 1, 1000, End, 1, 8.1337e-05
3, 1, 1000, End, 2, 9.9281e-05
3, 1, 1000, End, 3, 9.8536e-05
3, 1, 1000, End, 4, 9.7783e-05
3, 1, 1000, End, 5, 8.5035e-05
3, 1, 1000, End, 6, 9.8942e-05
3, 1, 1000, End, 7, 0.000103334
3, 1, 1000, End, 8, 9.5083e-05
3, 1, 1000, End, 9, 8.5828e-05
3, 1, 1000, End, 10, 9.0531e-05
3, 1, 1000, End, 11, 8.9632e-05
3, 1, 1000, End, 12, 9.7733e-05
3, 1, 1000, End, 13, 8.7516e-05
3, 1, 1000, End, 14, 9.0477e-05
3, 1, 1000, End, 15, 8.6445e-05
3, 1, 1000, End, 16, 9.2444e-05
3, 1, 1000, End, 17, 8.452e-05
3, 1, 1000, End, 18, 0.000100411
3, 1, 1000, End, 19, 9.4293e-05
3, 1, 1000, End, 20, 9.1731e-05
3, 1, 1000, End, 21, 8.8597e-05
3, 1, 1000, End, 22, 8.4843e-05
3, 1, 1000, End, 23, 8.392e-05
3, 1, 1000, End, 24, 8.6892e-05
3, 1, 1000, End, 25, 9.1197e-05
3, 1, 1000, End, 26, 9.7078e-05
3, 1, 1000, End, 27, 8.0624e-05
3, 1, 1000, End, 28, 9.3634e-05
3, 1, 1000, End, 29, 8.7769e-05
3, 1, 1000, End, 30, 8.774e-05
3, 1, 1000, End, 31, 8.9594e-05
3, 1, 1000, End, 32, 9.2523e-05
3, 1, 1000, End, 33, 8.8571e-05
3, 1, 1000, End, 34, 9.5631e-05
3, 1, 1000, End, 35, 9.4322e-05
3, 1, 1000, End, 36, 9.2746e-05
3, 1, 1000, End, 37, 8.2983e-05
3, 1, 1000, End, 38, 8.853e-05
3, 1, 1000, End, 39, 9.893e-05
3, 1, 1000, End, 40, 9.6317e-05
3, 1, 1000, End, 41, 9.2484e-05
3, 1, 1000, End, 42, 8.6272e-05
3, 1, 1000, End, 43, 9.6189e-05
3, 1, 1000, End, 44, 0.000100306
3, 1, 1000, End, 45, 9.5664e-05
3, 1, 1000, End, 46, 9.198e-05
3, 1, 1000, End, 47, 9.13e-05
3, 1, 1000, End, 48, 9.3927e-05
3, 1, 1000, End, 49, 8.5668e-05
3, 1, 1000, End, 50, 9.3307e-05
3, 1, 1000, End, 51, 9.4679e-05
3, 1, 1000, End, 52, 9.0928e-05
3, 1, 1000, End, 53, 9.2755e-05
3, 1, 1000, End, 54, 9.6386e-05
3, 1, 1000, End, 55, 9.9327e-05
3, 1, 1000, End, 56, 9.4188e-05
3, 1, 1000, End, 57, 9.1223e-05
3, 1, 1000, End, 58, 9.7625e-05
3, 1, 1000, End, 59, 8.5242e-05
3, 1, 1000, End, 60, 8.7899e-05
3, 1, 1000, End, 61, 0.000105657
3, 1, 1000, End, 62, 9.3469e-05
3, 1, 1000, End, 63, 8.0439e-05
3, 1, 1000, End, 64, 8.8535e-05
3, 1, 1000, End, 65, 8.7371e-05
3, 1, 1000, End, 66, 7.7478e-05
3, 1, 1000, End, 67, 8.8712e-05
4, 1, 1000, End, 1, 8.0418e-05
4, 1, 1000, End, 2, 8.5224e-05
4, 1, 1000, End, 3, 8.1402e-05
4, 1, 1000, End, 4, 8.6775e-05
4, 1, 1000, End, 5, 8.0379e-05
4, 1, 1000, End, 6, 7.893e-05
4, 1, 1000, End, 7, 7.3642e-05
4, 1, 1000, End, 8, 8.182e-05
4, 1, 1000, End, 9, 7.4575e-05
4, 1, 1000, End, 10, 7.8693e-05
4, 1, 1000, End, 11, 7.901e-05
4, 1, 1000, End, 12, 8.6156e-05
4, 1, 1000, End, 13, 8.8485e-05
4, 1, 1000, End, 14, 8.6529e-05
4, 1, 1000, End, 15, 9.509e-05
4, 1, 1000, End, 16, 7.5288e-05
4, 1, 1000, End, 17, 7.61e-05
4, 1, 1000, End, 18, 8.8926e-05
4, 1, 1000, End, 19, 8.5512e-05
4, 1, 1000, End, 20, 8.4112e-05
4, 1, 1000, End, 21, 8.9809e-05
4, 1, 1000, End, 22, 7.768e-05
4, 1, 1000, End, 23, 7.5702e-05
4, 1, 1000, End, 24, 8.8409e-05
4, 1, 1000, End, 25, 8.8541e-05
3, 1, 1000, End, 68, 9.107e-05
3, 1, 1000, End, 69, 9.7116e-05
3, 1, 1000, End, 70, 0.000101158
3, 1, 1000, End, 71, 9.395e-05
3, 1, 1000, End, 72, 9.4541e-05
3, 1, 1000, End, 73, 9.0579e-05
3, 1, 1000, End, 74, 9.1011e-05
3, 1, 1000, End, 75, 9.042e-05
3, 1, 1000, End, 76, 9.5522e-05
3, 1, 1000, End, 77, 7.4354e-05
3, 1, 1000, End, 78, 9.4401e-05
3, 1, 1000, End, 79, 9.4207e-05
3, 1, 1000, End, 80, 0.000105311
3, 1, 1000, End, 81, 8.8183e-05
3, 1, 1000, End, 82, 9.014e-05
3, 1, 1000, End, 83, 9.118e-05
3, 1, 1000, End, 84, 8.571e-05
3, 1, 1000, End, 85, 9.7696e-05
3, 1, 1000, End, 86, 9.118e-05
3, 1, 1000, End, 87, 9.6331e-05
3, 1, 1000, End, 88, 9.3676e-05
4, 1, 1000, End, 26, 7.28e-05
4, 1, 1000, End, 27, 7.9181e-05
4, 1, 1000, End, 28, 7.6028e-05
4, 1, 1000, End, 29, 7.5304e-05
4, 1, 1000, End, 30, 8.355e-05
4, 1, 1000, End, 31, 7.6722e-05
4, 1, 1000, End, 32, 7.7817e-05
4, 1, 1000, End, 33, 7.7667e-05
4, 1, 1000, End, 34, 8.217e-05
4, 1, 1000, End, 35, 7.9757e-05
4, 1, 1000, End, 36, 7.501e-05
4, 1, 1000, End, 37, 8.4271e-05
4, 1, 1000, End, 38, 8.0035e-05
4, 1, 1000, End, 39, 7.9295e-05
4, 1, 1000, End, 40, 7.2081e-05
4, 1, 1000, End, 41, 7.8491e-05
4, 1, 1000, End, 42, 8.1348e-05
4, 1, 1000, End, 43, 8.094e-05
3, 1, 1000, End, 89, 8.7794e-05
3, 1, 1000, End, 90, 9.6219e-05
3, 1, 1000, End, 91, 9.3341e-05
4, 1, 1000, End, 44, 7.5831e-05
4, 1, 1000, End, 45, 7.5785e-05
4, 1, 1000, End, 46, 8.6234e-05
4, 1, 1000, End, 47, 8.7493e-05
4, 1, 1000, End, 48, 9.5195e-05
4, 1, 1000, End, 49, 9.0563e-05
4, 1, 1000, End, 50, 7.7171e-05
4, 1, 1000, End, 51, 8.1549e-05
4, 1, 1000, End, 52, 7.1881e-05
4, 1, 1000, End, 53, 7.5809e-05
4, 1, 1000, End, 54, 8.25e-05
4, 1, 1000, End, 55, 8.1376e-05
4, 1, 1000, End, 56, 8.0093e-05
4, 1, 1000, End, 57, 7.7663e-05
4, 1, 1000, End, 58, 7.854e-05
4, 1, 1000, End, 59, 7.6489e-05
4, 1, 1000, End, 60, 6.9982e-05
4, 1, 1000, End, 61, 7.5642e-05
4, 1, 1000, End, 62, 8.3171e-05
4, 1, 1000, End, 63, 8.0595e-05
4, 1, 1000, End, 64, 8.1885e-05
4, 1, 1000, End, 65, 7.9743e-05
4, 1, 1000, End, 66, 8.0329e-05
4, 1, 1000, End, 67, 9.0238e-05
3, 1, 1000, End, 92, 9.5935e-05
3, 1, 1000, End, 93, 9.2579e-05
3, 1, 1000, End, 94, 8.6643e-05
4, 1, 1000, End, 68, 8.0117e-05
4, 1, 1000, End, 69, 8.1831e-05
4, 1, 1000, End, 70, 8.974e-05
4, 1, 1000, End, 71, 8.2666e-05
4, 1, 1000, End, 72, 7.5548e-05
4, 1, 1000, End, 73, 0.000234919
4, 1, 1000, End, 74, 7.0368e-05
3, 1, 1000, End, 95, 9.4081e-05
3, 1, 1000, End, 96, 9.5048e-05
3, 1, 1000, End, 97, 9.4572e-05
3, 1, 1000, End, 98, 8.6722e-05
3, 1, 1000, End, 99, 8.9139e-05
4, 1, 1000, End, 75, 8.0417e-05
4, 1, 1000, End, 76, 7.793e-05
4, 1, 1000, End, 77, 8.0397e-05
4, 1, 1000, End, 78, 7.6851e-05
4, 1, 1000, End, 79, 7.6609e-05
4, 1, 1000, End, 80, 8.2652e-05
4, 1, 1000, End, 81, 7.3522e-05
3, 1, 1000, End, 100, 9.5635e-05
4, 1, 1000, End, 82, 7.2274e-05
4, 1, 1000, End, 83, 8.338e-05
4, 1, 1000, End, 84, 8.2788e-05
4, 1, 1000, End, 85, 7.9949e-05
4, 1, 1000, End, 86, 8.0679e-05
4, 1, 1000, End, 87, 7.3761e-05
4, 1, 1000, End, 88, 7.2466e-05
4, 1, 1000, End, 89, 7.4735e-05
4, 1, 1000, End, 90, 8.1234e-05
4, 1, 1000, End, 91, 7.1999e-05
4, 1, 1000, End, 92, 7.7391e-05
4, 1, 1000, End, 93, 7.5822e-05
4, 1, 1000, End, 94, 7.9608e-05
4, 1, 1000, End, 95, 7.4743e-05
4, 1, 1000, End, 96, 8.724e-05
4, 1, 1000, End, 97, 7.6825e-05
4, 1, 1000, End, 98, 8.5252e-05
4, 1, 1000, End, 99, 9.4042e-05
4, 1, 1000, End, 100, 7.1693e-05
5, 1, 1000, End, 1, 8.2824e-05
5, 1, 1000, End, 2, 8.7513e-05
5, 1, 1000, End, 3, 8.4074e-05
5, 1, 1000, End, 4, 8.484e-05
5, 1, 1000, End, 5, 8.1878e-05
5, 1, 1000, End, 6, 8.1557e-05
5, 1, 1000, End, 7, 7.6409e-05
5, 1, 1000, End, 8, 8.4251e-05
5, 1, 1000, End, 9, 7.7385e-05
5, 1, 1000, End, 10, 8.1409e-05
5, 1, 1000, End, 11, 8.1623e-05
5, 1, 1000, End, 12, 8.8345e-05
5, 1, 1000, End, 13, 9.0619e-05
5, 1, 1000, End, 14, 8.8617e-05
