JOBID=28744
Nodes=8 Procs=8 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/ping_pong/upcxx_ping_pong_rput_wait --repetitions 100 --value 1K -q -m all
Rank, Block size, Iterations, Timepoint, Index, Time
0, 1, 1024, End, 1, 0.00189783
0, 1, 1024, End, 2, 0.00189919
0, 1, 1024, End, 3, 0.00190313
0, 1, 1024, End, 4, 0.00189301
0, 1, 1024, End, 5, 0.00189366
0, 1, 1024, End, 6, 0.00189652
0, 1, 1024, End, 7, 0.00190333
0, 1, 1024, End, 8, 0.00190307
0, 1, 1024, End, 9, 0.00190116
0, 1, 1024, End, 10, 0.00189803
0, 1, 1024, End, 11, 0.00190109
0, 1, 1024, End, 12, 0.00190068
0, 1, 1024, End, 13, 0.00190177
0, 1, 1024, End, 14, 0.00189069
0, 1, 1024, End, 15, 0.00189814
0, 1, 1024, End, 16, 0.00191052
0, 1, 1024, End, 17, 0.0018931
0, 1, 1024, End, 18, 0.00189133
0, 1, 1024, End, 19, 0.00190556
0, 1, 1024, End, 20, 0.00189825
0, 1, 1024, End, 21, 0.00190201
0, 1, 1024, End, 22, 0.00190269
0, 1, 1024, End, 23, 0.00190201
0, 1, 1024, End, 24, 0.00188821
0, 1, 1024, End, 25, 0.00190056
0, 1, 1024, End, 26, 0.00189141
0, 1, 1024, End, 27, 0.00190185
0, 1, 1024, End, 28, 0.00189993
0, 1, 1024, End, 29, 0.00191207
0, 1, 1024, End, 30, 0.00190529
0, 1, 1024, End, 31, 0.00190154
0, 1, 1024, End, 32, 0.00190268
0, 1, 1024, End, 33, 0.00190384
0, 1, 1024, End, 34, 0.0022915
0, 1, 1024, End, 35, 0.00190545
0, 1, 1024, End, 36, 0.00190336
0, 1, 1024, End, 37, 0.00190776
0, 1, 1024, End, 38, 0.00190176
0, 1, 1024, End, 39, 0.00190375
0, 1, 1024, End, 40, 0.00189675
0, 1, 1024, End, 41, 0.0019006
0, 1, 1024, End, 42, 0.00190006
0, 1, 1024, End, 43, 0.00190359
0, 1, 1024, End, 44, 0.00191999
0, 1, 1024, End, 45, 0.0019018
0, 1, 1024, End, 46, 0.00190109
0, 1, 1024, End, 47, 0.00189535
0, 1, 1024, End, 48, 0.00190343
0, 1, 1024, End, 49, 0.00189537
0, 1, 1024, End, 50, 0.0018856
0, 1, 1024, End, 51, 0.0018996
0, 1, 1024, End, 52, 0.00189594
0, 1, 1024, End, 53, 0.00189749
0, 1, 1024, End, 54, 0.00189588
0, 1, 1024, End, 55, 0.00190311
0, 1, 1024, End, 56, 0.00189493
0, 1, 1024, End, 57, 0.00190343
0, 1, 1024, End, 58, 0.00190509
0, 1, 1024, End, 59, 0.00189695
0, 1, 1024, End, 60, 0.00189865
0, 1, 1024, End, 61, 0.00191674
0, 1, 1024, End, 62, 0.00188482
0, 1, 1024, End, 63, 0.00190759
0, 1, 1024, End, 64, 0.00190609
0, 1, 1024, End, 65, 0.00190236
0, 1, 1024, End, 66, 0.00188888
0, 1, 1024, End, 67, 0.00189952
0, 1, 1024, End, 68, 0.00189671
0, 1, 1024, End, 69, 0.00190685
0, 1, 1024, End, 70, 0.00190776
0, 1, 1024, End, 71, 0.00190951
0, 1, 1024, End, 72, 0.00189746
0, 1, 1024, End, 73, 0.00189785
0, 1, 1024, End, 74, 0.00189713
0, 1, 1024, End, 75, 0.00190673
0, 1, 1024, End, 76, 0.00190025
0, 1, 1024, End, 77, 0.00189756
0, 1, 1024, End, 78, 0.0018978
0, 1, 1024, End, 79, 0.00189771
0, 1, 1024, End, 80, 0.00190922
0, 1, 1024, End, 81, 0.00190187
0, 1, 1024, End, 82, 0.00189115
0, 1, 1024, End, 83, 0.00190185
0, 1, 1024, End, 84, 0.00190805
0, 1, 1024, End, 85, 0.00189928
0, 1, 1024, End, 86, 0.00192118
0, 1, 1024, End, 87, 0.00193218
0, 1, 1024, End, 88, 0.00189627
0, 1, 1024, End, 89, 0.00189679
0, 1, 1024, End, 90, 0.00189162
0, 1, 1024, End, 91, 0.00190295
0, 1, 1024, End, 92, 0.00189391
0, 1, 1024, End, 93, 0.00189492
0, 1, 1024, End, 94, 0.00189397
0, 1, 1024, End, 95, 0.00189962
0, 1, 1024, End, 96, 0.00190787
0, 1, 1024, End, 97, 0.00226066
0, 1, 1024, End, 98, 0.00190278
0, 1, 1024, End, 99, 0.00190257
0, 1, 1024, End, 100, 0.00189541
1, 1, 1024, End, 1, 0.00194296
1, 1, 1024, End, 2, 0.00193127
1, 1, 1024, End, 3, 0.00193038
1, 1, 1024, End, 4, 0.00193911
1, 1, 1024, End, 5, 0.00193983
1, 1, 1024, End, 6, 0.00193314
1, 1, 1024, End, 7, 0.00194355
1, 1, 1024, End, 8, 0.00193967
1, 1, 1024, End, 9, 0.00194296
1, 1, 1024, End, 10, 0.00193684
1, 1, 1024, End, 11, 0.00193492
1, 1, 1024, End, 12, 0.00193188
1, 1, 1024, End, 13, 0.00193836
1, 1, 1024, End, 14, 0.00192495
1, 1, 1024, End, 15, 0.00193311
1, 1, 1024, End, 16, 0.00192855
1, 1, 1024, End, 17, 0.0019388
1, 1, 1024, End, 18, 0.00193589
1, 1, 1024, End, 19, 0.00193862
1, 1, 1024, End, 20, 0.00193393
