JOBID=28907
Nodes=12 Procs=24 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/reduce/mpi_reduce_all --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 1.115e-05
0, 1, End, 2, 9.691e-06
0, 1, End, 3, 1.0973e-05
0, 1, End, 4, 1.1015e-05
0, 1, End, 5, 1.4074e-05
0, 1, End, 6, 1.677e-05
0, 1, End, 7, 1.0492e-05
0, 1, End, 8, 1.3133e-05
0, 1, End, 9, 1.5701e-05
0, 1, End, 10, 1.2625e-05
0, 1, End, 11, 1.0261e-05
0, 1, End, 12, 1.2916e-05
0, 1, End, 13, 9.544e-06
0, 1, End, 14, 1.1498e-05
0, 1, End, 15, 1.3078e-05
0, 1, End, 16, 1.0516e-05
0, 1, End, 17, 1.1072e-05
0, 1, End, 18, 1.2302e-05
0, 1, End, 19, 1.1196e-05
0, 1, End, 20, 1.7023e-05
0, 1, End, 21, 2.4879e-05
0, 1, End, 22, 2.1815e-05
0, 1, End, 23, 1.7796e-05
0, 1, End, 24, 2.5738e-05
0, 1, End, 25, 1.1536e-05
0, 1, End, 26, 1.2927e-05
0, 1, End, 27, 2.1913e-05
0, 1, End, 28, 1.9646e-05
0, 1, End, 29, 1.4641e-05
0, 1, End, 30, 1.2377e-05
0, 1, End, 31, 1.0658e-05
0, 1, End, 32, 1.0726e-05
0, 1, End, 33, 1.0307e-05
0, 1, End, 34, 1.2398e-05
0, 1, End, 35, 1.2842e-05
0, 1, End, 36, 1.8488e-05
0, 1, End, 37, 1.0618e-05
0, 1, End, 38, 1.4032e-05
0, 1, End, 39, 1.0106e-05
0, 1, End, 40, 1.11e-05
0, 1, End, 41, 1.0203e-05
0, 1, End, 42, 1.0967e-05
0, 1, End, 43, 1.0684e-05
0, 1, End, 44, 1.2197e-05
0, 1, End, 45, 1.1591e-05
0, 1, End, 46, 1.4129e-05
0, 1, End, 47, 1.0859e-05
0, 1, End, 48, 1.2067e-05
0, 1, End, 49, 1.1526e-05
0, 1, End, 50, 1.1971e-05
0, 1, End, 51, 1.2965e-05
0, 1, End, 52, 1.4509e-05
0, 1, End, 53, 1.3404e-05
0, 1, End, 54, 1.8123e-05
0, 1, End, 55, 1.1088e-05
0, 1, End, 56, 1.1772e-05
0, 1, End, 57, 1.0448e-05
0, 1, End, 58, 1.5644e-05
0, 1, End, 59, 1.0333e-05
0, 1, End, 60, 1.1131e-05
0, 1, End, 61, 9.572e-06
0, 1, End, 62, 2.0016e-05
0, 1, End, 63, 1.3042e-05
0, 1, End, 64, 1.2179e-05
0, 1, End, 65, 1.4841e-05
0, 1, End, 66, 1.1581e-05
0, 1, End, 67, 1.0161e-05
0, 1, End, 68, 1.1378e-05
0, 1, End, 69, 1.0225e-05
0, 1, End, 70, 1.4197e-05
0, 1, End, 71, 1.6137e-05
0, 1, End, 72, 1.2804e-05
0, 1, End, 73, 1.3783e-05
0, 1, End, 74, 1.0928e-05
0, 1, End, 75, 1.1773e-05
0, 1, End, 76, 1.4353e-05
0, 1, End, 77, 2.0112e-05
0, 1, End, 78, 1.2495e-05
0, 1, End, 79, 1.0395e-05
0, 1, End, 80, 1.039e-05
0, 1, End, 81, 1.621e-05
0, 1, End, 82, 1.6969e-05
0, 1, End, 83, 9.691e-06
0, 1, End, 84, 1.1128e-05
0, 1, End, 85, 1.0285e-05
0, 1, End, 86, 1.2462e-05
0, 1, End, 87, 9.177e-06
0, 1, End, 88, 1.5518e-05
0, 1, End, 89, 1.0787e-05
0, 1, End, 90, 1.025e-05
0, 1, End, 91, 9.904e-06
0, 1, End, 92, 1.3185e-05
0, 1, End, 93, 1.0513e-05
0, 1, End, 94, 1.3889e-05
0, 1, End, 95, 1.2619e-05
0, 1, End, 96, 1.1387e-05
0, 1, End, 97, 9.525e-06
0, 1, End, 98, 1.5217e-05
0, 1, End, 99, 1.1736e-05
