JOBID=28934
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/reduce/mpi_reduce_one --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 3.68e-07
0, 1, End, 2, 4.41e-07
0, 1, End, 3, 3.8e-07
0, 1, End, 4, 3.84e-07
0, 1, End, 5, 3.49e-07
0, 1, End, 6, 5.09e-07
0, 1, End, 7, 4.58e-07
0, 1, End, 8, 3.69e-07
0, 1, End, 9, 3.85e-07
0, 1, End, 10, 4.26e-07
0, 1, End, 11, 4.05e-07
0, 1, End, 12, 3.92e-07
0, 1, End, 13, 3.88e-07
0, 1, End, 14, 3.85e-07
0, 1, End, 15, 3.5e-07
0, 1, End, 16, 4.12e-07
0, 1, End, 17, 3.83e-07
0, 1, End, 18, 3.97e-07
0, 1, End, 19, 4.01e-07
0, 1, End, 20, 3.86e-07
0, 1, End, 21, 3.8e-07
0, 1, End, 22, 4.46e-07
0, 1, End, 23, 3.6e-07
0, 1, End, 24, 3.62e-07
0, 1, End, 25, 3.8e-07
0, 1, End, 26, 3.51e-07
0, 1, End, 27, 3.96e-07
0, 1, End, 28, 3.99e-07
0, 1, End, 29, 3.94e-07
0, 1, End, 30, 4.35e-07
0, 1, End, 31, 3.8e-07
0, 1, End, 32, 4.21e-07
0, 1, End, 33, 4.24e-07
0, 1, End, 34, 3.9e-07
0, 1, End, 35, 3.54e-07
0, 1, End, 36, 3.83e-07
0, 1, End, 37, 3.84e-07
0, 1, End, 38, 3.8e-07
0, 1, End, 39, 3.95e-07
0, 1, End, 40, 3.85e-07
0, 1, End, 41, 4e-07
0, 1, End, 42, 4.01e-07
0, 1, End, 43, 3.96e-07
0, 1, End, 44, 3.79e-07
0, 1, End, 45, 4.1e-07
0, 1, End, 46, 4.04e-07
0, 1, End, 47, 3.86e-07
0, 1, End, 48, 4.61e-07
0, 1, End, 49, 4.18e-07
0, 1, End, 50, 3.96e-07
0, 1, End, 51, 3.79e-07
0, 1, End, 52, 3.86e-07
0, 1, End, 53, 3.82e-07
0, 1, End, 54, 3.85e-07
0, 1, End, 55, 3.41e-07
0, 1, End, 56, 3.7e-07
0, 1, End, 57, 3.8e-07
0, 1, End, 58, 3.8e-07
0, 1, End, 59, 4e-07
0, 1, End, 60, 4.34e-07
0, 1, End, 61, 3.55e-07
0, 1, End, 62, 3.82e-07
0, 1, End, 63, 3.79e-07
0, 1, End, 64, 3.91e-07
0, 1, End, 65, 3.81e-07
0, 1, End, 66, 3.8e-07
0, 1, End, 67, 3.77e-07
0, 1, End, 68, 3.9e-07
0, 1, End, 69, 3.56e-07
0, 1, End, 70, 3.68e-07
0, 1, End, 71, 3.73e-07
0, 1, End, 72, 3.65e-07
0, 1, End, 73, 4.22e-07
0, 1, End, 74, 4.02e-07
0, 1, End, 75, 3.98e-07
0, 1, End, 76, 3.7e-07
0, 1, End, 77, 3.83e-07
0, 1, End, 78, 3.84e-07
0, 1, End, 79, 3.73e-07
0, 1, End, 80, 4.11e-07
0, 1, End, 81, 3.74e-07
0, 1, End, 82, 3.87e-07
0, 1, End, 83, 3.88e-07
0, 1, End, 84, 4.45e-07
0, 1, End, 85, 3.78e-07
0, 1, End, 86, 3.91e-07
0, 1, End, 87, 3.8e-07
0, 1, End, 88, 4.12e-07
0, 1, End, 89, 3.81e-07
0, 1, End, 90, 4e-07
0, 1, End, 91, 3.83e-07
0, 1, End, 92, 3.82e-07
0, 1, End, 93, 4.44e-07
0, 1, End, 94, 3.9e-07
0, 1, End, 95, 3.75e-07
0, 1, End, 96, 3.61e-07
0, 1, End, 97, 4.14e-07
0, 1, End, 98, 3.66e-07
0, 1, End, 99, 3.82e-07
0, 1, End, 100, 3.61e-07
0, 4, End, 1, 4.61e-07
0, 4, End, 2, 4.34e-07
0, 4, End, 3, 3.33e-07
0, 4, End, 4, 3.29e-07
0, 4, End, 5, 3.84e-07
0, 4, End, 6, 5.27e-07
0, 4, End, 7, 3.93e-07
0, 4, End, 8, 3.56e-07
0, 4, End, 9, 3.9e-07
0, 4, End, 10, 3.82e-07
0, 4, End, 11, 3.46e-07
0, 4, End, 12, 3.36e-07
0, 4, End, 13, 3.24e-07
0, 4, End, 14, 3.28e-07
0, 4, End, 15, 3.2e-07
0, 4, End, 16, 3.11e-07
0, 4, End, 17, 3.37e-07
0, 4, End, 18, 3.56e-07
0, 4, End, 19, 3.95e-07
0, 4, End, 20, 3.25e-07
0, 4, End, 21, 3.77e-07
0, 4, End, 22, 4.13e-07
0, 4, End, 23, 3.38e-07
0, 4, End, 24, 3.89e-07
0, 4, End, 25, 4.11e-07
0, 4, End, 26, 3.83e-07
0, 4, End, 27, 3.57e-07
0, 4, End, 28, 3.83e-07
0, 4, End, 29, 3.71e-07
0, 4, End, 30, 3.85e-07
0, 4, End, 31, 3.7e-07
0, 4, End, 32, 3.88e-07
0, 4, End, 33, 3.72e-07
0, 4, End, 34, 3.84e-07
0, 4, End, 35, 3.75e-07
0, 4, End, 36, 3.4e-07
