JOBID=28916
Nodes=2 Procs=4 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/reduce/upcxx_reduce_all --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 1.2011e-05
0, 1, End, 2, 8.275e-06
0, 1, End, 3, 7.843e-06
0, 1, End, 4, 7.214e-06
0, 1, End, 5, 5.877e-06
0, 1, End, 6, 7.82e-06
0, 1, End, 7, 5.637e-06
0, 1, End, 8, 8.582e-06
0, 1, End, 9, 8.634e-06
0, 1, End, 10, 6.071e-06
0, 1, End, 11, 8.466e-06
0, 1, End, 12, 9.931e-06
0, 1, End, 13, 7.324e-06
0, 1, End, 14, 8.942e-06
0, 1, End, 15, 6.112e-06
0, 1, End, 16, 6.098e-06
0, 1, End, 17, 5.702e-06
0, 1, End, 18, 6.05e-06
0, 1, End, 19, 5.916e-06
0, 1, End, 20, 5.471e-06
0, 1, End, 21, 5.827e-06
0, 1, End, 22, 5.583e-06
0, 1, End, 23, 5.881e-06
0, 1, End, 24, 5.883e-06
0, 1, End, 25, 5.812e-06
0, 1, End, 26, 5.743e-06
0, 1, End, 27, 7.9e-06
0, 1, End, 28, 9.753e-06
0, 1, End, 29, 7.375e-06
0, 1, End, 30, 1.1067e-05
0, 1, End, 31, 6.183e-06
0, 1, End, 32, 7.952e-06
0, 1, End, 33, 7.85e-06
0, 1, End, 34, 5.98e-06
0, 1, End, 35, 5.777e-06
0, 1, End, 36, 5.86e-06
0, 1, End, 37, 6.001e-06
0, 1, End, 38, 5.593e-06
0, 1, End, 39, 5.625e-06
0, 1, End, 40, 8.509e-06
0, 1, End, 41, 8.362e-06
0, 1, End, 42, 5.89e-06
0, 1, End, 43, 9.479e-06
0, 1, End, 44, 1.0162e-05
0, 1, End, 45, 6.459e-06
0, 1, End, 46, 8.775e-06
0, 1, End, 47, 5.614e-06
0, 1, End, 48, 5.31e-06
0, 1, End, 49, 5.928e-06
0, 1, End, 50, 5.71e-06
0, 1, End, 51, 5.974e-06
0, 1, End, 52, 5.611e-06
0, 1, End, 53, 5.577e-06
0, 1, End, 54, 5.583e-06
0, 1, End, 55, 5.832e-06
0, 1, End, 56, 5.73e-06
0, 1, End, 57, 5.997e-06
0, 1, End, 58, 5.655e-06
0, 1, End, 59, 7.921e-06
0, 1, End, 60, 1.0113e-05
0, 1, End, 61, 6.08e-06
0, 1, End, 62, 8.778e-06
0, 1, End, 63, 5.763e-06
0, 1, End, 64, 7.879e-06
0, 1, End, 65, 8.519e-06
0, 1, End, 66, 5.618e-06
0, 1, End, 67, 5.832e-06
0, 1, End, 68, 5.6e-06
0, 1, End, 69, 6.034e-06
0, 1, End, 70, 5.895e-06
0, 1, End, 71, 5.362e-06
0, 1, End, 72, 8.139e-06
0, 1, End, 73, 8.044e-06
0, 1, End, 74, 5.855e-06
0, 1, End, 75, 8.122e-06
0, 1, End, 76, 9.825e-06
0, 1, End, 77, 6.672e-06
0, 1, End, 78, 8.69e-06
0, 1, End, 79, 5.908e-06
0, 1, End, 80, 5.647e-06
0, 1, End, 81, 6.023e-06
0, 1, End, 82, 5.57e-06
0, 1, End, 83, 5.61e-06
0, 1, End, 84, 5.322e-06
0, 1, End, 85, 5.74e-06
0, 1, End, 86, 5.493e-06
0, 1, End, 87, 5.619e-06
0, 1, End, 88, 5.505e-06
0, 1, End, 89, 5.837e-06
0, 1, End, 90, 5.913e-06
0, 1, End, 91, 7.467e-06
0, 1, End, 92, 9.833e-06
0, 1, End, 93, 6.514e-06
0, 1, End, 94, 8.882e-06
0, 1, End, 95, 5.951e-06
0, 1, End, 96, 7.841e-06
0, 1, End, 97, 8.491e-06
0, 1, End, 98, 5.609e-06
0, 1, End, 99, 5.914e-06
0, 1, End, 100, 6.06e-06
0, 4, End, 1, 1.7453e-05
0, 4, End, 2, 2.0308e-05
0, 4, End, 3, 1.6078e-05
0, 4, End, 4, 2.1445e-05
0, 4, End, 5, 5.985e-06
0, 4, End, 6, 2.2149e-05
0, 4, End, 7, 5.664e-06
0, 4, End, 8, 8.216e-06
0, 4, End, 9, 1.0786e-05
0, 4, End, 10, 8.617e-06
0, 4, End, 11, 6.016e-06
0, 4, End, 12, 5.457e-06
0, 4, End, 13, 8.056e-06
0, 4, End, 14, 5.99e-06
0, 4, End, 15, 1.1508e-05
0, 4, End, 16, 5.539e-06
0, 4, End, 17, 5.243e-06
0, 4, End, 18, 5.355e-06
