JOBID=28947
Nodes=12 Procs=24 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/reduce/upcxx_reduce_one --repetitions 100 -m max -q
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 2.0291e-05
0, 1, End, 2, 2.8412e-05
0, 1, End, 3, 3.7862e-05
0, 1, End, 4, 1.891e-05
0, 1, End, 5, 1.8937e-05
0, 1, End, 6, 2.447e-05
0, 1, End, 7, 6.252e-06
0, 1, End, 8, 1.2855e-05
0, 1, End, 9, 1.3998e-05
0, 1, End, 10, 1.7083e-05
0, 1, End, 11, 7.369e-06
0, 1, End, 12, 8.949e-06
0, 1, End, 13, 2.0006e-05
0, 1, End, 14, 1.0425e-05
0, 1, End, 15, 6.86e-06
0, 1, End, 16, 9.472e-06
0, 1, End, 17, 8.193e-06
0, 1, End, 18, 8.364e-06
0, 1, End, 19, 3.4762e-05
0, 1, End, 20, 8.408e-06
0, 1, End, 21, 1.5517e-05
0, 1, End, 22, 8.305e-06
0, 1, End, 23, 1.3e-05
0, 1, End, 24, 1.2249e-05
0, 1, End, 25, 1.0967e-05
0, 1, End, 26, 8.806e-06
0, 1, End, 27, 6.999e-06
0, 1, End, 28, 8.336e-06
0, 1, End, 29, 2.0044e-05
0, 1, End, 30, 1.1344e-05
0, 1, End, 31, 7.456e-06
0, 1, End, 32, 8.732e-06
0, 1, End, 33, 7.712e-06
0, 1, End, 34, 7.311e-06
0, 1, End, 35, 2.0368e-05
0, 1, End, 36, 8.091e-06
0, 1, End, 37, 6.953e-06
0, 1, End, 38, 1.0808e-05
0, 1, End, 39, 7.511e-06
0, 1, End, 40, 1.0754e-05
0, 1, End, 41, 8.779e-06
0, 1, End, 42, 8.179e-06
0, 1, End, 43, 1.3348e-05
0, 1, End, 44, 7.113e-06
0, 1, End, 45, 9.243e-06
0, 1, End, 46, 1.0679e-05
0, 1, End, 47, 1.8081e-05
0, 1, End, 48, 1.3466e-05
0, 1, End, 49, 8.451e-06
0, 1, End, 50, 8.914e-06
0, 1, End, 51, 1.8354e-05
0, 1, End, 52, 7.555e-06
0, 1, End, 53, 7.702e-06
0, 1, End, 54, 8.564e-06
0, 1, End, 55, 7.186e-06
0, 1, End, 56, 1.1661e-05
0, 1, End, 57, 7.403e-06
0, 1, End, 58, 7.601e-06
0, 1, End, 59, 6.677e-06
0, 1, End, 60, 7.688e-06
0, 1, End, 61, 7.052e-06
0, 1, End, 62, 1.1408e-05
0, 1, End, 63, 8.649e-06
0, 1, End, 64, 1.0786e-05
0, 1, End, 65, 8.929e-06
0, 1, End, 66, 1.3068e-05
0, 1, End, 67, 2.15e-05
0, 1, End, 68, 1.6075e-05
0, 1, End, 69, 1.6219e-05
0, 1, End, 70, 1.4419e-05
0, 1, End, 71, 3.3377e-05
0, 1, End, 72, 2.0751e-05
0, 1, End, 73, 1.4047e-05
0, 1, End, 74, 1.6056e-05
0, 1, End, 75, 7.136e-06
0, 1, End, 76, 7.834e-06
0, 1, End, 77, 7.667e-06
0, 1, End, 78, 1.0759e-05
0, 1, End, 79, 7.713e-06
0, 1, End, 80, 8.69e-06
0, 1, End, 81, 8.78e-06
0, 1, End, 82, 8.541e-06
0, 1, End, 83, 1.8661e-05
0, 1, End, 84, 1.1292e-05
0, 1, End, 85, 6.367e-06
0, 1, End, 86, 7.84e-06
0, 1, End, 87, 1.4053e-05
0, 1, End, 88, 1.1879e-05
0, 1, End, 89, 9.2e-06
0, 1, End, 90, 7.679e-06
0, 1, End, 91, 7.377e-06
0, 1, End, 92, 8.31e-06
0, 1, End, 93, 7.399e-06
0, 1, End, 94, 1.1248e-05
0, 1, End, 95, 7.6e-06
0, 1, End, 96, 8.532e-06
0, 1, End, 97, 8.095e-06
0, 1, End, 98, 8.399e-06
0, 1, End, 99, 2.5334e-05
0, 1, End, 100, 7.439e-06
0, 4, End, 1, 3.1397e-05
0, 4, End, 2, 3.0572e-05
0, 4, End, 3, 2.0251e-05
0, 4, End, 4, 3.1027e-05
0, 4, End, 5, 2.0855e-05
0, 4, End, 6, 1.8167e-05
0, 4, End, 7, 1.9589e-05
0, 4, End, 8, 2.0692e-05
0, 4, End, 9, 8.653e-06
0, 4, End, 10, 1.0311e-05
0, 4, End, 11, 1.2171e-05
0, 4, End, 12, 2.0796e-05
0, 4, End, 13, 2.0711e-05
0, 4, End, 14, 1.3174e-05
0, 4, End, 15, 1.0744e-05
0, 4, End, 16, 9.307e-06
0, 4, End, 17, 8.718e-06
0, 4, End, 18, 8.621e-06
0, 4, End, 19, 2.9183e-05
0, 4, End, 20, 8.758e-06
0, 4, End, 21, 1.4616e-05
0, 4, End, 22, 9.11e-06
0, 4, End, 23, 1.2779e-05
0, 4, End, 24, 1.1351e-05
0, 4, End, 25, 1.4205e-05
0, 4, End, 26, 9.324e-06
0, 4, End, 27, 1.1876e-05
0, 4, End, 28, 1.0142e-05
0, 4, End, 29, 1.9404e-05
0, 4, End, 30, 1.3206e-05
0, 4, End, 31, 1.0834e-05
0, 4, End, 32, 8.547e-06
0, 4, End, 33, 8.005e-06
0, 4, End, 34, 9.083e-06
0, 4, End, 35, 1.8982e-05
0, 4, End, 36, 8.695e-06
0, 4, End, 37, 1.8878e-05
0, 4, End, 38, 2.0215e-05
0, 4, End, 39, 8.516e-06
0, 4, End, 40, 9.726e-06
0, 4, End, 41, 8.822e-06
0, 4, End, 42, 9.247e-06
0, 4, End, 43, 8.128e-06
0, 4, End, 44, 1.0114e-05
0, 4, End, 45, 1.0453e-05
0, 4, End, 46, 1.2276e-05
0, 4, End, 47, 1.0079e-05
0, 4, End, 48, 8.37e-06
0, 4, End, 49, 8.015e-06
0, 4, End, 50, 8.825e-06
0, 4, End, 51, 1.8492e-05
0, 4, End, 52, 8.127e-06
0, 4, End, 53, 7.561e-06
0, 4, End, 54, 8.161e-06
0, 4, End, 55, 7.7e-06
0, 4, End, 56, 9.32e-06
0, 4, End, 57, 7.484e-06
0, 4, End, 58, 9.34e-06
0, 4, End, 59, 7.003e-06
0, 4, End, 60, 1.0113e-05
0, 4, End, 61, 1.117e-05
0, 4, End, 62, 1.2385e-05
0, 4, End, 63, 1.6005e-05
0, 4, End, 64, 1.7312e-05
0, 4, End, 65, 9.023e-06
0, 4, End, 66, 8.974e-06
0, 4, End, 67, 1.9049e-05
0, 4, End, 68, 7.927e-06
0, 4, End, 69, 7.679e-06
0, 4, End, 70, 1.0069e-05
0, 4, End, 71, 8.566e-06
0, 4, End, 72, 2.1324e-05
0, 4, End, 73, 7.976e-06
0, 4, End, 74, 9.54e-06
0, 4, End, 75, 7.681e-06
0, 4, End, 76, 1.0302e-05
0, 4, End, 77, 1.0253e-05
0, 4, End, 78, 1.1832e-05
0, 4, End, 79, 1.0326e-05
0, 4, End, 80, 8.54e-06
0, 4, End, 81, 8.298e-06
0, 4, End, 82, 8.398e-06
0, 4, End, 83, 1.8638e-05
0, 4, End, 84, 8.43e-06
0, 4, End, 85, 7.583e-06
0, 4, End, 86, 8.527e-06
0, 4, End, 87, 7.902e-06
0, 4, End, 88, 9.023e-06
0, 4, End, 89, 2.1322e-05
0, 4, End, 90, 9.818e-06
0, 4, End, 91, 9.91e-06
0, 4, End, 92, 1.0391e-05
0, 4, End, 93, 1.0887e-05
0, 4, End, 94, 1.2988e-05
0, 4, End, 95, 1.1009e-05
0, 4, End, 96, 8.272e-06
0, 4, End, 97, 1.0939e-05
0, 4, End, 98, 8.465e-06
0, 4, End, 99, 1.8328e-05
0, 4, End, 100, 8.475e-06
0, 16, End, 1, 3.4602e-05
0, 16, End, 2, 2.6555e-05
0, 16, End, 3, 5.5462e-05
0, 16, End, 4, 1.3027e-05
0, 16, End, 5, 1.2228e-05
0, 16, End, 6, 2.2955e-05
0, 16, End, 7, 2.4091e-05
0, 16, End, 8, 1.3297e-05
0, 16, End, 9, 1.1401e-05
0, 16, End, 10, 1.1467e-05
0, 16, End, 11, 9.27e-06
0, 16, End, 12, 1.6217e-05
0, 16, End, 13, 1.1205e-05
0, 16, End, 14, 1.8754e-05
0, 16, End, 15, 1.0459e-05
0, 16, End, 16, 1.1956e-05
0, 16, End, 17, 1.013e-05
0, 16, End, 18, 1.1953e-05
0, 16, End, 19, 2.5725e-05
0, 16, End, 20, 1.1391e-05
0, 16, End, 21, 1.4634e-05
0, 16, End, 22, 1.1383e-05
0, 16, End, 23, 1.4556e-05
0, 16, End, 24, 1.3558e-05
0, 16, End, 25, 1.2612e-05
0, 16, End, 26, 1.1769e-05
0, 16, End, 27, 1.6681e-05
0, 16, End, 28, 1.4377e-05
0, 16, End, 29, 2.2548e-05
0, 16, End, 30, 2.1873e-05
0, 16, End, 31, 1.0247e-05
0, 16, End, 32, 1.2335e-05
0, 16, End, 33, 1.0666e-05
0, 16, End, 34, 1.2082e-05
0, 16, End, 35, 2.2045e-05
0, 16, End, 36, 1.0692e-05
0, 16, End, 37, 1.0089e-05
0, 16, End, 38, 1.2888e-05
0, 16, End, 39, 1.081e-05
0, 16, End, 40, 1.12e-05
0, 16, End, 41, 1.0891e-05
0, 16, End, 42, 1.0981e-05
0, 16, End, 43, 1.0766e-05
0, 16, End, 44, 1.3865e-05
0, 16, End, 45, 1.0673e-05
0, 16, End, 46, 1.2587e-05
0, 16, End, 47, 1.0886e-05
0, 16, End, 48, 1.1847e-05
0, 16, End, 49, 1.0889e-05
0, 16, End, 50, 1.1617e-05
0, 16, End, 51, 2.2942e-05
0, 16, End, 52, 1.0319e-05
0, 16, End, 53, 1.0543e-05
0, 16, End, 54, 1.1419e-05
0, 16, End, 55, 1.0809e-05
0, 16, End, 56, 1.1996e-05
0, 16, End, 57, 1.0151e-05
0, 16, End, 58, 1.085e-05
0, 16, End, 59, 1.0827e-05
0, 16, End, 60, 1.2834e-05
0, 16, End, 61, 1.496e-05
0, 16, End, 62, 1.2852e-05
0, 16, End, 63, 1.1131e-05
0, 16, End, 64, 1.2194e-05
0, 16, End, 65, 1.0106e-05
0, 16, End, 66, 1.1238e-05
0, 16, End, 67, 2.2598e-05
0, 16, End, 68, 1.0539e-05
0, 16, End, 69, 1.7483e-05
0, 16, End, 70, 1.1707e-05
0, 16, End, 71, 1.0908e-05
0, 16, End, 72, 2.3669e-05
0, 16, End, 73, 1.2148e-05
0, 16, End, 74, 1.0853e-05
0, 16, End, 75, 1.1629e-05
0, 16, End, 76, 1.3958e-05
0, 16, End, 77, 1.091e-05
0, 16, End, 78, 1.3802e-05
0, 16, End, 79, 1.0402e-05
0, 16, End, 80, 1.2109e-05
0, 16, End, 81, 1.0583e-05
0, 16, End, 82, 1.018e-05
0, 16, End, 83, 2.0947e-05
0, 16, End, 84, 1.1877e-05
0, 16, End, 85, 1.0459e-05
0, 16, End, 86, 1.1651e-05
0, 16, End, 87, 1.1594e-05
0, 16, End, 88, 1.2006e-05
0, 16, End, 89, 1.1793e-05
0, 16, End, 90, 1.1079e-05
0, 16, End, 91, 1.0301e-05
0, 16, End, 92, 1.2724e-05
0, 16, End, 93, 1.0874e-05
0, 16, End, 94, 1.3979e-05
0, 16, End, 95, 9.614e-06
0, 16, End, 96, 1.2936e-05
0, 16, End, 97, 1.0442e-05
0, 16, End, 98, 1.0618e-05
0, 16, End, 99, 2.1433e-05
0, 16, End, 100, 1.0805e-05
0, 64, End, 1, 1.9739e-05
0, 64, End, 2, 2.3093e-05
0, 64, End, 3, 1.522e-05
0, 64, End, 4, 1.911e-05
0, 64, End, 5, 1.2289e-05
0, 64, End, 6, 2.1909e-05
0, 64, End, 7, 3.3147e-05
0, 64, End, 8, 1.0304e-05
0, 64, End, 9, 1.3403e-05
0, 64, End, 10, 1.3673e-05
0, 64, End, 11, 1.242e-05
0, 64, End, 12, 2.0341e-05
0, 64, End, 13, 2.2723e-05
0, 64, End, 14, 1.5572e-05
0, 64, End, 15, 1.2173e-05
0, 64, End, 16, 1.5319e-05
0, 64, End, 17, 1.1164e-05
0, 64, End, 18, 1.2291e-05
0, 64, End, 19, 1.4493e-05
0, 64, End, 20, 1.1976e-05
0, 64, End, 21, 1.4536e-05
0, 64, End, 22, 1.1826e-05
0, 64, End, 23, 1.947e-05
0, 64, End, 24, 1.2132e-05
0, 64, End, 25, 1.3609e-05
0, 64, End, 26, 1.3374e-05
0, 64, End, 27, 1.3467e-05
0, 64, End, 28, 1.7924e-05
0, 64, End, 29, 1.1953e-05
0, 64, End, 30, 1.1687e-05
0, 64, End, 31, 1.0796e-05
0, 64, End, 32, 1.3889e-05
0, 64, End, 33, 1.1827e-05
0, 64, End, 34, 1.3293e-05
0, 64, End, 35, 1.58e-05
0, 64, End, 36, 2.5824e-05
0, 64, End, 37, 1.1335e-05
0, 64, End, 38, 1.1369e-05
0, 64, End, 39, 1.54e-05
0, 64, End, 40, 1.2461e-05
0, 64, End, 41, 1.2172e-05
0, 64, End, 42, 1.0768e-05
0, 64, End, 43, 1.1861e-05
0, 64, End, 44, 1.5277e-05
0, 64, End, 45, 1.1028e-05
0, 64, End, 46, 1.2791e-05
0, 64, End, 47, 1.1301e-05
0, 64, End, 48, 1.7568e-05
0, 64, End, 49, 1.0664e-05
0, 64, End, 50, 1.3111e-05
0, 64, End, 51, 1.1786e-05
0, 64, End, 52, 1.2589e-05
0, 64, End, 53, 1.1487e-05
0, 64, End, 54, 1.2062e-05
0, 64, End, 55, 1.3406e-05
0, 64, End, 56, 1.1615e-05
0, 64, End, 57, 1.1825e-05
0, 64, End, 58, 1.12e-05
0, 64, End, 59, 1.1004e-05
0, 64, End, 60, 1.5217e-05
0, 64, End, 61, 1.1115e-05
0, 64, End, 62, 1.7784e-05
0, 64, End, 63, 1.1532e-05
0, 64, End, 64, 1.3476e-05
0, 64, End, 65, 1.1482e-05
0, 64, End, 66, 1.2439e-05
0, 64, End, 67, 1.1023e-05
0, 64, End, 68, 1.1824e-05
0, 64, End, 69, 1.1194e-05
0, 64, End, 70, 1.2755e-05
0, 64, End, 71, 1.537e-05
0, 64, End, 72, 1.1926e-05
0, 64, End, 73, 1.1414e-05
0, 64, End, 74, 1.1449e-05
0, 64, End, 75, 1.0618e-05
0, 64, End, 76, 1.4326e-05
0, 64, End, 77, 1.174e-05
0, 64, End, 78, 1.2329e-05
0, 64, End, 79, 1.0804e-05
0, 64, End, 80, 1.3242e-05
0, 64, End, 81, 1.0351e-05
0, 64, End, 82, 1.2729e-05
0, 64, End, 83, 1.0825e-05
0, 64, End, 84, 1.1807e-05
0, 64, End, 85, 1.0542e-05
0, 64, End, 86, 1.2211e-05
0, 64, End, 87, 2.27e-05
0, 64, End, 88, 1.2856e-05
0, 64, End, 89, 1.0378e-05
0, 64, End, 90, 1.2114e-05
0, 64, End, 91, 0.000326987
0, 64, End, 92, 2.2283e-05
0, 64, End, 93, 1.1163e-05
0, 64, End, 94, 1.2387e-05
0, 64, End, 95, 1.8917e-05
0, 64, End, 96, 1.5061e-05
0, 64, End, 97, 1.0086e-05
0, 64, End, 98, 1.2502e-05
0, 64, End, 99, 9.949e-06
0, 64, End, 100, 1.0098e-05
0, 128, End, 1, 2.0931e-05
0, 128, End, 2, 1.4856e-05
0, 128, End, 3, 1.3065e-05
0, 128, End, 4, 1.3593e-05
0, 128, End, 5, 1.1774e-05
0, 128, End, 6, 2.4783e-05
0, 128, End, 7, 2.4545e-05
0, 128, End, 8, 1.3051e-05
0, 128, End, 9, 1.1773e-05
0, 128, End, 10, 2.0865e-05
0, 128, End, 11, 1.1849e-05
0, 128, End, 12, 1.3467e-05
0, 128, End, 13, 2.0992e-05
0, 128, End, 14, 1.2514e-05
0, 128, End, 15, 1.5238e-05
0, 128, End, 16, 1.2868e-05
0, 128, End, 17, 1.744e-05
0, 128, End, 18, 1.3688e-05
0, 128, End, 19, 1.901e-05
0, 128, End, 20, 1.2241e-05
0, 128, End, 21, 1.2522e-05
0, 128, End, 22, 1.1269e-05
0, 128, End, 23, 1.7297e-05
0, 128, End, 24, 1.3806e-05
0, 128, End, 25, 1.2097e-05
0, 128, End, 26, 1.2895e-05
0, 128, End, 27, 2.3218e-05
