JOBID=29737
Nodes=4 Procs=8 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/remote_completion/upcxx_rpc_dist_object --repetitions 200 -m root -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 6.644e-06
0, 1, End, 2, 8.004e-06
0, 1, End, 3, 6.574e-06
0, 1, End, 4, 7.99e-06
0, 1, End, 5, 8.712e-06
0, 1, End, 6, 7.979e-06
0, 1, End, 7, 6.805e-06
0, 1, End, 8, 7.847e-06
0, 1, End, 9, 7.234e-06
0, 1, End, 10, 7.683e-06
0, 1, End, 11, 6.304e-06
0, 1, End, 12, 8.35e-06
0, 1, End, 13, 6.75e-06
0, 1, End, 14, 8.127e-06
0, 1, End, 15, 6.793e-06
0, 1, End, 16, 7.651e-06
0, 1, End, 17, 6.604e-06
0, 1, End, 18, 8.253e-06
0, 1, End, 19, 6.532e-06
0, 1, End, 20, 7.813e-06
0, 1, End, 21, 8.111e-06
0, 1, End, 22, 8.006e-06
0, 1, End, 23, 6.495e-06
0, 1, End, 24, 7.939e-06
0, 1, End, 25, 7.194e-06
0, 1, End, 26, 7.957e-06
0, 1, End, 27, 6.492e-06
0, 1, End, 28, 7.837e-06
0, 1, End, 29, 1.0107e-05
0, 1, End, 30, 7.458e-06
0, 1, End, 31, 6.364e-06
0, 1, End, 32, 7.564e-06
0, 1, End, 33, 6.396e-06
0, 1, End, 34, 7.939e-06
0, 1, End, 35, 6.399e-06
0, 1, End, 36, 7.688e-06
0, 1, End, 37, 8.344e-06
0, 1, End, 38, 8.204e-06
0, 1, End, 39, 6.866e-06
0, 1, End, 40, 8.459e-06
0, 1, End, 41, 6.637e-06
0, 1, End, 42, 8.294e-06
0, 1, End, 43, 6.334e-06
0, 1, End, 44, 7.806e-06
0, 1, End, 45, 6.483e-06
0, 1, End, 46, 7.745e-06
0, 1, End, 47, 6.113e-06
0, 1, End, 48, 7.684e-06
0, 1, End, 49, 6.861e-06
0, 1, End, 50, 7.819e-06
0, 1, End, 51, 6.958e-06
0, 1, End, 52, 7.649e-06
0, 1, End, 53, 8.515e-06
0, 1, End, 54, 7.866e-06
0, 1, End, 55, 6.809e-06
0, 1, End, 56, 7.899e-06
0, 1, End, 57, 6.843e-06
0, 1, End, 58, 8.113e-06
0, 1, End, 59, 6.289e-06
0, 1, End, 60, 7.441e-06
0, 1, End, 61, 6.266e-06
0, 1, End, 62, 8.169e-06
0, 1, End, 63, 7.119e-06
0, 1, End, 64, 8.111e-06
0, 1, End, 65, 6.308e-06
0, 1, End, 66, 7.78e-06
0, 1, End, 67, 6.463e-06
0, 1, End, 68, 7.742e-06
0, 1, End, 69, 8.258e-06
0, 1, End, 70, 7.766e-06
0, 1, End, 71, 6.867e-06
0, 1, End, 72, 8.488e-06
0, 1, End, 73, 6.743e-06
0, 1, End, 74, 7.778e-06
0, 1, End, 75, 6.13e-06
0, 1, End, 76, 7.822e-06
0, 1, End, 77, 6.451e-06
0, 1, End, 78, 7.937e-06
0, 1, End, 79, 6.467e-06
0, 1, End, 80, 8.192e-06
0, 1, End, 81, 7.276e-06
0, 1, End, 82, 7.817e-06
0, 1, End, 83, 6.5e-06
0, 1, End, 84, 7.707e-06
0, 1, End, 85, 8.663e-06
0, 1, End, 86, 7.68e-06
0, 1, End, 87, 7.497e-06
0, 1, End, 88, 7.56e-06
0, 1, End, 89, 6.744e-06
0, 1, End, 90, 8.728e-06
0, 1, End, 91, 6.375e-06
0, 1, End, 92, 7.916e-06
0, 1, End, 93, 6.498e-06
0, 1, End, 94, 8.909e-06
0, 1, End, 95, 6.733e-06
0, 1, End, 96, 7.677e-06
0, 1, End, 97, 6.215e-06
0, 1, End, 98, 7.644e-06
0, 1, End, 99, 1.0836e-05
0, 1, End, 100, 7.657e-06
0, 1, End, 101, 8.492e-06
0, 1, End, 102, 8.57e-06
0, 1, End, 103, 1.0996e-05
0, 1, End, 104, 1.2647e-05
0, 1, End, 105, 6.994e-06
0, 1, End, 106, 7.786e-06
0, 1, End, 107, 6.562e-06
0, 1, End, 108, 7.71e-06
0, 1, End, 109, 6.275e-06
0, 1, End, 110, 7.985e-06
0, 1, End, 111, 6.84e-06
0, 1, End, 112, 7.686e-06
0, 1, End, 113, 6.436e-06
0, 1, End, 114, 7.725e-06
