JOBID=29744
Nodes=10 Procs=20 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/remote_completion/upcxx_rpc_global_var --repetitions 200 -m root -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 1.2105e-05
0, 1, End, 2, 1.4516e-05
0, 1, End, 3, 1.2348e-05
0, 1, End, 4, 1.2993e-05
0, 1, End, 5, 1.1989e-05
0, 1, End, 6, 1.2171e-05
0, 1, End, 7, 1.1517e-05
0, 1, End, 8, 1.3355e-05
0, 1, End, 9, 1.2487e-05
0, 1, End, 10, 1.2685e-05
0, 1, End, 11, 1.2745e-05
0, 1, End, 12, 1.3333e-05
0, 1, End, 13, 1.2141e-05
0, 1, End, 14, 1.3286e-05
0, 1, End, 15, 1.1586e-05
0, 1, End, 16, 1.2025e-05
0, 1, End, 17, 1.1598e-05
0, 1, End, 18, 1.3405e-05
0, 1, End, 19, 1.2571e-05
0, 1, End, 20, 1.2889e-05
0, 1, End, 21, 1.1418e-05
0, 1, End, 22, 1.1726e-05
0, 1, End, 23, 1.1508e-05
0, 1, End, 24, 1.566e-05
0, 1, End, 25, 1.273e-05
0, 1, End, 26, 1.3002e-05
0, 1, End, 27, 1.1914e-05
0, 1, End, 28, 1.2671e-05
0, 1, End, 29, 1.2114e-05
0, 1, End, 30, 1.2402e-05
0, 1, End, 31, 2.1035e-05
0, 1, End, 32, 1.3589e-05
0, 1, End, 33, 1.4868e-05
0, 1, End, 34, 1.5675e-05
0, 1, End, 35, 4.521e-06
0, 1, End, 36, 1.3076e-05
0, 1, End, 37, 1.2019e-05
0, 1, End, 38, 1.5208e-05
0, 1, End, 39, 1.2571e-05
0, 1, End, 40, 1.2405e-05
0, 1, End, 41, 1.225e-05
0, 1, End, 42, 1.319e-05
0, 1, End, 43, 1.2076e-05
0, 1, End, 44, 1.4056e-05
0, 1, End, 45, 1.1427e-05
0, 1, End, 46, 1.4274e-05
0, 1, End, 47, 1.1554e-05
0, 1, End, 48, 1.4233e-05
0, 1, End, 49, 1.2766e-05
0, 1, End, 50, 1.3533e-05
0, 1, End, 51, 1.2171e-05
0, 1, End, 52, 1.3558e-05
0, 1, End, 53, 1.5215e-05
0, 1, End, 54, 1.4531e-05
0, 1, End, 55, 1.234e-05
0, 1, End, 56, 1.5999e-05
0, 1, End, 57, 1.4206e-05
0, 1, End, 58, 1.2594e-05
0, 1, End, 59, 1.2467e-05
0, 1, End, 60, 1.2606e-05
0, 1, End, 61, 1.1651e-05
0, 1, End, 62, 1.3692e-05
0, 1, End, 63, 1.1695e-05
0, 1, End, 64, 1.2949e-05
0, 1, End, 65, 1.1725e-05
0, 1, End, 66, 1.3112e-05
0, 1, End, 67, 1.2135e-05
0, 1, End, 68, 1.265e-05
0, 1, End, 69, 1.2305e-05
0, 1, End, 70, 1.3027e-05
0, 1, End, 71, 1.1921e-05
0, 1, End, 72, 1.3452e-05
0, 1, End, 73, 1.1928e-05
0, 1, End, 74, 1.2905e-05
0, 1, End, 75, 1.304e-05
0, 1, End, 76, 1.3184e-05
0, 1, End, 77, 1.1926e-05
0, 1, End, 78, 1.2645e-05
0, 1, End, 79, 1.2018e-05
0, 1, End, 80, 1.3012e-05
0, 1, End, 81, 1.1903e-05
0, 1, End, 82, 1.2367e-05
0, 1, End, 83, 1.1778e-05
0, 1, End, 84, 1.7628e-05
0, 1, End, 85, 1.1898e-05
0, 1, End, 86, 1.3854e-05
0, 1, End, 87, 1.185e-05
0, 1, End, 88, 1.4955e-05
0, 1, End, 89, 1.9392e-05
0, 1, End, 90, 1.241e-05
0, 1, End, 91, 1.2243e-05
0, 1, End, 92, 1.3539e-05
0, 1, End, 93, 1.2872e-05
0, 1, End, 94, 1.4344e-05
0, 1, End, 95, 1.2417e-05
0, 1, End, 96, 1.2328e-05
0, 1, End, 97, 1.3374e-05
0, 1, End, 98, 1.74e-05
0, 1, End, 99, 1.1328e-05
0, 1, End, 100, 1.2544e-05
0, 1, End, 101, 1.2152e-05
0, 1, End, 102, 1.4153e-05
0, 1, End, 103, 1.1196e-05
0, 1, End, 104, 1.318e-05
0, 1, End, 105, 1.2133e-05
0, 1, End, 106, 1.3223e-05
0, 1, End, 107, 1.2787e-05
0, 1, End, 108, 1.4974e-05
0, 1, End, 109, 1.3077e-05
0, 1, End, 110, 1.4926e-05
0, 1, End, 111, 1.094e-05
0, 1, End, 112, 1.236e-05
0, 1, End, 113, 1.2315e-05
0, 1, End, 114, 1.4034e-05
0, 1, End, 115, 1.2665e-05
0, 1, End, 116, 1.2068e-05
0, 1, End, 117, 1.4969e-05
0, 1, End, 118, 1.4394e-05
0, 1, End, 119, 1.1833e-05
0, 1, End, 120, 1.4931e-05
0, 1, End, 121, 9.659e-06
0, 1, End, 122, 1.2744e-05
0, 1, End, 123, 1.644e-05
0, 1, End, 124, 1.169e-05
0, 1, End, 125, 1.1352e-05
0, 1, End, 126, 1.4222e-05
0, 1, End, 127, 1.2954e-05
0, 1, End, 128, 1.3111e-05
0, 1, End, 129, 1.2856e-05
0, 1, End, 130, 1.2448e-05
0, 1, End, 131, 1.1005e-05
0, 1, End, 132, 1.3492e-05
0, 1, End, 133, 1.1846e-05
0, 1, End, 134, 1.2208e-05
0, 1, End, 135, 1.2116e-05
0, 1, End, 136, 1.3545e-05
0, 1, End, 137, 1.2033e-05
0, 1, End, 138, 1.2713e-05
0, 1, End, 139, 1.306e-05
0, 1, End, 140, 1.399e-05
0, 1, End, 141, 1.2749e-05
0, 1, End, 142, 2.1391e-05
0, 1, End, 143, 1.2391e-05
0, 1, End, 144, 1.327e-05
0, 1, End, 145, 1.2505e-05
0, 1, End, 146, 1.3188e-05
0, 1, End, 147, 1.2096e-05
0, 1, End, 148, 1.2967e-05
0, 1, End, 149, 1.1501e-05
0, 1, End, 150, 1.216e-05
0, 1, End, 151, 1.1821e-05
0, 1, End, 152, 1.6089e-05
0, 1, End, 153, 1.3212e-05
0, 1, End, 154, 1.431e-05
0, 1, End, 155, 1.3892e-05
0, 1, End, 156, 1.2566e-05
0, 1, End, 157, 1.2608e-05
0, 1, End, 158, 1.376e-05
0, 1, End, 159, 1.2411e-05
0, 1, End, 160, 1.338e-05
0, 1, End, 161, 1.0852e-05
0, 1, End, 162, 1.3559e-05
0, 1, End, 163, 1.195e-05
0, 1, End, 164, 1.3687e-05
0, 1, End, 165, 1.2517e-05
0, 1, End, 166, 1.2778e-05
0, 1, End, 167, 1.1826e-05
0, 1, End, 168, 1.2295e-05
0, 1, End, 169, 1.1237e-05
0, 1, End, 170, 1.3065e-05
0, 1, End, 171, 1.2161e-05
0, 1, End, 172, 1.2777e-05
0, 1, End, 173, 1.1232e-05
0, 1, End, 174, 1.4563e-05
0, 1, End, 175, 1.3079e-05
0, 1, End, 176, 3.451e-06
0, 1, End, 177, 1.2284e-05
0, 1, End, 178, 1.3085e-05
0, 1, End, 179, 2.2584e-05
0, 1, End, 180, 1.2747e-05
0, 1, End, 181, 1.721e-05
0, 1, End, 182, 1.3588e-05
0, 1, End, 183, 1.1544e-05
0, 1, End, 184, 1.4821e-05
0, 1, End, 185, 1.1761e-05
0, 1, End, 186, 1.3252e-05
0, 1, End, 187, 1.2636e-05
0, 1, End, 188, 1.3397e-05
0, 1, End, 189, 1.1903e-05
0, 1, End, 190, 1.3206e-05
0, 1, End, 191, 1.245e-05
0, 1, End, 192, 1.3166e-05
0, 1, End, 193, 1.2265e-05
0, 1, End, 194, 1.4199e-05
0, 1, End, 195, 1.0651e-05
0, 1, End, 196, 1.2733e-05
0, 1, End, 197, 1.0718e-05
0, 1, End, 198, 1.287e-05
0, 1, End, 199, 1.1866e-05
0, 1, End, 200, 1.2353e-05
0, 4, End, 1, 4.162e-05
0, 4, End, 2, 4.1509e-05
0, 4, End, 3, 4.3644e-05
0, 4, End, 4, 4.2127e-05
0, 4, End, 5, 4.2646e-05
0, 4, End, 6, 4.0558e-05
0, 4, End, 7, 4.0822e-05
0, 4, End, 8, 4.3211e-05
0, 4, End, 9, 4.232e-05
0, 4, End, 10, 4.1176e-05
0, 4, End, 11, 4.2176e-05
0, 4, End, 12, 4.3695e-05
0, 4, End, 13, 4.1817e-05
0, 4, End, 14, 4.2358e-05
0, 4, End, 15, 4.3521e-05
0, 4, End, 16, 4.6729e-05
0, 4, End, 17, 4.0641e-05
0, 4, End, 18, 4.1293e-05
0, 4, End, 19, 4.0849e-05
0, 4, End, 20, 4.2342e-05
0, 4, End, 21, 2.1856e-05
0, 4, End, 22, 4.3613e-05
0, 4, End, 23, 4.2205e-05
0, 4, End, 24, 4.4528e-05
0, 4, End, 25, 4.0949e-05
0, 4, End, 26, 4.3066e-05
0, 4, End, 27, 4.2707e-05
0, 4, End, 28, 4.3409e-05
0, 4, End, 29, 4.1441e-05
0, 4, End, 30, 4.6836e-05
0, 4, End, 31, 4.3153e-05
0, 4, End, 32, 4.6459e-05
0, 4, End, 33, 4.239e-05
0, 4, End, 34, 4.2386e-05
0, 4, End, 35, 4.1123e-05
0, 4, End, 36, 4.2068e-05
0, 4, End, 37, 4.3134e-05
0, 4, End, 38, 4.3067e-05
0, 4, End, 39, 4.2608e-05
0, 4, End, 40, 4.5538e-05
0, 4, End, 41, 4.2423e-05
0, 4, End, 42, 4.3799e-05
0, 4, End, 43, 4.1526e-05
0, 4, End, 44, 4.0894e-05
0, 4, End, 45, 4.1443e-05
0, 4, End, 46, 4.3031e-05
0, 4, End, 47, 4.3102e-05
0, 4, End, 48, 4.4593e-05
0, 4, End, 49, 4.1687e-05
0, 4, End, 50, 4.1764e-05
0, 4, End, 51, 4.2205e-05
0, 4, End, 52, 4.4606e-05
0, 4, End, 53, 4.435e-05
0, 4, End, 54, 4.4151e-05
0, 4, End, 55, 4.0977e-05
0, 4, End, 56, 4.6674e-05
0, 4, End, 57, 4.1993e-05
0, 4, End, 58, 4.4129e-05
