JOBID=29667
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/rpc/mpi_rpc --repetitions 200 -m all -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 1.08e-07
0, 1, End, 2, 1.09e-07
0, 1, End, 3, 1.37e-07
0, 1, End, 4, 1.12e-07
0, 1, End, 5, 1.12e-07
0, 1, End, 6, 1.13e-07
0, 1, End, 7, 1.08e-07
0, 1, End, 8, 1.12e-07
0, 1, End, 9, 1.13e-07
0, 1, End, 10, 1.4e-07
0, 1, End, 11, 1.11e-07
0, 1, End, 12, 1.08e-07
0, 1, End, 13, 1.08e-07
0, 1, End, 14, 1.08e-07
0, 1, End, 15, 1.05e-07
0, 1, End, 16, 1.06e-07
0, 1, End, 17, 1.09e-07
0, 1, End, 18, 1.08e-07
0, 1, End, 19, 1.34e-07
0, 1, End, 20, 1.11e-07
0, 1, End, 21, 1.08e-07
0, 1, End, 22, 1.12e-07
0, 1, End, 23, 1.11e-07
0, 1, End, 24, 1.12e-07
0, 1, End, 25, 1.09e-07
0, 1, End, 26, 1.41e-07
0, 1, End, 27, 1.08e-07
0, 1, End, 28, 1.08e-07
0, 1, End, 29, 1.09e-07
0, 1, End, 30, 1.08e-07
0, 1, End, 31, 1.1e-07
0, 1, End, 32, 1.09e-07
0, 1, End, 33, 1.1e-07
0, 1, End, 34, 1.1e-07
0, 1, End, 35, 1.39e-07
0, 1, End, 36, 1.12e-07
0, 1, End, 37, 1.1e-07
0, 1, End, 38, 1.15e-07
0, 1, End, 39, 1.11e-07
0, 1, End, 40, 1.12e-07
0, 1, End, 41, 1.12e-07
0, 1, End, 42, 1.4e-07
0, 1, End, 43, 1.12e-07
0, 1, End, 44, 1.1e-07
0, 1, End, 45, 1.09e-07
0, 1, End, 46, 1.07e-07
0, 1, End, 47, 1.09e-07
0, 1, End, 48, 1.09e-07
0, 1, End, 49, 1.1e-07
0, 1, End, 50, 1.38e-07
0, 1, End, 51, 1.36e-07
0, 1, End, 52, 1.11e-07
0, 1, End, 53, 1.11e-07
0, 1, End, 54, 1.14e-07
0, 1, End, 55, 1.11e-07
0, 1, End, 56, 1.1e-07
0, 1, End, 57, 1.08e-07
0, 1, End, 58, 1.39e-07
0, 1, End, 59, 1.08e-07
0, 1, End, 60, 1.07e-07
0, 1, End, 61, 1.1e-07
0, 1, End, 62, 1.05e-07
0, 1, End, 63, 1.06e-07
0, 1, End, 64, 1.11e-07
0, 1, End, 65, 1.1e-07
0, 1, End, 66, 1.08e-07
0, 1, End, 67, 1.35e-07
0, 1, End, 68, 1.11e-07
0, 1, End, 69, 1.08e-07
0, 1, End, 70, 1.14e-07
0, 1, End, 71, 1.08e-07
0, 1, End, 72, 1.09e-07
0, 1, End, 73, 1.07e-07
0, 1, End, 74, 1.38e-07
0, 1, End, 75, 1.14e-07
0, 1, End, 76, 1.09e-07
0, 1, End, 77, 1.12e-07
0, 1, End, 78, 1.08e-07
0, 1, End, 79, 1.1e-07
0, 1, End, 80, 1.08e-07
0, 1, End, 81, 1.08e-07
0, 1, End, 82, 1.41e-07
0, 1, End, 83, 1.39e-07
0, 1, End, 84, 1.1e-07
0, 1, End, 85, 1.09e-07
0, 1, End, 86, 1.12e-07
0, 1, End, 87, 1.09e-07
0, 1, End, 88, 1.09e-07
0, 1, End, 89, 1.11e-07
0, 1, End, 90, 1.39e-07
0, 1, End, 91, 1.05e-07
0, 1, End, 92, 1.09e-07
0, 1, End, 93, 1.06e-07
0, 1, End, 94, 1.1e-07
0, 1, End, 95, 1.06e-07
0, 1, End, 96, 1.09e-07
0, 1, End, 97, 1.1e-07
0, 1, End, 98, 1.09e-07
0, 1, End, 99, 1.33e-07
0, 1, End, 100, 1.12e-07
0, 1, End, 101, 1.09e-07
0, 1, End, 102, 1.12e-07
0, 1, End, 103, 1.11e-07
0, 1, End, 104, 1.11e-07
0, 1, End, 105, 1.11e-07
0, 1, End, 106, 1.42e-07
0, 1, End, 107, 1.11e-07
0, 1, End, 108, 1.09e-07
0, 1, End, 109, 1.12e-07
0, 1, End, 110, 1.08e-07
0, 1, End, 111, 1.11e-07
0, 1, End, 112, 1.09e-07
0, 1, End, 113, 1.09e-07
0, 1, End, 114, 1.4e-07
0, 1, End, 115, 1.35e-07
0, 1, End, 116, 1.12e-07
0, 1, End, 117, 1.08e-07
0, 1, End, 118, 1.12e-07
0, 1, End, 119, 1.08e-07
0, 1, End, 120, 1.09e-07
0, 1, End, 121, 1.08e-07
0, 1, End, 122, 1.39e-07
0, 1, End, 123, 1.1e-07
0, 1, End, 124, 1.06e-07
0, 1, End, 125, 1.09e-07
0, 1, End, 126, 1.07e-07
0, 1, End, 127, 1.08e-07
0, 1, End, 128, 1.06e-07
0, 1, End, 129, 1.11e-07
0, 1, End, 130, 1.12e-07
0, 1, End, 131, 1.36e-07
0, 1, End, 132, 1.12e-07
0, 1, End, 133, 1.09e-07
0, 1, End, 134, 1.13e-07
