JOBID=29685
Nodes=2 Procs=2 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/rpc/mpi_rpc --repetitions 200 -m max -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 3.065e-06
0, 1, End, 2, 2.977e-06
0, 1, End, 3, 3.493e-06
0, 1, End, 4, 3.767e-06
0, 1, End, 5, 3.727e-06
0, 1, End, 6, 3.448e-06
0, 1, End, 7, 3.19e-06
0, 1, End, 8, 3.482e-06
0, 1, End, 9, 3.687e-06
0, 1, End, 10, 3.101e-06
0, 1, End, 11, 2.885e-06
0, 1, End, 12, 3.286e-06
0, 1, End, 13, 3.102e-06
0, 1, End, 14, 3.453e-06
0, 1, End, 15, 3.577e-06
0, 1, End, 16, 3.694e-06
0, 1, End, 17, 3.639e-06
0, 1, End, 18, 3.569e-06
0, 1, End, 19, 4.161e-06
0, 1, End, 20, 3.5e-06
0, 1, End, 21, 3.658e-06
0, 1, End, 22, 4.161e-06
0, 1, End, 23, 3.814e-06
0, 1, End, 24, 4.634e-06
0, 1, End, 25, 4.203e-06
0, 1, End, 26, 4.186e-06
0, 1, End, 27, 3.604e-06
0, 1, End, 28, 3.674e-06
0, 1, End, 29, 3.576e-06
0, 1, End, 30, 3.624e-06
0, 1, End, 31, 3.698e-06
0, 1, End, 32, 3.277e-06
0, 1, End, 33, 3.216e-06
0, 1, End, 34, 3.621e-06
0, 1, End, 35, 4.139e-06
0, 1, End, 36, 3.687e-06
0, 1, End, 37, 2.792e-06
0, 1, End, 38, 3.371e-06
0, 1, End, 39, 2.9e-06
0, 1, End, 40, 4.367e-06
0, 1, End, 41, 4.595e-06
0, 1, End, 42, 2.956e-06
0, 1, End, 43, 3.163e-06
0, 1, End, 44, 3.76e-06
0, 1, End, 45, 3.38e-06
0, 1, End, 46, 3.639e-06
0, 1, End, 47, 3.472e-06
0, 1, End, 48, 4.014e-06
0, 1, End, 49, 3.941e-06
0, 1, End, 50, 4.095e-06
0, 1, End, 51, 3.794e-06
0, 1, End, 52, 3.533e-06
0, 1, End, 53, 3.564e-06
0, 1, End, 54, 3.827e-06
0, 1, End, 55, 3.536e-06
0, 1, End, 56, 5.228e-06
0, 1, End, 57, 5.555e-06
0, 1, End, 58, 3.718e-06
0, 1, End, 59, 3.975e-06
0, 1, End, 60, 3.315e-06
0, 1, End, 61, 2.889e-06
0, 1, End, 62, 3.664e-06
0, 1, End, 63, 3.574e-06
0, 1, End, 64, 3.905e-06
0, 1, End, 65, 3.852e-06
0, 1, End, 66, 3.741e-06
0, 1, End, 67, 4.763e-06
0, 1, End, 68, 3.515e-06
0, 1, End, 69, 3.566e-06
0, 1, End, 70, 3.537e-06
0, 1, End, 71, 2.775e-06
0, 1, End, 72, 4.128e-06
0, 1, End, 73, 3.92e-06
0, 1, End, 74, 3.459e-06
0, 1, End, 75, 3.107e-06
0, 1, End, 76, 3.157e-06
0, 1, End, 77, 3.139e-06
0, 1, End, 78, 3.477e-06
0, 1, End, 79, 4.084e-06
0, 1, End, 80, 3.821e-06
0, 1, End, 81, 3.524e-06
0, 1, End, 82, 2.863e-06
0, 1, End, 83, 3.555e-06
0, 1, End, 84, 3.465e-06
0, 1, End, 85, 2.882e-06
0, 1, End, 86, 3.099e-06
0, 1, End, 87, 2.833e-06
0, 1, End, 88, 4.263e-06
0, 1, End, 89, 4.252e-06
0, 1, End, 90, 3.386e-06
0, 1, End, 91, 4.304e-06
0, 1, End, 92, 3.499e-06
0, 1, End, 93, 2.898e-06
0, 1, End, 94, 3.411e-06
0, 1, End, 95, 3.295e-06
0, 1, End, 96, 3.533e-06
0, 1, End, 97, 3.753e-06
0, 1, End, 98, 3.022e-06
0, 1, End, 99, 3.255e-06
0, 1, End, 100, 2.924e-06
0, 1, End, 101, 3.159e-06
0, 1, End, 102, 3.696e-06
0, 1, End, 103, 3.585e-06
0, 1, End, 104, 4.147e-06
0, 1, End, 105, 4.145e-06
0, 1, End, 106, 3.032e-06
0, 1, End, 107, 2.845e-06
0, 1, End, 108, 2.994e-06
0, 1, End, 109, 4.003e-06
0, 1, End, 110, 3.388e-06
0, 1, End, 111, 4.032e-06
0, 1, End, 112, 4.46e-06
0, 1, End, 113, 3.996e-06
0, 1, End, 114, 4.195e-06
0, 1, End, 115, 3.383e-06
0, 1, End, 116, 2.86e-06
0, 1, End, 117, 3.492e-06
0, 1, End, 118, 4.012e-06
0, 1, End, 119, 3.636e-06
0, 1, End, 120, 5.54e-06
0, 1, End, 121, 5.118e-06
0, 1, End, 122, 4.215e-06
0, 1, End, 123, 3.406e-06
0, 1, End, 124, 3.093e-06
0, 1, End, 125, 3.014e-06
0, 1, End, 126, 3.609e-06
0, 1, End, 127, 3.308e-06
0, 1, End, 128, 2.927e-06
0, 1, End, 129, 3.248e-06
0, 1, End, 130, 3.13e-06
0, 1, End, 131, 1.953e-06
0, 1, End, 132, 2.876e-06
0, 1, End, 133, 3.477e-06
0, 1, End, 134, 4.596e-06
0, 1, End, 135, 3.722e-06
0, 1, End, 136, 4.339e-06
0, 1, End, 137, 4.656e-06
0, 1, End, 138, 3.627e-06
0, 1, End, 139, 3.281e-06
0, 1, End, 140, 3.638e-06
0, 1, End, 141, 3.268e-06
0, 1, End, 142, 3.574e-06
0, 1, End, 143, 3.454e-06
0, 1, End, 144, 3.761e-06
0, 1, End, 145, 3.658e-06
0, 1, End, 146, 3.729e-06
0, 1, End, 147, 3.544e-06
0, 1, End, 148, 3.455e-06
0, 1, End, 149, 2.838e-06
0, 1, End, 150, 3.087e-06
0, 1, End, 151, 3.019e-06
0, 1, End, 152, 4.73e-06
0, 1, End, 153, 4.126e-06
0, 1, End, 154, 3.774e-06
