JOBID=29680
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/rpc/upcxx_rpc_ff --repetitions 200 -m max -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 6.17e-07
0, 1, End, 2, 3.26e-07
0, 1, End, 3, 3.42e-06
0, 1, End, 4, 3.32e-07
0, 1, End, 5, 6.26e-07
0, 1, End, 6, 3.29e-07
0, 1, End, 7, 3.36e-07
0, 1, End, 8, 3.91e-07
0, 1, End, 9, 6.62e-07
0, 1, End, 10, 3.27e-07
0, 1, End, 11, 7.06e-07
0, 1, End, 12, 6.51e-07
0, 1, End, 13, 3.31e-07
0, 1, End, 14, 6.65e-07
0, 1, End, 15, 3.26e-07
0, 1, End, 16, 6.65e-07
0, 1, End, 17, 3.35e-07
0, 1, End, 18, 6.59e-07
0, 1, End, 19, 3.418e-06
0, 1, End, 20, 6.19e-07
0, 1, End, 21, 3.34e-07
0, 1, End, 22, 3.27e-07
0, 1, End, 23, 3.28e-07
0, 1, End, 24, 4.09e-07
0, 1, End, 25, 6.99e-07
0, 1, End, 26, 4.19e-07
0, 1, End, 27, 5.6e-07
0, 1, End, 28, 6.38e-07
0, 1, End, 29, 6.55e-07
0, 1, End, 30, 6.27e-07
0, 1, End, 31, 7.06e-07
0, 1, End, 32, 4e-07
0, 1, End, 33, 6.17e-07
0, 1, End, 34, 3.33e-07
0, 1, End, 35, 3.22e-07
0, 1, End, 36, 3.27e-07
0, 1, End, 37, 3.25e-07
0, 1, End, 38, 4.35e-07
0, 1, End, 39, 6.23e-07
0, 1, End, 40, 4e-07
0, 1, End, 41, 3.31e-07
0, 1, End, 42, 3.33e-07
0, 1, End, 43, 3.26e-07
0, 1, End, 44, 3.33e-07
0, 1, End, 45, 6.17e-07
0, 1, End, 46, 3.25e-07
0, 1, End, 47, 3.28e-07
0, 1, End, 48, 4.01e-07
0, 1, End, 49, 6.18e-07
0, 1, End, 50, 6.3e-07
0, 1, End, 51, 3.92e-06
0, 1, End, 52, 3.26e-07
0, 1, End, 53, 6.33e-07
0, 1, End, 54, 6.24e-07
0, 1, End, 55, 3.31e-07
0, 1, End, 56, 3.96e-07
0, 1, End, 57, 3.24e-07
0, 1, End, 58, 3.29e-07
0, 1, End, 59, 3.36e-07
