JOBID=29687
Nodes=2 Procs=2 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/rpc/upcxx_rpc_ff_notice --repetitions 200 -m max -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 3.546e-06
0, 1, End, 2, 2.558e-06
0, 1, End, 3, 2.61e-06
0, 1, End, 4, 5.318e-06
0, 1, End, 5, 6.63e-07
0, 1, End, 6, 1.1637e-05
0, 1, End, 7, 1.3583e-05
0, 1, End, 8, 2.965e-06
0, 1, End, 9, 3.242e-06
0, 1, End, 10, 2.746e-06
0, 1, End, 11, 2.805e-06
0, 1, End, 12, 5.27e-06
0, 1, End, 13, 6.57e-07
0, 1, End, 14, 3.447e-06
0, 1, End, 15, 3.465e-06
0, 1, End, 16, 1.0124e-05
0, 1, End, 17, 3.308e-06
0, 1, End, 18, 3.268e-06
0, 1, End, 19, 3.159e-06
0, 1, End, 20, 2.927e-06
0, 1, End, 21, 3.336e-06
0, 1, End, 22, 2.81e-06
0, 1, End, 23, 7.988e-06
0, 1, End, 24, 3.06e-06
0, 1, End, 25, 3.219e-06
0, 1, End, 26, 3.082e-06
0, 1, End, 27, 3.557e-06
0, 1, End, 28, 2.905e-06
0, 1, End, 29, 3.293e-06
0, 1, End, 30, 8.759e-06
0, 1, End, 31, 3.431e-06
0, 1, End, 32, 2.745e-06
0, 1, End, 33, 3.28e-06
0, 1, End, 34, 3.285e-06
0, 1, End, 35, 3.379e-06
0, 1, End, 36, 5.095e-06
0, 1, End, 37, 3.22e-07
0, 1, End, 38, 3.122e-06
0, 1, End, 39, 2.728e-06
0, 1, End, 40, 3.392e-06
0, 1, End, 41, 3.386e-06
0, 1, End, 42, 3.323e-06
0, 1, End, 43, 3.584e-06
0, 1, End, 44, 5.449e-06
0, 1, End, 45, 6.52e-07
0, 1, End, 46, 3.117e-06
0, 1, End, 47, 3.076e-06
0, 1, End, 48, 2.925e-06
0, 1, End, 49, 3.313e-06
0, 1, End, 50, 2.426e-06
0, 1, End, 51, 3.351e-06
0, 1, End, 52, 3.242e-06
0, 1, End, 53, 2.878e-06
0, 1, End, 54, 3.477e-06
0, 1, End, 55, 3.623e-06
0, 1, End, 56, 3.124e-06
0, 1, End, 57, 3.408e-06
0, 1, End, 58, 2.983e-06
0, 1, End, 59, 2.747e-06
0, 1, End, 60, 2.714e-06
0, 1, End, 61, 3.225e-06
0, 1, End, 62, 3.547e-06
0, 1, End, 63, 3.637e-06
0, 1, End, 64, 3.248e-06
0, 1, End, 65, 3.393e-06
0, 1, End, 66, 2.441e-06
0, 1, End, 67, 3.298e-06
0, 1, End, 68, 5.547e-06
0, 1, End, 69, 3.23e-07
0, 1, End, 70, 2.508e-06
0, 1, End, 71, 2.752e-06
0, 1, End, 72, 2.987e-06
0, 1, End, 73, 2.75e-06
0, 1, End, 74, 2.353e-06
0, 1, End, 75, 3.167e-06
0, 1, End, 76, 5.509e-06
0, 1, End, 77, 6.59e-07
0, 1, End, 78, 9.452e-06
