JOBID=29682
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/rpc/upcxx_rpc_notice --repetitions 200 -m max -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 2.452e-06
0, 1, End, 2, 2.807e-06
0, 1, End, 3, 2.492e-06
0, 1, End, 4, 2.641e-06
0, 1, End, 5, 2.468e-06
0, 1, End, 6, 2.62e-06
0, 1, End, 7, 8.683e-06
0, 1, End, 8, 2.649e-06
0, 1, End, 9, 2.685e-06
0, 1, End, 10, 2.457e-06
0, 1, End, 11, 2.482e-06
0, 1, End, 12, 2.544e-06
0, 1, End, 13, 2.719e-06
0, 1, End, 14, 2.641e-06
0, 1, End, 15, 2.463e-06
0, 1, End, 16, 2.698e-06
0, 1, End, 17, 2.554e-06
0, 1, End, 18, 2.43e-06
0, 1, End, 19, 2.499e-06
0, 1, End, 20, 2.556e-06
0, 1, End, 21, 2.442e-06
0, 1, End, 22, 2.637e-06
0, 1, End, 23, 8.622e-06
0, 1, End, 24, 2.665e-06
0, 1, End, 25, 2.593e-06
0, 1, End, 26, 2.645e-06
0, 1, End, 27, 2.448e-06
0, 1, End, 28, 2.521e-06
0, 1, End, 29, 2.695e-06
0, 1, End, 30, 2.626e-06
0, 1, End, 31, 2.687e-06
0, 1, End, 32, 2.641e-06
0, 1, End, 33, 2.68e-06
0, 1, End, 34, 2.541e-06
0, 1, End, 35, 2.808e-06
0, 1, End, 36, 2.632e-06
0, 1, End, 37, 2.567e-06
0, 1, End, 38, 2.45e-06
0, 1, End, 39, 8.102e-06
0, 1, End, 40, 2.584e-06
0, 1, End, 41, 2.464e-06
0, 1, End, 42, 2.628e-06
0, 1, End, 43, 8.105e-06
0, 1, End, 44, 2.683e-06
0, 1, End, 45, 2.679e-06
0, 1, End, 46, 2.398e-06
0, 1, End, 47, 2.55e-06
0, 1, End, 48, 2.935e-06
0, 1, End, 49, 2.433e-06
0, 1, End, 50, 2.73e-06
0, 1, End, 51, 2.459e-06
0, 1, End, 52, 2.724e-06
0, 1, End, 53, 2.416e-06
0, 1, End, 54, 2.678e-06
0, 1, End, 55, 8.735e-06
0, 1, End, 56, 2.708e-06
0, 1, End, 57, 2.612e-06
0, 1, End, 58, 2.456e-06
0, 1, End, 59, 2.454e-06
0, 1, End, 60, 2.533e-06
0, 1, End, 61, 2.499e-06
0, 1, End, 62, 2.469e-06
0, 1, End, 63, 2.745e-06
