JOBID=29128
Nodes=2 Procs=2 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/rpc/upcxx_rpc_notice --repetitions 100 -m all -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, End, 1, 3.55e-06
0, 1, End, 2, 1.1486e-05
0, 1, End, 3, 5.314e-06
0, 1, End, 4, 4.418e-06
0, 1, End, 5, 3.109e-06
0, 1, End, 6, 3.088e-06
0, 1, End, 7, 2.955e-06
0, 1, End, 8, 6.08e-06
0, 1, End, 9, 3.071e-06
0, 1, End, 10, 3.17e-06
0, 1, End, 11, 5.748e-06
0, 1, End, 12, 3.964e-06
0, 1, End, 13, 3.085e-06
0, 1, End, 14, 3.137e-06
0, 1, End, 15, 3.285e-06
0, 1, End, 16, 3.124e-06
0, 1, End, 17, 2.958e-06
0, 1, End, 18, 3.104e-06
0, 1, End, 19, 3.118e-06
0, 1, End, 20, 3.089e-06
0, 1, End, 21, 3.046e-06
0, 1, End, 22, 3.143e-06
0, 1, End, 23, 3.108e-06
0, 1, End, 24, 2.938e-06
0, 1, End, 25, 2.974e-06
0, 1, End, 26, 3.224e-06
0, 1, End, 27, 3.254e-06
0, 1, End, 28, 3.167e-06
0, 1, End, 29, 3.033e-06
0, 1, End, 30, 3.072e-06
0, 1, End, 31, 3.132e-06
0, 1, End, 32, 5.393e-06
0, 1, End, 33, 3.385e-06
0, 1, End, 34, 3.148e-06
0, 1, End, 35, 3.611e-06
0, 1, End, 36, 3.187e-06
0, 1, End, 37, 3.206e-06
0, 1, End, 38, 3.047e-06
0, 1, End, 39, 3.146e-06
0, 1, End, 40, 6.059e-06
0, 1, End, 41, 3.083e-06
0, 1, End, 42, 2.949e-06
0, 1, End, 43, 5.619e-06
0, 1, End, 44, 4.23e-06
0, 1, End, 45, 3.111e-06
0, 1, End, 46, 2.898e-06
0, 1, End, 47, 3.152e-06
0, 1, End, 48, 3.084e-06
0, 1, End, 49, 3.22e-06
0, 1, End, 50, 3.102e-06
0, 1, End, 51, 3.048e-06
0, 1, End, 52, 3.172e-06
0, 1, End, 53, 3.091e-06
0, 1, End, 54, 2.92e-06
0, 1, End, 55, 3.16e-06
0, 1, End, 56, 3.226e-06
0, 1, End, 57, 3.249e-06
0, 1, End, 58, 2.886e-06
0, 1, End, 59, 3.087e-06
0, 1, End, 60, 3.177e-06
0, 1, End, 61, 3.188e-06
0, 1, End, 62, 3.095e-06
0, 1, End, 63, 3.074e-06
0, 1, End, 64, 5.281e-06
0, 1, End, 65, 3.64e-06
0, 1, End, 66, 2.927e-06
0, 1, End, 67, 5.302e-06
0, 1, End, 68, 4.442e-06
0, 1, End, 69, 2.913e-06
0, 1, End, 70, 3.028e-06
0, 1, End, 71, 3.204e-06
0, 1, End, 72, 5.714e-06
0, 1, End, 73, 3.111e-06
0, 1, End, 74, 3.137e-06
0, 1, End, 75, 5.815e-06
0, 1, End, 76, 4.032e-06
0, 1, End, 77, 3.115e-06
0, 1, End, 78, 3.01e-06
0, 1, End, 79, 2.914e-06
0, 1, End, 80, 2.924e-06
0, 1, End, 81, 3.104e-06
0, 1, End, 82, 3.118e-06
0, 1, End, 83, 2.938e-06
0, 1, End, 84, 3.106e-06
0, 1, End, 85, 3.085e-06
0, 1, End, 86, 3.079e-06
0, 1, End, 87, 3.233e-06
0, 1, End, 88, 3.123e-06
0, 1, End, 89, 3.003e-06
0, 1, End, 90, 3.111e-06
0, 1, End, 91, 3.111e-06
0, 1, End, 92, 3.227e-06
0, 1, End, 93, 2.907e-06
0, 1, End, 94, 2.907e-06
0, 1, End, 95, 3.076e-06
0, 1, End, 96, 5.528e-06
0, 1, End, 97, 3.67e-06
0, 1, End, 98, 3.221e-06
0, 1, End, 99, 5.195e-06
0, 1, End, 100, 4.4e-06
