JOBID=29689
Nodes=2 Procs=2 TasksPerNode=1 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/rpc/upcxx_rpc_then --repetitions 200 -m max -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, Loop_end, 1, 4.43e-07
0, 1, Loop_end, 2, 4.42e-07
0, 1, Loop_end, 3, 4.58e-07
0, 1, Loop_end, 4, 4.44e-07
0, 1, Loop_end, 5, 4.52e-07
0, 1, Loop_end, 6, 4.46e-07
0, 1, Loop_end, 7, 4.47e-07
0, 1, Loop_end, 8, 4.3e-07
0, 1, Loop_end, 9, 4.64e-07
0, 1, Loop_end, 10, 4.44e-07
0, 1, Loop_end, 11, 4.42e-07
0, 1, Loop_end, 12, 4.46e-07
0, 1, Loop_end, 13, 4.42e-07
0, 1, Loop_end, 14, 4.43e-07
0, 1, Loop_end, 15, 4.75e-07
0, 1, Loop_end, 16, 4.43e-07
0, 1, Loop_end, 17, 4.33e-07
0, 1, Loop_end, 18, 4.5e-07
0, 1, Loop_end, 19, 4.42e-07
0, 1, Loop_end, 20, 4.6e-07
0, 1, Loop_end, 21, 4.5e-07
0, 1, Loop_end, 22, 4.65e-07
0, 1, Loop_end, 23, 4.43e-07
0, 1, Loop_end, 24, 4.43e-07
0, 1, Loop_end, 25, 4.43e-07
0, 1, Loop_end, 26, 4.99e-07
0, 1, Loop_end, 27, 4.46e-07
0, 1, Loop_end, 28, 4.47e-07
0, 1, Loop_end, 29, 4.43e-07
0, 1, Loop_end, 30, 4.41e-07
0, 1, Loop_end, 31, 4.53e-07
0, 1, Loop_end, 32, 4.44e-07
0, 1, Loop_end, 33, 4.47e-07
0, 1, Loop_end, 34, 4.47e-07
0, 1, Loop_end, 35, 4.79e-07
0, 1, Loop_end, 36, 4.64e-07
0, 1, Loop_end, 37, 4.56e-07
0, 1, Loop_end, 38, 4.41e-07
0, 1, Loop_end, 39, 4.64e-07
0, 1, Loop_end, 40, 4.51e-07
0, 1, Loop_end, 41, 4.44e-07
0, 1, Loop_end, 42, 4.61e-07
0, 1, Loop_end, 43, 4.44e-07
0, 1, Loop_end, 44, 4.45e-07
0, 1, Loop_end, 45, 4.94e-07
0, 1, Loop_end, 46, 4.5e-07
0, 1, Loop_end, 47, 4.43e-07
0, 1, Loop_end, 48, 4.63e-07
0, 1, Loop_end, 49, 4.57e-07
0, 1, Loop_end, 50, 4.5e-07
0, 1, Loop_end, 51, 4.46e-07
0, 1, Loop_end, 52, 4.56e-07
0, 1, Loop_end, 53, 4.47e-07
0, 1, Loop_end, 54, 6.37e-07
0, 1, Loop_end, 55, 4.81e-07
0, 1, Loop_end, 56, 4.66e-07
0, 1, Loop_end, 57, 4.61e-07
0, 1, Loop_end, 58, 4.69e-07
0, 1, Loop_end, 59, 4.55e-07
0, 1, Loop_end, 60, 4.73e-07
0, 1, Loop_end, 61, 5.63e-07
0, 1, Loop_end, 62, 4.46e-07
0, 1, Loop_end, 63, 4.64e-07
0, 1, Loop_end, 64, 4.54e-07
0, 1, Loop_end, 65, 4.45e-07
0, 1, Loop_end, 66, 4.57e-07
0, 1, Loop_end, 67, 4.81e-07
0, 1, Loop_end, 68, 4.46e-07
0, 1, Loop_end, 69, 4.48e-07
0, 1, Loop_end, 70, 4.49e-07
0, 1, Loop_end, 71, 4.86e-07
0, 1, Loop_end, 72, 4.54e-07
0, 1, Loop_end, 73, 4.54e-07
0, 1, Loop_end, 74, 4.45e-07
0, 1, Loop_end, 75, 4.54e-07
0, 1, Loop_end, 76, 4.56e-07
0, 1, Loop_end, 77, 4.45e-07
0, 1, Loop_end, 78, 4.54e-07
0, 1, Loop_end, 79, 4.43e-07
0, 1, Loop_end, 80, 4.53e-07
0, 1, Loop_end, 81, 4.59e-07
0, 1, Loop_end, 82, 4.68e-07
0, 1, Loop_end, 83, 4.44e-07
0, 1, Loop_end, 84, 4.72e-07
0, 1, Loop_end, 85, 4.58e-07
0, 1, Loop_end, 86, 4.49e-07
0, 1, Loop_end, 87, 4.74e-07
0, 1, Loop_end, 88, 4.47e-07
0, 1, Loop_end, 89, 4.44e-07
0, 1, Loop_end, 90, 4.49e-07
0, 1, Loop_end, 91, 4.45e-07
0, 1, Loop_end, 92, 4.48e-07
0, 1, Loop_end, 93, 4.47e-07
0, 1, Loop_end, 94, 4.54e-07
0, 1, Loop_end, 95, 4.56e-07
0, 1, Loop_end, 96, 4.55e-07
0, 1, Loop_end, 97, 4.44e-07
0, 1, Loop_end, 98, 4.44e-07
0, 1, Loop_end, 99, 4.5e-07
0, 1, Loop_end, 100, 4.53e-07
0, 1, Loop_end, 101, 4.46e-07
0, 1, Loop_end, 102, 4.5e-07
0, 1, Loop_end, 103, 4.57e-07
0, 1, Loop_end, 104, 4.42e-07
