JOBID=29684
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/rpc/upcxx_rpc_vector --repetitions 200 -m max -q --warmup-repetitions 200
Rank, Size, Timepoint, Index, Time
0, 1, Loop_end, 1, 4.62e-07
0, 1, Loop_end, 2, 3.92e-07
0, 1, Loop_end, 3, 3.87e-07
0, 1, Loop_end, 4, 3.94e-07
0, 1, Loop_end, 5, 4.34e-07
0, 1, Loop_end, 6, 4.32e-07
0, 1, Loop_end, 7, 4.3e-07
0, 1, Loop_end, 8, 8.91e-07
0, 1, Loop_end, 9, 5.43e-07
0, 1, Loop_end, 10, 5.5e-07
0, 1, Loop_end, 11, 3.95e-07
0, 1, Loop_end, 12, 3.91e-07
0, 1, Loop_end, 13, 4e-07
0, 1, Loop_end, 14, 4.28e-07
0, 1, Loop_end, 15, 3.93e-07
0, 1, Loop_end, 16, 3.86e-07
0, 1, Loop_end, 17, 4.61e-07
0, 1, Loop_end, 18, 6.16e-07
0, 1, Loop_end, 19, 3.88e-07
0, 1, Loop_end, 20, 3.88e-07
0, 1, Loop_end, 21, 4e-07
0, 1, Loop_end, 22, 3.92e-07
0, 1, Loop_end, 23, 3.88e-07
0, 1, Loop_end, 24, 3.94e-07
0, 1, Loop_end, 25, 4.6e-07
0, 1, Loop_end, 26, 3.99e-07
0, 1, Loop_end, 27, 3.88e-07
0, 1, Loop_end, 28, 3.87e-07
0, 1, Loop_end, 29, 4.02e-07
0, 1, Loop_end, 30, 3.96e-07
0, 1, Loop_end, 31, 4e-07
0, 1, Loop_end, 32, 3.97e-07
0, 1, Loop_end, 33, 4.56e-07
0, 1, Loop_end, 34, 3.87e-07
0, 1, Loop_end, 35, 6.08e-07
0, 1, Loop_end, 36, 3.91e-07
0, 1, Loop_end, 37, 3.96e-07
0, 1, Loop_end, 38, 6.18e-07
0, 1, Loop_end, 39, 4e-07
0, 1, Loop_end, 40, 5.63e-07
0, 1, Loop_end, 41, 4.68e-07
0, 1, Loop_end, 42, 3.97e-07
0, 1, Loop_end, 43, 3.97e-07
0, 1, Loop_end, 44, 3.99e-07
0, 1, Loop_end, 45, 4.03e-07
0, 1, Loop_end, 46, 3.94e-07
0, 1, Loop_end, 47, 3.87e-07
0, 1, Loop_end, 48, 3.89e-07
0, 1, Loop_end, 49, 4.77e-07
0, 1, Loop_end, 50, 3.93e-07
0, 1, Loop_end, 51, 3.95e-07
0, 1, Loop_end, 52, 3.85e-07
0, 1, Loop_end, 53, 3.87e-07
0, 1, Loop_end, 54, 3.87e-07
0, 1, Loop_end, 55, 4.29e-07
0, 1, Loop_end, 56, 6.91e-07
0, 1, Loop_end, 57, 4.6e-07
0, 1, Loop_end, 58, 3.93e-07
0, 1, Loop_end, 59, 3.92e-07
0, 1, Loop_end, 60, 3.96e-07
0, 1, Loop_end, 61, 3.99e-07
0, 1, Loop_end, 62, 6.06e-07
0, 1, Loop_end, 63, 5.45e-07
0, 1, Loop_end, 64, 3.89e-07
0, 1, Loop_end, 65, 4.59e-07
0, 1, Loop_end, 66, 3.85e-07
0, 1, Loop_end, 67, 3.85e-07
0, 1, Loop_end, 68, 3.87e-07
0, 1, Loop_end, 69, 6.08e-07
0, 1, Loop_end, 70, 3.86e-07
0, 1, Loop_end, 71, 3.88e-07
0, 1, Loop_end, 72, 3.88e-07
0, 1, Loop_end, 73, 6.85e-07
0, 1, Loop_end, 74, 4.27e-07
0, 1, Loop_end, 75, 4.34e-07
0, 1, Loop_end, 76, 4.25e-07
0, 1, Loop_end, 77, 8.4e-07
0, 1, Loop_end, 78, 5.63e-07
0, 1, Loop_end, 79, 6.02e-07
0, 1, Loop_end, 80, 3.93e-07
0, 1, Loop_end, 81, 4.66e-07
0, 1, Loop_end, 82, 3.94e-07
0, 1, Loop_end, 83, 3.9e-07
0, 1, Loop_end, 84, 3.91e-07
0, 1, Loop_end, 85, 3.87e-07
0, 1, Loop_end, 86, 3.95e-07
0, 1, Loop_end, 87, 3.85e-07
0, 1, Loop_end, 88, 3.94e-07
0, 1, Loop_end, 89, 6.65e-07
0, 1, Loop_end, 90, 3.89e-07
0, 1, Loop_end, 91, 4e-07
0, 1, Loop_end, 92, 5.71e-07
0, 1, Loop_end, 93, 4.12e-07
0, 1, Loop_end, 94, 4.03e-07
0, 1, Loop_end, 95, 3.92e-07
0, 1, Loop_end, 96, 4.65e-07
0, 1, Loop_end, 97, 4.54e-07
0, 1, Loop_end, 98, 3.91e-07
0, 1, Loop_end, 99, 6.08e-07
0, 1, Loop_end, 100, 3.94e-07
0, 1, Loop_end, 101, 3.95e-07
0, 1, Loop_end, 102, 3.86e-07
0, 1, Loop_end, 103, 6.11e-07
0, 1, Loop_end, 104, 4.03e-07
0, 1, Loop_end, 105, 4.66e-07
0, 1, Loop_end, 106, 3.98e-07
